,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,447.0,450.0,440.7,442.95,2027400,
1,2022-12-07 00:00:00+05:30,440.0,448.75,440.0,446.55,1093300,
2,2022-12-08 00:00:00+05:30,446.5,448.5,441.25,446.0,87996,
3,2022-12-09 00:00:00+05:30,445.0,448.65,441.25,443.55,110440,
4,2022-12-12 00:00:00+05:30,437.5,448.9,437.5,443.65,89924,
5,2022-12-13 00:00:00+05:30,443.65,470.35,442.5,453.9,13089680,
6,2022-12-14 00:00:00+05:30,458.75,474.75,451.6,456.2,520236,
7,2022-12-15 00:00:00+05:30,455.8,458.5,448.25,455.05,107268,
8,2022-12-16 00:00:00+05:30,450.0,465.0,446.6,460.95,171740,
9,2022-12-19 00:00:00+05:30,464.0,467.5,453.7,455.75,91872,
10,2022-12-20 00:00:00+05:30,454.5,456.85,445.25,447.45,54136,
11,2022-12-21 00:00:00+05:30,456.2,478.6,438.7,443.3,277824,
12,2022-12-22 00:00:00+05:30,445.0,448.05,435.05,443.3,223812,
13,2022-12-23 00:00:00+05:30,443.3,443.3,434.5,437.25,141728,
14,2022-12-26 00:00:00+05:30,431.65,443.45,431.65,438.5,93820,
15,2022-12-27 00:00:00+05:30,440.7,445.95,438.65,440.85,37708,
16,2022-12-28 00:00:00+05:30,438.95,443.05,435.0,438.25,110428,
17,2022-12-29 00:00:00+05:30,438.75,442.45,435.9,439.5,84440,
18,2022-12-30 00:00:00+05:30,439.2,447.1,437.75,444.1,108684,
19,2023-01-02 00:00:00+05:30,444.25,452.85,443.35,445.8,104408,
20,2023-01-03 00:00:00+05:30,445.5,450.95,438.15,443.75,150992,
21,2023-01-04 00:00:00+05:30,443.05,451.65,443.0,444.7,26268,
22,2023-01-05 00:00:00+05:30,444.55,451.3,437.25,447.45,214640,
23,2023-01-06 00:00:00+05:30,447.5,448.45,438.55,443.8,44176,
24,2023-01-09 00:00:00+05:30,446.0,448.75,442.25,445.25,50728,
25,2023-01-10 00:00:00+05:30,443.85,449.5,442.0,447.05,53320,
26,2023-01-11 00:00:00+05:30,446.35,448.75,435.0,439.55,130392,
27,2023-01-12 00:00:00+05:30,471.75,476.75,444.25,449.85,1192752,
28,2023-01-13 00:00:00+05:30,450.0,453.95,444.45,445.8,255844,
29,2023-01-16 00:00:00+05:30,448.35,467.15,448.35,457.8,363292,
30,2023-01-17 00:00:00+05:30,460.3,464.45,453.75,460.0,182212,
31,2023-01-18 00:00:00+05:30,462.5,467.35,460.35,466.4,133416,
32,2023-01-19 00:00:00+05:30,468.75,487.5,467.5,485.0,815380,
33,2023-01-20 00:00:00+05:30,487.5,487.5,470.2,480.55,1584360,
34,2023-01-23 00:00:00+05:30,487.5,490.0,477.75,487.5,292876,
35,2023-01-24 00:00:00+05:30,488.55,490.0,485.5,486.95,131064,
36,2023-01-25 00:00:00+05:30,487.45,487.45,472.5,479.5,102116,
37,2023-01-27 00:00:00+05:30,482.25,486.6,459.25,467.85,205488,
38,2023-01-30 00:00:00+05:30,425.5,466.45,425.5,461.2,231740,
39,2023-01-31 00:00:00+05:30,460.5,464.4,450.0,456.75,266776,
40,2023-02-01 00:00:00+05:30,456.8,481.95,456.8,472.95,287452,
41,2023-02-02 00:00:00+05:30,472.0,481.25,458.75,471.65,117468,
42,2023-02-03 00:00:00+05:30,472.8,477.75,471.2,474.8,110180,
43,2023-02-06 00:00:00+05:30,476.75,478.0,462.15,465.4,424848,
44,2023-02-07 00:00:00+05:30,465.25,487.25,455.25,459.95,230876,
45,2023-02-08 00:00:00+05:30,453.75,461.45,451.9,459.55,105324,
46,2023-02-09 00:00:00+05:30,460.25,462.75,455.0,456.15,87940,
47,2023-02-10 00:00:00+05:30,455.25,467.2,453.15,464.2,123908,
48,2023-02-13 00:00:00+05:30,464.2,465.0,460.0,463.15,25416,
49,2023-02-14 00:00:00+05:30,467.25,467.25,451.4,459.25,80644,
50,2023-02-15 00:00:00+05:30,462.5,464.95,458.45,459.75,54912,
51,2023-02-16 00:00:00+05:30,459.75,461.2,452.6,455.65,61792,
52,2023-02-17 00:00:00+05:30,464.7,466.4,452.25,453.3,82340,
53,2023-02-20 00:00:00+05:30,457.5,474.5,452.5,457.8,207400,
54,2023-02-21 00:00:00+05:30,462.2,462.2,448.25,453.2,150316,
55,2023-02-22 00:00:00+05:30,451.25,452.5,442.5,446.3,368868,
56,2023-02-23 00:00:00+05:30,446.05,449.7,445.05,446.35,280060,
57,2023-02-24 00:00:00+05:30,450.0,450.0,440.85,444.15,282816,
58,2023-02-27 00:00:00+05:30,446.25,448.45,439.0,444.9,216972,
59,2023-02-28 00:00:00+05:30,447.45,449.15,427.0,430.85,273736,
60,2023-03-01 00:00:00+05:30,432.6,444.75,425.0,443.3,269088,
61,2023-03-02 00:00:00+05:30,489.95,489.95,435.55,441.05,215418,
62,2023-03-03 00:00:00+05:30,443.95,450.55,440.1,446.8,98417,
63,2023-03-06 00:00:00+05:30,445.0,455.0,440.05,446.6,123558,
64,2023-03-08 00:00:00+05:30,446.0,450.2,440.0,442.3,104280,
65,2023-03-09 00:00:00+05:30,442.0,448.9,435.0,440.1,147189,
66,2023-03-10 00:00:00+05:30,430.1,446.8,430.1,442.4,160061,
67,2023-03-13 00:00:00+05:30,440.0,443.8,425.05,430.2,246586,
68,2023-03-14 00:00:00+05:30,430.2,440.0,420.25,423.65,149544,
69,2023-03-15 00:00:00+05:30,429.0,434.95,425.05,432.3,94911,
70,2023-03-16 00:00:00+05:30,432.25,439.4,427.65,433.1,151171,
71,2023-03-17 00:00:00+05:30,435.0,435.0,423.05,424.4,158085,
72,2023-03-20 00:00:00+05:30,425.0,440.0,415.0,417.95,118805,
73,2023-03-21 00:00:00+05:30,419.0,423.65,395.1,401.45,279207,
74,2023-03-22 00:00:00+05:30,401.0,435.0,398.05,428.7,402438,
75,2023-03-23 00:00:00+05:30,427.0,432.55,413.2,429.6,175154,
76,2023-03-24 00:00:00+05:30,422.0,434.85,419.95,429.1,138825,
77,2023-03-27 00:00:00+05:30,427.0,432.85,411.15,428.65,119069,
78,2023-03-28 00:00:00+05:30,428.55,437.95,422.0,435.95,182283,
79,2023-03-29 00:00:00+05:30,436.4,440.0,425.1,438.6,157615,
80,2023-03-31 00:00:00+05:30,405.0,434.9,404.95,430.7,456185,
81,2023-04-03 00:00:00+05:30,427.0,435.5,418.3,422.0,82023,
82,2023-04-05 00:00:00+05:30,422.0,435.65,421.45,428.45,126199,
83,2023-04-06 00:00:00+05:30,440.0,444.4,429.0,439.8,1336993,
84,2023-04-10 00:00:00+05:30,442.95,442.95,431.0,432.2,905345,
85,2023-04-11 00:00:00+05:30,435.15,435.15,423.0,425.6,251213,
86,2023-04-12 00:00:00+05:30,425.6,429.6,420.65,427.45,41227,
87,2023-04-13 00:00:00+05:30,428.0,433.5,427.0,428.15,41075,
88,2023-04-17 00:00:00+05:30,428.15,442.4,395.8,403.4,6070499,
89,2023-04-18 00:00:00+05:30,403.5,414.95,403.5,407.5,276773,
90,2023-04-19 00:00:00+05:30,411.3,417.85,403.65,415.1,534435,
91,2023-04-20 00:00:00+05:30,416.0,416.9,408.9,409.85,183907,
92,2023-04-21 00:00:00+05:30,409.85,412.2,404.25,407.0,146745,
93,2023-04-24 00:00:00+05:30,412.25,416.95,407.0,415.95,141834,
94,2023-04-25 00:00:00+05:30,415.95,418.75,412.9,415.9,259300,
95,2023-04-26 00:00:00+05:30,417.95,417.95,403.2,411.05,163583,
96,2023-04-27 00:00:00+05:30,414.7,416.9,410.3,415.45,75452,
97,2023-04-28 00:00:00+05:30,417.0,420.9,412.0,419.85,323783,
98,2023-05-02 00:00:00+05:30,423.0,423.9,412.6,418.3,176212,
99,2023-05-03 00:00:00+05:30,416.0,423.85,410.15,417.05,153987,
100,2023-05-04 00:00:00+05:30,421.0,422.35,416.75,420.25,267906,
101,2023-05-05 00:00:00+05:30,411.0,419.75,408.0,413.9,150641,
102,2023-05-08 00:00:00+05:30,418.0,418.0,405.1,406.35,113009,
103,2023-05-09 00:00:00+05:30,412.0,412.0,399.7,401.35,589981,
104,2023-05-10 00:00:00+05:30,405.0,409.2,401.55,406.0,63146,
105,2023-05-11 00:00:00+05:30,406.95,408.35,400.05,402.9,137885,
106,2023-05-12 00:00:00+05:30,402.0,415.5,401.0,409.05,144530,
107,2023-05-15 00:00:00+05:30,414.75,416.95,406.75,410.15,379895,
108,2023-05-16 00:00:00+05:30,414.25,414.8,398.0,402.65,295027,
109,2023-05-17 00:00:00+05:30,404.65,418.0,399.1,405.85,1543786,
110,2023-05-18 00:00:00+05:30,408.75,408.75,399.15,402.2,1159692,
111,2023-05-19 00:00:00+05:30,402.2,407.95,399.15,403.3,349082,
