,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,423.8,427.6,418.05,419.5,511559,
1,2022-12-07 00:00:00+05:30,422.0,437.0,420.4,430.0,1014105,
2,2022-12-08 00:00:00+05:30,428.0,434.25,426.6,428.05,319815,
3,2022-12-09 00:00:00+05:30,430.0,431.45,418.55,423.3,246711,
4,2022-12-12 00:00:00+05:30,419.8,422.75,413.5,416.55,361113,
5,2022-12-13 00:00:00+05:30,418.4,438.7,418.0,436.3,641204,
6,2022-12-14 00:00:00+05:30,438.5,447.95,428.5,438.15,910767,
7,2022-12-15 00:00:00+05:30,432.3,434.9,424.3,427.5,350202,
8,2022-12-16 00:00:00+05:30,423.5,448.9,423.5,441.05,1435259,
9,2022-12-19 00:00:00+05:30,442.95,445.5,432.0,436.0,338067,
10,2022-12-20 00:00:00+05:30,437.2,437.5,424.55,430.65,283383,
11,2022-12-21 00:00:00+05:30,430.65,435.25,411.55,414.3,363283,
12,2022-12-22 00:00:00+05:30,414.3,417.9,393.0,400.65,691244,
13,2022-12-23 00:00:00+05:30,393.15,396.1,365.45,370.6,776033,
14,2022-12-26 00:00:00+05:30,360.0,399.0,358.15,395.7,618886,
15,2022-12-27 00:00:00+05:30,399.95,404.6,393.15,400.3,249971,
16,2022-12-28 00:00:00+05:30,402.1,414.7,395.0,411.75,431425,
17,2022-12-29 00:00:00+05:30,411.65,412.95,400.0,403.35,337664,
18,2022-12-30 00:00:00+05:30,405.55,419.85,401.0,403.45,245327,
19,2023-01-02 00:00:00+05:30,404.0,411.0,403.3,406.15,159079,
20,2023-01-03 00:00:00+05:30,406.95,407.0,399.0,403.0,168879,
21,2023-01-04 00:00:00+05:30,407.0,416.85,405.0,407.95,662525,
22,2023-01-05 00:00:00+05:30,409.5,414.4,402.4,412.45,306963,
23,2023-01-06 00:00:00+05:30,412.7,413.9,397.3,400.65,296761,
24,2023-01-09 00:00:00+05:30,402.55,404.45,398.3,400.05,258196,
25,2023-01-10 00:00:00+05:30,400.05,400.1,386.25,389.1,289823,
26,2023-01-11 00:00:00+05:30,389.15,402.45,387.1,394.15,625194,
27,2023-01-12 00:00:00+05:30,395.3,402.85,393.85,400.25,291371,
28,2023-01-13 00:00:00+05:30,402.9,407.7,397.3,401.9,276167,
29,2023-01-16 00:00:00+05:30,401.9,411.4,399.3,407.35,317264,
30,2023-01-17 00:00:00+05:30,407.35,413.9,403.65,411.75,299805,
31,2023-01-18 00:00:00+05:30,412.95,436.0,412.95,430.25,1546140,
32,2023-01-19 00:00:00+05:30,428.8,429.0,419.35,423.25,286823,
33,2023-01-20 00:00:00+05:30,424.9,441.2,422.2,431.3,802750,
34,2023-01-23 00:00:00+05:30,431.35,433.5,421.5,425.15,206851,
35,2023-01-24 00:00:00+05:30,425.95,429.75,418.3,422.4,152517,
36,2023-01-25 00:00:00+05:30,418.2,428.75,410.45,412.3,261586,
37,2023-01-27 00:00:00+05:30,414.35,423.9,393.8,402.2,474746,
38,2023-01-30 00:00:00+05:30,398.0,409.65,394.3,399.5,216564,
39,2023-01-31 00:00:00+05:30,401.95,419.95,401.25,419.05,262457,
40,2023-02-01 00:00:00+05:30,420.15,440.6,410.0,414.85,858748,
41,2023-02-02 00:00:00+05:30,415.0,429.4,410.0,418.35,243922,
42,2023-02-03 00:00:00+05:30,428.0,428.0,410.2,418.7,253457,
43,2023-02-06 00:00:00+05:30,419.5,424.9,412.05,415.95,247843,
