,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,722.0,722.7,717.0,719.25,22261,
1,2022-12-07 00:00:00+05:30,719.5,725.0,712.75,718.6,55121,
2,2022-12-08 00:00:00+05:30,722.0,722.0,713.0,717.55,33304,
3,2022-12-09 00:00:00+05:30,720.0,720.0,712.3,715.8,36103,
4,2022-12-12 00:00:00+05:30,714.9,717.95,710.0,715.0,31949,
5,2022-12-13 00:00:00+05:30,718.5,718.5,713.55,715.05,23926,
6,2022-12-14 00:00:00+05:30,713.2,716.95,711.0,713.05,30627,
7,2022-12-15 00:00:00+05:30,716.0,725.0,698.8,702.2,122954,
8,2022-12-16 00:00:00+05:30,705.6,708.4,687.3,691.55,103970,
9,2022-12-19 00:00:00+05:30,692.2,692.9,682.5,686.65,37843,
10,2022-12-20 00:00:00+05:30,687.0,690.8,680.0,685.25,48236,
11,2022-12-21 00:00:00+05:30,687.8,691.35,677.05,683.65,49068,
12,2022-12-22 00:00:00+05:30,687.0,687.0,663.65,670.3,53886,
13,2022-12-23 00:00:00+05:30,666.6,669.95,646.6,659.9,123896,
14,2022-12-26 00:00:00+05:30,661.5,664.95,653.9,659.15,63846,
15,2022-12-27 00:00:00+05:30,662.45,678.05,658.0,667.5,43542,
16,2022-12-28 00:00:00+05:30,667.0,675.95,665.5,672.1,17488,
17,2022-12-29 00:00:00+05:30,668.5,674.75,660.0,665.55,34905,
18,2022-12-30 00:00:00+05:30,666.0,691.7,666.0,679.45,28400,
19,2023-01-02 00:00:00+05:30,673.3,695.0,673.3,692.6,35735,
20,2023-01-03 00:00:00+05:30,696.1,700.7,688.9,693.5,18733,
21,2023-01-04 00:00:00+05:30,688.2,699.9,681.0,694.9,24355,
22,2023-01-05 00:00:00+05:30,698.6,698.6,683.0,691.05,27518,
23,2023-01-06 00:00:00+05:30,692.7,694.0,680.0,689.45,22100,
24,2023-01-09 00:00:00+05:30,692.65,692.65,684.6,687.8,34027,
25,2023-01-10 00:00:00+05:30,687.8,690.05,680.0,686.7,25226,
26,2023-01-11 00:00:00+05:30,685.65,687.0,680.0,683.5,15573,
27,2023-01-12 00:00:00+05:30,686.95,686.95,667.8,678.9,34434,
28,2023-01-13 00:00:00+05:30,680.6,680.6,669.0,673.85,20111,
29,2023-01-16 00:00:00+05:30,674.9,677.0,667.95,673.7,15719,
30,2023-01-17 00:00:00+05:30,671.0,671.0,660.4,667.25,45474,
31,2023-01-18 00:00:00+05:30,670.6,670.6,655.2,658.15,36809,
32,2023-01-19 00:00:00+05:30,661.45,661.45,645.3,657.1,63105,
33,2023-01-20 00:00:00+05:30,660.0,660.0,640.2,649.5,215117,
34,2023-01-23 00:00:00+05:30,649.5,652.9,622.0,627.05,77863,
35,2023-01-24 00:00:00+05:30,627.05,628.95,612.05,621.0,58399,
36,2023-01-25 00:00:00+05:30,624.0,627.9,598.0,599.8,109890,
37,2023-01-27 00:00:00+05:30,602.0,615.0,590.0,596.5,272245,
38,2023-01-30 00:00:00+05:30,595.0,607.55,590.05,593.45,39474,
39,2023-01-31 00:00:00+05:30,596.6,600.6,591.05,593.6,35271,
40,2023-02-01 00:00:00+05:30,596.7,598.9,570.0,579.7,53399,
41,2023-02-02 00:00:00+05:30,579.3,587.0,575.0,578.0,30003,
42,2023-02-03 00:00:00+05:30,580.9,581.0,572.7,577.05,33601,
43,2023-02-06 00:00:00+05:30,579.95,606.9,573.95,601.9,239631,
44,2023-02-07 00:00:00+05:30,604.0,622.0,603.8,617.55,212232,
45,2023-02-08 00:00:00+05:30,620.0,627.05,613.5,617.95,92915,
46,2023-02-09 00:00:00+05:30,617.0,623.6,612.3,619.5,139783,
47,2023-02-10 00:00:00+05:30,617.0,622.75,610.1,617.55,61476,
48,2023-02-13 00:00:00+05:30,623.0,627.7,617.0,619.3,92214,
