,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,60.95,60.95,55.5,55.9,33101533,
1,2022-12-07 00:00:00+05:30,55.9,57.45,54.8,56.8,11724134,
2,2022-12-08 00:00:00+05:30,57.0,57.45,53.3,54.4,15855615,
3,2022-12-09 00:00:00+05:30,51.5,54.15,50.4,52.45,50743600,
4,2022-12-12 00:00:00+05:30,53.5,55.5,53.25,55.05,46512429,
5,2022-12-13 00:00:00+05:30,55.6,56.45,55.2,55.7,11529204,
6,2022-12-14 00:00:00+05:30,56.1,57.7,55.0,56.05,30779121,
7,2022-12-15 00:00:00+05:30,55.9,56.5,54.75,55.55,12776822,
8,2022-12-16 00:00:00+05:30,55.35,56.2,54.25,55.5,9195685,
9,2022-12-19 00:00:00+05:30,55.8,56.55,55.15,56.3,15984973,
10,2022-12-20 00:00:00+05:30,56.25,56.6,54.85,55.6,4224235,
11,2022-12-21 00:00:00+05:30,55.75,56.0,52.65,53.05,13591553,
12,2022-12-22 00:00:00+05:30,52.5,53.0,49.5,51.05,26547906,
13,2022-12-23 00:00:00+05:30,49.45,50.4,45.1,45.55,25272889,
14,2022-12-26 00:00:00+05:30,45.0,54.65,44.95,54.65,44836241,
15,2022-12-27 00:00:00+05:30,54.5,57.25,52.75,55.05,30978402,
16,2022-12-28 00:00:00+05:30,54.7,55.6,53.75,55.25,22017284,
17,2022-12-29 00:00:00+05:30,54.95,54.95,53.2,53.5,4403516,
18,2022-12-30 00:00:00+05:30,54.05,54.9,52.25,52.7,6015582,
19,2023-01-02 00:00:00+05:30,52.7,54.15,52.35,53.6,9099420,
20,2023-01-03 00:00:00+05:30,54.05,54.1,52.8,53.15,5292282,
21,2023-01-04 00:00:00+05:30,53.2,53.3,51.75,51.85,4388286,
22,2023-01-05 00:00:00+05:30,52.2,52.45,51.1,51.65,3289528,
23,2023-01-06 00:00:00+05:30,51.95,52.8,51.45,52.45,3057399,
24,2023-01-09 00:00:00+05:30,52.95,54.6,52.8,53.45,6903932,
25,2023-01-10 00:00:00+05:30,53.2,53.8,52.35,52.7,4170027,
26,2023-01-11 00:00:00+05:30,53.0,53.65,52.35,52.5,3482291,
27,2023-01-12 00:00:00+05:30,52.8,53.9,51.0,52.5,19291986,
28,2023-01-13 00:00:00+05:30,52.8,53.0,51.25,51.5,18292716,
29,2023-01-16 00:00:00+05:30,52.05,56.25,52.05,56.05,43673858,
30,2023-01-17 00:00:00+05:30,56.0,56.35,54.45,56.0,21416399,
31,2023-01-18 00:00:00+05:30,56.0,56.4,54.0,55.55,6905487,
32,2023-01-19 00:00:00+05:30,55.45,55.45,54.45,54.65,3176428,
33,2023-01-20 00:00:00+05:30,54.85,56.25,54.7,55.15,6979975,
34,2023-01-23 00:00:00+05:30,55.6,55.8,54.0,54.3,6290568,
35,2023-01-24 00:00:00+05:30,54.5,55.0,51.85,53.35,7112525,
36,2023-01-25 00:00:00+05:30,53.35,53.7,50.85,51.05,13362472,
37,2023-01-27 00:00:00+05:30,51.55,51.8,48.4,49.15,10803695,
38,2023-01-30 00:00:00+05:30,50.0,53.4,49.9,52.05,18256685,
39,2023-01-31 00:00:00+05:30,52.4,52.6,51.25,52.0,6095621,
40,2023-02-01 00:00:00+05:30,52.45,56.2,48.65,50.05,35442146,
41,2023-02-02 00:00:00+05:30,51.2,54.0,49.95,50.2,15305142,
42,2023-02-03 00:00:00+05:30,50.6,51.4,49.15,50.55,7183605,
43,2023-02-06 00:00:00+05:30,53.0,53.85,50.7,52.05,24782088,
44,2023-02-07 00:00:00+05:30,51.8,51.9,50.4,50.75,6823629,
45,2023-02-08 00:00:00+05:30,51.25,52.1,49.9,50.15,11630027,
46,2023-02-09 00:00:00+05:30,50.2,53.6,49.75,52.95,34020357,
47,2023-02-10 00:00:00+05:30,52.7,53.55,51.4,51.55,5448567,
48,2023-02-13 00:00:00+05:30,51.55,51.95,50.5,50.6,4937684,
49,2023-02-14 00:00:00+05:30,50.8,51.25,49.9,50.5,7363067,
50,2023-02-15 00:00:00+05:30,50.05,50.95,49.2,49.6,14713323,
51,2023-02-16 00:00:00+05:30,49.85,50.3,49.6,49.8,6454394,
52,2023-02-17 00:00:00+05:30,49.5,49.9,48.9,49.05,4115657,
53,2023-02-20 00:00:00+05:30,49.35,49.7,47.5,47.75,4779998,
54,2023-02-21 00:00:00+05:30,47.95,49.65,47.8,48.45,7786602,
55,2023-02-22 00:00:00+05:30,48.1,48.3,46.75,47.0,5975699,
56,2023-02-23 00:00:00+05:30,47.75,48.9,46.45,47.3,19418904,
57,2023-02-24 00:00:00+05:30,47.55,48.3,46.85,47.3,6007295,
58,2023-02-27 00:00:00+05:30,47.45,47.5,45.95,46.65,4812340,
59,2023-02-28 00:00:00+05:30,46.5,47.45,45.9,46.7,9800502,
60,2023-03-01 00:00:00+05:30,46.95,49.15,46.95,48.65,14421796,
61,2023-03-02 00:00:00+05:30,48.5,52.1,48.35,50.2,23842557,
62,2023-03-03 00:00:00+05:30,50.5,51.3,49.4,49.9,7918410,
63,2023-03-06 00:00:00+05:30,50.35,50.8,49.6,49.85,4037108,
64,2023-03-08 00:00:00+05:30,49.8,49.8,48.85,49.4,3943924,
65,2023-03-09 00:00:00+05:30,49.4,50.45,48.45,48.7,6051918,
66,2023-03-10 00:00:00+05:30,48.3,49.2,48.1,49.0,3445383,
67,2023-03-13 00:00:00+05:30,49.05,49.2,47.45,48.3,6906166,
68,2023-03-14 00:00:00+05:30,47.7,48.45,46.0,46.9,6328273,
69,2023-03-15 00:00:00+05:30,47.5,48.55,46.2,46.45,9328582,
70,2023-03-16 00:00:00+05:30,46.4,47.35,45.75,46.3,11711540,
71,2023-03-17 00:00:00+05:30,46.7,47.2,46.1,46.5,13168622,
72,2023-03-20 00:00:00+05:30,46.1,46.65,44.1,44.2,11785471,
73,2023-03-21 00:00:00+05:30,44.45,45.2,44.05,44.15,4055903,
74,2023-03-22 00:00:00+05:30,44.2,44.55,42.8,43.05,5321496,
75,2023-03-23 00:00:00+05:30,42.9,44.6,42.15,42.45,16534294,
76,2023-03-24 00:00:00+05:30,42.5,42.8,40.1,40.5,13395091,
77,2023-03-27 00:00:00+05:30,40.7,41.85,40.2,40.55,11931986,
78,2023-03-28 00:00:00+05:30,40.65,40.85,39.7,39.85,11408876,
79,2023-03-29 00:00:00+05:30,40.05,41.45,39.7,39.9,15607138,
80,2023-03-31 00:00:00+05:30,40.5,44.4,40.5,43.6,16964069,
81,2023-04-03 00:00:00+05:30,43.9,46.15,43.1,45.55,13024728,
82,2023-04-05 00:00:00+05:30,45.9,47.15,45.4,46.35,13734282,
83,2023-04-06 00:00:00+05:30,46.45,47.75,45.55,47.05,12331116,
84,2023-04-10 00:00:00+05:30,47.25,47.6,45.9,46.3,4373392,
85,2023-04-11 00:00:00+05:30,46.45,46.7,45.5,45.85,1983657,
86,2023-04-12 00:00:00+05:30,46.1,46.1,44.8,45.05,3354568,
87,2023-04-13 00:00:00+05:30,45.05,45.85,44.9,45.15,2454637,
88,2023-04-17 00:00:00+05:30,45.15,45.25,44.5,44.8,2294836,
89,2023-04-18 00:00:00+05:30,44.95,46.45,44.75,45.05,5121074,
90,2023-04-19 00:00:00+05:30,45.25,45.5,44.65,44.75,2816045,
91,2023-04-20 00:00:00+05:30,44.85,45.6,44.7,45.05,2670993,
92,2023-04-21 00:00:00+05:30,45.3,45.65,44.55,45.0,3133649,
93,2023-04-24 00:00:00+05:30,45.2,45.55,44.5,44.9,4317912,
94,2023-04-25 00:00:00+05:30,45.0,45.45,44.7,45.05,2405535,
95,2023-04-26 00:00:00+05:30,45.05,47.25,44.95,46.05,9461344,
96,2023-04-27 00:00:00+05:30,46.05,46.95,45.9,46.1,3984043,
97,2023-04-28 00:00:00+05:30,46.35,48.4,46.25,48.0,17761243,
98,2023-05-02 00:00:00+05:30,48.35,49.05,48.05,48.4,5118383,
99,2023-05-03 00:00:00+05:30,48.3,48.8,47.55,47.85,3700697,
100,2023-05-04 00:00:00+05:30,47.95,48.25,47.4,47.95,3743544,
101,2023-05-05 00:00:00+05:30,47.55,48.15,47.35,47.6,1787662,
102,2023-05-08 00:00:00+05:30,48.0,48.25,47.45,47.8,2471560,
103,2023-05-09 00:00:00+05:30,48.1,49.6,47.3,47.6,12681845,
104,2023-05-10 00:00:00+05:30,47.8,48.3,46.75,47.05,4487787,
105,2023-05-11 00:00:00+05:30,47.35,47.4,46.75,46.9,1891744,
106,2023-05-12 00:00:00+05:30,46.85,47.1,46.3,46.4,3059271,
107,2023-05-15 00:00:00+05:30,46.4,46.55,45.5,45.75,2569325,
108,2023-05-16 00:00:00+05:30,45.95,47.15,45.85,46.2,3682996,
109,2023-05-17 00:00:00+05:30,46.3,47.1,46.1,46.3,3061120,
110,2023-05-18 00:00:00+05:30,46.6,46.7,46.0,46.1,1338613,
111,2023-05-19 00:00:00+05:30,46.3,46.65,45.8,46.0,2090378,
112,2023-05-22 00:00:00+05:30,46.15,46.25,45.75,45.9,2023710,
113,2023-05-23 00:00:00+05:30,46.0,47.2,45.9,47.0,4620208,
114,2023-05-24 00:00:00+05:30,46.95,48.45,46.9,47.05,6813300,
115,2023-05-25 00:00:00+05:30,47.15,47.8,46.45,46.7,4463851,
116,2023-05-26 00:00:00+05:30,46.85,47.4,46.6,46.95,3064463,
117,2023-05-29 00:00:00+05:30,47.0,47.7,45.55,45.95,14343587,
118,2023-05-30 00:00:00+05:30,46.05,46.25,45.35,45.55,2846311,
119,2023-05-31 00:00:00+05:30,45.5,46.45,45.25,45.95,3243751,
120,2023-06-01 00:00:00+05:30,46.0,46.6,45.6,45.8,2173547,
121,2023-06-02 00:00:00+05:30,46.0,46.2,45.5,45.6,2552090,
122,2023-06-05 00:00:00+05:30,46.0,46.45,45.45,45.6,4931181,
123,2023-06-06 00:00:00+05:30,45.7,45.9,45.5,45.6,1717672,
124,2023-06-07 00:00:00+05:30,45.7,45.8,44.95,45.0,5456670,
125,2023-06-08 00:00:00+05:30,45.2,45.95,44.45,44.65,7251056,
126,2023-06-09 00:00:00+05:30,44.6,44.95,42.6,43.1,9247344,
127,2023-06-12 00:00:00+05:30,43.2,46.8,43.2,44.15,45429981,
128,2023-06-13 00:00:00+05:30,44.35,45.0,43.8,44.0,18270926,
129,2023-06-14 00:00:00+05:30,44.2,44.65,43.45,43.9,8116953,
130,2023-06-15 00:00:00+05:30,43.9,44.2,43.85,43.95,4098957,
131,2023-06-16 00:00:00+05:30,44.1,44.3,43.4,43.6,8003285,
132,2023-06-19 00:00:00+05:30,43.7,43.8,43.1,43.4,7441091,
133,2023-06-20 00:00:00+05:30,43.4,43.6,43.1,43.2,3324202,
134,2023-06-21 00:00:00+05:30,43.35,43.75,43.0,43.35,8803263,
135,2023-06-22 00:00:00+05:30,43.3,43.7,42.75,43.0,4869301,
136,2023-06-23 00:00:00+05:30,43.5,44.8,41.85,42.1,25260421,
137,2023-06-26 00:00:00+05:30,42.3,42.6,41.45,41.5,13016006,
138,2023-06-27 00:00:00+05:30,41.8,42.45,41.3,41.95,5044500,
139,2023-06-28 00:00:00+05:30,42.05,42.7,41.85,41.95,2973570,
140,2023-06-30 00:00:00+05:30,41.5,42.25,39.95,40.5,286306285,
141,2023-07-03 00:00:00+05:30,40.85,42.5,40.65,42.3,38987202,
142,2023-07-04 00:00:00+05:30,42.5,42.95,41.1,41.6,18412988,
143,2023-07-05 00:00:00+05:30,41.45,42.35,41.2,41.65,24319162,
144,2023-07-06 00:00:00+05:30,41.6,42.25,41.35,41.75,29176081,
145,2023-07-07 00:00:00+05:30,41.6,41.9,40.85,41.2,12905776,
146,2023-07-10 00:00:00+05:30,41.4,43.75,41.0,43.2,58030430,
147,2023-07-11 00:00:00+05:30,43.4,43.9,42.85,43.5,25119129,
148,2023-07-12 00:00:00+05:30,43.95,44.6,43.0,44.0,67004346,
149,2023-07-13 00:00:00+05:30,44.25,44.65,43.8,44.0,25517019,
150,2023-07-14 00:00:00+05:30,44.2,44.5,43.65,43.85,24629052,
151,2023-07-17 00:00:00+05:30,44.15,44.3,43.85,44.05,14177011,
152,2023-07-18 00:00:00+05:30,44.1,44.15,42.95,43.65,13092109,
153,2023-07-19 00:00:00+05:30,43.75,43.75,42.45,42.55,18233695,
154,2023-07-20 00:00:00+05:30,42.55,42.85,41.95,42.15,20780887,
155,2023-07-21 00:00:00+05:30,42.0,42.8,41.9,42.15,5514305,
156,2023-07-24 00:00:00+05:30,42.2,42.6,41.7,41.8,8091485,
157,2023-07-25 00:00:00+05:30,41.95,42.0,41.05,41.25,5715257,
158,2023-07-26 00:00:00+05:30,41.25,41.85,41.15,41.7,4040950,
