,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,80.5,80.65,78.15,78.7,3235631,
1,2022-12-07 00:00:00+05:30,78.65,80.0,77.8,79.25,3664801,
2,2022-12-08 00:00:00+05:30,79.25,81.8,79.2,80.45,3625925,
3,2022-12-09 00:00:00+05:30,80.95,81.7,77.85,80.3,3336751,
4,2022-12-12 00:00:00+05:30,80.2,81.9,78.85,81.6,2878871,
5,2022-12-13 00:00:00+05:30,81.95,84.0,81.45,82.35,4514377,
6,2022-12-14 00:00:00+05:30,82.9,82.95,81.1,81.4,1599222,
7,2022-12-15 00:00:00+05:30,81.7,82.4,80.3,80.65,1566051,
8,2022-12-16 00:00:00+05:30,80.8,84.45,80.7,81.6,8289744,
9,2022-12-19 00:00:00+05:30,82.25,87.8,81.0,85.55,20172983,
10,2022-12-20 00:00:00+05:30,85.8,86.8,83.75,84.35,5751975,
11,2022-12-21 00:00:00+05:30,84.95,86.2,79.1,80.4,7571266,
12,2022-12-22 00:00:00+05:30,81.55,81.9,76.45,78.3,4606723,
13,2022-12-23 00:00:00+05:30,77.6,77.75,72.25,74.6,6451784,
14,2022-12-26 00:00:00+05:30,74.55,77.45,73.6,76.85,2549604,
15,2022-12-27 00:00:00+05:30,77.65,78.5,76.1,78.2,2119294,
16,2022-12-28 00:00:00+05:30,78.0,79.4,77.15,78.7,1476226,
17,2022-12-29 00:00:00+05:30,78.3,79.0,77.0,77.55,1090939,
18,2022-12-30 00:00:00+05:30,78.3,80.65,78.3,78.85,2577398,
19,2023-01-02 00:00:00+05:30,79.3,80.45,78.85,79.8,2287829,
20,2023-01-03 00:00:00+05:30,80.0,81.5,79.8,80.1,2031628,
21,2023-01-04 00:00:00+05:30,80.3,80.85,78.35,78.9,1139373,
22,2023-01-05 00:00:00+05:30,79.0,85.4,79.0,84.8,22392310,
23,2023-01-06 00:00:00+05:30,84.9,86.9,82.9,83.9,9272124,
24,2023-01-09 00:00:00+05:30,84.3,84.7,82.65,83.35,2441050,
25,2023-01-10 00:00:00+05:30,83.05,84.6,82.8,83.35,2683681,
26,2023-01-11 00:00:00+05:30,83.0,84.8,83.0,83.5,2332696,
27,2023-01-12 00:00:00+05:30,83.75,85.8,83.0,83.6,3315017,
28,2023-01-13 00:00:00+05:30,83.7,83.95,83.0,83.25,1480049,
29,2023-01-16 00:00:00+05:30,83.6,85.35,83.2,84.2,2619018,
30,2023-01-17 00:00:00+05:30,84.7,85.5,83.1,84.95,3221929,
31,2023-01-18 00:00:00+05:30,85.7,86.3,84.35,85.1,2750217,
32,2023-01-19 00:00:00+05:30,84.55,85.0,83.75,84.15,1413635,
33,2023-01-20 00:00:00+05:30,84.45,89.35,84.1,87.9,22008316,
34,2023-01-23 00:00:00+05:30,88.9,90.75,87.95,88.9,13250044,
35,2023-01-24 00:00:00+05:30,89.0,89.3,86.2,86.6,3959867,
36,2023-01-25 00:00:00+05:30,86.2,86.35,84.25,84.95,3258854,
37,2023-01-27 00:00:00+05:30,85.0,86.3,81.35,83.1,7949383,
38,2023-01-30 00:00:00+05:30,83.1,87.5,83.0,85.95,5036290,
39,2023-01-31 00:00:00+05:30,86.45,88.0,85.15,87.55,2161891,
40,2023-02-01 00:00:00+05:30,88.0,88.85,81.35,83.35,3896362,
41,2023-02-02 00:00:00+05:30,83.45,85.75,83.0,85.0,2221263,
42,2023-02-03 00:00:00+05:30,85.9,86.15,81.75,83.65,2386429,
43,2023-02-06 00:00:00+05:30,80.0,82.45,77.55,78.1,5119190,
44,2023-02-07 00:00:00+05:30,78.65,83.5,78.25,83.05,8032006,
45,2023-02-08 00:00:00+05:30,83.05,84.5,81.8,83.15,3318393,
46,2023-02-09 00:00:00+05:30,83.2,83.5,81.1,81.35,1336921,
47,2023-02-10 00:00:00+05:30,81.4,82.2,80.75,81.05,1118887,
48,2023-02-13 00:00:00+05:30,80.25,80.25,77.6,78.1,1506438,
49,2023-02-14 00:00:00+05:30,78.5,78.65,75.65,76.25,1520256,
50,2023-02-15 00:00:00+05:30,76.15,77.9,75.8,76.4,1125409,
51,2023-02-16 00:00:00+05:30,76.75,77.35,76.1,76.25,920815,
52,2023-02-17 00:00:00+05:30,76.45,77.2,75.8,76.25,1060191,
53,2023-02-20 00:00:00+05:30,75.85,76.55,74.5,74.75,1235749,
54,2023-02-21 00:00:00+05:30,74.95,75.7,74.4,74.7,675054,
55,2023-02-22 00:00:00+05:30,74.2,74.5,72.95,73.1,776403,
56,2023-02-23 00:00:00+05:30,73.35,73.5,71.5,72.25,1057390,
57,2023-02-24 00:00:00+05:30,72.3,73.3,71.95,72.3,874341,
58,2023-02-27 00:00:00+05:30,72.15,72.2,70.6,71.1,1061426,
59,2023-02-28 00:00:00+05:30,71.0,72.45,70.05,71.35,1259176,
60,2023-03-01 00:00:00+05:30,71.5,73.25,71.4,72.6,867774,
61,2023-03-02 00:00:00+05:30,72.3,74.25,72.3,74.0,1295599,
62,2023-03-03 00:00:00+05:30,74.5,76.0,74.35,75.5,1384291,
63,2023-03-06 00:00:00+05:30,75.95,77.1,75.55,76.1,1181454,
64,2023-03-08 00:00:00+05:30,75.8,78.1,73.95,77.2,2550826,
65,2023-03-09 00:00:00+05:30,77.45,78.2,76.45,77.45,1194268,
66,2023-03-10 00:00:00+05:30,76.3,80.7,76.15,80.1,7740994,
67,2023-03-13 00:00:00+05:30,80.6,80.6,75.65,76.4,1616544,
68,2023-03-14 00:00:00+05:30,76.35,77.45,75.4,76.75,1100230,
69,2023-03-15 00:00:00+05:30,77.25,77.6,76.3,76.5,981877,
70,2023-03-16 00:00:00+05:30,76.55,76.95,74.9,76.6,1992591,
