,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,55.0,60.95,55.0,59.1,10221118,
1,2022-12-07 00:00:00+05:30,59.65,59.9,58.1,58.35,1367174,
2,2022-12-08 00:00:00+05:30,58.35,59.3,57.95,58.6,1003605,
3,2022-12-09 00:00:00+05:30,58.9,60.2,54.7,56.5,2881271,
4,2022-12-12 00:00:00+05:30,56.7,58.3,55.8,57.65,1704831,
5,2022-12-13 00:00:00+05:30,57.65,63.15,57.65,62.1,7552575,
6,2022-12-14 00:00:00+05:30,62.6,62.6,60.0,60.65,3297830,
7,2022-12-15 00:00:00+05:30,60.5,61.65,58.6,59.15,2080624,
8,2022-12-16 00:00:00+05:30,58.4,59.45,56.75,57.1,2900628,
9,2022-12-19 00:00:00+05:30,57.4,57.85,56.1,57.2,1231296,
10,2022-12-20 00:00:00+05:30,57.5,58.45,55.05,56.25,1982396,
11,2022-12-21 00:00:00+05:30,56.7,57.3,53.6,54.2,1395808,
12,2022-12-22 00:00:00+05:30,55.0,55.35,51.55,52.5,1795368,
13,2022-12-23 00:00:00+05:30,51.55,52.1,50.5,51.35,1933055,
14,2022-12-26 00:00:00+05:30,53.3,54.5,52.4,54.15,1611361,
15,2022-12-27 00:00:00+05:30,56.55,58.5,55.1,57.1,4446385,
16,2022-12-28 00:00:00+05:30,57.5,59.4,56.55,57.15,4267014,
17,2022-12-29 00:00:00+05:30,57.0,57.05,55.6,56.7,967191,
18,2022-12-30 00:00:00+05:30,57.15,59.15,56.95,58.35,2379622,
19,2023-01-02 00:00:00+05:30,58.5,60.75,57.65,59.95,2756216,
20,2023-01-03 00:00:00+05:30,60.2,60.7,59.1,59.35,2478430,
21,2023-01-04 00:00:00+05:30,62.0,63.9,59.05,59.65,18992768,
22,2023-01-05 00:00:00+05:30,60.25,61.1,59.0,59.15,4162789,
23,2023-01-06 00:00:00+05:30,59.5,59.9,58.0,58.7,2938774,
24,2023-01-09 00:00:00+05:30,59.05,59.15,56.3,57.15,2820391,
25,2023-01-10 00:00:00+05:30,57.3,57.4,56.0,56.15,1264616,
26,2023-01-11 00:00:00+05:30,56.15,56.45,54.85,55.75,1865956,
27,2023-01-12 00:00:00+05:30,56.2,56.25,55.05,55.8,1460432,
28,2023-01-13 00:00:00+05:30,55.95,56.5,55.55,55.9,1238916,
29,2023-01-16 00:00:00+05:30,56.2,56.75,55.9,56.55,1862053,
30,2023-01-17 00:00:00+05:30,57.1,58.15,55.8,55.95,3317036,
31,2023-01-18 00:00:00+05:30,55.7,56.9,55.65,56.5,2621645,
32,2023-01-19 00:00:00+05:30,56.5,57.5,56.05,56.2,2101830,
33,2023-01-20 00:00:00+05:30,56.2,56.9,55.6,56.6,2175431,
