,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,91.05,91.4,90.05,90.15,435996,
1,2022-12-07 00:00:00+05:30,90.5,90.7,88.3,88.6,608450,
2,2022-12-08 00:00:00+05:30,89.0,91.3,88.65,90.3,1336322,
3,2022-12-09 00:00:00+05:30,90.5,93.8,89.05,89.75,1638285,
4,2022-12-12 00:00:00+05:30,89.85,93.4,89.7,92.05,2045086,
5,2022-12-13 00:00:00+05:30,92.95,94.85,90.9,91.45,2857799,
6,2022-12-14 00:00:00+05:30,91.95,99.6,91.5,94.8,8915304,
7,2022-12-15 00:00:00+05:30,96.0,101.25,96.0,96.75,7413593,
8,2022-12-16 00:00:00+05:30,96.8,97.7,94.7,97.0,1940897,
9,2022-12-19 00:00:00+05:30,97.0,97.45,95.1,96.1,1107049,
10,2022-12-20 00:00:00+05:30,96.15,98.9,96.0,97.25,1846067,
11,2022-12-21 00:00:00+05:30,97.4,99.35,91.1,92.5,2476264,
12,2022-12-22 00:00:00+05:30,93.3,94.2,87.55,89.5,1911085,
13,2022-12-23 00:00:00+05:30,88.35,89.85,85.25,88.5,1570812,
14,2022-12-26 00:00:00+05:30,88.75,92.4,87.5,91.85,1440222,
15,2022-12-27 00:00:00+05:30,92.65,92.75,90.2,91.55,930215,
16,2022-12-28 00:00:00+05:30,91.55,94.2,90.6,93.25,757016,
17,2022-12-29 00:00:00+05:30,93.25,94.2,92.5,93.55,473226,
18,2022-12-30 00:00:00+05:30,94.0,109.4,93.8,100.65,28807424,
19,2023-01-02 00:00:00+05:30,101.9,104.3,101.05,103.25,5653611,
20,2023-01-03 00:00:00+05:30,103.6,105.7,102.25,104.2,3499204,
21,2023-01-04 00:00:00+05:30,104.3,104.7,100.8,102.3,3197527,
22,2023-01-05 00:00:00+05:30,102.85,102.9,98.5,99.45,2403399,
23,2023-01-06 00:00:00+05:30,99.8,99.8,95.4,96.1,2320891,
24,2023-01-09 00:00:00+05:30,98.6,98.6,94.3,95.45,3021305,
25,2023-01-10 00:00:00+05:30,95.4,95.4,92.75,93.75,1531272,
26,2023-01-11 00:00:00+05:30,93.9,95.65,92.8,95.05,2146735,
27,2023-01-12 00:00:00+05:30,95.45,96.9,93.35,96.0,1226774,
28,2023-01-13 00:00:00+05:30,96.4,96.4,94.05,94.55,1540236,
29,2023-01-16 00:00:00+05:30,94.7,95.6,94.15,94.8,662735,
30,2023-01-17 00:00:00+05:30,94.8,95.0,93.8,94.75,560422,
31,2023-01-18 00:00:00+05:30,95.0,97.2,94.5,96.4,1413861,
32,2023-01-19 00:00:00+05:30,96.4,96.9,95.0,96.2,1136005,
33,2023-01-20 00:00:00+05:30,96.0,96.25,93.45,93.9,1075037,
34,2023-01-23 00:00:00+05:30,93.9,95.15,93.8,94.3,807824,
35,2023-01-24 00:00:00+05:30,94.4,94.8,93.55,94.1,385383,
36,2023-01-25 00:00:00+05:30,94.1,94.35,90.8,92.1,744970,
37,2023-01-27 00:00:00+05:30,92.2,92.65,89.0,90.5,1130044,
38,2023-01-30 00:00:00+05:30,90.0,92.2,89.95,91.6,586244,
39,2023-01-31 00:00:00+05:30,92.4,94.2,90.15,93.95,820441,
40,2023-02-01 00:00:00+05:30,94.1,95.75,91.0,92.4,732557,
41,2023-02-02 00:00:00+05:30,92.5,95.45,91.0,91.35,1506696,
42,2023-02-03 00:00:00+05:30,91.65,92.45,88.2,88.85,1727737,
43,2023-02-06 00:00:00+05:30,88.9,90.8,88.85,90.15,724824,
44,2023-02-07 00:00:00+05:30,90.7,92.7,90.35,90.65,738007,
45,2023-02-08 00:00:00+05:30,91.15,93.0,90.8,92.45,618121,
46,2023-02-09 00:00:00+05:30,98.0,101.7,94.5,98.45,15291413,
47,2023-02-10 00:00:00+05:30,97.95,104.0,97.3,101.55,5893165,
48,2023-02-13 00:00:00+05:30,101.25,101.25,96.75,97.6,1662972,
49,2023-02-14 00:00:00+05:30,98.0,98.05,95.0,95.85,1466623,
50,2023-02-15 00:00:00+05:30,96.2,99.95,95.55,98.45,1881494,
51,2023-02-16 00:00:00+05:30,98.8,99.25,96.6,98.05,1050244,
52,2023-02-17 00:00:00+05:30,97.9,99.75,97.0,99.35,1336823,
53,2023-02-20 00:00:00+05:30,99.45,101.7,99.2,100.15,1209416,
54,2023-02-21 00:00:00+05:30,100.55,100.55,98.0,98.8,578229,
55,2023-02-22 00:00:00+05:30,98.15,103.8,97.6,102.85,4834924,
56,2023-02-23 00:00:00+05:30,102.85,106.5,102.35,104.7,4290440,
57,2023-02-24 00:00:00+05:30,105.75,107.7,103.2,104.55,3573002,
58,2023-02-27 00:00:00+05:30,103.35,104.25,101.2,103.4,1532453,
59,2023-02-28 00:00:00+05:30,103.85,105.9,101.35,104.95,1583047,
60,2023-03-01 00:00:00+05:30,105.5,111.0,105.15,109.1,7050962,
61,2023-03-02 00:00:00+05:30,109.1,112.0,108.55,109.2,3635055,
62,2023-03-03 00:00:00+05:30,110.3,110.5,107.4,107.9,1516492,
63,2023-03-06 00:00:00+05:30,108.45,112.25,106.45,111.15,3231427,
64,2023-03-08 00:00:00+05:30,110.9,113.5,109.45,111.05,1688533,
65,2023-03-09 00:00:00+05:30,111.55,111.55,109.0,109.65,1462877,
66,2023-03-10 00:00:00+05:30,108.1,111.4,105.65,109.65,2206949,
67,2023-03-13 00:00:00+05:30,109.45,113.0,108.5,109.25,2893247,
68,2023-03-14 00:00:00+05:30,108.8,110.55,105.2,108.3,1489425,
69,2023-03-15 00:00:00+05:30,110.5,114.15,109.25,110.65,3358214,
70,2023-03-16 00:00:00+05:30,110.3,114.0,109.5,112.9,2875192,
71,2023-03-17 00:00:00+05:30,114.0,114.0,109.7,112.75,1627222,
