,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,121.4,121.4,118.5,119.9,2157842,
1,2022-12-07 00:00:00+05:30,120.8,120.8,116.85,117.6,2115223,
2,2022-12-08 00:00:00+05:30,118.2,118.7,116.2,118.1,1608858,
3,2022-12-09 00:00:00+05:30,118.95,120.25,115.0,116.35,2554103,
4,2022-12-12 00:00:00+05:30,115.5,116.15,114.6,115.25,2162796,
5,2022-12-13 00:00:00+05:30,116.0,116.7,113.95,114.5,3088743,
6,2022-12-14 00:00:00+05:30,115.4,118.35,115.35,117.9,2967911,
7,2022-12-15 00:00:00+05:30,117.9,118.7,113.6,114.2,2916321,
8,2022-12-16 00:00:00+05:30,113.95,114.25,110.4,111.1,3227227,
9,2022-12-19 00:00:00+05:30,111.55,113.2,111.0,112.95,1717094,
10,2022-12-20 00:00:00+05:30,112.8,112.8,110.5,112.35,1623902,
11,2022-12-21 00:00:00+05:30,112.5,113.2,109.15,110.1,2392487,
12,2022-12-22 00:00:00+05:30,111.0,111.5,106.7,107.4,2340102,
13,2022-12-23 00:00:00+05:30,106.55,106.9,99.4,100.0,3550370,
14,2022-12-26 00:00:00+05:30,101.9,105.35,99.3,104.35,3711818,
15,2022-12-27 00:00:00+05:30,105.2,109.85,105.15,109.05,4203839,
16,2022-12-28 00:00:00+05:30,109.0,109.4,107.45,108.7,2614409,
17,2022-12-29 00:00:00+05:30,108.75,110.4,107.3,108.95,4236130,
18,2022-12-30 00:00:00+05:30,109.8,112.1,109.1,109.6,2757547,
19,2023-01-02 00:00:00+05:30,109.6,117.2,109.55,116.75,8485712,
20,2023-01-03 00:00:00+05:30,117.25,117.45,114.9,116.35,4404940,
21,2023-01-04 00:00:00+05:30,116.0,116.2,113.5,114.6,3959214,
22,2023-01-05 00:00:00+05:30,114.15,116.7,114.1,115.55,2875797,
23,2023-01-06 00:00:00+05:30,116.1,119.45,115.4,115.9,9705003,
24,2023-01-09 00:00:00+05:30,118.0,120.65,117.8,119.65,8175110,
25,2023-01-10 00:00:00+05:30,119.55,125.7,119.45,123.25,17162947,
26,2023-01-11 00:00:00+05:30,124.45,125.9,123.45,125.5,11527292,
27,2023-01-12 00:00:00+05:30,126.5,126.9,124.45,125.35,6785828,
28,2023-01-13 00:00:00+05:30,125.5,127.3,125.0,126.9,4962297,
29,2023-01-16 00:00:00+05:30,128.45,129.5,125.35,127.95,9885230,
30,2023-01-17 00:00:00+05:30,129.0,129.4,126.5,128.25,4610744,
31,2023-01-18 00:00:00+05:30,128.75,130.9,128.5,130.5,6708037,
32,2023-01-19 00:00:00+05:30,129.45,132.35,128.8,130.75,6093788,
33,2023-01-20 00:00:00+05:30,130.7,132.1,129.55,130.05,4200821,
34,2023-01-23 00:00:00+05:30,131.0,131.05,127.8,129.25,5299106,
35,2023-01-24 00:00:00+05:30,129.3,129.7,127.1,128.65,3115940,
36,2023-01-25 00:00:00+05:30,127.8,129.4,126.8,127.35,3001602,
37,2023-01-27 00:00:00+05:30,127.45,129.15,121.95,123.45,4401500,
38,2023-01-30 00:00:00+05:30,123.0,124.45,120.2,121.6,3351781,
39,2023-01-31 00:00:00+05:30,121.55,124.4,120.55,123.3,2755504,
40,2023-02-01 00:00:00+05:30,123.9,124.3,115.25,118.2,3521247,
41,2023-02-02 00:00:00+05:30,116.0,119.4,115.4,116.6,3211620,
42,2023-02-03 00:00:00+05:30,117.1,117.5,106.05,107.5,8680426,
43,2023-02-06 00:00:00+05:30,107.0,109.05,105.0,105.8,3556294,
44,2023-02-07 00:00:00+05:30,105.6,106.55,103.25,105.8,3328409,
45,2023-02-08 00:00:00+05:30,106.0,109.15,104.9,108.25,3910618,
46,2023-02-09 00:00:00+05:30,108.55,109.25,106.25,107.25,3015848,
47,2023-02-10 00:00:00+05:30,106.8,107.9,105.6,107.1,1645670,
48,2023-02-13 00:00:00+05:30,107.0,108.35,105.2,105.9,2273671,
49,2023-02-14 00:00:00+05:30,106.0,107.0,104.85,106.55,1958345,
50,2023-02-15 00:00:00+05:30,106.35,107.55,105.25,106.7,1959493,
51,2023-02-16 00:00:00+05:30,106.8,108.65,106.8,108.15,2039279,
52,2023-02-17 00:00:00+05:30,108.05,109.4,105.85,106.05,3148005,
53,2023-02-20 00:00:00+05:30,106.5,106.6,103.5,104.25,4222754,
54,2023-02-21 00:00:00+05:30,105.05,105.75,103.45,103.6,2780510,
55,2023-02-22 00:00:00+05:30,103.6,104.3,100.6,100.85,3393069,
56,2023-02-23 00:00:00+05:30,101.2,102.85,100.0,101.65,2769882,
57,2023-02-24 00:00:00+05:30,101.95,101.95,99.5,100.0,3047575,
58,2023-02-27 00:00:00+05:30,100.0,100.0,95.55,97.0,4104513,
59,2023-02-28 00:00:00+05:30,97.5,98.15,96.2,97.25,2349065,
60,2023-03-01 00:00:00+05:30,97.95,102.9,97.4,102.6,5844138,
61,2023-03-02 00:00:00+05:30,102.65,103.45,101.0,101.45,3144796,
62,2023-03-03 00:00:00+05:30,102.0,103.7,100.5,103.0,3786418,
