,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,146.6,148.8,145.8,147.55,8423382,
1,2022-12-07 00:00:00+05:30,147.1,147.9,145.0,146.1,5794421,
2,2022-12-08 00:00:00+05:30,146.1,146.5,139.1,140.45,7845866,
3,2022-12-09 00:00:00+05:30,141.0,143.55,139.0,141.0,7654230,
4,2022-12-12 00:00:00+05:30,141.0,143.2,138.5,140.5,9919149,
5,2022-12-13 00:00:00+05:30,141.1,142.0,137.1,137.8,9812931,
6,2022-12-14 00:00:00+05:30,138.4,154.45,138.1,144.85,57420015,
7,2022-12-15 00:00:00+05:30,145.0,152.7,143.6,149.8,27895658,
8,2022-12-16 00:00:00+05:30,149.2,150.6,144.1,146.85,13120982,
9,2022-12-19 00:00:00+05:30,147.5,151.7,146.1,150.0,11631988,
10,2022-12-20 00:00:00+05:30,149.5,154.6,149.25,153.5,23271802,
11,2022-12-21 00:00:00+05:30,155.0,158.65,139.0,145.75,27874991,
12,2022-12-22 00:00:00+05:30,147.1,149.8,140.05,143.6,14644987,
13,2022-12-23 00:00:00+05:30,143.45,143.45,129.5,130.65,18171875,
14,2022-12-26 00:00:00+05:30,131.95,141.95,128.65,140.35,14514278,
15,2022-12-27 00:00:00+05:30,141.7,149.8,141.2,148.85,28681660,
16,2022-12-28 00:00:00+05:30,148.5,150.6,146.15,147.35,10764494,
17,2022-12-29 00:00:00+05:30,146.1,157.75,145.75,155.9,21095946,
18,2022-12-30 00:00:00+05:30,158.0,158.6,153.25,154.7,23276727,
19,2023-01-02 00:00:00+05:30,155.2,157.9,154.0,154.75,13551223,
20,2023-01-03 00:00:00+05:30,155.4,156.0,150.0,150.65,13671759,
21,2023-01-04 00:00:00+05:30,151.4,151.4,144.05,145.45,15805474,
22,2023-01-05 00:00:00+05:30,146.0,146.25,140.85,144.05,14127561,
23,2023-01-06 00:00:00+05:30,144.05,144.8,138.6,140.25,9462885,
24,2023-01-09 00:00:00+05:30,141.25,143.85,141.0,142.25,5584345,
25,2023-01-10 00:00:00+05:30,142.65,142.8,136.85,137.6,8901497,
26,2023-01-11 00:00:00+05:30,138.25,141.0,135.5,140.15,10182826,
27,2023-01-12 00:00:00+05:30,140.9,142.1,138.35,139.5,7601364,
28,2023-01-13 00:00:00+05:30,140.2,140.45,138.2,138.7,5779919,
29,2023-01-16 00:00:00+05:30,139.1,141.5,137.35,141.0,6024826,
30,2023-01-17 00:00:00+05:30,141.05,141.7,139.15,140.3,4752554,
31,2023-01-18 00:00:00+05:30,140.65,142.1,138.65,141.3,4754300,
32,2023-01-19 00:00:00+05:30,140.9,140.9,135.8,136.65,10198791,
33,2023-01-20 00:00:00+05:30,136.9,138.5,131.5,132.3,10100537,
34,2023-01-23 00:00:00+05:30,133.4,136.3,132.45,135.3,6771238,
35,2023-01-24 00:00:00+05:30,136.0,136.45,129.6,130.2,9299080,
36,2023-01-25 00:00:00+05:30,130.5,130.5,123.8,124.55,11454647,
37,2023-01-27 00:00:00+05:30,125.25,125.75,117.1,117.95,13454697,
38,2023-01-30 00:00:00+05:30,117.95,122.25,116.5,118.25,8393430,
39,2023-01-31 00:00:00+05:30,118.6,123.5,118.0,122.85,9648304,
40,2023-02-01 00:00:00+05:30,124.2,125.2,114.25,117.55,11550196,
41,2023-02-02 00:00:00+05:30,117.0,121.35,115.7,119.3,8327697,
42,2023-02-03 00:00:00+05:30,120.25,121.0,115.55,117.9,7176868,
43,2023-02-06 00:00:00+05:30,118.5,120.55,117.65,118.15,6038706,
44,2023-02-07 00:00:00+05:30,118.9,118.95,115.4,117.4,7100025,
45,2023-02-08 00:00:00+05:30,117.95,120.75,116.2,120.15,8174375,
46,2023-02-09 00:00:00+05:30,120.65,120.65,117.55,118.3,4576018,
47,2023-02-10 00:00:00+05:30,118.0,119.3,117.35,117.75,4048122,
48,2023-02-13 00:00:00+05:30,118.0,118.15,112.75,114.5,5664733,
49,2023-02-14 00:00:00+05:30,115.0,115.3,109.65,110.65,8165299,
50,2023-02-15 00:00:00+05:30,108.9,117.6,106.95,116.95,17996638,
51,2023-02-16 00:00:00+05:30,117.45,118.95,116.05,117.3,7165972,
52,2023-02-17 00:00:00+05:30,117.0,117.35,112.25,113.05,7891301,
53,2023-02-20 00:00:00+05:30,113.5,113.9,110.6,111.5,6972273,
54,2023-02-21 00:00:00+05:30,111.5,112.5,109.65,111.25,9980438,
55,2023-02-22 00:00:00+05:30,111.0,111.2,107.0,107.2,8996827,
56,2023-02-23 00:00:00+05:30,107.5,108.0,101.6,102.55,16790980,
57,2023-02-24 00:00:00+05:30,103.1,105.4,100.6,101.2,13151516,
58,2023-02-27 00:00:00+05:30,101.75,102.7,98.75,99.9,9406386,
59,2023-02-28 00:00:00+05:30,100.9,101.5,98.6,100.8,8706701,
60,2023-03-01 00:00:00+05:30,101.3,105.6,100.65,104.3,9771537,
61,2023-03-02 00:00:00+05:30,104.4,108.0,103.85,104.85,10622075,
62,2023-03-03 00:00:00+05:30,105.5,109.5,105.5,108.3,9603781,
63,2023-03-06 00:00:00+05:30,108.9,110.9,108.75,109.4,6838847,
64,2023-03-08 00:00:00+05:30,108.45,111.35,107.1,111.0,7337479,
65,2023-03-09 00:00:00+05:30,111.1,112.65,109.7,110.0,6549819,
66,2023-03-10 00:00:00+05:30,108.9,109.05,106.05,108.0,5353640,
67,2023-03-13 00:00:00+05:30,107.95,108.7,102.75,103.25,7542201,
68,2023-03-14 00:00:00+05:30,103.45,104.55,100.35,102.0,11025663,
69,2023-03-15 00:00:00+05:30,103.0,104.0,100.2,100.7,5247123,
70,2023-03-16 00:00:00+05:30,100.5,101.0,97.0,100.1,8624403,
71,2023-03-17 00:00:00+05:30,101.0,103.25,100.5,101.6,6653951,
72,2023-03-20 00:00:00+05:30,101.6,101.6,97.2,99.0,5785449,
73,2023-03-21 00:00:00+05:30,100.0,102.0,99.75,100.15,4733592,
74,2023-03-22 00:00:00+05:30,100.85,101.55,99.6,100.5,4092686,
75,2023-03-23 00:00:00+05:30,100.1,100.3,97.0,98.95,5130443,
76,2023-03-24 00:00:00+05:30,99.25,99.4,94.0,95.4,7684351,
77,2023-03-27 00:00:00+05:30,95.8,95.9,92.5,92.9,8430704,
78,2023-03-28 00:00:00+05:30,93.4,95.9,92.15,92.95,14038048,
79,2023-03-29 00:00:00+05:30,93.05,97.0,91.8,96.25,13580399,
80,2023-03-31 00:00:00+05:30,97.0,99.6,96.75,97.35,8007219,
81,2023-04-03 00:00:00+05:30,98.4,100.6,98.0,99.3,6529767,
82,2023-04-05 00:00:00+05:30,99.5,101.7,98.3,100.6,8008039,
83,2023-04-06 00:00:00+05:30,100.4,102.55,99.3,101.15,7276035,
84,2023-04-10 00:00:00+05:30,101.55,103.55,100.65,101.5,6763723,
85,2023-04-11 00:00:00+05:30,102.35,105.8,102.1,103.5,11023924,
86,2023-04-12 00:00:00+05:30,103.9,104.0,101.6,102.6,5474758,
87,2023-04-13 00:00:00+05:30,102.6,102.8,100.35,102.25,5075471,
88,2023-04-17 00:00:00+05:30,102.1,104.0,101.5,103.6,4645755,
89,2023-04-18 00:00:00+05:30,104.0,105.25,102.75,103.55,5844097,
90,2023-04-19 00:00:00+05:30,103.45,105.05,101.5,101.8,5830009,
91,2023-04-20 00:00:00+05:30,102.0,103.85,101.7,103.15,5509478,
92,2023-04-21 00:00:00+05:30,103.25,103.6,100.8,102.0,5226388,
93,2023-04-24 00:00:00+05:30,102.4,104.9,101.3,103.9,8296092,
94,2023-04-25 00:00:00+05:30,104.25,107.95,103.9,105.55,11373895,
95,2023-04-26 00:00:00+05:30,105.75,107.65,104.6,105.85,6834807,
96,2023-04-27 00:00:00+05:30,105.85,107.15,104.85,106.2,5537222,
97,2023-04-28 00:00:00+05:30,106.75,108.55,106.55,107.65,7178000,
98,2023-05-02 00:00:00+05:30,108.6,114.55,108.05,112.95,15784934,
99,2023-05-03 00:00:00+05:30,112.7,117.25,110.95,114.05,14419754,
100,2023-05-04 00:00:00+05:30,114.6,116.9,114.35,116.2,7417226,
101,2023-05-05 00:00:00+05:30,116.3,116.4,111.0,111.35,8386653,
102,2023-05-08 00:00:00+05:30,111.9,114.7,111.45,114.0,6428134,
103,2023-05-09 00:00:00+05:30,114.45,115.9,109.35,110.3,11308180,
104,2023-05-10 00:00:00+05:30,110.25,115.7,109.9,115.05,15228607,
105,2023-05-11 00:00:00+05:30,115.65,115.95,113.05,114.1,5363860,
106,2023-05-12 00:00:00+05:30,113.75,114.15,111.55,111.85,5297632,
107,2023-05-15 00:00:00+05:30,112.4,115.3,109.9,114.55,7937954,
108,2023-05-16 00:00:00+05:30,115.0,115.9,113.15,113.5,6959632,
109,2023-05-17 00:00:00+05:30,113.4,113.4,111.15,112.65,5894112,
110,2023-05-18 00:00:00+05:30,113.15,115.25,111.0,111.45,7626578,
111,2023-05-19 00:00:00+05:30,111.9,113.65,110.25,111.95,7026456,
112,2023-05-22 00:00:00+05:30,112.45,115.0,111.65,113.6,9442935,
113,2023-05-23 00:00:00+05:30,113.0,113.0,108.05,111.6,8226947,
114,2023-05-24 00:00:00+05:30,111.5,113.5,110.55,112.0,7656792,
115,2023-05-25 00:00:00+05:30,111.5,113.5,111.0,111.55,10043813,
116,2023-05-26 00:00:00+05:30,111.95,116.2,111.7,113.55,18588863,
117,2023-05-29 00:00:00+05:30,114.35,121.75,113.55,117.45,28877604,
118,2023-05-30 00:00:00+05:30,117.9,118.35,115.15,115.4,7343120,
119,2023-05-31 00:00:00+05:30,115.4,115.55,113.4,115.15,7852031,
120,2023-06-01 00:00:00+05:30,115.7,117.5,114.4,114.6,7587140,
121,2023-06-02 00:00:00+05:30,115.2,116.2,112.75,113.55,7511811,
122,2023-06-05 00:00:00+05:30,114.15,115.5,113.0,114.2,8225136,
123,2023-06-06 00:00:00+05:30,114.25,114.45,112.6,112.9,4715837,
124,2023-06-07 00:00:00+05:30,113.4,113.95,112.05,112.5,5021602,
125,2023-06-08 00:00:00+05:30,112.9,113.95,111.25,111.55,5270663,
126,2023-06-09 00:00:00+05:30,112.1,112.4,109.5,109.9,5054641,
127,2023-06-12 00:00:00+05:30,110.0,110.65,109.0,109.35,3876152,
128,2023-06-13 00:00:00+05:30,109.95,115.0,109.6,114.4,14710369,
129,2023-06-14 00:00:00+05:30,114.6,116.0,112.65,113.15,6194906,
130,2023-06-15 00:00:00+05:30,113.5,114.5,112.65,113.15,4574136,
131,2023-06-16 00:00:00+05:30,113.5,114.75,112.4,112.95,5083525,
132,2023-06-19 00:00:00+05:30,113.5,114.3,112.05,112.9,4801076,
133,2023-06-20 00:00:00+05:30,113.0,115.45,113.0,114.05,9650033,
134,2023-06-21 00:00:00+05:30,114.6,117.85,114.2,117.15,13121996,
135,2023-06-22 00:00:00+05:30,118.25,119.8,114.0,114.55,27164607,
136,2023-06-23 00:00:00+05:30,114.95,117.5,113.6,116.35,18072794,
137,2023-06-26 00:00:00+05:30,116.95,117.15,114.15,115.3,8526314,
138,2023-06-27 00:00:00+05:30,115.8,119.0,115.5,116.4,13201555,
139,2023-06-28 00:00:00+05:30,116.9,117.95,115.45,116.15,11166253,
140,2023-06-30 00:00:00+05:30,117.0,125.45,116.95,123.4,40304475,
141,2023-07-03 00:00:00+05:30,124.5,128.0,122.7,127.05,18075402,
142,2023-07-04 00:00:00+05:30,127.5,128.1,124.1,126.2,11298562,
143,2023-07-05 00:00:00+05:30,126.55,131.5,126.55,130.5,21470051,
144,2023-07-06 00:00:00+05:30,131.5,132.6,127.85,128.25,15432870,
145,2023-07-07 00:00:00+05:30,128.25,132.45,125.0,130.4,19200006,
