,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,54.5,59.9,54.3,58.7,74514483,
1,2022-12-07 00:00:00+05:30,58.75,60.5,58.5,58.85,52541046,
2,2022-12-08 00:00:00+05:30,59.1,60.45,57.5,58.0,30903530,
3,2022-12-09 00:00:00+05:30,58.3,59.7,53.8,54.75,46565788,
4,2022-12-12 00:00:00+05:30,54.85,55.65,53.6,55.3,19052453,
5,2022-12-13 00:00:00+05:30,55.75,58.7,55.3,58.1,40588282,
6,2022-12-14 00:00:00+05:30,58.45,58.85,56.6,57.25,25469630,
7,2022-12-15 00:00:00+05:30,57.25,61.0,57.0,58.75,54904764,
8,2022-12-16 00:00:00+05:30,58.7,59.6,56.7,57.2,21678327,
9,2022-12-19 00:00:00+05:30,57.5,57.95,56.3,57.2,11234411,
10,2022-12-20 00:00:00+05:30,57.4,57.5,55.6,55.9,14412016,
11,2022-12-21 00:00:00+05:30,56.3,57.8,53.15,53.7,18685918,
12,2022-12-22 00:00:00+05:30,54.5,54.9,51.4,51.8,20514287,
13,2022-12-23 00:00:00+05:30,51.35,51.35,48.15,48.8,19968699,
14,2022-12-26 00:00:00+05:30,49.0,52.75,47.85,51.85,20416920,
15,2022-12-27 00:00:00+05:30,52.8,53.5,51.9,52.9,12300298,
16,2022-12-28 00:00:00+05:30,52.9,54.1,52.35,53.1,10552016,
17,2022-12-29 00:00:00+05:30,53.0,53.95,52.3,53.8,10496598,
18,2022-12-30 00:00:00+05:30,54.1,55.4,53.85,54.35,14266559,
19,2023-01-02 00:00:00+05:30,54.5,55.65,54.4,55.15,10627384,
20,2023-01-03 00:00:00+05:30,55.25,56.65,55.25,55.9,10030980,
21,2023-01-04 00:00:00+05:30,56.2,56.8,54.3,54.65,12411226,
22,2023-01-05 00:00:00+05:30,54.8,55.4,53.65,54.75,11120438,
23,2023-01-06 00:00:00+05:30,56.9,59.7,56.1,59.0,100716858,
24,2023-01-09 00:00:00+05:30,61.5,62.0,58.1,58.8,60687131,
25,2023-01-10 00:00:00+05:30,58.35,58.35,55.65,55.9,31319906,
26,2023-01-11 00:00:00+05:30,56.0,56.1,54.65,55.5,19725130,
27,2023-01-12 00:00:00+05:30,55.2,55.4,53.9,54.25,13107869,
28,2023-01-13 00:00:00+05:30,54.5,55.2,54.0,54.5,10873914,
29,2023-01-16 00:00:00+05:30,54.8,56.15,54.75,55.5,15404255,
30,2023-01-17 00:00:00+05:30,55.8,55.8,54.25,54.9,8081627,
31,2023-01-18 00:00:00+05:30,55.15,55.45,54.7,54.9,6048261,
