,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,22.3,23.2,22.25,23.0,27932549,
1,2022-12-07 00:00:00+05:30,23.2,24.5,23.05,24.05,64214129,
2,2022-12-08 00:00:00+05:30,24.3,26.05,24.2,25.6,71372420,
3,2022-12-09 00:00:00+05:30,26.2,27.65,24.9,25.8,121572385,
4,2022-12-12 00:00:00+05:30,25.75,27.35,24.75,26.85,50257384,
5,2022-12-13 00:00:00+05:30,27.4,31.5,27.0,30.85,178535400,
6,2022-12-14 00:00:00+05:30,31.1,33.6,29.5,32.45,229346935,
7,2022-12-15 00:00:00+05:30,32.0,36.45,31.7,34.75,284921015,
8,2022-12-16 00:00:00+05:30,35.0,36.7,32.7,33.4,212408661,
9,2022-12-19 00:00:00+05:30,33.6,34.85,32.2,32.85,115915554,
10,2022-12-20 00:00:00+05:30,32.8,33.1,30.35,30.85,84286831,
11,2022-12-21 00:00:00+05:30,31.25,34.2,30.8,31.35,240363880,
12,2022-12-22 00:00:00+05:30,33.0,33.55,30.1,30.7,149381287,
13,2022-12-23 00:00:00+05:30,29.85,29.95,25.85,26.2,143595581,
14,2022-12-26 00:00:00+05:30,26.8,31.4,24.8,31.2,205643098,
15,2022-12-27 00:00:00+05:30,32.45,34.2,31.35,33.3,289659715,
16,2022-12-28 00:00:00+05:30,32.9,34.0,31.4,32.15,252845016,
17,2022-12-29 00:00:00+05:30,31.3,32.35,30.6,31.4,137966865,
18,2022-12-30 00:00:00+05:30,32.5,33.2,31.8,32.1,106074380,
19,2023-01-02 00:00:00+05:30,32.4,32.9,31.5,31.8,82604559,
20,2023-01-03 00:00:00+05:30,32.05,33.15,31.95,32.25,83056738,
21,2023-01-04 00:00:00+05:30,32.5,32.6,31.25,31.75,62289502,
22,2023-01-05 00:00:00+05:30,32.0,32.3,31.15,31.55,53331692,
23,2023-01-06 00:00:00+05:30,31.7,31.85,30.65,30.95,50688438,
24,2023-01-09 00:00:00+05:30,31.35,31.4,30.65,30.85,37793841,
25,2023-01-10 00:00:00+05:30,30.55,30.7,29.4,29.65,37046511,
26,2023-01-11 00:00:00+05:30,29.75,30.7,28.8,30.1,70805251,
27,2023-01-12 00:00:00+05:30,30.25,30.45,29.65,29.8,37188544,
28,2023-01-13 00:00:00+05:30,29.85,30.35,29.4,30.05,37276675,
29,2023-01-16 00:00:00+05:30,30.2,32.8,30.1,32.2,108496271,
30,2023-01-17 00:00:00+05:30,32.6,33.1,31.15,31.45,69030965,
31,2023-01-18 00:00:00+05:30,31.45,31.7,30.8,31.0,31844523,
32,2023-01-19 00:00:00+05:30,30.9,31.55,30.45,31.2,31298192,
33,2023-01-20 00:00:00+05:30,31.35,31.7,30.6,30.85,19336543,
34,2023-01-23 00:00:00+05:30,30.9,31.1,30.0,30.25,16834101,
35,2023-01-24 00:00:00+05:30,30.3,30.4,28.75,29.15,18887539,
36,2023-01-25 00:00:00+05:30,29.0,29.35,28.35,28.6,20899101,
37,2023-01-27 00:00:00+05:30,28.7,28.8,26.65,27.2,27373779,
38,2023-01-30 00:00:00+05:30,26.35,28.15,26.2,27.05,46745313,
