,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,28.05,28.85,28.05,28.4,39553560,
1,2022-12-07 00:00:00+05:30,28.45,28.55,27.75,27.95,10190980,
2,2022-12-08 00:00:00+05:30,28.1,29.4,28.05,28.6,43253170,
3,2022-12-09 00:00:00+05:30,28.8,29.25,27.95,28.3,22673510,
4,2022-12-12 00:00:00+05:30,28.3,30.35,27.75,29.95,113871540,
5,2022-12-13 00:00:00+05:30,30.0,31.3,29.7,31.05,103687120,
6,2022-12-14 00:00:00+05:30,31.0,32.95,30.45,31.4,222410760,
7,2022-12-15 00:00:00+05:30,30.6,31.85,30.55,30.95,73871020,
8,2022-12-16 00:00:00+05:30,30.9,31.6,30.3,30.65,41706520,
9,2022-12-19 00:00:00+05:30,30.8,31.6,30.55,31.3,44965870,
10,2022-12-20 00:00:00+05:30,31.7,32.25,31.35,31.85,54219990,
11,2022-12-21 00:00:00+05:30,32.0,32.1,29.2,29.75,45874450,
12,2022-12-22 00:00:00+05:30,29.9,30.65,27.9,29.85,100827380,
13,2022-12-23 00:00:00+05:30,29.15,29.55,26.25,26.95,49498440,
14,2022-12-26 00:00:00+05:30,27.0,28.9,26.2,28.3,72384740,
15,2022-12-27 00:00:00+05:30,28.4,30.05,28.2,29.55,84292940,
16,2022-12-28 00:00:00+05:30,29.5,29.65,28.85,29.1,36325510,
17,2022-12-29 00:00:00+05:30,28.95,29.15,28.5,28.9,19276880,
18,2022-12-30 00:00:00+05:30,29.1,29.6,28.9,29.1,26973900,
19,2023-01-02 00:00:00+05:30,29.3,31.7,29.3,31.4,230083300,
20,2023-01-03 00:00:00+05:30,31.4,32.25,31.0,31.5,88524130,
21,2023-01-04 00:00:00+05:30,31.5,32.25,31.05,31.95,112541800,
22,2023-01-05 00:00:00+05:30,32.15,32.4,30.6,30.8,89537210,
23,2023-01-06 00:00:00+05:30,30.95,31.0,30.1,30.25,47089790,
24,2023-01-09 00:00:00+05:30,30.45,31.15,30.3,30.45,38197610,
