,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,80.5,81.45,79.25,80.7,3347653,
1,2022-12-07 00:00:00+05:30,80.9,81.05,78.3,79.7,2458526,
2,2022-12-08 00:00:00+05:30,80.0,81.2,76.0,78.5,1597515,
3,2022-12-09 00:00:00+05:30,79.15,81.6,76.2,77.9,3477123,
4,2022-12-12 00:00:00+05:30,78.05,79.85,77.2,79.35,1495523,
5,2022-12-13 00:00:00+05:30,79.9,84.2,79.45,81.65,4789806,
6,2022-12-14 00:00:00+05:30,82.2,84.5,80.7,83.5,4297090,
7,2022-12-15 00:00:00+05:30,83.95,84.3,80.45,81.0,1962190,
8,2022-12-16 00:00:00+05:30,80.5,82.5,78.35,81.85,2510849,
9,2022-12-19 00:00:00+05:30,82.0,82.45,80.6,80.9,1165922,
10,2022-12-20 00:00:00+05:30,80.9,81.2,79.2,80.4,1283634,
11,2022-12-21 00:00:00+05:30,80.9,81.9,74.65,75.8,2677693,
12,2022-12-22 00:00:00+05:30,76.55,76.8,72.25,72.9,1966513,
13,2022-12-23 00:00:00+05:30,72.9,72.9,67.2,67.8,2049280,
14,2022-12-26 00:00:00+05:30,68.2,70.3,68.2,69.9,2172723,
15,2022-12-27 00:00:00+05:30,71.15,71.75,69.75,70.6,1283303,
16,2022-12-28 00:00:00+05:30,70.4,72.25,70.1,71.05,995803,
17,2022-12-29 00:00:00+05:30,71.2,71.2,69.9,70.2,624539,
18,2022-12-30 00:00:00+05:30,71.0,73.4,71.0,71.5,1218773,
19,2023-01-02 00:00:00+05:30,71.95,74.5,71.35,74.2,1321690,
20,2023-01-03 00:00:00+05:30,74.2,74.9,73.1,73.35,889011,
21,2023-01-04 00:00:00+05:30,73.8,73.9,70.85,71.4,952816,
22,2023-01-05 00:00:00+05:30,71.95,73.0,71.0,71.7,541401,
23,2023-01-06 00:00:00+05:30,71.8,72.3,69.5,70.45,768626,
24,2023-01-09 00:00:00+05:30,71.0,72.35,70.15,71.0,1003720,
25,2023-01-10 00:00:00+05:30,71.5,72.1,70.0,70.3,549314,
26,2023-01-11 00:00:00+05:30,70.7,71.3,70.2,70.4,692624,
27,2023-01-12 00:00:00+05:30,70.8,71.55,70.0,70.3,884259,
28,2023-01-13 00:00:00+05:30,70.65,71.25,69.85,70.95,662024,
29,2023-01-16 00:00:00+05:30,71.45,72.55,70.55,71.0,850302,
30,2023-01-17 00:00:00+05:30,71.05,72.2,70.85,71.45,613334,
31,2023-01-18 00:00:00+05:30,71.3,73.0,71.3,72.4,803295,
32,2023-01-19 00:00:00+05:30,72.35,73.15,71.5,72.55,744737,
33,2023-01-20 00:00:00+05:30,72.7,73.0,71.05,71.7,418452,
34,2023-01-23 00:00:00+05:30,72.05,72.3,70.0,70.45,790009,
35,2023-01-24 00:00:00+05:30,70.55,71.0,69.65,69.85,414766,
36,2023-01-25 00:00:00+05:30,70.0,70.0,66.8,68.35,955614,
37,2023-01-27 00:00:00+05:30,68.2,68.5,66.45,66.55,1120477,
38,2023-01-30 00:00:00+05:30,66.5,67.3,64.55,64.95,1235617,
39,2023-01-31 00:00:00+05:30,65.3,66.5,64.8,65.3,1973906,
40,2023-02-01 00:00:00+05:30,65.55,68.5,64.35,65.25,3655834,
41,2023-02-02 00:00:00+05:30,64.4,65.55,64.4,64.85,879384,
42,2023-02-03 00:00:00+05:30,65.4,66.6,64.05,64.95,729373,
43,2023-02-06 00:00:00+05:30,65.2,66.05,64.15,64.7,824354,
44,2023-02-07 00:00:00+05:30,64.8,65.05,64.2,64.55,788184,
45,2023-02-08 00:00:00+05:30,64.2,65.45,64.2,65.1,658311,
46,2023-02-09 00:00:00+05:30,65.35,65.5,64.55,64.95,427891,
47,2023-02-10 00:00:00+05:30,65.05,65.3,63.5,64.95,1251550,
