,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,115.2,115.4,112.3,113.55,4803825,
1,2022-12-07 00:00:00+05:30,113.5,113.8,108.65,109.85,4496577,
2,2022-12-08 00:00:00+05:30,110.7,110.7,107.0,107.8,2971015,
3,2022-12-09 00:00:00+05:30,108.75,112.0,108.5,110.65,5120737,
4,2022-12-12 00:00:00+05:30,112.0,120.0,111.35,119.0,10268098,
5,2022-12-13 00:00:00+05:30,120.8,122.95,117.5,119.2,7540373,
6,2022-12-14 00:00:00+05:30,120.1,121.3,116.6,118.7,3807738,
7,2022-12-15 00:00:00+05:30,118.7,122.0,117.15,118.95,3398250,
8,2022-12-16 00:00:00+05:30,119.0,127.9,119.0,125.45,18589084,
9,2022-12-19 00:00:00+05:30,127.25,130.0,123.6,129.2,8068881,
10,2022-12-20 00:00:00+05:30,128.9,131.8,127.55,131.05,7813644,
11,2022-12-21 00:00:00+05:30,131.0,131.05,122.65,123.65,7066417,
12,2022-12-22 00:00:00+05:30,124.3,126.05,117.7,122.65,8231183,
13,2022-12-23 00:00:00+05:30,121.95,124.0,104.65,107.7,8232069,
14,2022-12-26 00:00:00+05:30,108.0,124.35,106.9,121.75,10976444,
15,2022-12-27 00:00:00+05:30,125.0,125.7,120.7,124.0,6715085,
16,2022-12-28 00:00:00+05:30,123.9,133.0,123.55,131.15,12084101,
17,2022-12-29 00:00:00+05:30,132.8,134.2,125.15,126.5,8410119,
18,2022-12-30 00:00:00+05:30,128.0,128.7,125.6,126.55,3659381,
19,2023-01-02 00:00:00+05:30,126.6,127.7,124.0,125.1,3324015,
20,2023-01-03 00:00:00+05:30,125.6,127.0,123.5,124.7,2287722,
21,2023-01-04 00:00:00+05:30,125.3,126.0,118.25,120.8,4098252,
22,2023-01-05 00:00:00+05:30,121.45,124.2,119.5,123.1,3911591,
23,2023-01-06 00:00:00+05:30,123.1,123.5,118.6,120.4,3182421,
24,2023-01-09 00:00:00+05:30,124.75,127.6,123.5,125.2,6691289,
25,2023-01-10 00:00:00+05:30,125.2,125.8,119.75,120.85,3424211,
26,2023-01-11 00:00:00+05:30,121.25,121.35,117.2,119.3,3861722,
27,2023-01-12 00:00:00+05:30,119.8,119.8,117.75,118.8,2248181,
28,2023-01-13 00:00:00+05:30,119.4,123.9,118.5,123.05,4743171,
29,2023-01-16 00:00:00+05:30,123.7,123.7,120.65,121.2,1748002,
30,2023-01-17 00:00:00+05:30,121.15,122.75,119.7,120.6,1543635,
31,2023-01-18 00:00:00+05:30,121.05,122.2,118.5,119.0,2125159,
32,2023-01-19 00:00:00+05:30,118.2,121.1,118.2,119.6,1576048,
33,2023-01-20 00:00:00+05:30,119.5,120.75,118.45,119.3,1110487,
34,2023-01-23 00:00:00+05:30,119.9,120.9,118.5,119.6,1066390,
35,2023-01-24 00:00:00+05:30,119.6,120.45,118.2,118.9,922365,
36,2023-01-25 00:00:00+05:30,118.9,119.35,114.2,116.35,2094736,
37,2023-01-27 00:00:00+05:30,117.15,117.15,105.6,111.0,4617836,
38,2023-01-30 00:00:00+05:30,110.9,111.95,103.05,105.0,3079125,
39,2023-01-31 00:00:00+05:30,106.0,119.25,104.25,117.95,12448242,
40,2023-02-01 00:00:00+05:30,119.3,119.3,109.5,112.4,4738212,
41,2023-02-02 00:00:00+05:30,112.0,115.0,110.05,110.65,2568059,
42,2023-02-03 00:00:00+05:30,111.45,115.0,111.1,113.95,3910365,
43,2023-02-06 00:00:00+05:30,113.95,120.75,113.5,119.9,4516688,
44,2023-02-07 00:00:00+05:30,122.0,122.0,116.3,117.7,4096400,
45,2023-02-08 00:00:00+05:30,118.2,119.85,116.3,117.15,2506620,
46,2023-02-09 00:00:00+05:30,117.0,117.4,113.35,113.75,1651480,
47,2023-02-10 00:00:00+05:30,113.0,116.3,111.5,113.65,1951198,
48,2023-02-13 00:00:00+05:30,113.9,114.95,105.0,107.65,3577470,
49,2023-02-14 00:00:00+05:30,108.25,108.45,103.5,105.25,3620495,
50,2023-02-15 00:00:00+05:30,106.95,113.0,106.55,109.75,4737610,
51,2023-02-16 00:00:00+05:30,110.2,111.95,109.75,110.75,1880672,
52,2023-02-17 00:00:00+05:30,110.8,111.7,109.95,111.15,1081194,
53,2023-02-20 00:00:00+05:30,111.25,119.85,110.35,118.65,6713121,
54,2023-02-21 00:00:00+05:30,119.0,119.85,115.5,116.9,3401943,
55,2023-02-22 00:00:00+05:30,115.3,119.15,114.35,118.0,3356984,
56,2023-02-23 00:00:00+05:30,117.4,119.0,115.95,118.3,1985888,
57,2023-02-24 00:00:00+05:30,119.3,120.8,117.05,118.55,1752546,
58,2023-02-27 00:00:00+05:30,117.3,119.3,114.8,115.35,2023539,
59,2023-02-28 00:00:00+05:30,115.4,117.5,112.5,113.65,1754955,
60,2023-03-01 00:00:00+05:30,114.3,116.5,113.6,115.4,2163429,
61,2023-03-02 00:00:00+05:30,115.4,117.25,114.05,116.6,1348387,
62,2023-03-03 00:00:00+05:30,117.25,119.0,116.2,117.05,1677545,
63,2023-03-06 00:00:00+05:30,117.9,118.8,116.5,117.35,1425239,
64,2023-03-08 00:00:00+05:30,116.6,117.95,115.05,117.15,1225072,
65,2023-03-09 00:00:00+05:30,117.45,123.3,117.35,118.9,4434720,
66,2023-03-10 00:00:00+05:30,117.25,119.3,115.85,116.4,1674290,
67,2023-03-13 00:00:00+05:30,116.35,116.7,106.8,107.7,7242001,
