,date,open,high,low,close,volume,200_ma
0,2022-12-29 00:00:00+05:30,367.0,373.0,351.0,363.85,7525533,
1,2022-12-30 00:00:00+05:30,365.0,370.8,342.35,344.5,1383751,
2,2023-01-02 00:00:00+05:30,344.0,355.05,334.0,352.65,626106,
3,2023-01-03 00:00:00+05:30,352.5,360.35,352.0,358.25,457611,
4,2023-01-04 00:00:00+05:30,358.0,358.0,352.3,354.75,186551,
5,2023-01-05 00:00:00+05:30,353.0,355.75,344.05,347.25,99709,
6,2023-01-06 00:00:00+05:30,347.0,352.0,342.0,345.3,167591,
7,2023-01-09 00:00:00+05:30,345.0,347.4,336.0,339.9,145951,
8,2023-01-10 00:00:00+05:30,340.0,343.8,335.15,337.45,569204,
9,2023-01-11 00:00:00+05:30,342.5,342.5,331.0,332.45,167618,
10,2023-01-12 00:00:00+05:30,332.0,335.9,328.0,328.8,157134,
11,2023-01-13 00:00:00+05:30,329.8,337.6,328.0,334.7,86403,
12,2023-01-16 00:00:00+05:30,337.95,340.0,332.0,333.75,112551,
13,2023-01-17 00:00:00+05:30,336.0,336.05,332.0,333.2,49211,
14,2023-01-18 00:00:00+05:30,334.0,335.7,330.8,332.95,72953,
15,2023-01-19 00:00:00+05:30,334.9,341.55,332.45,335.0,450363,
16,2023-01-20 00:00:00+05:30,335.0,338.8,333.0,334.5,169620,
17,2023-01-23 00:00:00+05:30,335.0,338.4,333.05,336.4,103954,
18,2023-01-24 00:00:00+05:30,338.0,342.95,336.2,340.4,672183,
19,2023-01-25 00:00:00+05:30,340.8,342.95,330.5,332.0,70179,
20,2023-01-27 00:00:00+05:30,331.1,335.8,315.0,316.4,241863,
21,2023-01-30 00:00:00+05:30,314.0,325.25,312.7,322.05,117095,
22,2023-01-31 00:00:00+05:30,322.05,327.2,319.0,319.7,120634,
23,2023-02-01 00:00:00+05:30,318.1,324.75,304.5,308.05,163043,
24,2023-02-02 00:00:00+05:30,303.0,317.0,303.0,307.95,62909,
25,2023-02-03 00:00:00+05:30,309.95,309.95,290.35,300.1,230638,
26,2023-02-06 00:00:00+05:30,296.0,311.5,296.0,307.8,63341,
27,2023-02-07 00:00:00+05:30,307.8,308.65,300.3,303.1,67125,
28,2023-02-08 00:00:00+05:30,301.0,307.45,301.0,305.1,45681,
29,2023-02-09 00:00:00+05:30,305.1,318.6,303.0,316.85,128916,
30,2023-02-10 00:00:00+05:30,317.7,321.0,315.05,318.9,48826,
31,2023-02-13 00:00:00+05:30,322.0,329.1,312.15,313.25,113862,
32,2023-02-14 00:00:00+05:30,311.2,318.95,311.15,314.55,69940,
33,2023-02-15 00:00:00+05:30,318.0,320.95,314.55,315.1,49956,
34,2023-02-16 00:00:00+05:30,319.85,319.85,313.05,317.25,125893,
35,2023-02-17 00:00:00+05:30,317.25,319.35,315.05,318.15,73145,
36,2023-02-20 00:00:00+05:30,319.9,328.85,308.0,315.05,136656,
37,2023-02-21 00:00:00+05:30,312.0,315.0,303.6,306.15,107722,
38,2023-02-22 00:00:00+05:30,309.2,309.2,294.7,298.5,160067,
39,2023-02-23 00:00:00+05:30,298.95,299.9,290.5,293.2,78168,
40,2023-02-24 00:00:00+05:30,304.0,304.0,293.55,296.55,35781,
41,2023-02-27 00:00:00+05:30,294.0,298.5,291.75,292.5,59294,
42,2023-02-28 00:00:00+05:30,292.5,298.35,291.2,294.4,213921,
43,2023-03-01 00:00:00+05:30,298.8,298.8,291.0,293.0,112961,
44,2023-03-02 00:00:00+05:30,292.95,293.35,289.0,290.2,108481,
45,2023-03-03 00:00:00+05:30,292.0,294.7,291.3,293.2,54886,
46,2023-03-06 00:00:00+05:30,293.2,309.6,292.65,298.85,171985,
47,2023-03-08 00:00:00+05:30,298.85,303.45,297.4,301.8,95727,
48,2023-03-09 00:00:00+05:30,306.35,306.35,298.7,301.35,79133,
49,2023-03-10 00:00:00+05:30,299.0,299.05,294.85,297.7,35527,
50,2023-03-13 00:00:00+05:30,297.65,297.7,291.3,293.25,142056,
51,2023-03-14 00:00:00+05:30,293.25,296.9,288.0,288.9,126308,
52,2023-03-15 00:00:00+05:30,291.95,294.7,288.7,290.35,52306,
53,2023-03-16 00:00:00+05:30,293.0,293.25,276.1,283.6,88012,
54,2023-03-17 00:00:00+05:30,283.0,286.55,279.25,280.65,87101,
55,2023-03-20 00:00:00+05:30,276.0,281.1,272.0,272.85,65229,
56,2023-03-21 00:00:00+05:30,275.0,302.25,273.5,291.95,173192,
57,2023-03-22 00:00:00+05:30,291.95,294.8,286.6,289.85,52696,
58,2023-03-23 00:00:00+05:30,286.95,302.0,286.65,299.9,228472,
