,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,98.2,98.95,93.7,94.25,6936848,
1,2022-12-07 00:00:00+05:30,95.25,96.0,93.2,93.65,3029031,
2,2022-12-08 00:00:00+05:30,94.35,95.45,93.6,94.2,2460852,
3,2022-12-09 00:00:00+05:30,94.5,94.9,91.1,92.35,3511445,
4,2022-12-12 00:00:00+05:30,92.7,93.25,91.4,91.7,3227952,
5,2022-12-13 00:00:00+05:30,92.5,92.6,89.2,89.75,3984235,
6,2022-12-14 00:00:00+05:30,90.0,90.5,87.0,87.55,6667323,
7,2022-12-15 00:00:00+05:30,87.95,88.9,87.15,87.7,3359687,
8,2022-12-16 00:00:00+05:30,87.85,88.05,85.0,85.95,3791743,
9,2022-12-19 00:00:00+05:30,85.95,86.15,78.6,82.3,9732584,
10,2022-12-20 00:00:00+05:30,82.95,85.9,82.75,85.35,5387905,
11,2022-12-21 00:00:00+05:30,85.9,86.65,78.3,80.35,7701711,
12,2022-12-22 00:00:00+05:30,81.0,83.8,74.75,77.1,6755706,
13,2022-12-23 00:00:00+05:30,75.2,75.2,70.2,72.05,10712898,
14,2022-12-26 00:00:00+05:30,72.15,79.4,71.5,78.7,6964160,
15,2022-12-27 00:00:00+05:30,80.0,81.8,77.6,79.75,4447865,
16,2022-12-28 00:00:00+05:30,80.25,83.9,79.2,83.25,7068724,
17,2022-12-29 00:00:00+05:30,83.0,85.0,80.2,84.45,5210521,
18,2022-12-30 00:00:00+05:30,85.5,86.4,84.3,85.65,3492995,
19,2023-01-02 00:00:00+05:30,86.0,86.25,83.65,84.05,2244884,
20,2023-01-03 00:00:00+05:30,84.3,84.8,83.4,83.75,1374895,
21,2023-01-04 00:00:00+05:30,84.15,84.35,80.25,80.75,3005976,
22,2023-01-05 00:00:00+05:30,81.4,81.5,78.1,78.9,3147966,
23,2023-01-06 00:00:00+05:30,79.3,79.55,76.5,77.65,2680795,
24,2023-01-09 00:00:00+05:30,78.25,79.9,77.9,79.55,2145126,
25,2023-01-10 00:00:00+05:30,79.8,80.05,76.65,77.15,3254664,
26,2023-01-11 00:00:00+05:30,77.25,79.0,75.7,77.0,2550734,
27,2023-01-12 00:00:00+05:30,77.5,77.8,75.5,76.4,3202790,
28,2023-01-13 00:00:00+05:30,76.7,80.0,76.55,79.65,3710899,
29,2023-01-16 00:00:00+05:30,79.9,81.65,78.5,79.4,3088852,
30,2023-01-17 00:00:00+05:30,79.15,79.3,77.4,78.2,1539216,
31,2023-01-18 00:00:00+05:30,78.4,78.7,75.65,75.9,3400905,
32,2023-01-19 00:00:00+05:30,75.95,76.35,74.2,74.65,3367383,
33,2023-01-20 00:00:00+05:30,75.0,75.5,73.85,74.1,1783659,
34,2023-01-23 00:00:00+05:30,74.55,74.95,73.0,73.35,1939386,
35,2023-01-24 00:00:00+05:30,73.65,74.6,72.4,73.75,2246986,
36,2023-01-25 00:00:00+05:30,73.95,76.15,73.0,74.95,4083836,
37,2023-01-27 00:00:00+05:30,75.45,76.15,71.95,72.85,2504694,
38,2023-01-30 00:00:00+05:30,73.25,75.4,72.75,73.5,1728367,
39,2023-01-31 00:00:00+05:30,73.6,77.5,73.35,76.5,2274365,
40,2023-02-01 00:00:00+05:30,78.5,82.95,77.7,80.95,18602025,
41,2023-02-02 00:00:00+05:30,79.45,82.45,75.65,78.15,5083757,
42,2023-02-03 00:00:00+05:30,78.55,79.05,74.4,75.4,4145524,
43,2023-02-06 00:00:00+05:30,75.5,77.9,75.05,77.7,3337603,
44,2023-02-07 00:00:00+05:30,78.15,79.5,76.5,77.95,3007766,
45,2023-02-08 00:00:00+05:30,77.95,78.05,76.55,77.1,2044491,
46,2023-02-09 00:00:00+05:30,77.4,77.5,75.45,76.0,2279452,
47,2023-02-10 00:00:00+05:30,75.95,77.9,75.05,77.0,5441846,
48,2023-02-13 00:00:00+05:30,77.15,80.0,76.45,77.6,9198218,
49,2023-02-14 00:00:00+05:30,77.95,79.25,77.2,78.75,3737082,
50,2023-02-15 00:00:00+05:30,78.7,79.9,77.5,78.0,3104082,
51,2023-02-16 00:00:00+05:30,78.7,79.8,78.2,78.6,3204586,
52,2023-02-17 00:00:00+05:30,78.2,79.35,78.1,78.9,1526713,
53,2023-02-20 00:00:00+05:30,79.0,79.1,76.5,76.95,1671615,
54,2023-02-21 00:00:00+05:30,76.9,76.95,74.7,75.1,1625157,
55,2023-02-22 00:00:00+05:30,75.1,75.8,73.05,73.35,2011244,
56,2023-02-23 00:00:00+05:30,75.0,75.55,73.65,74.55,3014073,
57,2023-02-24 00:00:00+05:30,74.85,75.1,72.5,73.9,1548532,
58,2023-02-27 00:00:00+05:30,74.5,75.2,72.9,73.8,2844202,
59,2023-02-28 00:00:00+05:30,73.8,78.75,73.75,77.9,5498250,
60,2023-03-01 00:00:00+05:30,78.4,80.75,77.75,78.8,4369829,
61,2023-03-02 00:00:00+05:30,78.7,79.5,77.8,78.4,1950367,
62,2023-03-03 00:00:00+05:30,78.85,79.2,78.0,78.4,2027721,
63,2023-03-06 00:00:00+05:30,79.1,82.45,78.45,80.8,6280487,
64,2023-03-08 00:00:00+05:30,80.7,80.7,78.65,80.15,3745622,
65,2023-03-09 00:00:00+05:30,80.35,80.45,78.0,78.1,2321208,
66,2023-03-10 00:00:00+05:30,77.6,80.55,76.05,79.35,2411154,
67,2023-03-13 00:00:00+05:30,79.55,80.0,74.9,75.4,3131418,
68,2023-03-14 00:00:00+05:30,76.2,79.6,76.2,77.9,7872788,
69,2023-03-15 00:00:00+05:30,77.5,79.1,76.0,76.75,1932049,
70,2023-03-16 00:00:00+05:30,76.9,77.25,75.25,76.6,1828800,
71,2023-03-17 00:00:00+05:30,78.2,79.3,77.6,77.9,2979801,
72,2023-03-20 00:00:00+05:30,77.9,78.95,76.2,76.75,1145150,
73,2023-03-21 00:00:00+05:30,77.15,77.25,76.05,76.3,1014945,
74,2023-03-22 00:00:00+05:30,76.6,77.15,76.0,76.3,802039,
75,2023-03-23 00:00:00+05:30,76.0,76.2,74.75,75.1,1797092,
76,2023-03-24 00:00:00+05:30,75.4,75.4,73.5,73.6,2034795,
77,2023-03-27 00:00:00+05:30,74.95,74.95,72.8,73.8,4105610,
78,2023-03-28 00:00:00+05:30,74.8,74.85,73.7,73.95,3278658,
79,2023-03-29 00:00:00+05:30,74.3,78.1,73.75,77.5,5934428,
80,2023-03-31 00:00:00+05:30,77.7,79.4,76.4,77.25,6388771,
81,2023-04-03 00:00:00+05:30,77.8,78.4,76.6,77.3,2536817,
82,2023-04-05 00:00:00+05:30,78.3,79.15,77.7,78.0,5044629,
83,2023-04-06 00:00:00+05:30,78.35,78.35,77.2,77.45,2243188,
84,2023-04-10 00:00:00+05:30,77.6,77.95,76.2,76.55,2216031,
85,2023-04-11 00:00:00+05:30,76.75,78.0,75.15,77.15,9789092,
86,2023-04-12 00:00:00+05:30,77.4,78.3,76.8,77.05,5761205,
87,2023-04-13 00:00:00+05:30,77.0,78.0,76.7,77.1,1575524,
88,2023-04-17 00:00:00+05:30,77.25,80.4,76.65,80.05,6982213,
89,2023-04-18 00:00:00+05:30,80.55,81.25,78.35,79.2,3432070,
90,2023-04-19 00:00:00+05:30,79.35,83.9,79.15,82.95,13067944,
91,2023-04-20 00:00:00+05:30,84.15,88.5,83.95,86.75,25874408,
92,2023-04-21 00:00:00+05:30,87.3,87.4,84.45,85.3,6767787,
93,2023-04-24 00:00:00+05:30,85.25,85.4,83.6,84.45,3217830,
94,2023-04-25 00:00:00+05:30,84.4,84.7,82.5,82.85,4786189,
95,2023-04-26 00:00:00+05:30,83.0,90.35,83.0,87.45,23968234,
96,2023-04-27 00:00:00+05:30,87.9,88.9,86.55,87.05,5786195,
97,2023-04-28 00:00:00+05:30,87.7,90.4,86.55,88.05,8790007,
98,2023-05-02 00:00:00+05:30,88.45,90.85,87.35,87.9,8026056,
99,2023-05-03 00:00:00+05:30,87.9,91.55,87.8,90.55,12349043,
100,2023-05-04 00:00:00+05:30,91.0,91.15,89.6,89.85,3549760,
101,2023-05-05 00:00:00+05:30,89.85,91.9,89.15,90.65,6213985,
102,2023-05-08 00:00:00+05:30,90.95,93.05,89.75,91.65,7825133,
103,2023-05-09 00:00:00+05:30,91.85,92.2,88.35,90.2,7035428,
104,2023-05-10 00:00:00+05:30,90.55,91.4,89.8,90.95,2578375,
105,2023-05-11 00:00:00+05:30,91.2,91.55,89.9,90.25,2421251,
106,2023-05-12 00:00:00+05:30,90.25,91.95,89.3,91.25,5193454,
107,2023-05-15 00:00:00+05:30,91.1,91.4,89.8,90.05,1950268,
108,2023-05-16 00:00:00+05:30,90.2,94.95,89.95,94.25,14581618,
109,2023-05-17 00:00:00+05:30,94.65,95.3,92.5,94.4,6107074,
110,2023-05-18 00:00:00+05:30,95.2,97.0,94.1,94.7,8701310,
111,2023-05-19 00:00:00+05:30,95.25,96.2,94.5,94.85,4168641,
112,2023-05-22 00:00:00+05:30,94.85,96.45,93.5,95.6,4386771,
113,2023-05-23 00:00:00+05:30,95.45,95.9,94.35,94.55,2110294,
114,2023-05-24 00:00:00+05:30,94.15,95.0,93.35,94.05,3070677,
115,2023-05-25 00:00:00+05:30,93.8,97.7,92.9,96.5,11807259,
116,2023-05-26 00:00:00+05:30,96.45,97.5,94.35,95.05,3821641,
117,2023-05-29 00:00:00+05:30,95.9,96.4,94.7,95.0,2466484,
118,2023-05-30 00:00:00+05:30,95.3,96.85,95.0,95.55,3234092,
119,2023-05-31 00:00:00+05:30,96.1,99.9,93.6,95.95,20271492,
120,2023-06-01 00:00:00+05:30,96.45,96.6,93.75,94.25,6160029,
121,2023-06-02 00:00:00+05:30,95.0,95.7,91.7,92.7,7584037,
122,2023-06-05 00:00:00+05:30,93.95,94.7,93.35,93.85,6060234,
123,2023-06-06 00:00:00+05:30,94.35,94.8,93.15,93.3,2906094,
124,2023-06-07 00:00:00+05:30,94.15,94.15,92.5,92.75,3677885,
125,2023-06-08 00:00:00+05:30,93.8,94.7,92.9,93.25,5069089,
126,2023-06-09 00:00:00+05:30,93.5,93.5,92.05,92.3,2434386,
127,2023-06-12 00:00:00+05:30,92.5,93.15,91.9,92.7,2108538,
128,2023-06-13 00:00:00+05:30,92.95,93.65,92.55,93.05,2512860,
129,2023-06-14 00:00:00+05:30,93.35,93.5,92.4,92.6,1638337,
130,2023-06-15 00:00:00+05:30,92.6,93.6,91.55,91.9,2330911,
131,2023-06-16 00:00:00+05:30,92.35,92.75,91.6,91.95,1873922,
132,2023-06-19 00:00:00+05:30,92.15,94.8,92.1,94.6,6951955,
133,2023-06-20 00:00:00+05:30,95.1,97.3,95.1,96.2,8798844,
134,2023-06-21 00:00:00+05:30,96.65,97.6,95.3,95.6,3465947,
135,2023-06-22 00:00:00+05:30,96.0,96.3,93.0,93.9,2134523,
136,2023-06-23 00:00:00+05:30,94.0,96.4,93.2,94.6,3546968,
137,2023-06-26 00:00:00+05:30,94.9,95.1,92.6,92.85,1966223,
138,2023-06-27 00:00:00+05:30,93.4,93.65,92.65,92.95,1803806,
139,2023-06-28 00:00:00+05:30,93.5,94.8,92.75,93.75,2837158,
140,2023-06-30 00:00:00+05:30,94.2,94.6,93.2,93.7,1928229,
141,2023-07-03 00:00:00+05:30,94.1,94.65,93.25,93.75,2267714,
142,2023-07-04 00:00:00+05:30,94.1,94.85,92.75,92.95,1903676,
143,2023-07-05 00:00:00+05:30,93.7,94.9,93.5,93.65,2674472,
144,2023-07-06 00:00:00+05:30,93.65,95.6,92.8,93.25,4182888,
145,2023-07-07 00:00:00+05:30,93.2,93.25,90.2,91.55,6031810,
146,2023-07-10 00:00:00+05:30,91.9,92.0,89.9,90.15,4250244,
147,2023-07-11 00:00:00+05:30,90.55,91.6,90.55,91.35,2404776,
148,2023-07-12 00:00:00+05:30,91.75,93.0,91.5,92.7,3999260,
149,2023-07-13 00:00:00+05:30,93.0,93.1,90.85,91.2,3089156,
150,2023-07-14 00:00:00+05:30,91.85,94.2,91.7,92.3,6663972,
