,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,318.75,320.65,310.1,312.05,641690,
1,2022-12-07 00:00:00+05:30,311.5,314.4,306.75,308.6,348496,
2,2022-12-08 00:00:00+05:30,309.8,312.7,306.0,307.45,297397,
3,2022-12-09 00:00:00+05:30,308.8,310.45,301.85,303.65,372482,
4,2022-12-12 00:00:00+05:30,303.5,307.1,300.05,302.5,279419,
5,2022-12-13 00:00:00+05:30,303.5,307.1,302.1,303.5,289974,
6,2022-12-14 00:00:00+05:30,304.8,306.65,303.0,303.45,255344,
7,2022-12-15 00:00:00+05:30,303.45,318.5,302.45,309.85,1274064,
8,2022-12-16 00:00:00+05:30,308.6,310.0,304.05,305.1,381081,
9,2022-12-19 00:00:00+05:30,305.1,318.4,301.55,312.3,1356334,
10,2022-12-20 00:00:00+05:30,312.95,317.25,308.2,310.8,695103,
11,2022-12-21 00:00:00+05:30,312.95,313.25,298.0,300.2,483432,
12,2022-12-22 00:00:00+05:30,301.2,304.1,291.0,292.25,601896,
13,2022-12-23 00:00:00+05:30,289.85,292.0,276.2,278.0,829032,
14,2022-12-26 00:00:00+05:30,278.15,293.8,277.0,291.6,456201,
15,2022-12-27 00:00:00+05:30,293.9,298.7,292.4,296.05,317014,
16,2022-12-28 00:00:00+05:30,297.1,299.2,294.2,295.55,263187,
17,2022-12-29 00:00:00+05:30,295.9,295.9,291.15,292.6,203079,
18,2022-12-30 00:00:00+05:30,294.9,303.0,294.85,296.9,297548,
19,2023-01-02 00:00:00+05:30,296.9,299.55,296.4,297.5,192758,
20,2023-01-03 00:00:00+05:30,299.5,304.05,298.3,299.4,321436,
21,2023-01-04 00:00:00+05:30,300.8,300.8,291.65,293.45,251424,
22,2023-01-05 00:00:00+05:30,294.75,297.4,290.05,293.2,307946,
23,2023-01-06 00:00:00+05:30,291.8,294.5,290.6,292.2,198678,
24,2023-01-09 00:00:00+05:30,293.7,296.1,291.45,292.2,165551,
25,2023-01-10 00:00:00+05:30,293.55,293.6,288.55,289.85,232770,
26,2023-01-11 00:00:00+05:30,291.15,292.95,288.5,289.15,261345,
27,2023-01-12 00:00:00+05:30,288.55,292.8,288.1,289.2,204334,
28,2023-01-13 00:00:00+05:30,290.15,291.75,288.8,289.45,157852,
29,2023-01-16 00:00:00+05:30,290.8,291.9,286.5,287.35,238426,
30,2023-01-17 00:00:00+05:30,288.7,289.5,286.25,287.25,209993,
31,2023-01-18 00:00:00+05:30,288.6,289.65,286.15,286.65,180696,
32,2023-01-19 00:00:00+05:30,284.95,287.5,282.0,283.15,317713,
