,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,752.0,764.0,748.6,752.05,888694,
1,2022-12-07 00:00:00+05:30,755.7,760.65,751.8,753.45,129332,
2,2022-12-08 00:00:00+05:30,753.45,760.65,742.55,758.35,487422,
3,2022-12-09 00:00:00+05:30,760.4,760.4,749.0,757.05,377609,
4,2022-12-12 00:00:00+05:30,759.0,764.0,747.0,757.4,198496,
5,2022-12-13 00:00:00+05:30,758.5,760.25,750.4,755.1,327901,
6,2022-12-14 00:00:00+05:30,759.95,777.0,748.05,768.65,330308,
7,2022-12-15 00:00:00+05:30,769.15,769.15,748.3,752.4,503608,
8,2022-12-16 00:00:00+05:30,752.05,775.0,746.0,752.65,454142,
9,2022-12-19 00:00:00+05:30,755.9,759.4,749.2,756.3,73700,
10,2022-12-20 00:00:00+05:30,750.0,759.35,744.4,749.9,252503,
11,2022-12-21 00:00:00+05:30,753.65,766.75,750.2,762.35,190826,
12,2022-12-22 00:00:00+05:30,767.0,771.4,752.0,753.75,352630,
13,2022-12-23 00:00:00+05:30,747.0,759.35,732.5,739.6,402577,
14,2022-12-26 00:00:00+05:30,743.3,759.0,734.45,757.3,53803,
15,2022-12-27 00:00:00+05:30,757.3,777.9,750.1,759.95,512952,
16,2022-12-28 00:00:00+05:30,761.5,765.5,751.55,756.35,65026,
17,2022-12-29 00:00:00+05:30,756.95,763.0,752.0,759.8,86361,
18,2022-12-30 00:00:00+05:30,759.8,769.1,756.0,760.45,56098,
19,2023-01-02 00:00:00+05:30,764.7,767.6,747.05,748.85,126976,
20,2023-01-03 00:00:00+05:30,752.6,757.4,747.0,749.65,64813,
21,2023-01-04 00:00:00+05:30,749.75,753.35,726.6,729.8,121470,
22,2023-01-05 00:00:00+05:30,731.15,737.0,716.55,724.3,158561,
23,2023-01-06 00:00:00+05:30,726.1,729.7,705.1,712.7,88602,
24,2023-01-09 00:00:00+05:30,712.7,723.0,708.1,719.85,157951,
