,date,open,high,low,close,volume,200_ma
0,2023-02-20 00:00:00+05:30,30.25,31.75,30.25,31.75,8765770,
1,2023-02-21 00:00:00+05:30,33.3,33.3,33.3,33.3,8902381,
2,2023-02-22 00:00:00+05:30,34.95,34.95,34.0,34.95,31380875,
3,2023-02-23 00:00:00+05:30,35.6,36.2,33.4,33.55,15096767,
4,2023-02-24 00:00:00+05:30,33.65,33.95,31.9,31.95,11936852,
5,2023-02-27 00:00:00+05:30,31.35,33.5,30.4,32.5,7186494,
6,2023-02-28 00:00:00+05:30,32.4,33.75,32.2,33.35,5996625,
7,2023-03-01 00:00:00+05:30,33.5,35.0,32.4,35.0,6631416,
8,2023-03-02 00:00:00+05:30,36.45,36.75,35.75,36.75,4149208,
9,2023-03-03 00:00:00+05:30,38.55,38.55,37.75,38.25,11609913,
10,2023-03-06 00:00:00+05:30,38.15,39.4,36.4,38.3,14868814,
11,2023-03-08 00:00:00+05:30,38.05,38.4,37.5,38.0,11493479,
12,2023-03-09 00:00:00+05:30,38.65,38.9,38.0,38.3,8044416,
13,2023-03-10 00:00:00+05:30,38.15,38.25,37.0,37.45,3408013,
14,2023-03-13 00:00:00+05:30,37.85,37.9,35.6,36.2,6382429,
15,2023-03-14 00:00:00+05:30,36.45,36.5,34.85,35.05,4942981,
16,2023-03-15 00:00:00+05:30,35.8,35.8,35.05,35.25,2586162,
17,2023-03-16 00:00:00+05:30,35.05,36.25,33.55,35.95,6789060,
18,2023-03-17 00:00:00+05:30,36.5,36.5,34.25,34.8,9770409,
19,2023-03-20 00:00:00+05:30,34.1,34.6,33.65,33.75,4757914,
20,2023-03-21 00:00:00+05:30,33.95,33.95,32.8,33.1,11742014,
21,2023-03-22 00:00:00+05:30,33.15,33.45,33.0,33.05,5527344,
22,2023-03-23 00:00:00+05:30,33.1,33.25,32.7,32.8,4507098,
23,2023-03-24 00:00:00+05:30,33.0,33.1,32.4,32.55,3706604,
24,2023-03-27 00:00:00+05:30,32.6,32.85,30.8,31.1,3853769,
25,2023-03-28 00:00:00+05:30,31.25,31.8,30.7,30.8,3387343,
26,2023-03-29 00:00:00+05:30,30.45,31.1,29.75,30.65,9824141,
27,2023-03-31 00:00:00+05:30,31.5,31.6,30.9,31.05,16268204,
28,2023-04-03 00:00:00+05:30,31.3,31.3,30.55,30.8,3264090,
29,2023-04-05 00:00:00+05:30,30.9,30.9,30.5,30.65,3276172,
30,2023-04-06 00:00:00+05:30,30.65,33.2,30.4,32.75,11431184,
31,2023-04-10 00:00:00+05:30,33.25,33.4,32.35,32.55,5640948,
32,2023-04-11 00:00:00+05:30,32.55,33.3,32.2,32.35,2815463,
33,2023-04-12 00:00:00+05:30,32.7,32.85,32.2,32.25,3683477,
34,2023-04-13 00:00:00+05:30,32.35,32.4,31.6,31.7,2616084,
35,2023-04-17 00:00:00+05:30,31.7,32.25,31.1,32.0,3965734,
36,2023-04-18 00:00:00+05:30,32.05,32.45,31.8,32.05,5240891,
37,2023-04-19 00:00:00+05:30,33.1,35.0,32.65,33.6,11601830,
38,2023-04-20 00:00:00+05:30,33.85,38.3,33.4,36.8,23003085,
39,2023-04-21 00:00:00+05:30,37.0,37.25,35.75,36.0,6152410,
40,2023-04-24 00:00:00+05:30,36.45,36.45,35.05,35.25,4707807,
41,2023-04-25 00:00:00+05:30,35.3,36.45,35.1,36.05,7089321,
42,2023-04-26 00:00:00+05:30,36.3,37.5,36.0,37.05,4893954,
43,2023-04-27 00:00:00+05:30,37.2,37.2,36.55,37.0,5130726,
44,2023-04-28 00:00:00+05:30,37.0,37.45,36.65,36.9,3353590,
45,2023-05-02 00:00:00+05:30,37.4,38.75,36.9,38.4,8421795,
46,2023-05-03 00:00:00+05:30,38.35,39.9,37.95,38.2,10054301,
47,2023-05-04 00:00:00+05:30,38.35,39.1,38.2,38.45,4195006,
48,2023-05-05 00:00:00+05:30,38.35,38.7,36.9,37.7,5271120,
49,2023-05-08 00:00:00+05:30,37.95,38.2,37.55,37.85,2153811,
50,2023-05-09 00:00:00+05:30,37.95,38.2,36.1,36.5,4238352,
51,2023-05-10 00:00:00+05:30,36.6,37.4,36.45,37.15,2631109,
52,2023-05-11 00:00:00+05:30,37.3,37.4,36.75,37.15,3026423,
