,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,498.0,502.4,490.05,495.9,135310,
1,2022-12-07 00:00:00+05:30,497.9,509.95,495.0,500.9,180069,
2,2022-12-08 00:00:00+05:30,503.25,544.0,500.0,533.2,548591,
3,2022-12-09 00:00:00+05:30,537.45,550.0,530.0,532.75,519304,
4,2022-12-12 00:00:00+05:30,530.0,541.75,527.0,536.35,123304,
5,2022-12-13 00:00:00+05:30,538.8,540.0,525.0,526.7,147298,
6,2022-12-14 00:00:00+05:30,529.3,545.5,521.25,540.3,240795,
7,2022-12-15 00:00:00+05:30,540.15,571.0,540.15,565.85,682246,
8,2022-12-16 00:00:00+05:30,567.0,579.0,550.55,556.0,291617,
9,2022-12-19 00:00:00+05:30,556.0,571.05,546.35,557.25,158993,
10,2022-12-20 00:00:00+05:30,555.0,559.6,540.1,552.9,113645,
11,2022-12-21 00:00:00+05:30,553.85,561.95,510.0,515.2,375417,
12,2022-12-22 00:00:00+05:30,517.8,526.65,490.85,498.05,267636,
13,2022-12-23 00:00:00+05:30,497.9,498.65,466.0,470.75,255071,
14,2022-12-26 00:00:00+05:30,470.75,499.0,464.7,493.75,172041,
15,2022-12-27 00:00:00+05:30,497.05,520.0,497.05,513.9,194637,
16,2022-12-28 00:00:00+05:30,515.0,519.45,495.8,500.25,173622,
17,2022-12-29 00:00:00+05:30,502.5,502.55,491.0,493.7,108332,
18,2022-12-30 00:00:00+05:30,497.8,505.0,490.5,494.95,91798,
19,2023-01-02 00:00:00+05:30,497.3,523.0,495.15,517.65,366737,
20,2023-01-03 00:00:00+05:30,519.6,528.0,512.55,515.2,135621,
21,2023-01-04 00:00:00+05:30,517.95,518.2,488.4,499.4,182714,
22,2023-01-05 00:00:00+05:30,502.0,599.25,499.8,506.2,424276,
23,2023-01-06 00:00:00+05:30,507.8,507.9,492.3,497.5,208866,
24,2023-01-09 00:00:00+05:30,500.0,506.0,494.45,497.75,107713,
25,2023-01-10 00:00:00+05:30,501.0,501.0,492.2,496.6,91264,
26,2023-01-11 00:00:00+05:30,497.8,500.5,490.0,492.5,111047,
27,2023-01-12 00:00:00+05:30,494.0,497.45,486.85,493.95,92293,
28,2023-01-13 00:00:00+05:30,493.95,498.6,488.2,489.25,104738,
29,2023-01-16 00:00:00+05:30,491.35,497.2,489.25,491.05,76137,
30,2023-01-17 00:00:00+05:30,491.9,494.25,485.25,487.25,86897,
31,2023-01-18 00:00:00+05:30,487.25,492.45,470.8,478.7,112507,
32,2023-01-19 00:00:00+05:30,478.45,482.0,471.25,474.45,102048,
33,2023-01-20 00:00:00+05:30,476.85,490.0,473.0,474.8,213608,
34,2023-01-23 00:00:00+05:30,476.95,478.5,471.65,474.45,98297,
35,2023-01-24 00:00:00+05:30,476.4,479.0,471.0,472.85,71969,
36,2023-01-25 00:00:00+05:30,474.85,495.0,471.0,485.35,387683,
37,2023-01-27 00:00:00+05:30,489.9,489.9,462.0,464.5,216017,
