,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,120.0,120.8,116.5,117.8,273797,
1,2022-12-07 00:00:00+05:30,118.5,120.0,116.2,118.1,285557,
2,2022-12-08 00:00:00+05:30,118.9,118.9,116.55,117.4,194585,
3,2022-12-09 00:00:00+05:30,117.85,118.7,115.5,116.1,282515,
4,2022-12-12 00:00:00+05:30,116.15,117.7,115.5,116.3,772956,
5,2022-12-13 00:00:00+05:30,116.6,118.5,115.6,118.2,489575,
6,2022-12-14 00:00:00+05:30,118.3,119.6,116.8,118.95,255730,
7,2022-12-15 00:00:00+05:30,119.0,120.0,118.1,118.95,263938,
8,2022-12-16 00:00:00+05:30,118.95,119.5,115.3,116.2,260912,
9,2022-12-19 00:00:00+05:30,116.2,119.0,116.1,117.8,263707,
10,2022-12-20 00:00:00+05:30,117.95,118.0,115.0,117.05,263775,
11,2022-12-21 00:00:00+05:30,117.2,118.55,116.9,118.0,564817,
12,2022-12-22 00:00:00+05:30,117.0,117.95,112.1,114.05,509137,
13,2022-12-23 00:00:00+05:30,113.0,113.9,106.0,106.4,515507,
14,2022-12-26 00:00:00+05:30,106.0,111.0,106.0,110.25,439361,
15,2022-12-27 00:00:00+05:30,110.75,112.55,109.0,109.75,232891,
16,2022-12-28 00:00:00+05:30,109.75,113.7,109.35,112.5,318097,
17,2022-12-29 00:00:00+05:30,112.5,112.95,110.7,110.9,182010,
18,2022-12-30 00:00:00+05:30,112.0,112.35,111.0,111.75,238761,
19,2023-01-02 00:00:00+05:30,113.4,115.2,112.15,114.3,303987,
20,2023-01-03 00:00:00+05:30,114.3,115.4,111.9,113.25,216077,
21,2023-01-04 00:00:00+05:30,113.35,113.85,110.55,110.9,202813,
22,2023-01-05 00:00:00+05:30,111.0,112.25,109.0,110.55,154444,
23,2023-01-06 00:00:00+05:30,110.0,111.5,109.8,111.05,682951,
24,2023-01-09 00:00:00+05:30,112.2,112.4,110.9,111.7,727729,
25,2023-01-10 00:00:00+05:30,111.95,112.3,110.5,110.9,284010,
26,2023-01-11 00:00:00+05:30,111.85,112.05,110.0,110.25,170567,
27,2023-01-12 00:00:00+05:30,110.35,117.85,110.25,116.25,1706471,
28,2023-01-13 00:00:00+05:30,116.0,116.25,114.5,115.35,311534,
29,2023-01-16 00:00:00+05:30,116.35,116.35,114.85,115.2,331820,
30,2023-01-17 00:00:00+05:30,115.5,117.3,114.0,114.75,451125,
31,2023-01-18 00:00:00+05:30,114.0,115.45,113.65,114.3,536992,
32,2023-01-19 00:00:00+05:30,114.4,115.75,113.2,114.55,220257,
33,2023-01-20 00:00:00+05:30,115.3,115.55,111.2,111.85,640068,
34,2023-01-23 00:00:00+05:30,111.95,118.5,111.95,115.05,1318235,
35,2023-01-24 00:00:00+05:30,114.25,117.45,114.25,116.0,737525,
36,2023-01-25 00:00:00+05:30,114.8,116.0,111.7,112.6,332157,
37,2023-01-27 00:00:00+05:30,112.65,113.75,109.15,110.5,872909,
38,2023-01-30 00:00:00+05:30,109.1,111.65,108.15,108.45,687818,
39,2023-01-31 00:00:00+05:30,108.45,111.95,108.45,110.45,1644714,
40,2023-02-01 00:00:00+05:30,111.4,115.9,108.35,109.9,1014030,
41,2023-02-02 00:00:00+05:30,109.9,112.5,106.6,107.95,383143,
42,2023-02-03 00:00:00+05:30,108.9,110.0,105.0,106.5,879460,
43,2023-02-06 00:00:00+05:30,106.8,107.95,106.0,106.35,318555,
44,2023-02-07 00:00:00+05:30,106.3,107.2,106.0,106.35,679363,
45,2023-02-08 00:00:00+05:30,106.35,107.4,105.75,106.5,233598,
46,2023-02-09 00:00:00+05:30,103.05,104.7,99.1,99.5,3410581,
47,2023-02-10 00:00:00+05:30,99.5,100.6,98.5,99.95,1023016,
48,2023-02-13 00:00:00+05:30,100.8,100.8,98.7,99.05,355433,
49,2023-02-14 00:00:00+05:30,100.0,100.0,96.9,97.3,348916,
50,2023-02-15 00:00:00+05:30,97.3,99.1,97.3,98.55,204790,
51,2023-02-16 00:00:00+05:30,98.6,99.8,98.2,98.6,285334,
52,2023-02-17 00:00:00+05:30,99.0,99.5,98.25,99.05,727517,
53,2023-02-20 00:00:00+05:30,99.05,100.0,98.6,99.4,293454,
