,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,41.0,41.8,40.55,40.9,10130167,
1,2022-12-07 00:00:00+05:30,41.15,41.15,39.35,39.55,8583910,
2,2022-12-08 00:00:00+05:30,39.15,39.8,38.6,39.1,5292692,
3,2022-12-09 00:00:00+05:30,39.25,39.45,37.75,38.05,4822642,
4,2022-12-12 00:00:00+05:30,38.15,38.75,37.25,37.95,5120200,
5,2022-12-13 00:00:00+05:30,38.25,39.5,38.15,38.85,5678896,
6,2022-12-14 00:00:00+05:30,39.15,39.35,38.5,38.65,3685227,
7,2022-12-15 00:00:00+05:30,38.85,38.9,37.35,37.55,5662355,
8,2022-12-16 00:00:00+05:30,38.3,38.35,36.85,37.15,7160368,
9,2022-12-19 00:00:00+05:30,37.4,37.5,36.35,37.2,4656117,
10,2022-12-20 00:00:00+05:30,37.2,38.3,36.7,38.05,8984811,
11,2022-12-21 00:00:00+05:30,38.2,38.3,35.5,35.7,12583369,
12,2022-12-22 00:00:00+05:30,35.9,36.3,33.55,33.8,8986100,
13,2022-12-23 00:00:00+05:30,33.15,33.6,31.75,32.1,14073715,
14,2022-12-26 00:00:00+05:30,33.05,34.95,32.8,33.7,18060968,
15,2022-12-27 00:00:00+05:30,34.15,34.85,33.6,34.65,6110891,
16,2022-12-28 00:00:00+05:30,34.6,35.4,34.0,34.6,6401852,
17,2022-12-29 00:00:00+05:30,34.5,34.8,34.15,34.35,3677382,
18,2022-12-30 00:00:00+05:30,34.6,34.9,34.2,34.25,4907850,
19,2023-01-02 00:00:00+05:30,34.4,35.55,34.15,35.05,4099418,
20,2023-01-03 00:00:00+05:30,35.25,35.45,34.85,35.05,3586439,
21,2023-01-04 00:00:00+05:30,35.25,35.3,34.25,34.3,3307082,
22,2023-01-05 00:00:00+05:30,35.45,35.7,34.4,34.65,9862273,
23,2023-01-06 00:00:00+05:30,34.85,34.85,34.25,34.45,3087322,
24,2023-01-09 00:00:00+05:30,34.7,34.75,34.15,34.2,3084693,
25,2023-01-10 00:00:00+05:30,34.2,34.25,33.75,33.85,2055836,
26,2023-01-11 00:00:00+05:30,33.9,34.0,33.6,33.8,2249827,
27,2023-01-12 00:00:00+05:30,33.8,33.95,33.5,33.6,1542385,
28,2023-01-13 00:00:00+05:30,33.7,34.0,33.5,33.75,1740349,
29,2023-01-16 00:00:00+05:30,33.8,34.1,33.65,33.85,1998445,
30,2023-01-17 00:00:00+05:30,33.85,34.1,33.75,33.9,2593233,
31,2023-01-18 00:00:00+05:30,34.25,34.6,34.0,34.1,2824218,
32,2023-01-19 00:00:00+05:30,33.95,34.1,33.85,33.95,1774826,
33,2023-01-20 00:00:00+05:30,33.9,34.3,33.9,34.05,2635636,
34,2023-01-23 00:00:00+05:30,34.2,34.25,33.95,34.1,1823665,
35,2023-01-24 00:00:00+05:30,34.2,34.55,34.0,34.15,4322573,
36,2023-01-25 00:00:00+05:30,34.2,35.2,33.85,34.5,6446459,
37,2023-01-27 00:00:00+05:30,34.8,34.9,33.25,33.9,4523843,
38,2023-01-30 00:00:00+05:30,34.0,34.2,33.25,33.6,2816324,
39,2023-01-31 00:00:00+05:30,33.65,34.15,33.45,34.0,2045116,
40,2023-02-01 00:00:00+05:30,34.2,34.45,32.7,33.1,4105537,
41,2023-02-02 00:00:00+05:30,32.9,33.5,32.8,32.9,2060787,
42,2023-02-03 00:00:00+05:30,33.0,33.2,32.1,32.25,2885139,
43,2023-02-06 00:00:00+05:30,32.4,33.45,32.25,33.3,2675638,
