,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,100.6,101.65,98.8,99.55,1170475,
1,2022-12-07 00:00:00+05:30,100.45,103.7,98.3,101.25,4628102,
2,2022-12-08 00:00:00+05:30,101.5,102.0,99.5,99.6,1486281,
3,2022-12-09 00:00:00+05:30,100.35,101.0,98.05,98.7,1396964,
4,2022-12-12 00:00:00+05:30,98.75,98.8,97.5,97.75,974802,
5,2022-12-13 00:00:00+05:30,97.9,100.55,97.6,98.3,2446511,
6,2022-12-14 00:00:00+05:30,98.3,102.1,97.85,98.75,2768648,
7,2022-12-15 00:00:00+05:30,99.25,101.7,98.35,98.7,3325838,
8,2022-12-16 00:00:00+05:30,98.65,99.35,97.25,97.85,1583091,
9,2022-12-19 00:00:00+05:30,98.05,98.25,94.55,95.05,2924250,
10,2022-12-20 00:00:00+05:30,96.05,96.45,93.5,93.85,1547128,
11,2022-12-21 00:00:00+05:30,94.5,95.85,91.05,91.85,1730726,
12,2022-12-22 00:00:00+05:30,91.9,93.3,87.3,87.3,4808221,
13,2022-12-23 00:00:00+05:30,84.7,84.7,82.95,82.95,3102789,
14,2022-12-26 00:00:00+05:30,80.0,87.0,78.85,83.15,6762105,
15,2022-12-27 00:00:00+05:30,85.8,87.3,83.65,87.3,2077068,
16,2022-12-28 00:00:00+05:30,89.5,91.65,89.2,91.65,1005878,
17,2022-12-29 00:00:00+05:30,96.2,96.2,92.05,93.25,7946840,
18,2022-12-30 00:00:00+05:30,94.45,94.85,92.5,92.75,1245401,
19,2023-01-02 00:00:00+05:30,92.85,93.8,91.15,91.8,1453404,
20,2023-01-03 00:00:00+05:30,91.8,93.6,91.15,91.65,1176762,
21,2023-01-04 00:00:00+05:30,92.0,92.0,89.45,89.65,969518,
22,2023-01-05 00:00:00+05:30,89.8,90.4,87.85,88.9,953353,
23,2023-01-06 00:00:00+05:30,89.45,89.45,86.5,87.3,1320023,
24,2023-01-09 00:00:00+05:30,88.0,88.8,86.0,86.55,1077246,
25,2023-01-10 00:00:00+05:30,87.0,88.2,85.2,86.55,1479568,
26,2023-01-11 00:00:00+05:30,86.5,87.8,85.3,85.55,1120866,
27,2023-01-12 00:00:00+05:30,85.55,86.15,84.85,85.05,801554,
28,2023-01-13 00:00:00+05:30,84.95,87.0,84.95,85.3,1131121,
29,2023-01-16 00:00:00+05:30,85.8,85.85,84.4,84.5,955572,
30,2023-01-17 00:00:00+05:30,84.45,84.7,82.45,83.25,1040811,
31,2023-01-18 00:00:00+05:30,82.8,87.4,82.15,87.4,4160533,
32,2023-01-19 00:00:00+05:30,87.4,89.4,86.0,86.3,1633024,
33,2023-01-20 00:00:00+05:30,87.2,87.2,84.5,84.65,686063,
34,2023-01-23 00:00:00+05:30,85.5,85.6,82.3,83.0,967078,
35,2023-01-24 00:00:00+05:30,83.75,83.95,82.7,82.9,747563,
36,2023-01-25 00:00:00+05:30,82.85,82.85,79.7,81.1,1365359,
37,2023-01-27 00:00:00+05:30,81.0,81.15,77.05,77.65,2134434,
38,2023-01-30 00:00:00+05:30,77.75,79.75,75.0,75.5,1480899,
39,2023-01-31 00:00:00+05:30,73.0,79.25,73.0,79.25,1918856,
40,2023-02-01 00:00:00+05:30,80.85,83.2,77.1,80.2,3490144,
41,2023-02-02 00:00:00+05:30,81.0,82.4,77.0,77.45,1758997,
42,2023-02-03 00:00:00+05:30,78.7,78.7,74.25,77.6,2299957,
43,2023-02-06 00:00:00+05:30,78.0,79.5,77.25,77.6,1109737,
44,2023-02-07 00:00:00+05:30,78.4,78.6,73.0,74.6,2103218,
45,2023-02-08 00:00:00+05:30,74.55,74.75,70.8,71.25,3348496,
46,2023-02-09 00:00:00+05:30,71.25,73.4,68.7,69.25,3913139,
47,2023-02-10 00:00:00+05:30,69.05,70.0,64.7,66.4,4975666,
48,2023-02-13 00:00:00+05:30,64.8,72.2,64.75,69.8,4815187,
49,2023-02-14 00:00:00+05:30,70.55,72.85,67.0,67.35,2692465,
50,2023-02-15 00:00:00+05:30,66.8,67.35,65.0,66.35,2413143,
51,2023-02-16 00:00:00+05:30,67.0,68.7,66.5,67.0,1723527,
52,2023-02-17 00:00:00+05:30,67.0,68.2,65.6,66.1,1710945,
53,2023-02-20 00:00:00+05:30,66.45,66.5,63.55,63.8,2332993,
54,2023-02-21 00:00:00+05:30,64.05,64.5,59.05,59.7,5525302,
55,2023-02-22 00:00:00+05:30,59.7,62.75,56.25,57.3,9366911,
56,2023-02-23 00:00:00+05:30,57.25,63.0,52.6,59.0,19164087,
57,2023-02-24 00:00:00+05:30,59.5,60.65,56.3,57.55,11962653,
58,2023-02-27 00:00:00+05:30,56.4,57.45,52.1,53.5,7752691,
59,2023-02-28 00:00:00+05:30,54.0,56.15,52.5,56.05,8044125,
60,2023-03-01 00:00:00+05:30,56.8,58.85,56.3,58.85,5334663,
61,2023-03-02 00:00:00+05:30,60.5,61.75,60.1,61.75,940416,
62,2023-03-03 00:00:00+05:30,64.5,64.8,64.0,64.8,1646386,
63,2023-03-06 00:00:00+05:30,68.0,68.0,68.0,68.0,381219,
