,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,16.1,16.2,15.9,15.95,1522197,
1,2022-12-07 00:00:00+05:30,16.0,16.1,15.8,15.95,1675642,
2,2022-12-08 00:00:00+05:30,15.95,16.0,15.8,15.9,1246451,
3,2022-12-09 00:00:00+05:30,15.9,15.95,15.6,15.7,1467607,
4,2022-12-12 00:00:00+05:30,15.7,15.9,15.55,15.6,1968555,
5,2022-12-13 00:00:00+05:30,15.75,16.35,15.65,16.35,2640270,
6,2022-12-14 00:00:00+05:30,16.65,16.9,16.5,16.55,3939412,
7,2022-12-15 00:00:00+05:30,16.7,16.85,16.0,16.05,2630101,
8,2022-12-16 00:00:00+05:30,16.15,16.85,16.1,16.8,3127429,
9,2022-12-19 00:00:00+05:30,16.85,17.35,16.8,17.15,2806322,
10,2022-12-20 00:00:00+05:30,17.35,17.4,16.65,16.95,1587934,
11,2022-12-21 00:00:00+05:30,17.05,17.1,16.15,16.15,2397487,
12,2022-12-22 00:00:00+05:30,16.0,16.15,15.35,15.5,2800845,
13,2022-12-23 00:00:00+05:30,15.3,15.3,14.75,14.75,3149174,
14,2022-12-26 00:00:00+05:30,14.5,15.45,14.2,15.45,1699188,
15,2022-12-27 00:00:00+05:30,15.5,15.75,15.45,15.55,1574655,
16,2022-12-28 00:00:00+05:30,15.7,15.7,15.5,15.6,968742,
17,2022-12-29 00:00:00+05:30,15.6,15.7,15.4,15.55,1133967,
18,2022-12-30 00:00:00+05:30,15.55,15.9,15.4,15.55,1191161,
19,2023-01-02 00:00:00+05:30,15.55,15.9,15.4,15.75,1157702,
20,2023-01-03 00:00:00+05:30,15.95,15.95,15.7,15.8,1022291,
21,2023-01-04 00:00:00+05:30,15.95,15.95,15.6,15.65,857561,
22,2023-01-05 00:00:00+05:30,15.75,15.75,15.25,15.45,1287556,
23,2023-01-06 00:00:00+05:30,15.65,15.65,15.3,15.4,725217,
24,2023-01-09 00:00:00+05:30,15.6,15.65,15.2,15.3,952070,
25,2023-01-10 00:00:00+05:30,15.3,15.4,15.0,15.15,1233396,
26,2023-01-11 00:00:00+05:30,15.15,15.5,15.15,15.25,824293,
27,2023-01-12 00:00:00+05:30,15.4,15.45,15.1,15.2,1003869,
28,2023-01-13 00:00:00+05:30,15.2,15.35,15.0,15.2,950062,
29,2023-01-16 00:00:00+05:30,15.15,15.35,15.0,15.05,1097170,
30,2023-01-17 00:00:00+05:30,15.1,15.3,14.8,15.0,1536472,
31,2023-01-18 00:00:00+05:30,15.0,15.2,14.9,14.95,1195125,
32,2023-01-19 00:00:00+05:30,14.2,14.5,14.2,14.4,5302655,
33,2023-01-20 00:00:00+05:30,14.4,14.4,14.1,14.15,2102810,
34,2023-01-23 00:00:00+05:30,14.15,14.15,13.45,13.45,4886862,
35,2023-01-24 00:00:00+05:30,13.0,14.0,12.8,13.95,5459621,
36,2023-01-25 00:00:00+05:30,14.0,14.05,13.3,13.45,1895766,
37,2023-01-27 00:00:00+05:30,13.5,13.5,12.8,13.1,2505157,
38,2023-01-30 00:00:00+05:30,13.1,13.35,12.75,12.95,1306433,
39,2023-01-31 00:00:00+05:30,13.25,13.55,12.5,13.4,2275103,
40,2023-02-01 00:00:00+05:30,13.55,13.75,12.85,13.1,1656716,
41,2023-02-02 00:00:00+05:30,13.25,13.25,12.75,12.95,1551343,
42,2023-02-03 00:00:00+05:30,12.95,13.0,12.7,12.85,1731132,
43,2023-02-06 00:00:00+05:30,12.85,13.0,12.8,12.9,1022347,
44,2023-02-07 00:00:00+05:30,12.9,13.0,12.5,12.6,2753902,
45,2023-02-08 00:00:00+05:30,12.65,13.0,12.6,12.9,1717888,
46,2023-02-09 00:00:00+05:30,13.0,13.0,12.7,12.85,1323487,
47,2023-02-10 00:00:00+05:30,12.7,13.0,12.7,12.85,1382949,
48,2023-02-13 00:00:00+05:30,12.95,12.95,12.6,12.65,1052350,
49,2023-02-14 00:00:00+05:30,12.85,12.85,12.3,12.35,1613279,
50,2023-02-15 00:00:00+05:30,12.45,12.55,12.05,12.35,1156508,
51,2023-02-16 00:00:00+05:30,12.5,12.55,12.0,12.1,1907660,
52,2023-02-17 00:00:00+05:30,12.2,12.2,11.6,11.7,3273987,
53,2023-02-20 00:00:00+05:30,11.7,11.8,11.15,11.15,3331421,
54,2023-02-21 00:00:00+05:30,10.6,10.95,10.6,10.6,2853986,
55,2023-02-22 00:00:00+05:30,10.1,11.1,10.1,11.1,4156899,
56,2023-02-23 00:00:00+05:30,11.65,11.65,11.4,11.65,1291564,
57,2023-02-24 00:00:00+05:30,12.2,12.2,12.2,12.2,1071840,
58,2023-02-27 00:00:00+05:30,12.8,12.8,12.8,12.8,542110,
59,2023-02-28 00:00:00+05:30,13.4,13.4,12.2,12.5,7583930,
60,2023-03-01 00:00:00+05:30,13.0,14.45,11.6,14.15,13416571,
61,2023-03-02 00:00:00+05:30,14.45,14.45,13.6,13.9,4909270,
62,2023-03-03 00:00:00+05:30,14.05,14.4,13.7,13.75,5109273,
63,2023-03-06 00:00:00+05:30,13.9,14.0,13.35,13.4,3024369,
64,2023-03-08 00:00:00+05:30,13.3,13.8,13.0,13.5,2574579,
65,2023-03-09 00:00:00+05:30,13.55,13.65,13.1,13.2,2730705,
66,2023-03-10 00:00:00+05:30,13.05,13.5,13.0,13.05,4181197,
67,2023-03-13 00:00:00+05:30,13.15,13.15,12.3,12.45,2889152,
68,2023-03-14 00:00:00+05:30,12.6,12.65,11.75,12.1,3824542,
69,2023-03-15 00:00:00+05:30,12.2,13.7,12.2,12.75,26273638,
70,2023-03-16 00:00:00+05:30,13.05,13.5,12.8,12.95,12565756,
71,2023-03-17 00:00:00+05:30,13.35,13.35,12.8,12.95,4055938,
72,2023-03-20 00:00:00+05:30,12.95,13.0,12.25,12.4,4020697,
73,2023-03-21 00:00:00+05:30,12.55,12.85,12.2,12.5,3925653,
74,2023-03-22 00:00:00+05:30,12.55,13.0,12.5,12.85,4476820,
75,2023-03-23 00:00:00+05:30,12.8,13.1,12.45,12.55,3782993,
76,2023-03-24 00:00:00+05:30,12.6,12.75,12.3,12.3,2887531,
77,2023-03-27 00:00:00+05:30,12.4,12.45,11.5,11.6,5269555,
78,2023-03-28 00:00:00+05:30,11.6,11.7,10.9,11.0,6089554,
79,2023-03-29 00:00:00+05:30,11.0,11.95,10.9,11.1,13933193,
80,2023-03-31 00:00:00+05:30,11.2,11.8,11.2,11.6,11698620,
81,2023-04-03 00:00:00+05:30,11.75,12.5,11.4,12.25,10879820,
82,2023-04-05 00:00:00+05:30,12.25,12.65,12.05,12.45,8317337,
83,2023-04-06 00:00:00+05:30,12.5,12.9,12.3,12.75,6628591,
84,2023-04-10 00:00:00+05:30,12.75,13.1,12.4,12.55,6970511,
85,2023-04-11 00:00:00+05:30,12.7,12.8,12.15,12.3,5149187,
86,2023-04-12 00:00:00+05:30,12.35,13.4,12.25,13.15,15718970,
87,2023-04-13 00:00:00+05:30,13.2,13.4,12.75,12.95,7147769,
88,2023-04-17 00:00:00+05:30,12.85,13.05,12.55,12.8,4984954,
89,2023-04-18 00:00:00+05:30,12.85,13.0,12.5,12.55,5221243,
90,2023-04-19 00:00:00+05:30,12.6,13.0,12.6,12.85,9208809,
91,2023-04-20 00:00:00+05:30,11.75,12.4,11.4,11.95,21248918,
92,2023-04-21 00:00:00+05:30,11.95,12.2,11.8,11.85,5081953,
93,2023-04-24 00:00:00+05:30,11.95,12.15,11.85,11.85,4027725,
94,2023-04-25 00:00:00+05:30,11.9,12.0,11.7,11.8,4157693,
95,2023-04-26 00:00:00+05:30,11.9,11.95,11.75,11.85,4634269,
96,2023-04-27 00:00:00+05:30,11.9,13.5,11.8,12.7,56875390,
97,2023-04-28 00:00:00+05:30,12.8,12.95,12.5,12.6,10946678,
98,2023-05-02 00:00:00+05:30,12.65,14.1,12.55,13.6,35555062,
99,2023-05-03 00:00:00+05:30,13.45,13.55,13.05,13.1,10901024,
100,2023-05-04 00:00:00+05:30,13.2,14.8,13.15,14.25,48014337,
101,2023-05-05 00:00:00+05:30,14.15,14.65,13.65,14.0,18746958,
102,2023-05-08 00:00:00+05:30,14.15,14.35,13.65,13.85,10034045,
103,2023-05-09 00:00:00+05:30,13.95,14.2,13.45,13.65,7918999,
104,2023-05-10 00:00:00+05:30,13.75,13.8,13.3,13.55,6227469,
105,2023-05-11 00:00:00+05:30,13.65,14.1,13.45,13.55,8679529,
106,2023-05-12 00:00:00+05:30,13.6,13.7,13.35,13.4,4538536,
107,2023-05-15 00:00:00+05:30,13.45,13.5,13.15,13.2,4639986,
108,2023-05-16 00:00:00+05:30,13.25,13.45,13.1,13.15,5533638,
109,2023-05-17 00:00:00+05:30,13.2,13.3,12.9,13.05,5696545,
110,2023-05-18 00:00:00+05:30,13.15,13.65,13.1,13.4,11938735,
111,2023-05-19 00:00:00+05:30,13.5,13.6,13.05,13.1,7424343,
112,2023-05-22 00:00:00+05:30,13.05,13.2,12.85,12.95,5497542,
113,2023-05-23 00:00:00+05:30,13.0,13.15,12.9,12.95,4931331,
114,2023-05-24 00:00:00+05:30,12.9,13.1,12.65,12.75,4885735,
115,2023-05-25 00:00:00+05:30,12.75,12.9,12.6,12.75,4303135,
116,2023-05-26 00:00:00+05:30,12.75,12.85,12.6,12.65,3563179,
117,2023-05-29 00:00:00+05:30,12.7,13.0,12.65,12.8,4284124,
118,2023-05-30 00:00:00+05:30,12.85,12.9,12.6,12.7,2371960,
119,2023-05-31 00:00:00+05:30,12.65,13.55,12.6,13.45,11731352,
120,2023-06-01 00:00:00+05:30,13.45,14.05,13.15,13.85,9293984,
121,2023-06-02 00:00:00+05:30,13.85,14.3,13.55,13.8,9468347,
122,2023-06-05 00:00:00+05:30,13.8,14.05,13.6,13.65,7121425,
123,2023-06-06 00:00:00+05:30,13.7,13.8,13.5,13.55,3555029,
124,2023-06-07 00:00:00+05:30,13.55,14.05,13.55,13.7,8755992,
125,2023-06-08 00:00:00+05:30,13.75,15.05,13.7,14.4,59553530,
126,2023-06-09 00:00:00+05:30,14.5,14.6,13.9,14.05,14347438,
127,2023-06-12 00:00:00+05:30,14.15,14.6,13.85,14.15,13230643,
128,2023-06-13 00:00:00+05:30,14.25,14.35,13.95,14.05,7526795,
129,2023-06-14 00:00:00+05:30,14.1,14.65,14.0,14.15,13200845,
130,2023-06-15 00:00:00+05:30,14.2,14.55,14.05,14.1,10301274,
131,2023-06-16 00:00:00+05:30,14.2,15.5,14.15,15.4,46149346,
132,2023-06-19 00:00:00+05:30,15.5,17.6,15.2,17.0,166073299,
133,2023-06-20 00:00:00+05:30,16.9,17.1,16.05,16.25,54626600,
134,2023-06-21 00:00:00+05:30,16.4,18.15,16.3,17.9,116357650,
135,2023-06-22 00:00:00+05:30,18.15,19.3,17.8,18.25,204694561,
136,2023-06-23 00:00:00+05:30,18.25,18.3,17.2,17.55,34148848,
137,2023-06-26 00:00:00+05:30,17.9,18.65,17.55,18.05,14586637,
138,2023-06-27 00:00:00+05:30,18.15,18.2,17.3,17.5,7945227,
139,2023-06-28 00:00:00+05:30,17.7,17.75,16.85,16.95,8396572,
140,2023-06-30 00:00:00+05:30,17.0,17.15,16.25,16.35,8187399,
141,2023-07-03 00:00:00+05:30,16.7,16.95,16.4,16.65,7527964,
142,2023-07-04 00:00:00+05:30,16.8,17.6,16.5,16.6,18787507,
143,2023-07-05 00:00:00+05:30,16.75,17.25,16.55,16.7,13614581,
144,2023-07-06 00:00:00+05:30,16.75,17.05,16.6,16.75,10020079,
145,2023-07-07 00:00:00+05:30,16.75,16.9,16.3,16.45,11145629,
