,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,599.85,599.85,590.0,590.7,38004,
1,2022-12-07 00:00:00+05:30,585.1,590.95,585.0,588.15,26340,
2,2022-12-08 00:00:00+05:30,588.5,601.35,588.5,599.75,80821,
3,2022-12-09 00:00:00+05:30,602.75,608.6,587.05,595.85,152347,
4,2022-12-12 00:00:00+05:30,598.2,598.45,590.6,596.85,31826,
5,2022-12-13 00:00:00+05:30,596.85,598.2,591.05,594.95,63761,
6,2022-12-14 00:00:00+05:30,595.0,603.0,592.4,597.8,40112,
7,2022-12-15 00:00:00+05:30,593.15,599.0,584.0,586.6,47483,
8,2022-12-16 00:00:00+05:30,586.0,590.45,579.9,583.2,38018,
9,2022-12-19 00:00:00+05:30,583.0,589.0,562.85,580.55,155167,
10,2022-12-20 00:00:00+05:30,576.0,583.5,573.95,576.7,25467,
11,2022-12-21 00:00:00+05:30,579.7,604.75,575.8,597.95,155414,
12,2022-12-22 00:00:00+05:30,600.95,602.8,588.0,589.0,56844,
13,2022-12-23 00:00:00+05:30,586.0,600.0,574.55,580.05,96912,
14,2022-12-26 00:00:00+05:30,585.0,592.5,579.55,586.4,72330,
15,2022-12-27 00:00:00+05:30,586.35,600.0,584.2,595.5,48667,
16,2022-12-28 00:00:00+05:30,599.0,599.0,587.05,588.6,27020,
17,2022-12-29 00:00:00+05:30,588.6,593.0,578.1,580.55,40856,
18,2022-12-30 00:00:00+05:30,580.0,585.75,571.95,572.9,72581,
19,2023-01-02 00:00:00+05:30,575.8,575.8,566.0,568.9,150760,
20,2023-01-03 00:00:00+05:30,570.0,575.2,569.2,573.6,56980,
21,2023-01-04 00:00:00+05:30,574.9,582.6,568.15,572.8,96721,
22,2023-01-05 00:00:00+05:30,569.2,582.9,565.55,568.1,63838,
23,2023-01-06 00:00:00+05:30,567.1,569.2,561.0,561.3,89746,
24,2023-01-09 00:00:00+05:30,564.85,567.0,558.6,561.3,46565,
25,2023-01-10 00:00:00+05:30,564.3,565.45,556.4,558.2,39370,
26,2023-01-11 00:00:00+05:30,561.0,562.0,552.7,556.25,353856,
27,2023-01-12 00:00:00+05:30,559.0,560.0,553.0,557.4,45939,
28,2023-01-13 00:00:00+05:30,559.0,560.0,554.0,555.2,29296,
29,2023-01-16 00:00:00+05:30,557.95,558.9,551.0,552.2,30221,
30,2023-01-17 00:00:00+05:30,552.2,555.8,550.0,550.85,50753,
31,2023-01-18 00:00:00+05:30,552.0,554.85,550.35,553.05,30330,
32,2023-01-19 00:00:00+05:30,553.05,561.05,552.9,558.4,78983,
33,2023-01-20 00:00:00+05:30,559.0,559.95,553.1,554.6,22980,
34,2023-01-23 00:00:00+05:30,556.4,560.0,551.3,559.6,98414,
35,2023-01-24 00:00:00+05:30,559.75,560.0,550.1,551.25,31249,
36,2023-01-25 00:00:00+05:30,553.8,553.8,543.45,546.0,36187,
37,2023-01-27 00:00:00+05:30,542.1,551.05,532.0,538.6,58259,
38,2023-01-30 00:00:00+05:30,538.6,546.0,535.4,536.6,26157,
39,2023-01-31 00:00:00+05:30,534.25,540.0,534.25,538.25,28334,
40,2023-02-01 00:00:00+05:30,540.95,554.2,535.05,539.65,39032,
41,2023-02-02 00:00:00+05:30,534.0,547.75,534.0,540.95,120679,
42,2023-02-03 00:00:00+05:30,541.0,541.05,525.25,535.15,148702,
43,2023-02-06 00:00:00+05:30,535.15,536.0,527.0,528.3,70799,
44,2023-02-07 00:00:00+05:30,525.15,529.45,518.3,522.9,155363,
45,2023-02-08 00:00:00+05:30,524.9,529.2,521.15,526.9,60180,
46,2023-02-09 00:00:00+05:30,526.1,530.9,521.0,521.6,45823,
47,2023-02-10 00:00:00+05:30,520.0,529.65,519.2,524.65,53910,
48,2023-02-13 00:00:00+05:30,524.65,524.95,512.2,514.9,54902,
49,2023-02-14 00:00:00+05:30,513.9,513.9,495.0,497.7,106158,
50,2023-02-15 00:00:00+05:30,497.4,509.0,494.8,501.4,117136,
51,2023-02-16 00:00:00+05:30,503.95,523.0,502.05,512.45,129254,
52,2023-02-17 00:00:00+05:30,509.1,509.1,503.1,505.25,165173,
53,2023-02-20 00:00:00+05:30,505.25,521.3,504.4,515.15,222587,
54,2023-02-21 00:00:00+05:30,515.15,522.35,506.0,520.45,378086,
55,2023-02-22 00:00:00+05:30,519.7,524.95,515.25,520.8,299436,
56,2023-02-23 00:00:00+05:30,520.8,525.6,516.1,524.8,60994,
57,2023-02-24 00:00:00+05:30,526.5,535.0,522.55,531.3,92489,
58,2023-02-27 00:00:00+05:30,527.0,529.9,507.5,510.05,148299,
59,2023-02-28 00:00:00+05:30,511.0,516.0,505.7,511.3,57433,
60,2023-03-01 00:00:00+05:30,509.8,512.15,506.0,507.25,46797,
61,2023-03-02 00:00:00+05:30,509.25,509.25,500.05,503.3,72471,
62,2023-03-03 00:00:00+05:30,480.0,510.0,476.5,502.75,509155,
63,2023-03-06 00:00:00+05:30,505.3,529.75,505.05,525.75,189085,
64,2023-03-08 00:00:00+05:30,525.0,525.7,510.2,512.15,77971,
65,2023-03-09 00:00:00+05:30,514.75,518.2,502.25,504.9,66450,
66,2023-03-10 00:00:00+05:30,504.5,509.0,494.0,498.95,92924,
67,2023-03-13 00:00:00+05:30,498.0,498.6,482.0,488.35,99909,
68,2023-03-14 00:00:00+05:30,480.85,496.45,480.0,482.7,130502,
69,2023-03-15 00:00:00+05:30,485.2,492.0,482.0,485.45,70641,
70,2023-03-16 00:00:00+05:30,488.0,502.6,480.7,486.55,173234,
71,2023-03-17 00:00:00+05:30,488.0,491.35,477.25,479.5,64282,
72,2023-03-20 00:00:00+05:30,480.15,493.95,476.05,479.8,94560,
73,2023-03-21 00:00:00+05:30,480.7,497.0,479.85,492.65,110829,
74,2023-03-22 00:00:00+05:30,494.0,500.0,492.65,497.4,55139,
75,2023-03-23 00:00:00+05:30,494.45,498.95,485.7,489.65,47297,
76,2023-03-24 00:00:00+05:30,489.65,492.7,483.0,484.75,48915,
77,2023-03-27 00:00:00+05:30,483.0,491.6,478.6,489.05,274697,
78,2023-03-28 00:00:00+05:30,487.0,490.0,477.0,478.55,119691,
79,2023-03-29 00:00:00+05:30,477.0,482.8,462.3,468.65,242515,
80,2023-03-31 00:00:00+05:30,479.4,509.4,471.0,496.35,1129562,
81,2023-04-03 00:00:00+05:30,492.75,505.0,488.0,493.15,123902,
82,2023-04-05 00:00:00+05:30,493.15,501.95,488.85,498.9,85434,
83,2023-04-06 00:00:00+05:30,501.5,521.9,501.5,508.5,403889,
