,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,33.7,34.65,32.3,32.65,31873150,
1,2022-12-07 00:00:00+05:30,33.1,34.35,32.35,33.8,22603570,
2,2022-12-08 00:00:00+05:30,35.0,37.0,34.7,35.25,30152291,
3,2022-12-09 00:00:00+05:30,35.5,35.5,31.95,32.4,24180834,
4,2022-12-12 00:00:00+05:30,33.3,35.05,32.05,34.6,25483940,
5,2022-12-13 00:00:00+05:30,34.2,35.25,33.45,33.8,29369672,
6,2022-12-14 00:00:00+05:30,33.8,34.9,33.25,33.5,14651062,
7,2022-12-15 00:00:00+05:30,33.5,33.95,32.95,33.25,9032891,
8,2022-12-16 00:00:00+05:30,33.2,34.5,32.8,33.15,19461732,
9,2022-12-19 00:00:00+05:30,33.25,33.75,32.95,33.2,13841856,
10,2022-12-20 00:00:00+05:30,32.65,33.85,32.0,32.55,11738831,
11,2022-12-21 00:00:00+05:30,32.75,35.95,30.9,31.7,101017358,
12,2022-12-22 00:00:00+05:30,32.0,32.75,30.0,30.15,33744998,
13,2022-12-23 00:00:00+05:30,30.15,31.15,27.7,28.05,33926158,
14,2022-12-26 00:00:00+05:30,28.1,31.0,27.2,30.0,48504626,
15,2022-12-27 00:00:00+05:30,30.6,30.75,28.75,29.1,40085181,
16,2022-12-28 00:00:00+05:30,29.1,29.45,27.95,28.55,44028438,
17,2022-12-29 00:00:00+05:30,28.0,30.0,26.25,29.4,85128920,
18,2022-12-30 00:00:00+05:30,29.85,30.8,28.8,29.4,41915458,
19,2023-01-02 00:00:00+05:30,29.5,30.25,28.7,29.15,25134753,
20,2023-01-03 00:00:00+05:30,29.4,29.95,28.45,28.9,52097320,
21,2023-01-04 00:00:00+05:30,29.35,29.35,28.4,28.7,18722291,
22,2023-01-05 00:00:00+05:30,28.85,29.0,28.5,28.6,5872790,
23,2023-01-06 00:00:00+05:30,28.75,28.95,28.15,28.5,11186121,
24,2023-01-09 00:00:00+05:30,28.8,28.95,28.2,28.3,9640783,
25,2023-01-10 00:00:00+05:30,28.4,28.4,27.25,27.4,19338131,
26,2023-01-11 00:00:00+05:30,28.0,28.0,27.05,27.3,17966320,
27,2023-01-12 00:00:00+05:30,27.25,31.05,26.55,29.0,34409718,
28,2023-01-13 00:00:00+05:30,28.3,30.55,28.2,29.25,44726808,
29,2023-01-16 00:00:00+05:30,29.0,29.85,28.05,28.65,27450223,
30,2023-01-17 00:00:00+05:30,28.75,29.3,28.2,28.65,17900310,
31,2023-01-18 00:00:00+05:30,28.65,28.75,28.1,28.25,8249192,
32,2023-01-19 00:00:00+05:30,28.05,28.6,27.85,28.05,9627568,
33,2023-01-20 00:00:00+05:30,28.05,28.3,27.75,27.9,5779458,
34,2023-01-23 00:00:00+05:30,28.05,28.15,27.35,27.65,8277421,
35,2023-01-24 00:00:00+05:30,27.8,27.95,27.25,27.4,4539511,
36,2023-01-25 00:00:00+05:30,27.35,27.55,26.7,26.95,9609325,
37,2023-01-27 00:00:00+05:30,26.95,26.95,25.6,26.1,8838954,
38,2023-01-30 00:00:00+05:30,26.1,26.5,24.6,24.9,12148708,
39,2023-01-31 00:00:00+05:30,24.85,26.2,23.8,25.0,35300932,
40,2023-02-01 00:00:00+05:30,25.25,28.9,25.25,26.7,63322940,
41,2023-02-02 00:00:00+05:30,28.7,28.95,26.6,27.1,38574260,
42,2023-02-03 00:00:00+05:30,27.25,27.9,25.95,27.4,26479010,
43,2023-02-06 00:00:00+05:30,29.4,29.4,27.7,28.5,29716352,
44,2023-02-07 00:00:00+05:30,27.9,27.95,26.35,26.8,31471125,
45,2023-02-08 00:00:00+05:30,26.3,27.0,26.05,26.4,30439796,
46,2023-02-09 00:00:00+05:30,26.25,26.7,25.55,25.95,28534205,
47,2023-02-10 00:00:00+05:30,26.05,26.05,25.05,25.25,20556468,
48,2023-02-13 00:00:00+05:30,25.0,25.3,24.2,24.35,22369528,
49,2023-02-14 00:00:00+05:30,24.3,24.7,23.4,23.7,39039671,
50,2023-02-15 00:00:00+05:30,23.65,26.9,23.5,26.45,91916617,
51,2023-02-16 00:00:00+05:30,26.75,27.9,24.95,25.45,77713017,
52,2023-02-17 00:00:00+05:30,25.0,25.4,24.65,24.7,38305710,
53,2023-02-20 00:00:00+05:30,24.7,25.6,24.4,24.5,52210054,
54,2023-02-21 00:00:00+05:30,24.5,24.9,24.25,24.45,44991087,
55,2023-02-22 00:00:00+05:30,24.45,24.9,23.45,23.7,40362906,
56,2023-02-23 00:00:00+05:30,23.7,24.05,22.95,23.15,24113712,
57,2023-02-24 00:00:00+05:30,23.25,23.5,23.1,23.35,9497560,
58,2023-02-27 00:00:00+05:30,23.35,23.4,22.9,23.05,11090664,
59,2023-02-28 00:00:00+05:30,23.0,23.4,22.7,22.95,19027243,
60,2023-03-01 00:00:00+05:30,23.0,23.5,22.5,22.65,30624291,
