,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,498.5,500.6,494.15,499.45,68284,
1,2022-12-07 00:00:00+05:30,501.65,501.65,483.0,484.8,127202,
2,2022-12-08 00:00:00+05:30,484.8,498.75,478.0,481.75,162534,
3,2022-12-09 00:00:00+05:30,483.9,486.0,465.4,468.65,157187,
4,2022-12-12 00:00:00+05:30,469.7,473.5,463.6,471.75,71664,
5,2022-12-13 00:00:00+05:30,473.1,480.0,470.5,476.45,53908,
6,2022-12-14 00:00:00+05:30,478.8,480.95,466.0,474.0,115505,
7,2022-12-15 00:00:00+05:30,476.3,477.0,455.0,458.65,380787,
8,2022-12-16 00:00:00+05:30,462.4,462.4,450.5,455.05,284381,
9,2022-12-19 00:00:00+05:30,457.35,458.75,450.0,456.4,165033,
10,2022-12-20 00:00:00+05:30,459.45,459.45,447.0,448.4,297997,
11,2022-12-21 00:00:00+05:30,455.0,467.9,451.65,460.3,422001,
12,2022-12-22 00:00:00+05:30,460.3,463.2,444.6,453.3,164243,
13,2022-12-23 00:00:00+05:30,449.2,478.65,448.05,471.2,993184,
14,2022-12-26 00:00:00+05:30,470.0,480.95,466.8,472.25,333963,
15,2022-12-27 00:00:00+05:30,475.35,477.6,464.1,470.5,260040,
16,2022-12-28 00:00:00+05:30,468.55,478.0,467.8,469.95,97078,
17,2022-12-29 00:00:00+05:30,471.95,477.5,465.75,470.7,512321,
18,2022-12-30 00:00:00+05:30,475.4,477.2,463.0,465.05,315846,
19,2023-01-02 00:00:00+05:30,467.0,469.75,463.0,465.1,103908,
20,2023-01-03 00:00:00+05:30,465.1,474.2,462.05,466.35,149016,
21,2023-01-04 00:00:00+05:30,465.0,465.0,455.0,456.05,54059,
22,2023-01-05 00:00:00+05:30,460.5,462.65,450.6,458.85,168128,
23,2023-01-06 00:00:00+05:30,452.0,465.0,452.0,460.7,114667,
24,2023-01-09 00:00:00+05:30,463.0,464.7,454.5,456.3,57738,
25,2023-01-10 00:00:00+05:30,456.05,458.5,449.25,451.6,74692,
26,2023-01-11 00:00:00+05:30,452.0,453.75,445.35,448.05,54152,
27,2023-01-12 00:00:00+05:30,447.0,457.0,440.5,441.9,151028,
28,2023-01-13 00:00:00+05:30,443.2,444.35,430.7,437.25,331766,
29,2023-01-16 00:00:00+05:30,437.5,452.95,437.5,448.6,221336,
30,2023-01-17 00:00:00+05:30,446.0,468.9,443.0,463.4,273586,
31,2023-01-18 00:00:00+05:30,463.4,465.0,453.2,456.3,133818,
