,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,25.6,26.95,25.6,26.35,30730239,
1,2022-12-07 00:00:00+05:30,26.4,28.8,26.3,28.15,108065947,
2,2022-12-08 00:00:00+05:30,28.5,33.25,28.45,31.55,138188776,
3,2022-12-09 00:00:00+05:30,33.0,34.5,30.4,33.15,227325153,
4,2022-12-12 00:00:00+05:30,33.0,33.95,31.3,33.75,110910813,
5,2022-12-13 00:00:00+05:30,33.95,40.2,33.1,39.6,215850847,
6,2022-12-14 00:00:00+05:30,39.95,41.8,37.25,39.75,174139710,
7,2022-12-15 00:00:00+05:30,39.4,41.5,38.8,39.4,86143978,
8,2022-12-16 00:00:00+05:30,38.95,40.65,37.1,37.35,51023885,
9,2022-12-19 00:00:00+05:30,37.55,38.0,34.9,36.2,35443900,
10,2022-12-20 00:00:00+05:30,36.0,37.25,34.0,34.9,36106060,
11,2022-12-21 00:00:00+05:30,35.3,38.15,33.1,33.9,81749770,
12,2022-12-22 00:00:00+05:30,35.2,35.85,32.1,32.65,47366618,
13,2022-12-23 00:00:00+05:30,31.65,32.6,29.4,29.4,38654582,
14,2022-12-26 00:00:00+05:30,29.35,30.85,28.1,30.85,28063744,
15,2022-12-27 00:00:00+05:30,32.25,32.35,31.5,32.35,32426968,
16,2022-12-28 00:00:00+05:30,32.55,33.9,30.95,31.45,62559826,
17,2022-12-29 00:00:00+05:30,31.25,32.25,30.8,31.4,20234397,
18,2022-12-30 00:00:00+05:30,32.05,32.9,32.0,32.15,16918336,
19,2023-01-02 00:00:00+05:30,32.4,32.7,31.8,32.3,14502080,
20,2023-01-03 00:00:00+05:30,32.45,33.65,32.35,32.7,17769949,
21,2023-01-04 00:00:00+05:30,32.95,33.0,31.6,32.0,11662389,
22,2023-01-05 00:00:00+05:30,32.25,32.35,31.2,31.95,7253799,
23,2023-01-06 00:00:00+05:30,32.3,32.35,31.2,31.45,7821547,
24,2023-01-09 00:00:00+05:30,31.9,32.05,31.05,31.2,7322777,
25,2023-01-10 00:00:00+05:30,31.15,31.2,29.9,30.15,6810052,
26,2023-01-11 00:00:00+05:30,30.15,31.4,29.7,30.75,13622103,
27,2023-01-12 00:00:00+05:30,30.9,30.95,30.0,30.25,8677419,
28,2023-01-13 00:00:00+05:30,30.45,31.25,30.3,30.7,9122002,
29,2023-01-16 00:00:00+05:30,30.95,32.2,30.85,32.2,12449423,
30,2023-01-17 00:00:00+05:30,33.3,33.4,31.7,32.55,16338106,
31,2023-01-18 00:00:00+05:30,32.75,32.95,31.9,32.35,18612907,
32,2023-01-19 00:00:00+05:30,32.4,32.8,32.2,32.45,8735555,
33,2023-01-20 00:00:00+05:30,32.5,32.7,31.8,31.9,5293961,
34,2023-01-23 00:00:00+05:30,32.1,32.15,31.05,31.15,4441406,
35,2023-01-24 00:00:00+05:30,31.3,31.3,30.1,30.3,4177929,
36,2023-01-25 00:00:00+05:30,30.2,30.5,29.35,29.75,6733783,
37,2023-01-27 00:00:00+05:30,29.85,30.1,28.3,28.55,7006270,
38,2023-01-30 00:00:00+05:30,28.3,29.55,27.45,28.75,6696507,
39,2023-01-31 00:00:00+05:30,28.95,30.15,28.55,30.05,7860297,
40,2023-02-01 00:00:00+05:30,30.45,30.6,28.55,28.8,7734955,
41,2023-02-02 00:00:00+05:30,28.4,29.05,27.7,28.1,5605793,
42,2023-02-03 00:00:00+05:30,28.55,28.8,26.7,27.85,9365004,
43,2023-02-06 00:00:00+05:30,28.0,28.3,27.45,27.6,5548276,
44,2023-02-07 00:00:00+05:30,27.75,27.9,26.85,27.1,5194089,
45,2023-02-08 00:00:00+05:30,27.2,27.8,27.05,27.55,5733558,
46,2023-02-09 00:00:00+05:30,27.6,27.65,27.0,27.25,3363221,
47,2023-02-10 00:00:00+05:30,27.1,28.85,27.0,27.8,8539517,
48,2023-02-13 00:00:00+05:30,27.95,27.95,26.95,27.15,3435497,
49,2023-02-14 00:00:00+05:30,27.3,27.3,26.4,26.85,4464300,
50,2023-02-15 00:00:00+05:30,26.75,27.4,26.5,27.05,4185673,
51,2023-02-16 00:00:00+05:30,27.15,27.35,26.85,27.0,4022564,
52,2023-02-17 00:00:00+05:30,26.95,27.25,26.6,27.05,4368538,
53,2023-02-20 00:00:00+05:30,27.0,27.2,26.5,26.6,2870190,
54,2023-02-21 00:00:00+05:30,26.8,27.0,25.9,26.05,4209994,
55,2023-02-22 00:00:00+05:30,25.55,26.55,25.15,25.35,8155878,
56,2023-02-23 00:00:00+05:30,25.3,26.15,25.0,25.85,6123164,
57,2023-02-24 00:00:00+05:30,26.0,26.5,25.15,25.35,5325992,
58,2023-02-27 00:00:00+05:30,25.35,25.55,24.8,25.15,5513104,
59,2023-02-28 00:00:00+05:30,25.3,26.05,25.1,25.9,5820605,
60,2023-03-01 00:00:00+05:30,26.0,26.55,25.9,26.35,4879864,
61,2023-03-02 00:00:00+05:30,26.35,27.0,26.0,26.1,5762108,
62,2023-03-03 00:00:00+05:30,26.3,27.85,26.3,27.3,12087143,
63,2023-03-06 00:00:00+05:30,27.75,27.85,26.75,26.95,9023949,
64,2023-03-08 00:00:00+05:30,26.75,27.2,26.55,27.0,4930873,
65,2023-03-09 00:00:00+05:30,27.0,27.25,26.55,26.7,4436483,
66,2023-03-10 00:00:00+05:30,26.4,26.5,26.05,26.3,3459886,
67,2023-03-13 00:00:00+05:30,26.0,26.5,25.1,25.2,4360549,
68,2023-03-14 00:00:00+05:30,25.2,25.35,24.05,24.25,6370178,
69,2023-03-15 00:00:00+05:30,24.65,24.95,24.05,24.25,5018750,
70,2023-03-16 00:00:00+05:30,24.15,24.6,23.45,24.35,6820540,
71,2023-03-17 00:00:00+05:30,24.6,24.85,24.0,24.35,4973660,
72,2023-03-20 00:00:00+05:30,24.4,24.4,23.6,23.8,3665812,
73,2023-03-21 00:00:00+05:30,24.1,24.2,23.7,23.95,4061258,
74,2023-03-22 00:00:00+05:30,24.2,24.55,22.6,23.95,4590528,
75,2023-03-23 00:00:00+05:30,24.05,24.35,23.75,23.95,4731518,
76,2023-03-24 00:00:00+05:30,24.05,24.1,23.25,23.4,3956573,
77,2023-03-27 00:00:00+05:30,23.4,23.45,22.65,22.9,4084955,
78,2023-03-28 00:00:00+05:30,23.0,23.2,22.25,22.65,4891806,
79,2023-03-29 00:00:00+05:30,22.7,24.45,22.4,24.25,10201189,
80,2023-03-31 00:00:00+05:30,24.7,24.7,23.9,24.1,6066953,
81,2023-04-03 00:00:00+05:30,24.2,25.1,23.95,24.8,6923196,
82,2023-04-05 00:00:00+05:30,25.05,25.05,24.45,24.75,3453083,
83,2023-04-06 00:00:00+05:30,24.9,25.3,24.55,24.85,4939583,
84,2023-04-10 00:00:00+05:30,25.0,25.1,24.2,24.5,4033257,
85,2023-04-11 00:00:00+05:30,24.6,25.65,24.6,24.95,6461564,
86,2023-04-12 00:00:00+05:30,25.05,25.05,24.6,24.7,2695124,
87,2023-04-13 00:00:00+05:30,24.7,25.85,24.5,25.6,7569843,
88,2023-04-17 00:00:00+05:30,25.55,27.15,25.45,26.9,19755372,
89,2023-04-18 00:00:00+05:30,27.1,27.35,26.6,26.75,12701720,
90,2023-04-19 00:00:00+05:30,26.8,27.9,26.75,27.05,12112141,
91,2023-04-20 00:00:00+05:30,27.15,27.7,26.8,26.95,4474970,
92,2023-04-21 00:00:00+05:30,27.05,27.05,26.1,26.3,5848069,
93,2023-04-24 00:00:00+05:30,26.45,27.3,26.1,27.1,12047653,
94,2023-04-25 00:00:00+05:30,27.35,28.1,27.1,27.45,12732983,
95,2023-04-26 00:00:00+05:30,27.5,27.9,27.1,27.7,7047730,
96,2023-04-27 00:00:00+05:30,27.95,29.15,27.8,29.0,22137103,
97,2023-04-28 00:00:00+05:30,29.7,30.45,29.6,30.35,31634349,
98,2023-05-02 00:00:00+05:30,31.0,31.2,30.0,30.2,18635537,
99,2023-05-03 00:00:00+05:30,28.95,29.2,28.15,28.65,22307909,
100,2023-05-04 00:00:00+05:30,28.65,29.2,28.4,28.85,11153476,
101,2023-05-05 00:00:00+05:30,28.8,29.3,28.25,28.35,11249093,
102,2023-05-08 00:00:00+05:30,28.5,28.8,28.1,28.45,7559433,
103,2023-05-09 00:00:00+05:30,28.6,28.9,27.1,27.4,7368861,
104,2023-05-10 00:00:00+05:30,27.65,27.65,26.55,26.95,8299896,
105,2023-05-11 00:00:00+05:30,27.2,27.85,27.1,27.4,7986789,
106,2023-05-12 00:00:00+05:30,27.35,27.65,27.15,27.3,4483210,
107,2023-05-15 00:00:00+05:30,27.35,27.45,26.9,27.2,4409255,
108,2023-05-16 00:00:00+05:30,27.45,27.95,27.25,27.3,6872761,
109,2023-05-17 00:00:00+05:30,27.3,27.65,27.0,27.15,5484954,
110,2023-05-18 00:00:00+05:30,27.35,27.35,26.8,26.9,3554741,
111,2023-05-19 00:00:00+05:30,26.9,27.0,26.25,26.65,5490277,
112,2023-05-22 00:00:00+05:30,26.8,26.9,26.3,26.4,3929602,
113,2023-05-23 00:00:00+05:30,26.4,26.65,26.4,26.5,3226052,
114,2023-05-24 00:00:00+05:30,26.45,26.55,26.1,26.2,3666344,
115,2023-05-25 00:00:00+05:30,26.2,26.6,25.95,26.45,3432781,
116,2023-05-26 00:00:00+05:30,26.55,26.85,26.4,26.65,4047877,
117,2023-05-29 00:00:00+05:30,26.9,26.95,26.6,26.75,4567531,
118,2023-05-30 00:00:00+05:30,26.75,26.85,26.5,26.75,2927396,
119,2023-05-31 00:00:00+05:30,26.5,27.3,26.4,27.05,5202014,
120,2023-06-01 00:00:00+05:30,27.05,28.1,26.95,27.75,13945273,
121,2023-06-02 00:00:00+05:30,27.9,28.25,27.55,27.65,9755263,
122,2023-06-05 00:00:00+05:30,27.65,27.9,27.5,27.55,3528438,
123,2023-06-06 00:00:00+05:30,27.6,27.7,27.2,27.45,4258158,
124,2023-06-07 00:00:00+05:30,27.5,27.9,27.45,27.55,4536338,
125,2023-06-08 00:00:00+05:30,27.6,28.05,27.2,27.3,6621899,
126,2023-06-09 00:00:00+05:30,27.45,27.45,26.95,27.05,3118306,
127,2023-06-12 00:00:00+05:30,27.2,27.2,26.8,27.0,2663197,
128,2023-06-13 00:00:00+05:30,27.1,27.2,26.95,27.05,2762604,
129,2023-06-14 00:00:00+05:30,27.05,27.2,26.9,27.05,2416180,
130,2023-06-15 00:00:00+05:30,27.05,27.15,26.55,26.65,3249087,
131,2023-06-16 00:00:00+05:30,26.75,26.95,26.6,26.7,2882311,
132,2023-06-19 00:00:00+05:30,26.8,28.0,26.75,27.55,12971583,
133,2023-06-20 00:00:00+05:30,28.05,29.4,27.9,28.95,40981988,
134,2023-06-21 00:00:00+05:30,29.45,29.8,28.6,28.75,19824423,
135,2023-06-22 00:00:00+05:30,28.95,29.1,28.1,28.35,5572070,
136,2023-06-23 00:00:00+05:30,28.35,28.35,27.65,27.95,5859076,
137,2023-06-26 00:00:00+05:30,28.1,28.15,27.55,27.7,5566178,
138,2023-06-27 00:00:00+05:30,27.8,28.8,27.7,28.65,11773147,
139,2023-06-28 00:00:00+05:30,28.8,28.9,28.2,28.45,7405410,
140,2023-06-30 00:00:00+05:30,28.45,29.25,28.35,29.05,12814905,
141,2023-07-03 00:00:00+05:30,29.25,30.0,29.15,29.9,22737251,
142,2023-07-04 00:00:00+05:30,30.0,31.0,29.0,30.6,33854898,
143,2023-07-05 00:00:00+05:30,30.65,31.4,30.35,30.75,22783947,
144,2023-07-06 00:00:00+05:30,30.85,31.9,30.6,31.15,21378707,
145,2023-07-07 00:00:00+05:30,31.05,31.6,30.2,30.9,19043080,
146,2023-07-10 00:00:00+05:30,31.0,31.85,30.5,30.7,14971471,
147,2023-07-11 00:00:00+05:30,30.85,31.05,30.25,30.35,8351585,
148,2023-07-12 00:00:00+05:30,30.55,31.45,30.4,31.15,13954508,
149,2023-07-13 00:00:00+05:30,31.5,31.6,29.8,30.05,11157884,
150,2023-07-14 00:00:00+05:30,30.2,30.5,29.75,30.4,9775993,
151,2023-07-17 00:00:00+05:30,30.55,32.65,30.5,31.55,38029128,
152,2023-07-18 00:00:00+05:30,31.9,32.0,30.8,31.0,16245311,
153,2023-07-19 00:00:00+05:30,31.15,31.2,30.55,31.0,12952809,
154,2023-07-20 00:00:00+05:30,31.25,31.8,30.75,30.85,13742564,
155,2023-07-21 00:00:00+05:30,30.8,31.35,30.6,31.15,12839279,
