,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,75.9,76.3,75.4,75.45,1251012,
1,2022-12-07 00:00:00+05:30,75.8,77.7,75.2,76.05,3477692,
2,2022-12-08 00:00:00+05:30,76.0,76.75,76.0,76.45,1001579,
3,2022-12-09 00:00:00+05:30,76.85,76.9,76.0,76.35,1332035,
4,2022-12-12 00:00:00+05:30,76.25,77.3,75.85,76.65,1185628,
5,2022-12-13 00:00:00+05:30,76.9,79.65,76.7,78.85,5692186,
6,2022-12-14 00:00:00+05:30,79.7,81.55,78.45,80.3,5420175,
7,2022-12-15 00:00:00+05:30,81.0,83.3,80.6,81.2,4576352,
8,2022-12-16 00:00:00+05:30,81.75,83.2,79.8,80.25,5564057,
9,2022-12-19 00:00:00+05:30,80.5,80.85,78.55,78.95,2444450,
10,2022-12-20 00:00:00+05:30,78.75,79.65,77.7,78.95,2141568,
11,2022-12-21 00:00:00+05:30,79.4,81.3,77.9,78.95,4463549,
12,2022-12-22 00:00:00+05:30,79.05,79.55,73.55,76.4,2084548,
13,2022-12-23 00:00:00+05:30,75.7,76.2,74.8,75.2,1890056,
14,2022-12-26 00:00:00+05:30,75.2,77.8,74.15,76.9,1493429,
15,2022-12-27 00:00:00+05:30,77.6,77.9,76.4,77.05,884232,
16,2022-12-28 00:00:00+05:30,76.8,77.8,76.7,77.1,923942,
17,2022-12-29 00:00:00+05:30,77.1,77.3,76.45,76.95,469475,
18,2022-12-30 00:00:00+05:30,77.35,78.15,76.05,76.4,1726537,
19,2023-01-02 00:00:00+05:30,76.8,77.8,76.35,77.65,760594,
20,2023-01-03 00:00:00+05:30,77.6,78.2,77.0,77.35,1280295,
21,2023-01-04 00:00:00+05:30,77.35,77.65,76.55,77.0,1202467,
22,2023-01-05 00:00:00+05:30,77.2,77.35,76.7,76.95,1020475,
23,2023-01-06 00:00:00+05:30,77.2,77.65,75.6,75.85,1896076,
24,2023-01-09 00:00:00+05:30,76.45,76.5,74.8,75.4,2292517,
25,2023-01-10 00:00:00+05:30,75.4,76.2,74.4,74.8,3189967,
26,2023-01-11 00:00:00+05:30,75.0,75.3,74.55,75.05,1971319,
27,2023-01-12 00:00:00+05:30,75.3,75.45,74.9,75.1,891571,
28,2023-01-13 00:00:00+05:30,75.2,75.4,73.6,73.95,3831653,
29,2023-01-16 00:00:00+05:30,74.2,74.5,73.4,73.9,2445773,
30,2023-01-17 00:00:00+05:30,73.95,74.1,72.9,73.2,1896460,
31,2023-01-18 00:00:00+05:30,73.4,75.1,73.05,74.7,2048842,
32,2023-01-19 00:00:00+05:30,74.5,75.25,74.3,74.8,915273,
33,2023-01-20 00:00:00+05:30,74.55,75.15,73.25,73.8,1590255,
34,2023-01-23 00:00:00+05:30,74.3,74.5,73.8,74.2,809022,
35,2023-01-24 00:00:00+05:30,74.2,74.55,73.7,73.95,692271,
36,2023-01-25 00:00:00+05:30,73.95,74.1,73.45,73.8,560441,
37,2023-01-27 00:00:00+05:30,73.95,74.1,72.05,72.5,1222389,
38,2023-01-30 00:00:00+05:30,72.6,73.6,72.05,72.35,909275,
39,2023-01-31 00:00:00+05:30,72.55,73.2,71.75,72.45,1893274,
40,2023-02-01 00:00:00+05:30,72.7,73.7,71.75,72.05,1654642,
41,2023-02-02 00:00:00+05:30,72.0,72.35,71.35,71.8,1274655,
42,2023-02-03 00:00:00+05:30,71.95,73.25,71.4,72.65,1468822,
43,2023-02-06 00:00:00+05:30,73.0,73.3,72.25,72.55,777769,
44,2023-02-07 00:00:00+05:30,72.55,73.25,72.25,73.1,1211990,
45,2023-02-08 00:00:00+05:30,73.15,74.3,72.6,73.1,2190252,
46,2023-02-09 00:00:00+05:30,73.5,73.7,72.5,72.8,1145665,
47,2023-02-10 00:00:00+05:30,72.7,73.65,72.6,73.45,690658,
48,2023-02-13 00:00:00+05:30,73.5,74.6,73.5,74.3,1523514,
49,2023-02-14 00:00:00+05:30,74.45,75.8,74.05,75.0,1926558,
50,2023-02-15 00:00:00+05:30,76.4,77.9,75.3,77.4,3630258,
51,2023-02-16 00:00:00+05:30,77.8,78.6,77.05,77.45,2464152,
52,2023-02-17 00:00:00+05:30,77.45,77.9,76.15,76.95,2602962,
53,2023-02-20 00:00:00+05:30,77.35,78.05,77.2,77.45,2018272,
54,2023-02-21 00:00:00+05:30,77.9,78.15,77.05,77.45,2237081,
55,2023-02-22 00:00:00+05:30,77.5,77.5,76.95,77.2,2388587,
56,2023-02-23 00:00:00+05:30,77.25,77.65,76.8,77.5,3793608,
