,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,664.0,665.0,640.0,642.4,1377962,
1,2022-12-07 00:00:00+05:30,646.0,649.4,621.1,625.35,1384995,
2,2022-12-08 00:00:00+05:30,629.5,642.0,605.05,632.25,2989400,
3,2022-12-09 00:00:00+05:30,637.5,639.3,606.05,611.25,1835671,
4,2022-12-12 00:00:00+05:30,614.0,623.95,596.0,609.1,1709738,
5,2022-12-13 00:00:00+05:30,614.7,647.0,610.55,630.8,2772794,
6,2022-12-14 00:00:00+05:30,635.0,639.45,622.0,626.8,929152,
7,2022-12-15 00:00:00+05:30,625.05,631.2,612.0,615.4,664762,
8,2022-12-16 00:00:00+05:30,615.0,622.45,609.2,613.8,1034104,
9,2022-12-19 00:00:00+05:30,615.5,624.0,613.15,617.6,762050,
10,2022-12-20 00:00:00+05:30,620.7,630.0,609.5,622.25,1306222,
11,2022-12-21 00:00:00+05:30,627.0,628.35,593.45,598.0,880040,
12,2022-12-22 00:00:00+05:30,598.5,608.4,536.3,544.25,1852391,
13,2022-12-23 00:00:00+05:30,540.0,540.0,491.8,497.05,2246538,
14,2022-12-26 00:00:00+05:30,497.0,561.6,492.0,552.8,2745721,
15,2022-12-27 00:00:00+05:30,560.0,568.1,532.55,549.8,2657059,
16,2022-12-28 00:00:00+05:30,549.9,549.9,530.0,541.75,1104613,
17,2022-12-29 00:00:00+05:30,542.35,542.35,532.25,534.8,853169,
18,2022-12-30 00:00:00+05:30,536.0,547.25,531.0,534.25,855609,
19,2023-01-02 00:00:00+05:30,530.95,539.0,527.45,529.95,563418,
20,2023-01-03 00:00:00+05:30,533.0,546.95,530.5,534.4,1850432,
21,2023-01-04 00:00:00+05:30,536.3,537.9,519.0,521.5,562420,
22,2023-01-05 00:00:00+05:30,526.7,532.0,512.1,517.8,886076,
23,2023-01-06 00:00:00+05:30,520.4,522.1,497.0,501.55,900765,
24,2023-01-09 00:00:00+05:30,504.9,510.95,498.0,502.2,550245,
25,2023-01-10 00:00:00+05:30,503.2,504.15,485.0,486.5,925051,
26,2023-01-11 00:00:00+05:30,488.9,493.2,474.2,478.35,1061480,
27,2023-01-12 00:00:00+05:30,478.35,489.75,472.1,486.05,859322,
28,2023-01-13 00:00:00+05:30,488.5,495.25,483.55,492.9,853366,
29,2023-01-16 00:00:00+05:30,495.35,507.7,480.8,499.9,1340850,
30,2023-01-17 00:00:00+05:30,494.9,508.45,493.95,499.85,785516,
31,2023-01-18 00:00:00+05:30,499.0,510.2,494.8,507.45,740122,
32,2023-01-19 00:00:00+05:30,501.8,505.75,495.2,496.9,369565,
33,2023-01-20 00:00:00+05:30,499.0,518.0,493.3,508.3,1508064,
34,2023-01-23 00:00:00+05:30,509.4,511.4,502.0,505.75,403008,
35,2023-01-24 00:00:00+05:30,506.7,506.7,495.0,496.3,391045,
36,2023-01-25 00:00:00+05:30,496.4,496.4,481.3,482.95,474645,
37,2023-01-27 00:00:00+05:30,484.75,495.55,468.4,474.95,595183,
38,2023-01-30 00:00:00+05:30,472.5,495.3,471.9,487.3,450064,
39,2023-01-31 00:00:00+05:30,493.7,514.9,492.0,511.95,1094748,
40,2023-02-01 00:00:00+05:30,515.8,522.45,475.0,484.05,1142679,
41,2023-02-02 00:00:00+05:30,484.95,503.0,472.55,485.15,820048,
42,2023-02-03 00:00:00+05:30,489.55,490.0,469.1,472.1,489987,
43,2023-02-06 00:00:00+05:30,474.5,483.65,472.2,478.15,373468,
44,2023-02-07 00:00:00+05:30,480.55,489.0,476.0,485.4,334603,
45,2023-02-08 00:00:00+05:30,487.85,498.55,486.25,494.5,510708,
46,2023-02-09 00:00:00+05:30,493.0,498.9,481.0,484.05,567029,
47,2023-02-10 00:00:00+05:30,486.5,489.0,475.85,478.65,623466,
48,2023-02-13 00:00:00+05:30,476.5,479.7,464.1,472.35,423573,
49,2023-02-14 00:00:00+05:30,474.7,497.95,473.15,495.0,854227,
50,2023-02-15 00:00:00+05:30,492.05,498.95,485.15,492.95,576573,
51,2023-02-16 00:00:00+05:30,493.0,506.85,488.35,503.1,1150182,
52,2023-02-17 00:00:00+05:30,501.4,501.4,486.0,488.2,632427,
53,2023-02-20 00:00:00+05:30,489.9,495.0,482.05,483.75,303365,
54,2023-02-21 00:00:00+05:30,485.7,493.8,481.25,490.3,381340,
55,2023-02-22 00:00:00+05:30,483.9,485.0,467.6,469.9,356344,
56,2023-02-23 00:00:00+05:30,472.4,473.9,459.0,461.4,381508,
57,2023-02-24 00:00:00+05:30,463.9,474.5,462.1,464.6,284528,
58,2023-02-27 00:00:00+05:30,457.6,464.45,456.1,460.9,206394,
59,2023-02-28 00:00:00+05:30,464.35,469.7,450.0,452.05,291258,
60,2023-03-01 00:00:00+05:30,453.8,466.5,453.0,464.75,351401,
61,2023-03-02 00:00:00+05:30,463.0,467.1,457.2,459.2,203838,
62,2023-03-03 00:00:00+05:30,465.0,466.95,461.55,464.75,190013,
63,2023-03-06 00:00:00+05:30,467.1,475.35,465.55,474.3,408989,
64,2023-03-08 00:00:00+05:30,472.9,484.8,466.2,481.35,640164,
65,2023-03-09 00:00:00+05:30,481.35,483.2,467.5,470.25,312693,
66,2023-03-10 00:00:00+05:30,468.0,471.85,461.55,467.75,138278,
67,2023-03-13 00:00:00+05:30,467.75,471.25,452.0,454.25,244616,
68,2023-03-14 00:00:00+05:30,453.15,461.85,445.0,447.15,236642,
69,2023-03-15 00:00:00+05:30,451.1,456.7,437.4,441.75,219655,
70,2023-03-16 00:00:00+05:30,439.25,440.4,425.25,437.0,381897,
71,2023-03-17 00:00:00+05:30,441.2,446.7,435.1,444.0,385289,
72,2023-03-20 00:00:00+05:30,448.4,473.6,448.2,460.2,3245606,
73,2023-03-21 00:00:00+05:30,464.0,464.0,448.35,452.35,411395,
74,2023-03-22 00:00:00+05:30,453.4,459.9,450.05,453.9,279622,
75,2023-03-23 00:00:00+05:30,453.0,453.05,446.75,448.5,176040,
76,2023-03-24 00:00:00+05:30,450.4,451.05,430.0,432.7,253916,
77,2023-03-27 00:00:00+05:30,434.7,435.0,410.4,414.0,309481,
