,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,920.35,932.8,892.7,900.6,181299,
1,2022-12-07 00:00:00+05:30,905.3,921.0,895.05,909.55,133355,
2,2022-12-08 00:00:00+05:30,923.0,923.0,890.15,899.95,441063,
3,2022-12-09 00:00:00+05:30,900.0,910.95,855.1,863.8,396377,
4,2022-12-12 00:00:00+05:30,862.05,889.95,851.75,887.9,107904,
5,2022-12-13 00:00:00+05:30,889.05,907.95,883.0,900.55,118291,
6,2022-12-14 00:00:00+05:30,900.6,910.8,888.0,907.1,62394,
7,2022-12-15 00:00:00+05:30,910.0,917.0,895.0,909.95,119440,
8,2022-12-16 00:00:00+05:30,909.0,909.0,870.65,879.05,175942,
9,2022-12-19 00:00:00+05:30,883.45,907.0,880.0,904.7,71901,
10,2022-12-20 00:00:00+05:30,904.7,906.9,896.05,905.35,153062,
11,2022-12-21 00:00:00+05:30,908.85,934.9,899.75,908.05,177333,
12,2022-12-22 00:00:00+05:30,913.35,919.6,875.1,886.1,768603,
13,2022-12-23 00:00:00+05:30,875.0,884.0,851.2,858.05,159520,
14,2022-12-26 00:00:00+05:30,858.7,894.7,845.2,889.45,48067,
15,2022-12-27 00:00:00+05:30,899.0,901.5,872.0,892.45,36439,
16,2022-12-28 00:00:00+05:30,892.45,914.9,880.05,912.05,81629,
17,2022-12-29 00:00:00+05:30,907.0,909.9,891.9,899.7,16003,
18,2022-12-30 00:00:00+05:30,900.0,920.0,899.95,915.3,37206,
19,2023-01-02 00:00:00+05:30,920.0,920.0,885.0,901.2,59620,
20,2023-01-03 00:00:00+05:30,912.0,912.0,887.4,891.25,67865,
21,2023-01-04 00:00:00+05:30,898.9,902.0,881.1,885.2,82845,
22,2023-01-05 00:00:00+05:30,886.2,899.05,868.2,870.7,329485,
23,2023-01-06 00:00:00+05:30,874.4,878.0,855.2,871.5,109354,
24,2023-01-09 00:00:00+05:30,875.9,886.7,864.55,884.45,43411,
25,2023-01-10 00:00:00+05:30,884.45,885.9,872.35,877.75,21978,
26,2023-01-11 00:00:00+05:30,884.0,884.0,866.65,869.55,21657,
27,2023-01-12 00:00:00+05:30,873.9,896.3,873.4,885.75,61829,
28,2023-01-13 00:00:00+05:30,885.75,890.4,880.25,883.65,33631,
29,2023-01-16 00:00:00+05:30,884.0,886.8,867.45,872.45,15272,
30,2023-01-17 00:00:00+05:30,875.1,884.45,869.0,881.7,55398,
31,2023-01-18 00:00:00+05:30,884.6,899.6,883.1,894.75,179762,
32,2023-01-19 00:00:00+05:30,893.0,935.65,893.0,911.2,326594,
33,2023-01-20 00:00:00+05:30,915.8,917.65,904.15,914.65,36432,
34,2023-01-23 00:00:00+05:30,914.65,919.75,892.35,898.6,19102,
35,2023-01-24 00:00:00+05:30,898.0,909.45,896.35,906.0,104382,
36,2023-01-25 00:00:00+05:30,910.55,910.55,894.55,906.0,18019,
37,2023-01-27 00:00:00+05:30,905.0,907.05,863.0,869.35,34275,
38,2023-01-30 00:00:00+05:30,869.35,881.1,851.0,854.45,28772,
39,2023-01-31 00:00:00+05:30,858.9,869.55,834.1,860.5,96724,
40,2023-02-01 00:00:00+05:30,864.85,965.0,862.7,900.85,308492,
41,2023-02-02 00:00:00+05:30,887.35,915.85,887.35,896.75,52305,
42,2023-02-03 00:00:00+05:30,899.0,925.6,880.25,899.75,30760,
43,2023-02-06 00:00:00+05:30,900.0,902.55,879.35,884.3,27158,
44,2023-02-07 00:00:00+05:30,887.85,904.6,876.4,901.35,36735,
45,2023-02-08 00:00:00+05:30,945.0,988.0,945.0,956.6,661495,
46,2023-02-09 00:00:00+05:30,951.0,987.6,950.95,959.75,234867,
47,2023-02-10 00:00:00+05:30,959.75,973.1,938.05,949.45,131427,
48,2023-02-13 00:00:00+05:30,952.8,958.0,910.0,916.3,135969,
49,2023-02-14 00:00:00+05:30,916.3,928.4,898.65,902.2,50351,
50,2023-02-15 00:00:00+05:30,900.0,936.0,898.65,931.1,40570,
51,2023-02-16 00:00:00+05:30,935.8,972.0,932.35,952.15,375747,
52,2023-02-17 00:00:00+05:30,944.15,970.0,937.95,954.4,78150,
53,2023-02-20 00:00:00+05:30,954.4,1022.0,941.1,1000.6,349416,
54,2023-02-21 00:00:00+05:30,1008.6,1008.8,980.2,988.35,45624,
55,2023-02-22 00:00:00+05:30,985.95,1000.0,963.1,974.5,99081,
56,2023-02-23 00:00:00+05:30,979.4,1002.5,977.55,992.9,150288,
57,2023-02-24 00:00:00+05:30,991.65,1006.95,977.55,1001.15,249544,
58,2023-02-27 00:00:00+05:30,1007.0,1013.4,962.95,977.8,367631,
59,2023-02-28 00:00:00+05:30,980.0,989.1,955.8,964.95,113904,
60,2023-03-01 00:00:00+05:30,964.45,977.75,957.0,967.05,44610,
61,2023-03-02 00:00:00+05:30,995.0,999.0,975.95,990.15,126409,
62,2023-03-03 00:00:00+05:30,990.15,992.9,962.2,966.6,84392,
63,2023-03-06 00:00:00+05:30,972.0,982.0,954.15,959.35,33589,
64,2023-03-08 00:00:00+05:30,956.0,962.5,937.8,948.5,50833,
65,2023-03-09 00:00:00+05:30,953.25,957.7,935.1,940.25,26775,
66,2023-03-10 00:00:00+05:30,940.0,980.0,934.9,944.05,224210,
67,2023-03-13 00:00:00+05:30,947.95,949.0,891.5,914.8,183844,
68,2023-03-14 00:00:00+05:30,919.6,935.95,875.5,886.65,122111,
69,2023-03-15 00:00:00+05:30,891.3,914.6,886.65,896.0,144855,
70,2023-03-16 00:00:00+05:30,900.4,900.65,888.0,894.65,60987,
71,2023-03-17 00:00:00+05:30,900.4,916.75,894.65,903.2,98252,
72,2023-03-20 00:00:00+05:30,913.0,927.2,889.1,908.95,85350,
73,2023-03-21 00:00:00+05:30,911.75,965.0,911.7,950.25,308825,
74,2023-03-22 00:00:00+05:30,949.0,960.85,946.55,955.85,248184,
75,2023-03-23 00:00:00+05:30,954.0,954.0,924.5,935.0,85499,
76,2023-03-24 00:00:00+05:30,927.05,944.65,908.1,914.75,51824,
77,2023-03-27 00:00:00+05:30,912.0,934.8,892.35,898.1,78558,
78,2023-03-28 00:00:00+05:30,897.0,917.55,892.0,897.7,49381,
79,2023-03-29 00:00:00+05:30,896.05,906.85,888.05,891.5,98287,
80,2023-03-31 00:00:00+05:30,896.0,928.9,896.0,915.2,88909,
81,2023-04-03 00:00:00+05:30,920.1,929.85,904.0,926.15,76064,
82,2023-04-05 00:00:00+05:30,945.0,982.0,936.5,956.15,325481,
83,2023-04-06 00:00:00+05:30,946.0,970.0,943.8,953.8,132521,
84,2023-04-10 00:00:00+05:30,981.0,1042.0,950.0,959.35,695395,
85,2023-04-11 00:00:00+05:30,964.05,969.7,937.85,950.15,143985,
86,2023-04-12 00:00:00+05:30,952.9,958.8,936.55,941.55,167046,
87,2023-04-13 00:00:00+05:30,941.0,957.7,929.05,954.95,372361,
88,2023-04-17 00:00:00+05:30,956.0,962.4,934.4,943.0,86527,
89,2023-04-18 00:00:00+05:30,950.5,991.95,943.55,980.1,814500,
90,2023-04-19 00:00:00+05:30,984.75,995.0,964.95,982.95,47041,
91,2023-04-20 00:00:00+05:30,988.45,1010.2,979.85,992.45,88896,
92,2023-04-21 00:00:00+05:30,990.0,998.0,976.0,991.05,46743,
93,2023-04-24 00:00:00+05:30,991.05,998.95,971.25,979.35,52558,
94,2023-04-25 00:00:00+05:30,980.8,989.1,971.0,975.3,107659,
95,2023-04-26 00:00:00+05:30,972.0,979.65,965.55,968.8,37894,
96,2023-04-27 00:00:00+05:30,970.9,985.0,969.95,972.95,324944,
97,2023-04-28 00:00:00+05:30,972.95,985.0,961.0,964.3,51038,
98,2023-05-02 00:00:00+05:30,969.0,990.0,966.55,975.6,95573,
99,2023-05-03 00:00:00+05:30,985.25,985.25,972.0,979.6,238365,
100,2023-05-04 00:00:00+05:30,984.45,993.6,978.6,984.85,139227,
101,2023-05-05 00:00:00+05:30,984.85,1015.9,978.2,991.15,119923,
102,2023-05-08 00:00:00+05:30,1001.4,1008.0,982.0,988.35,64381,
103,2023-05-09 00:00:00+05:30,993.6,1013.6,987.85,1000.9,141027,
104,2023-05-10 00:00:00+05:30,1000.9,1043.5,993.4,1030.95,247984,
105,2023-05-11 00:00:00+05:30,1045.0,1063.5,1031.0,1051.15,165420,
106,2023-05-12 00:00:00+05:30,1052.4,1053.0,1019.1,1032.55,105442,
107,2023-05-15 00:00:00+05:30,1039.3,1090.0,1033.3,1068.15,395085,
108,2023-05-16 00:00:00+05:30,1078.95,1109.0,1060.05,1085.9,367460,
109,2023-05-17 00:00:00+05:30,1125.0,1212.7,1120.0,1171.5,2969172,
110,2023-05-18 00:00:00+05:30,1180.0,1200.0,1172.2,1183.5,596881,
111,2023-05-19 00:00:00+05:30,1192.5,1234.0,1186.0,1220.1,1184505,
112,2023-05-22 00:00:00+05:30,1223.45,1268.95,1200.3,1257.6,458625,
113,2023-05-23 00:00:00+05:30,1250.0,1254.45,1215.1,1235.45,209249,
114,2023-05-24 00:00:00+05:30,1221.1,1240.15,1206.15,1231.0,170584,
115,2023-05-25 00:00:00+05:30,1230.95,1235.0,1186.0,1225.75,214818,
116,2023-05-26 00:00:00+05:30,1225.8,1250.0,1197.05,1213.55,99460,
117,2023-05-29 00:00:00+05:30,1213.55,1227.0,1202.5,1213.6,49838,
