,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,792.0,803.05,789.0,790.5,355427,
1,2022-12-07 00:00:00+05:30,792.0,805.9,780.05,800.85,394270,
2,2022-12-08 00:00:00+05:30,801.5,818.0,800.35,803.0,432997,
3,2022-12-09 00:00:00+05:30,809.75,809.8,787.55,792.15,214929,
4,2022-12-12 00:00:00+05:30,795.8,799.0,788.0,794.65,154002,
5,2022-12-13 00:00:00+05:30,800.85,807.8,794.65,805.5,287142,
6,2022-12-14 00:00:00+05:30,809.0,811.9,801.1,803.9,166518,
7,2022-12-15 00:00:00+05:30,803.75,826.0,797.45,811.7,641439,
8,2022-12-16 00:00:00+05:30,821.8,861.75,810.05,820.65,3562611,
9,2022-12-19 00:00:00+05:30,825.8,832.0,786.85,790.95,671077,
10,2022-12-20 00:00:00+05:30,785.0,788.0,750.0,751.8,998793,
11,2022-12-21 00:00:00+05:30,744.0,754.0,701.2,706.75,1710129,
12,2022-12-22 00:00:00+05:30,706.75,718.7,635.0,663.35,3217124,
13,2022-12-23 00:00:00+05:30,654.85,674.95,622.0,637.1,1655776,
14,2022-12-26 00:00:00+05:30,643.0,667.9,641.0,660.95,776654,
15,2022-12-27 00:00:00+05:30,674.7,679.45,643.55,657.85,762167,
16,2022-12-28 00:00:00+05:30,657.85,716.0,656.75,709.65,2021010,
17,2022-12-29 00:00:00+05:30,704.0,716.6,694.65,708.6,1021371,
18,2022-12-30 00:00:00+05:30,712.0,723.45,710.0,715.45,586813,
19,2023-01-02 00:00:00+05:30,719.0,721.8,704.0,708.1,310916,
20,2023-01-03 00:00:00+05:30,711.65,712.25,691.2,693.75,338466,
21,2023-01-04 00:00:00+05:30,696.9,715.8,686.4,701.1,924306,
22,2023-01-05 00:00:00+05:30,705.2,711.45,692.5,707.0,421331,
23,2023-01-06 00:00:00+05:30,702.0,706.8,695.0,698.0,190898,
24,2023-01-09 00:00:00+05:30,700.0,704.5,690.0,692.75,174778,
25,2023-01-10 00:00:00+05:30,690.0,693.0,677.25,679.4,205158,
26,2023-01-11 00:00:00+05:30,682.0,694.0,675.05,685.55,259331,
27,2023-01-12 00:00:00+05:30,682.4,708.25,681.4,705.9,622691,
28,2023-01-13 00:00:00+05:30,708.0,712.9,700.3,704.6,231391,
29,2023-01-16 00:00:00+05:30,707.2,709.2,695.0,697.25,117157,
30,2023-01-17 00:00:00+05:30,697.1,712.0,691.65,708.9,231550,
31,2023-01-18 00:00:00+05:30,712.0,716.0,691.1,694.4,243557,
32,2023-01-19 00:00:00+05:30,691.25,700.7,683.55,687.9,153728,
33,2023-01-20 00:00:00+05:30,691.8,693.0,659.1,661.45,415386,
34,2023-01-23 00:00:00+05:30,677.7,677.7,651.05,653.3,258705,
35,2023-01-24 00:00:00+05:30,657.0,664.0,655.2,662.05,144368,
36,2023-01-25 00:00:00+05:30,665.4,665.4,645.8,655.65,158901,
37,2023-01-27 00:00:00+05:30,654.9,658.3,619.1,630.1,321797,
38,2023-01-30 00:00:00+05:30,625.05,641.0,606.55,612.3,423350,
39,2023-01-31 00:00:00+05:30,613.45,658.8,609.6,647.3,642179,
40,2023-02-01 00:00:00+05:30,659.0,669.0,611.8,630.75,500984,
41,2023-02-02 00:00:00+05:30,630.75,674.7,630.75,654.35,1219592,
42,2023-02-03 00:00:00+05:30,666.0,668.3,626.25,658.85,512957,
43,2023-02-06 00:00:00+05:30,658.0,685.0,645.6,673.4,428063,
44,2023-02-07 00:00:00+05:30,675.0,677.9,643.95,647.35,330490,
45,2023-02-08 00:00:00+05:30,651.9,653.45,637.95,645.95,220810,
46,2023-02-09 00:00:00+05:30,642.05,648.2,625.9,630.4,290212,
47,2023-02-10 00:00:00+05:30,632.95,636.25,619.1,622.85,207298,
48,2023-02-13 00:00:00+05:30,625.8,647.0,615.7,626.85,346299,
49,2023-02-14 00:00:00+05:30,629.3,630.0,611.0,612.45,314767,
50,2023-02-15 00:00:00+05:30,614.6,620.65,611.55,613.75,225907,
51,2023-02-16 00:00:00+05:30,619.0,643.3,615.9,638.7,400867,
52,2023-02-17 00:00:00+05:30,636.0,652.0,630.1,634.1,314846,
53,2023-02-20 00:00:00+05:30,637.3,649.0,632.6,640.8,291533,
