,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,600.45,602.15,595.5,598.75,123269,
1,2022-12-07 00:00:00+05:30,598.95,600.45,595.75,597.9,85561,
2,2022-12-08 00:00:00+05:30,596.65,605.0,580.5,588.2,193438,
3,2022-12-09 00:00:00+05:30,588.4,596.95,586.8,590.0,68766,
4,2022-12-12 00:00:00+05:30,590.0,590.9,581.0,582.45,82331,
5,2022-12-13 00:00:00+05:30,582.85,584.85,573.3,579.1,128542,
6,2022-12-14 00:00:00+05:30,582.0,595.0,581.0,587.4,141604,
7,2022-12-15 00:00:00+05:30,587.4,589.4,575.0,578.0,82149,
8,2022-12-16 00:00:00+05:30,576.0,601.0,574.2,597.9,633853,
9,2022-12-19 00:00:00+05:30,600.0,628.0,599.0,606.2,847253,
10,2022-12-20 00:00:00+05:30,608.55,614.65,595.35,598.05,214720,
11,2022-12-21 00:00:00+05:30,602.8,614.0,560.0,565.0,370480,
12,2022-12-22 00:00:00+05:30,572.0,579.0,551.6,568.85,227599,
13,2022-12-23 00:00:00+05:30,550.65,558.5,539.0,541.75,216656,
14,2022-12-26 00:00:00+05:30,541.95,569.0,531.1,562.4,266307,
15,2022-12-27 00:00:00+05:30,575.0,584.1,563.2,569.85,383905,
16,2022-12-28 00:00:00+05:30,570.7,574.4,564.35,569.45,237853,
17,2022-12-29 00:00:00+05:30,570.7,571.95,561.35,563.95,193899,
18,2022-12-30 00:00:00+05:30,567.4,577.0,564.45,568.55,134994,
19,2023-01-02 00:00:00+05:30,569.65,584.7,565.25,583.45,315209,
20,2023-01-03 00:00:00+05:30,583.0,584.7,571.0,575.8,147787,
21,2023-01-04 00:00:00+05:30,576.3,577.15,558.55,562.25,211065,
22,2023-01-05 00:00:00+05:30,562.95,568.4,551.8,554.6,152966,
23,2023-01-06 00:00:00+05:30,551.2,558.05,548.6,554.7,106199,
24,2023-01-09 00:00:00+05:30,556.0,562.9,553.05,556.6,99980,
25,2023-01-10 00:00:00+05:30,556.6,561.4,548.15,550.95,58826,
26,2023-01-11 00:00:00+05:30,553.0,558.95,543.5,546.35,266386,
27,2023-01-12 00:00:00+05:30,546.0,551.25,534.55,537.2,112339,
28,2023-01-13 00:00:00+05:30,539.0,551.0,532.0,549.0,143119,
29,2023-01-16 00:00:00+05:30,550.3,554.2,542.05,544.35,76051,
30,2023-01-17 00:00:00+05:30,544.0,547.75,534.0,539.45,97197,
31,2023-01-18 00:00:00+05:30,550.0,550.5,538.85,549.3,397633,
32,2023-01-19 00:00:00+05:30,548.65,549.1,542.35,547.15,103237,
33,2023-01-20 00:00:00+05:30,545.6,550.5,541.05,541.8,111418,
34,2023-01-23 00:00:00+05:30,541.0,545.25,536.7,543.3,89238,
35,2023-01-24 00:00:00+05:30,542.05,547.0,538.5,543.6,116669,
36,2023-01-25 00:00:00+05:30,542.05,544.0,534.0,541.0,85546,
37,2023-01-27 00:00:00+05:30,541.0,546.95,520.0,530.4,184529,
38,2023-01-30 00:00:00+05:30,526.0,528.65,479.5,484.7,765404,
39,2023-01-31 00:00:00+05:30,487.95,551.0,480.25,543.85,1301186,
40,2023-02-01 00:00:00+05:30,540.0,549.2,527.6,541.95,475024,
41,2023-02-02 00:00:00+05:30,528.8,546.3,520.8,535.5,194529,
42,2023-02-03 00:00:00+05:30,535.5,536.85,520.0,525.75,83689,
43,2023-02-06 00:00:00+05:30,525.0,540.0,525.0,537.55,111878,
44,2023-02-07 00:00:00+05:30,537.5,542.9,519.0,521.9,173232,
45,2023-02-08 00:00:00+05:30,522.0,527.45,518.0,519.05,124286,
46,2023-02-09 00:00:00+05:30,519.05,524.85,508.0,511.05,145526,
47,2023-02-10 00:00:00+05:30,509.0,528.95,506.9,520.9,142478,
48,2023-02-13 00:00:00+05:30,519.0,524.5,516.0,518.55,87065,
49,2023-02-14 00:00:00+05:30,516.05,519.2,506.25,515.2,99809,
50,2023-02-15 00:00:00+05:30,515.85,526.5,511.65,522.1,203890,
51,2023-02-16 00:00:00+05:30,522.1,534.2,522.0,531.15,129827,
52,2023-02-17 00:00:00+05:30,528.95,532.4,522.85,528.4,65949,
53,2023-02-20 00:00:00+05:30,526.95,530.75,520.0,526.3,49137,
54,2023-02-21 00:00:00+05:30,523.0,528.45,518.1,521.3,112002,
