,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,83.4,85.25,82.5,83.6,18299086,
1,2022-12-07 00:00:00+05:30,84.0,87.4,82.8,83.7,54227720,
2,2022-12-08 00:00:00+05:30,83.9,85.2,82.8,83.2,15244999,
3,2022-12-09 00:00:00+05:30,83.75,88.8,83.6,84.95,47128910,
4,2022-12-12 00:00:00+05:30,85.2,87.85,85.1,85.55,19198357,
5,2022-12-13 00:00:00+05:30,86.0,86.45,83.6,84.05,10536406,
6,2022-12-14 00:00:00+05:30,84.45,84.8,82.6,82.95,9446356,
7,2022-12-15 00:00:00+05:30,82.75,83.85,80.5,81.25,9649483,
8,2022-12-16 00:00:00+05:30,80.6,82.1,78.55,79.2,12721187,
9,2022-12-19 00:00:00+05:30,79.3,80.2,77.75,79.05,7298007,
10,2022-12-20 00:00:00+05:30,79.0,80.4,78.6,79.55,6899659,
11,2022-12-21 00:00:00+05:30,80.0,80.75,74.75,75.7,11892786,
12,2022-12-22 00:00:00+05:30,76.2,76.6,71.5,72.0,10360451,
13,2022-12-23 00:00:00+05:30,71.35,71.35,65.8,66.4,10198737,
14,2022-12-26 00:00:00+05:30,65.9,71.8,65.65,71.35,12945730,
15,2022-12-27 00:00:00+05:30,72.1,73.8,71.45,73.4,7368348,
16,2022-12-28 00:00:00+05:30,73.45,74.9,72.6,73.9,5896243,
17,2022-12-29 00:00:00+05:30,73.3,74.05,72.5,73.55,3816095,
18,2022-12-30 00:00:00+05:30,73.95,75.0,73.15,73.7,5062948,
19,2023-01-02 00:00:00+05:30,73.9,76.65,73.35,75.6,6781121,
20,2023-01-03 00:00:00+05:30,76.3,77.65,76.2,76.65,9292954,
21,2023-01-04 00:00:00+05:30,76.9,76.95,73.7,74.45,6802146,
22,2023-01-05 00:00:00+05:30,74.85,75.0,73.4,74.4,5705596,
23,2023-01-06 00:00:00+05:30,74.45,74.75,71.9,72.75,6111673,
24,2023-01-09 00:00:00+05:30,73.5,73.95,72.0,72.3,4868817,
25,2023-01-10 00:00:00+05:30,72.75,73.7,71.9,72.35,6566480,
26,2023-01-11 00:00:00+05:30,72.65,73.7,72.2,73.15,4405672,
27,2023-01-12 00:00:00+05:30,73.5,73.55,72.1,72.4,3554357,
28,2023-01-13 00:00:00+05:30,72.75,73.95,72.25,73.65,4960291,
29,2023-01-16 00:00:00+05:30,73.9,74.25,72.6,72.8,2990512,
30,2023-01-17 00:00:00+05:30,72.85,73.0,70.8,71.35,3699294,
31,2023-01-18 00:00:00+05:30,71.55,72.85,71.3,72.1,3419247,
32,2023-01-19 00:00:00+05:30,71.6,72.4,71.5,71.7,2851712,
33,2023-01-20 00:00:00+05:30,72.05,72.75,71.3,71.65,3040594,
34,2023-01-23 00:00:00+05:30,72.15,72.5,71.45,71.7,2673078,
35,2023-01-24 00:00:00+05:30,72.3,72.45,70.5,71.05,4053384,
36,2023-01-25 00:00:00+05:30,71.35,71.8,70.15,70.5,2953755,
37,2023-01-27 00:00:00+05:30,70.9,71.0,67.2,67.95,5224068,
38,2023-01-30 00:00:00+05:30,68.3,70.5,67.1,67.7,6016462,
39,2023-01-31 00:00:00+05:30,68.0,69.8,67.8,69.3,4683005,
40,2023-02-01 00:00:00+05:30,70.0,71.5,66.75,68.3,6310033,
41,2023-02-02 00:00:00+05:30,68.3,71.0,67.15,69.05,8312507,
42,2023-02-03 00:00:00+05:30,69.4,69.65,66.65,67.6,5377060,
43,2023-02-06 00:00:00+05:30,67.55,69.8,67.05,68.85,5057426,
44,2023-02-07 00:00:00+05:30,69.2,69.2,67.5,67.95,3393366,
45,2023-02-08 00:00:00+05:30,68.0,69.15,67.35,67.9,3854973,
46,2023-02-09 00:00:00+05:30,67.9,69.6,67.6,68.75,5080161,
47,2023-02-10 00:00:00+05:30,68.5,70.2,68.1,69.4,5071381,
48,2023-02-13 00:00:00+05:30,69.8,70.6,68.1,68.65,3134586,
49,2023-02-14 00:00:00+05:30,68.65,69.0,67.55,67.95,2447497,
