,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,52.95,53.6,51.4,51.75,7599239,
1,2022-12-07 00:00:00+05:30,52.25,53.15,51.5,52.4,9894610,
2,2022-12-08 00:00:00+05:30,52.6,53.1,51.5,51.8,5838385,
3,2022-12-09 00:00:00+05:30,52.1,52.8,48.5,49.15,12800730,
4,2022-12-12 00:00:00+05:30,49.3,50.25,48.55,49.3,7379041,
5,2022-12-13 00:00:00+05:30,49.85,56.2,49.65,55.05,49094896,
6,2022-12-14 00:00:00+05:30,56.0,57.45,54.85,55.8,30297827,
7,2022-12-15 00:00:00+05:30,55.7,58.85,55.15,56.4,27382347,
8,2022-12-16 00:00:00+05:30,56.4,57.4,53.2,53.7,14826511,
9,2022-12-19 00:00:00+05:30,54.3,58.8,53.75,57.9,33188218,
10,2022-12-20 00:00:00+05:30,57.9,58.1,55.45,56.3,13019544,
11,2022-12-21 00:00:00+05:30,56.65,57.55,50.25,51.9,22087643,
12,2022-12-22 00:00:00+05:30,52.6,53.1,49.0,49.95,17243013,
13,2022-12-23 00:00:00+05:30,49.25,49.5,45.4,45.8,13806920,
14,2022-12-26 00:00:00+05:30,45.75,49.95,45.3,49.35,14231832,
15,2022-12-27 00:00:00+05:30,50.2,51.4,49.1,50.2,11071705,
16,2022-12-28 00:00:00+05:30,50.3,52.1,49.7,51.7,10132199,
17,2022-12-29 00:00:00+05:30,50.75,52.95,50.7,52.15,9582157,
18,2022-12-30 00:00:00+05:30,52.75,53.1,51.8,52.1,6566969,
19,2023-01-02 00:00:00+05:30,52.0,54.2,51.95,53.5,8474214,
20,2023-01-03 00:00:00+05:30,53.5,54.85,52.75,53.05,7605226,
21,2023-01-04 00:00:00+05:30,53.35,53.45,51.0,51.85,7316410,
22,2023-01-05 00:00:00+05:30,52.15,52.65,50.9,52.4,6487438,
23,2023-01-06 00:00:00+05:30,52.2,52.9,51.6,51.95,4936943,
24,2023-01-09 00:00:00+05:30,52.4,52.9,51.6,51.95,3485603,
25,2023-01-10 00:00:00+05:30,51.95,52.4,50.5,50.8,4933355,
26,2023-01-11 00:00:00+05:30,51.1,51.55,50.3,51.15,4019196,
27,2023-01-12 00:00:00+05:30,51.4,51.45,50.15,50.6,3321000,
28,2023-01-13 00:00:00+05:30,50.7,51.2,50.4,50.5,3606508,
29,2023-01-16 00:00:00+05:30,50.65,52.6,50.65,51.25,7120358,
30,2023-01-17 00:00:00+05:30,51.25,51.5,49.85,50.55,3354081,
31,2023-01-18 00:00:00+05:30,50.8,51.6,50.45,51.3,3709969,
32,2023-01-19 00:00:00+05:30,50.8,51.4,50.25,50.4,2263725,
33,2023-01-20 00:00:00+05:30,50.7,51.35,49.9,50.1,2561512,
34,2023-01-23 00:00:00+05:30,50.5,50.5,49.25,49.5,2503893,
35,2023-01-24 00:00:00+05:30,49.8,49.85,48.5,48.85,2168408,
36,2023-01-25 00:00:00+05:30,48.85,48.95,47.35,47.45,3310624,
37,2023-01-27 00:00:00+05:30,47.5,48.05,44.7,45.75,6570904,
38,2023-01-30 00:00:00+05:30,45.75,47.1,45.5,46.4,3804125,
39,2023-01-31 00:00:00+05:30,46.6,48.95,46.4,48.5,4877811,
40,2023-02-01 00:00:00+05:30,48.9,49.65,45.5,46.9,6701943,
41,2023-02-02 00:00:00+05:30,46.9,47.7,46.3,46.5,3334400,
42,2023-02-03 00:00:00+05:30,47.0,47.1,45.1,46.25,3167853,
43,2023-02-06 00:00:00+05:30,46.3,47.1,46.15,46.4,3054925,
44,2023-02-07 00:00:00+05:30,46.5,46.8,45.7,45.9,3979569,
45,2023-02-08 00:00:00+05:30,46.0,47.75,45.65,47.15,3585074,
46,2023-02-09 00:00:00+05:30,47.0,47.4,46.5,46.85,2136592,
47,2023-02-10 00:00:00+05:30,46.5,47.4,46.45,46.9,2348062,
48,2023-02-13 00:00:00+05:30,47.1,47.3,45.7,46.3,2419902,
49,2023-02-14 00:00:00+05:30,45.9,45.9,44.5,44.65,3284445,
50,2023-02-15 00:00:00+05:30,44.55,45.3,44.15,44.7,2718274,
51,2023-02-16 00:00:00+05:30,44.95,48.05,44.95,47.35,6374194,
52,2023-02-17 00:00:00+05:30,47.35,47.9,46.1,46.45,2836438,
53,2023-02-20 00:00:00+05:30,46.45,46.6,45.35,45.5,1494034,
54,2023-02-21 00:00:00+05:30,45.5,45.9,44.8,45.15,1618163,
55,2023-02-22 00:00:00+05:30,44.8,45.0,44.05,44.2,1586734,
56,2023-02-23 00:00:00+05:30,44.45,44.5,43.4,43.9,1810359,
57,2023-02-24 00:00:00+05:30,44.2,45.0,43.3,43.65,2358250,
58,2023-02-27 00:00:00+05:30,43.55,43.7,42.65,43.15,1468463,
59,2023-02-28 00:00:00+05:30,42.9,43.65,42.75,43.5,1707302,
60,2023-03-01 00:00:00+05:30,43.75,45.0,43.65,44.85,1851796,
61,2023-03-02 00:00:00+05:30,44.85,45.95,44.85,45.4,2895711,
62,2023-03-03 00:00:00+05:30,45.6,46.8,45.6,46.25,2742452,
63,2023-03-06 00:00:00+05:30,46.5,47.45,46.25,47.1,3231254,
64,2023-03-08 00:00:00+05:30,46.7,47.4,46.55,47.1,1988401,
65,2023-03-09 00:00:00+05:30,47.25,49.8,47.25,49.05,8415786,
66,2023-03-10 00:00:00+05:30,48.45,48.75,47.0,47.6,4009558,
67,2023-03-13 00:00:00+05:30,47.75,48.15,46.0,46.3,2199376,
68,2023-03-14 00:00:00+05:30,46.7,47.3,45.7,45.95,3030466,
69,2023-03-15 00:00:00+05:30,46.3,46.45,45.15,45.55,1967212,
70,2023-03-16 00:00:00+05:30,45.65,45.7,44.6,44.85,2166125,
71,2023-03-17 00:00:00+05:30,44.85,45.5,44.8,45.2,1574695,
72,2023-03-20 00:00:00+05:30,45.9,45.9,44.0,44.45,2048808,
