,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,18.0,18.65,17.75,18.05,13054767,
1,2022-12-07 00:00:00+05:30,18.05,18.2,17.5,17.55,4741662,
2,2022-12-08 00:00:00+05:30,17.6,17.9,17.5,17.7,4256025,
3,2022-12-09 00:00:00+05:30,17.8,18.05,17.0,17.3,6136897,
4,2022-12-12 00:00:00+05:30,17.05,17.3,16.85,17.15,3746470,
5,2022-12-13 00:00:00+05:30,17.25,18.45,17.2,18.1,16344266,
6,2022-12-14 00:00:00+05:30,18.15,20.35,17.8,19.35,52330011,
7,2022-12-15 00:00:00+05:30,19.4,20.3,18.9,19.2,26814312,
8,2022-12-16 00:00:00+05:30,19.15,19.95,18.5,19.35,20879566,
9,2022-12-19 00:00:00+05:30,19.55,19.7,18.75,18.95,8869924,
10,2022-12-20 00:00:00+05:30,18.9,18.95,17.8,17.95,10399203,
11,2022-12-21 00:00:00+05:30,18.1,18.25,16.5,16.95,10641140,
12,2022-12-22 00:00:00+05:30,17.05,17.35,16.3,16.6,6743848,
13,2022-12-23 00:00:00+05:30,16.55,16.55,14.4,14.65,14754170,
14,2022-12-26 00:00:00+05:30,15.4,16.2,15.05,15.95,16896466,
15,2022-12-27 00:00:00+05:30,16.75,16.95,16.2,16.35,9185304,
16,2022-12-28 00:00:00+05:30,16.35,16.55,16.05,16.25,6104513,
17,2022-12-29 00:00:00+05:30,16.15,16.6,16.05,16.5,5759402,
18,2022-12-30 00:00:00+05:30,16.95,16.95,16.5,16.6,4223225,
19,2023-01-02 00:00:00+05:30,16.65,16.9,16.45,16.8,3711510,
20,2023-01-03 00:00:00+05:30,16.85,17.45,16.65,16.9,8708051,
21,2023-01-04 00:00:00+05:30,16.95,17.0,16.25,16.4,5939431,
22,2023-01-05 00:00:00+05:30,16.5,16.65,15.95,16.25,5077529,
23,2023-01-06 00:00:00+05:30,16.35,16.4,15.85,16.0,4012236,
24,2023-01-09 00:00:00+05:30,16.2,16.35,15.7,15.85,4372511,
25,2023-01-10 00:00:00+05:30,15.95,16.45,15.75,16.25,4915944,
26,2023-01-11 00:00:00+05:30,16.35,17.1,16.15,16.9,10206801,
27,2023-01-12 00:00:00+05:30,16.75,16.9,16.25,16.35,4275384,
28,2023-01-13 00:00:00+05:30,16.35,17.3,16.2,17.05,9856707,
29,2023-01-16 00:00:00+05:30,17.15,18.15,17.05,17.9,26733054,
30,2023-01-17 00:00:00+05:30,17.9,18.1,17.4,17.85,14314586,
31,2023-01-18 00:00:00+05:30,17.8,18.5,17.6,17.9,15105889,
32,2023-01-19 00:00:00+05:30,17.7,18.2,17.6,17.8,11883908,
33,2023-01-20 00:00:00+05:30,17.8,18.9,17.7,18.55,38774184,
34,2023-01-23 00:00:00+05:30,18.75,18.75,16.75,17.1,89243245,
35,2023-01-24 00:00:00+05:30,17.2,17.35,16.25,16.6,41409289,
36,2023-01-25 00:00:00+05:30,16.6,16.75,16.05,16.1,14033114,
37,2023-01-27 00:00:00+05:30,16.2,16.4,15.25,15.8,14889140,
38,2023-01-30 00:00:00+05:30,15.65,16.5,15.5,16.0,18509346,
39,2023-01-31 00:00:00+05:30,16.1,17.4,15.95,17.05,15489568,
40,2023-02-01 00:00:00+05:30,17.5,17.5,16.15,16.25,9421886,
41,2023-02-02 00:00:00+05:30,16.3,16.9,16.25,16.45,9954969,
42,2023-02-03 00:00:00+05:30,16.6,16.65,15.6,16.05,17773034,
43,2023-02-06 00:00:00+05:30,16.1,17.25,16.1,16.5,20635501,
44,2023-02-07 00:00:00+05:30,16.65,16.8,16.1,16.2,14409028,
45,2023-02-08 00:00:00+05:30,16.2,17.25,16.1,16.6,29546504,
46,2023-02-09 00:00:00+05:30,16.6,17.15,16.4,16.7,15361321,
47,2023-02-10 00:00:00+05:30,16.5,17.0,16.35,16.45,11058366,
48,2023-02-13 00:00:00+05:30,16.35,16.6,16.1,16.15,15677555,
49,2023-02-14 00:00:00+05:30,16.15,16.6,15.95,16.25,25297595,
50,2023-02-15 00:00:00+05:30,16.15,16.55,15.95,16.1,25527978,
51,2023-02-16 00:00:00+05:30,16.2,16.4,15.8,15.95,16493092,
52,2023-02-17 00:00:00+05:30,15.9,16.0,15.55,15.7,8000143,
53,2023-02-20 00:00:00+05:30,15.7,16.0,15.65,15.75,14887885,
54,2023-02-21 00:00:00+05:30,15.7,15.85,15.5,15.7,23920233,
55,2023-02-22 00:00:00+05:30,15.65,15.65,15.25,15.35,22682557,
56,2023-02-23 00:00:00+05:30,15.3,16.9,15.25,16.65,48419709,
57,2023-02-24 00:00:00+05:30,16.3,17.65,16.25,16.4,67312393,
58,2023-02-27 00:00:00+05:30,16.5,16.65,15.85,15.95,9006413,
59,2023-02-28 00:00:00+05:30,15.95,16.2,15.6,15.8,6217893,
60,2023-03-01 00:00:00+05:30,15.9,16.2,15.9,16.0,5027409,
61,2023-03-02 00:00:00+05:30,16.0,16.15,15.7,15.8,3425664,
62,2023-03-03 00:00:00+05:30,15.85,16.0,15.6,15.65,5672238,
63,2023-03-06 00:00:00+05:30,15.65,16.35,15.65,15.9,7468669,
64,2023-03-08 00:00:00+05:30,15.8,16.7,15.7,16.45,22125473,
65,2023-03-09 00:00:00+05:30,16.45,16.5,15.95,16.1,10253023,
66,2023-03-10 00:00:00+05:30,16.05,16.1,15.75,15.95,10932114,
67,2023-03-13 00:00:00+05:30,15.9,16.05,15.25,15.35,13106564,
68,2023-03-14 00:00:00+05:30,15.4,15.6,15.05,15.15,10340240,
69,2023-03-15 00:00:00+05:30,15.6,15.6,15.1,15.3,12604149,
70,2023-03-16 00:00:00+05:30,15.2,15.5,14.95,15.15,15000753,
71,2023-03-17 00:00:00+05:30,15.25,15.4,15.0,15.1,3433754,
72,2023-03-20 00:00:00+05:30,15.05,15.4,14.4,14.6,5688851,
73,2023-03-21 00:00:00+05:30,14.65,14.8,14.3,14.45,4009526,
74,2023-03-22 00:00:00+05:30,14.5,14.75,14.45,14.6,3242488,
75,2023-03-23 00:00:00+05:30,14.6,14.75,14.25,14.3,3563288,
76,2023-03-24 00:00:00+05:30,14.35,14.45,13.9,13.95,4587899,
77,2023-03-27 00:00:00+05:30,13.95,14.15,13.35,13.55,8029445,
78,2023-03-28 00:00:00+05:30,13.6,13.7,12.85,13.25,8420334,
79,2023-03-29 00:00:00+05:30,13.15,14.1,13.15,13.95,7707004,
80,2023-03-31 00:00:00+05:30,14.15,14.35,13.95,14.15,5061023,
81,2023-04-03 00:00:00+05:30,14.25,14.5,14.2,14.35,2638483,
82,2023-04-05 00:00:00+05:30,14.4,14.45,14.1,14.15,3453193,
83,2023-04-06 00:00:00+05:30,14.15,14.35,14.0,14.2,4933872,
84,2023-04-10 00:00:00+05:30,14.25,14.35,14.1,14.15,2113549,
85,2023-04-11 00:00:00+05:30,14.25,14.25,13.9,14.0,3600640,
86,2023-04-12 00:00:00+05:30,14.05,14.1,13.85,13.95,3750369,
87,2023-04-13 00:00:00+05:30,14.05,14.05,13.85,13.95,2469001,
88,2023-04-17 00:00:00+05:30,13.9,14.05,13.55,13.75,6833211,
89,2023-04-18 00:00:00+05:30,13.75,13.9,13.5,13.65,4376932,
90,2023-04-19 00:00:00+05:30,13.65,14.15,13.55,13.6,9031033,
91,2023-04-20 00:00:00+05:30,13.8,13.85,13.6,13.65,2874386,
92,2023-04-21 00:00:00+05:30,13.75,13.75,13.4,13.5,3537608,
93,2023-04-24 00:00:00+05:30,13.6,13.6,13.35,13.4,7514130,
94,2023-04-25 00:00:00+05:30,13.45,13.55,13.3,13.4,3870659,
95,2023-04-26 00:00:00+05:30,13.4,13.45,13.25,13.3,3528870,
96,2023-04-27 00:00:00+05:30,13.35,13.6,13.25,13.5,4355920,
97,2023-04-28 00:00:00+05:30,13.6,14.3,13.55,13.7,12011157,
98,2023-05-02 00:00:00+05:30,13.8,14.1,13.75,14.0,4493794,
99,2023-05-03 00:00:00+05:30,14.0,14.35,13.85,14.05,5012173,
100,2023-05-04 00:00:00+05:30,14.05,14.4,13.95,14.1,7140017,
101,2023-05-05 00:00:00+05:30,14.1,14.3,13.9,13.95,4795968,
102,2023-05-08 00:00:00+05:30,14.1,14.15,13.85,13.95,2538767,
103,2023-05-09 00:00:00+05:30,14.0,14.25,13.8,13.9,3975994,
104,2023-05-10 00:00:00+05:30,13.95,14.0,13.7,13.75,4796442,
105,2023-05-11 00:00:00+05:30,13.85,14.7,13.8,14.0,11885506,
106,2023-05-12 00:00:00+05:30,14.05,14.2,13.9,13.95,3614192,
107,2023-05-15 00:00:00+05:30,14.05,14.45,13.9,14.3,6319387,
108,2023-05-16 00:00:00+05:30,14.4,14.45,14.15,14.2,3894951,
109,2023-05-17 00:00:00+05:30,13.95,14.55,13.9,14.3,6031147,
110,2023-05-18 00:00:00+05:30,14.35,14.5,14.0,14.1,5007547,
111,2023-05-19 00:00:00+05:30,14.2,14.45,14.05,14.4,4696952,
112,2023-05-22 00:00:00+05:30,14.4,15.05,14.35,14.6,11092265,
113,2023-05-23 00:00:00+05:30,14.75,14.85,14.3,14.45,4278519,
114,2023-05-24 00:00:00+05:30,14.45,14.6,14.25,14.4,3362036,
115,2023-05-25 00:00:00+05:30,14.5,14.95,14.4,14.65,8714498,
116,2023-05-26 00:00:00+05:30,14.95,15.35,14.5,14.7,15876084,
117,2023-05-29 00:00:00+05:30,15.1,15.3,14.5,14.6,6409620,
118,2023-05-30 00:00:00+05:30,14.65,14.7,14.35,14.4,3167643,
119,2023-05-31 00:00:00+05:30,14.4,15.4,14.4,15.05,23452176,
120,2023-06-01 00:00:00+05:30,15.3,15.65,15.05,15.1,9851423,
121,2023-06-02 00:00:00+05:30,15.2,15.6,15.15,15.3,10933700,
122,2023-06-05 00:00:00+05:30,15.45,15.6,15.05,15.1,7185797,
123,2023-06-06 00:00:00+05:30,15.1,15.2,14.8,14.85,4068707,
124,2023-06-07 00:00:00+05:30,14.95,15.6,14.9,15.35,12930397,
125,2023-06-08 00:00:00+05:30,15.45,15.8,15.05,15.1,9892378,
126,2023-06-09 00:00:00+05:30,15.2,15.5,14.8,15.25,7422012,
127,2023-06-12 00:00:00+05:30,15.35,15.4,15.1,15.15,3948542,
128,2023-06-13 00:00:00+05:30,15.3,15.95,15.1,15.55,14410339,
129,2023-06-14 00:00:00+05:30,15.65,15.8,15.2,15.25,7868240,
130,2023-06-15 00:00:00+05:30,15.35,15.4,15.05,15.15,4802379,
131,2023-06-16 00:00:00+05:30,15.25,15.35,15.1,15.15,4165056,
132,2023-06-19 00:00:00+05:30,15.2,15.95,15.05,15.85,16499780,
133,2023-06-20 00:00:00+05:30,15.75,16.95,15.45,16.2,44808246,
134,2023-06-21 00:00:00+05:30,16.25,16.6,15.55,15.6,17475711,
135,2023-06-22 00:00:00+05:30,15.75,16.25,15.3,15.55,12790899,
136,2023-06-23 00:00:00+05:30,15.7,16.3,15.5,15.7,29835327,
137,2023-06-26 00:00:00+05:30,15.95,16.2,15.75,16.05,16984398,
138,2023-06-27 00:00:00+05:30,16.15,16.9,15.8,16.05,36539111,
139,2023-06-28 00:00:00+05:30,16.15,16.4,15.75,15.85,20692945,
140,2023-06-30 00:00:00+05:30,16.0,16.15,15.65,15.75,13625582,
141,2023-07-03 00:00:00+05:30,15.85,16.05,15.65,15.85,10455008,
142,2023-07-04 00:00:00+05:30,16.0,16.5,15.85,15.9,19545262,
143,2023-07-05 00:00:00+05:30,15.95,16.3,15.85,16.0,13262693,
144,2023-07-06 00:00:00+05:30,16.05,16.35,15.9,16.0,9022786,
145,2023-07-07 00:00:00+05:30,16.0,16.1,15.7,15.85,8826222,
146,2023-07-10 00:00:00+05:30,15.95,15.95,15.3,15.4,10483212,
147,2023-07-11 00:00:00+05:30,15.4,15.55,15.25,15.35,8044792,
148,2023-07-12 00:00:00+05:30,15.4,15.5,15.15,15.2,6976909,
149,2023-07-13 00:00:00+05:30,15.25,15.4,14.75,14.95,7015630,
150,2023-07-14 00:00:00+05:30,15.0,15.55,14.9,15.35,10503584,
151,2023-07-17 00:00:00+05:30,15.45,15.75,15.25,15.55,10912120,
152,2023-07-18 00:00:00+05:30,15.5,15.7,15.2,15.35,8032358,
153,2023-07-19 00:00:00+05:30,15.45,15.6,15.25,15.3,5714167,
154,2023-07-20 00:00:00+05:30,15.3,15.4,14.85,14.95,9209147,
155,2023-07-21 00:00:00+05:30,14.85,15.05,14.75,14.95,4769258,
156,2023-07-24 00:00:00+05:30,14.95,15.1,14.85,14.9,3974521,
157,2023-07-25 00:00:00+05:30,15.0,15.1,14.85,14.9,4578858,
158,2023-07-26 00:00:00+05:30,14.95,15.15,14.9,15.0,4380319,
159,2023-07-27 00:00:00+05:30,15.1,15.15,14.75,14.8,4763125,
160,2023-07-28 00:00:00+05:30,14.9,15.05,14.7,14.95,5500967,
161,2023-07-31 00:00:00+05:30,15.05,15.4,14.9,15.25,7841744,
162,2023-08-01 00:00:00+05:30,15.35,15.4,15.0,15.05,7044537,
163,2023-08-02 00:00:00+05:30,15.1,15.3,14.85,14.95,7639457,
164,2023-08-03 00:00:00+05:30,14.95,15.05,14.75,14.8,4483174,
