,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,462.0,465.55,453.75,456.4,313951,
1,2022-12-07 00:00:00+05:30,455.0,457.8,444.4,446.65,362743,
2,2022-12-08 00:00:00+05:30,448.45,454.55,444.65,452.15,250141,
3,2022-12-09 00:00:00+05:30,454.0,454.15,424.0,427.55,952584,
4,2022-12-12 00:00:00+05:30,428.0,431.4,423.0,430.0,453881,
5,2022-12-13 00:00:00+05:30,432.15,434.0,427.0,428.85,385799,
6,2022-12-14 00:00:00+05:30,431.0,443.15,429.2,438.95,1302030,
7,2022-12-15 00:00:00+05:30,441.15,441.15,428.75,430.05,409349,
8,2022-12-16 00:00:00+05:30,427.0,430.0,413.4,420.75,536423,
9,2022-12-19 00:00:00+05:30,420.0,429.2,416.0,425.5,299798,
10,2022-12-20 00:00:00+05:30,425.55,435.6,419.0,433.2,510512,
11,2022-12-21 00:00:00+05:30,436.35,439.25,424.85,427.75,504417,
12,2022-12-22 00:00:00+05:30,429.15,435.65,424.0,431.95,454913,
13,2022-12-23 00:00:00+05:30,427.05,431.2,416.2,424.9,643579,
14,2022-12-26 00:00:00+05:30,423.1,442.8,423.1,437.85,805727,
15,2022-12-27 00:00:00+05:30,440.05,446.4,436.05,443.0,785800,
16,2022-12-28 00:00:00+05:30,440.0,447.75,437.45,442.0,300872,
17,2022-12-29 00:00:00+05:30,442.5,442.8,434.0,440.9,382036,
18,2022-12-30 00:00:00+05:30,441.0,455.9,441.0,446.2,536915,
19,2023-01-02 00:00:00+05:30,448.45,450.85,441.3,447.7,190812,
20,2023-01-03 00:00:00+05:30,447.0,452.25,445.2,447.6,292101,
21,2023-01-04 00:00:00+05:30,447.6,449.2,436.55,438.8,240806,
22,2023-01-05 00:00:00+05:30,440.0,440.45,426.3,428.85,251346,
23,2023-01-06 00:00:00+05:30,428.4,431.95,419.95,421.85,226919,
24,2023-01-09 00:00:00+05:30,423.95,445.0,422.15,440.05,882451,
