,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,62.1,65.45,61.25,64.8,22305012,
1,2022-12-07 00:00:00+05:30,65.8,66.75,64.1,64.9,23234469,
2,2022-12-08 00:00:00+05:30,65.3,65.4,63.0,63.5,8246523,
3,2022-12-09 00:00:00+05:30,63.25,63.7,59.8,61.4,12610264,
4,2022-12-12 00:00:00+05:30,61.45,63.6,59.85,63.05,11828660,
5,2022-12-13 00:00:00+05:30,63.35,65.1,62.95,64.65,10635362,
6,2022-12-14 00:00:00+05:30,65.25,66.25,64.2,65.15,9310281,
7,2022-12-15 00:00:00+05:30,64.95,64.95,61.85,62.3,6675578,
8,2022-12-16 00:00:00+05:30,61.9,62.5,59.2,61.15,10640231,
9,2022-12-19 00:00:00+05:30,61.6,63.4,60.25,62.9,6847089,
10,2022-12-20 00:00:00+05:30,62.8,65.25,61.45,64.85,13440162,
11,2022-12-21 00:00:00+05:30,65.4,65.4,57.6,58.4,16697025,
12,2022-12-22 00:00:00+05:30,58.95,59.7,55.55,56.2,10100060,
13,2022-12-23 00:00:00+05:30,55.4,55.6,48.75,49.5,13783721,
14,2022-12-26 00:00:00+05:30,49.95,55.0,48.95,53.8,12016884,
15,2022-12-27 00:00:00+05:30,54.35,55.4,53.35,54.5,7426695,
16,2022-12-28 00:00:00+05:30,54.9,60.15,53.9,59.0,29364906,
17,2022-12-29 00:00:00+05:30,59.0,61.9,57.8,60.2,18706636,
18,2022-12-30 00:00:00+05:30,60.7,61.15,59.5,59.75,6976755,
19,2023-01-02 00:00:00+05:30,60.0,60.75,58.75,59.6,6370668,
20,2023-01-03 00:00:00+05:30,59.8,61.9,59.6,60.75,10165358,
21,2023-01-04 00:00:00+05:30,61.1,63.15,60.15,60.9,13857187,
22,2023-01-05 00:00:00+05:30,61.3,61.3,59.15,60.05,6753919,
23,2023-01-06 00:00:00+05:30,60.25,60.45,58.25,58.6,4749511,
24,2023-01-09 00:00:00+05:30,59.05,61.95,58.8,61.2,10324934,
25,2023-01-10 00:00:00+05:30,61.55,61.65,59.3,59.85,5107758,
26,2023-01-11 00:00:00+05:30,60.15,60.15,58.55,58.85,5858914,
27,2023-01-12 00:00:00+05:30,59.0,60.6,58.75,59.95,9113883,
28,2023-01-13 00:00:00+05:30,60.1,64.2,59.95,63.05,22672286,
29,2023-01-16 00:00:00+05:30,63.2,63.45,61.5,61.85,8026582,
30,2023-01-17 00:00:00+05:30,62.1,62.1,60.25,60.8,4008293,
31,2023-01-18 00:00:00+05:30,61.15,62.8,60.8,61.6,6887431,
32,2023-01-19 00:00:00+05:30,61.2,62.1,60.2,60.55,4485296,
33,2023-01-20 00:00:00+05:30,60.6,62.35,60.5,60.85,4979913,
34,2023-01-23 00:00:00+05:30,61.2,62.1,59.85,60.15,6169766,
35,2023-01-24 00:00:00+05:30,60.55,60.95,59.6,60.15,3502208,
36,2023-01-25 00:00:00+05:30,60.2,60.5,57.0,58.2,8091221,
37,2023-01-27 00:00:00+05:30,58.1,58.95,54.2,56.55,6423078,
38,2023-01-30 00:00:00+05:30,56.7,58.7,56.4,57.85,5124830,
39,2023-01-31 00:00:00+05:30,58.3,60.6,57.9,60.3,6547252,
40,2023-02-01 00:00:00+05:30,61.8,62.4,56.3,57.7,13392150,
41,2023-02-02 00:00:00+05:30,57.5,60.15,57.15,58.35,3501498,
42,2023-02-03 00:00:00+05:30,58.7,58.8,55.65,57.2,3922101,
43,2023-02-06 00:00:00+05:30,57.15,58.0,56.8,57.05,2538397,
44,2023-02-07 00:00:00+05:30,57.4,57.85,56.4,56.75,2582141,
45,2023-02-08 00:00:00+05:30,56.75,58.8,56.05,57.75,3738697,
46,2023-02-09 00:00:00+05:30,58.7,58.8,55.05,55.4,10108958,
47,2023-02-10 00:00:00+05:30,55.5,56.3,54.85,55.15,4016319,
