,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,114.5,115.0,113.15,114.3,333968,
1,2022-12-07 00:00:00+05:30,114.8,115.0,113.15,113.9,334067,
2,2022-12-08 00:00:00+05:30,114.6,116.9,113.0,113.4,278538,
3,2022-12-09 00:00:00+05:30,113.9,114.7,109.5,110.2,457996,
4,2022-12-12 00:00:00+05:30,110.95,112.3,109.05,111.5,211275,
5,2022-12-13 00:00:00+05:30,111.8,112.6,111.5,111.7,186146,
6,2022-12-14 00:00:00+05:30,111.9,113.3,110.8,111.2,281702,
7,2022-12-15 00:00:00+05:30,111.5,115.25,110.6,111.75,623919,
8,2022-12-16 00:00:00+05:30,111.75,112.2,108.75,109.2,306534,
9,2022-12-19 00:00:00+05:30,109.35,111.0,108.8,110.0,315543,
10,2022-12-20 00:00:00+05:30,110.35,110.45,108.7,109.95,179572,
11,2022-12-21 00:00:00+05:30,110.7,113.0,105.4,106.1,474735,
12,2022-12-22 00:00:00+05:30,106.9,109.5,103.1,107.35,431694,
13,2022-12-23 00:00:00+05:30,104.35,105.95,96.5,98.45,449654,
14,2022-12-26 00:00:00+05:30,98.5,102.9,98.5,102.25,345237,
15,2022-12-27 00:00:00+05:30,103.6,104.9,102.25,103.0,227689,
16,2022-12-28 00:00:00+05:30,103.55,104.95,103.15,104.2,309187,
17,2022-12-29 00:00:00+05:30,104.15,104.15,101.85,103.1,169053,
18,2022-12-30 00:00:00+05:30,103.5,104.85,103.3,103.6,157517,
19,2023-01-02 00:00:00+05:30,103.95,107.0,103.5,106.35,312724,
20,2023-01-03 00:00:00+05:30,106.8,106.8,104.6,105.2,197597,
21,2023-01-04 00:00:00+05:30,105.25,105.7,103.6,104.1,140233,
22,2023-01-05 00:00:00+05:30,104.9,104.95,103.2,104.0,120737,
23,2023-01-06 00:00:00+05:30,104.3,104.65,101.6,102.65,168560,
24,2023-01-09 00:00:00+05:30,103.4,104.4,102.8,103.2,127798,
25,2023-01-10 00:00:00+05:30,103.3,103.9,102.0,103.15,91503,
26,2023-01-11 00:00:00+05:30,103.8,105.3,103.15,104.1,300221,
27,2023-01-12 00:00:00+05:30,104.75,104.9,102.9,103.65,89379,
28,2023-01-13 00:00:00+05:30,107.0,111.45,105.8,109.35,8375379,
29,2023-01-16 00:00:00+05:30,107.35,108.3,106.0,106.35,587816,
30,2023-01-17 00:00:00+05:30,106.3,106.3,104.55,105.15,234750,
31,2023-01-18 00:00:00+05:30,105.65,107.0,104.15,105.2,361194,
32,2023-01-19 00:00:00+05:30,104.55,106.65,104.55,105.3,462926,
33,2023-01-20 00:00:00+05:30,105.8,105.95,103.7,104.3,147505,
34,2023-01-23 00:00:00+05:30,104.9,105.5,103.2,103.6,266288,
35,2023-01-24 00:00:00+05:30,103.25,104.35,103.2,103.6,179522,
36,2023-01-25 00:00:00+05:30,103.35,103.85,101.6,102.0,179384,
37,2023-01-27 00:00:00+05:30,102.7,103.55,99.55,100.5,186123,
38,2023-01-30 00:00:00+05:30,100.5,101.45,99.45,100.6,180648,
39,2023-01-31 00:00:00+05:30,100.65,103.1,100.65,102.9,182511,
40,2023-02-01 00:00:00+05:30,102.95,104.55,99.5,100.45,268752,
41,2023-02-02 00:00:00+05:30,100.0,101.75,99.8,100.75,126835,
42,2023-02-03 00:00:00+05:30,101.4,102.0,98.4,100.05,187149,
43,2023-02-06 00:00:00+05:30,99.35,102.9,99.35,100.3,100704,
44,2023-02-07 00:00:00+05:30,100.9,101.15,99.25,100.0,94762,
45,2023-02-08 00:00:00+05:30,99.95,101.9,99.5,100.75,121223,
46,2023-02-09 00:00:00+05:30,100.9,101.9,99.55,100.2,142631,
47,2023-02-10 00:00:00+05:30,100.75,101.35,100.05,100.3,87097,
