,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,112.25,114.0,110.4,111.3,664605,
1,2022-12-07 00:00:00+05:30,111.5,112.3,108.65,109.25,477282,
2,2022-12-08 00:00:00+05:30,109.8,110.3,108.9,109.45,174167,
3,2022-12-09 00:00:00+05:30,109.45,110.85,107.0,108.1,501366,
4,2022-12-12 00:00:00+05:30,108.5,110.35,107.8,108.8,398984,
5,2022-12-13 00:00:00+05:30,109.35,111.0,108.8,110.6,427255,
6,2022-12-14 00:00:00+05:30,111.95,115.5,111.0,111.8,2271594,
7,2022-12-15 00:00:00+05:30,111.95,114.05,111.4,111.8,847403,
8,2022-12-16 00:00:00+05:30,111.5,111.5,106.8,107.3,1190885,
9,2022-12-19 00:00:00+05:30,107.85,107.85,105.35,107.15,806667,
10,2022-12-20 00:00:00+05:30,107.35,107.5,105.15,106.2,637065,
11,2022-12-21 00:00:00+05:30,106.8,107.15,103.6,104.4,789214,
12,2022-12-22 00:00:00+05:30,104.95,105.5,102.5,103.35,673611,
13,2022-12-23 00:00:00+05:30,101.3,102.55,96.95,98.8,755310,
14,2022-12-26 00:00:00+05:30,98.6,102.5,97.05,102.05,457334,
15,2022-12-27 00:00:00+05:30,103.5,107.4,102.4,106.2,781959,
16,2022-12-28 00:00:00+05:30,106.2,106.9,102.8,103.2,568556,
17,2022-12-29 00:00:00+05:30,103.65,103.65,102.45,103.25,232791,
18,2022-12-30 00:00:00+05:30,103.8,105.75,103.75,104.75,302504,
19,2023-01-02 00:00:00+05:30,105.5,106.2,104.7,105.0,512550,
20,2023-01-03 00:00:00+05:30,105.8,105.8,104.7,105.05,255819,
21,2023-01-04 00:00:00+05:30,105.5,107.9,104.5,106.8,886221,
22,2023-01-05 00:00:00+05:30,107.3,107.45,104.35,104.95,426086,
23,2023-01-06 00:00:00+05:30,104.95,105.05,102.0,102.9,458575,
24,2023-01-09 00:00:00+05:30,103.5,104.5,102.75,103.8,399630,
25,2023-01-10 00:00:00+05:30,104.25,106.2,103.5,105.75,476753,
26,2023-01-11 00:00:00+05:30,106.5,107.45,105.1,106.15,490237,
27,2023-01-12 00:00:00+05:30,105.5,106.65,104.1,105.95,396190,
28,2023-01-13 00:00:00+05:30,106.5,106.8,104.2,104.7,426785,
29,2023-01-16 00:00:00+05:30,104.95,105.7,102.7,103.05,372693,
30,2023-01-17 00:00:00+05:30,103.35,105.5,103.0,105.0,422844,
31,2023-01-18 00:00:00+05:30,105.0,106.65,105.0,105.5,815242,
32,2023-01-19 00:00:00+05:30,105.5,107.25,105.1,105.45,713334,
33,2023-01-20 00:00:00+05:30,105.4,105.9,103.0,103.55,451720,
34,2023-01-23 00:00:00+05:30,104.1,104.75,102.6,104.1,353261,
35,2023-01-24 00:00:00+05:30,104.65,105.0,102.65,104.65,397022,
36,2023-01-25 00:00:00+05:30,104.6,105.4,103.3,104.9,272690,
