,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,407.85,410.0,403.0,406.7,432028,
1,2022-12-07 00:00:00+05:30,407.8,408.6,398.25,401.7,458027,
2,2022-12-08 00:00:00+05:30,401.8,410.7,401.7,408.15,564274,
3,2022-12-09 00:00:00+05:30,409.8,409.8,402.0,403.7,284787,
4,2022-12-12 00:00:00+05:30,410.0,422.0,405.0,419.25,1325652,
5,2022-12-13 00:00:00+05:30,423.4,427.65,420.1,422.5,1082708,
6,2022-12-14 00:00:00+05:30,424.0,424.15,410.4,413.2,727149,
7,2022-12-15 00:00:00+05:30,412.75,416.35,408.4,410.55,368919,
8,2022-12-16 00:00:00+05:30,409.4,419.0,407.0,413.4,989037,
9,2022-12-19 00:00:00+05:30,413.45,434.0,413.45,425.1,3277500,
10,2022-12-20 00:00:00+05:30,427.6,450.0,426.0,439.85,8535203,
11,2022-12-21 00:00:00+05:30,448.65,453.2,417.85,426.65,2771816,
12,2022-12-22 00:00:00+05:30,428.0,431.6,411.2,415.65,1352114,
13,2022-12-23 00:00:00+05:30,408.95,408.95,370.0,372.9,2646127,
14,2022-12-26 00:00:00+05:30,372.7,398.0,362.0,393.05,1663500,
15,2022-12-27 00:00:00+05:30,400.0,405.4,393.05,403.2,768814,
16,2022-12-28 00:00:00+05:30,404.5,411.95,401.3,407.9,876838,
17,2022-12-29 00:00:00+05:30,402.5,409.3,401.0,406.35,472898,
18,2022-12-30 00:00:00+05:30,411.5,415.35,406.05,409.1,533584,
19,2023-01-02 00:00:00+05:30,410.05,422.5,410.05,417.65,959909,
20,2023-01-03 00:00:00+05:30,419.4,420.4,415.0,416.0,358387,
21,2023-01-04 00:00:00+05:30,417.75,420.9,410.05,413.5,411758,
22,2023-01-05 00:00:00+05:30,414.95,424.6,413.6,416.6,598005,
23,2023-01-06 00:00:00+05:30,418.75,419.2,407.1,411.1,427888,
24,2023-01-09 00:00:00+05:30,414.0,418.0,410.8,414.05,396065,
25,2023-01-10 00:00:00+05:30,414.55,417.85,411.9,416.2,376265,
26,2023-01-11 00:00:00+05:30,417.6,422.95,414.1,416.95,582906,
27,2023-01-12 00:00:00+05:30,419.4,419.4,410.25,414.35,368051,
28,2023-01-13 00:00:00+05:30,415.6,419.75,409.1,414.65,551922,
29,2023-01-16 00:00:00+05:30,415.0,417.0,411.45,413.05,232639,
30,2023-01-17 00:00:00+05:30,413.1,414.5,408.6,410.95,245726,
31,2023-01-18 00:00:00+05:30,411.45,414.65,408.5,411.7,319923,
32,2023-01-19 00:00:00+05:30,409.1,412.95,407.5,411.75,319881,
33,2023-01-20 00:00:00+05:30,410.85,426.0,409.25,422.35,830607,
34,2023-01-23 00:00:00+05:30,422.35,423.0,410.25,411.6,405510,
35,2023-01-24 00:00:00+05:30,412.1,412.45,398.45,400.75,602761,
36,2023-01-25 00:00:00+05:30,401.0,405.9,391.9,396.1,533167,
37,2023-01-27 00:00:00+05:30,397.9,402.4,380.55,387.85,469341,
38,2023-01-30 00:00:00+05:30,389.8,402.3,389.75,394.6,564199,
39,2023-01-31 00:00:00+05:30,396.45,414.85,395.5,412.1,686167,
40,2023-02-01 00:00:00+05:30,414.95,415.4,390.5,399.2,598987,
41,2023-02-02 00:00:00+05:30,398.6,411.9,397.05,405.95,467673,
42,2023-02-03 00:00:00+05:30,408.0,409.2,397.1,400.7,333379,
43,2023-02-06 00:00:00+05:30,408.15,411.3,404.0,409.25,575625,
44,2023-02-07 00:00:00+05:30,420.5,424.95,391.35,395.8,3301165,
45,2023-02-08 00:00:00+05:30,397.0,402.0,394.2,396.8,502514,
46,2023-02-09 00:00:00+05:30,397.8,400.8,394.95,396.4,443287,
47,2023-02-10 00:00:00+05:30,394.8,395.5,390.25,392.35,321512,
48,2023-02-13 00:00:00+05:30,392.45,395.8,385.1,388.85,417402,
49,2023-02-14 00:00:00+05:30,389.0,394.9,385.05,386.1,457975,
50,2023-02-15 00:00:00+05:30,386.0,394.8,386.0,393.85,448447,
51,2023-02-16 00:00:00+05:30,394.65,396.75,390.35,395.5,361937,
52,2023-02-17 00:00:00+05:30,390.2,397.9,390.1,396.25,364358,
53,2023-02-20 00:00:00+05:30,398.2,401.95,392.65,396.3,479134,
54,2023-02-21 00:00:00+05:30,394.55,398.95,393.0,394.35,301424,
55,2023-02-22 00:00:00+05:30,391.75,396.0,386.0,391.05,367944,
56,2023-02-23 00:00:00+05:30,391.0,395.45,387.95,391.5,259080,
57,2023-02-24 00:00:00+05:30,392.5,394.0,390.2,391.65,236219,
58,2023-02-27 00:00:00+05:30,389.1,393.8,385.0,388.1,251337,
59,2023-02-28 00:00:00+05:30,388.0,394.8,378.2,388.05,539049,
60,2023-03-01 00:00:00+05:30,388.05,394.75,384.0,386.65,469920,
61,2023-03-02 00:00:00+05:30,386.0,392.25,385.05,388.15,245338,
62,2023-03-03 00:00:00+05:30,389.0,399.6,389.0,390.9,801407,
63,2023-03-06 00:00:00+05:30,391.9,397.8,391.05,391.85,372693,
64,2023-03-08 00:00:00+05:30,390.35,397.5,388.95,392.35,528939,
65,2023-03-09 00:00:00+05:30,393.35,396.6,387.25,391.3,487575,
66,2023-03-10 00:00:00+05:30,388.0,391.85,387.2,389.0,315612,
67,2023-03-13 00:00:00+05:30,389.95,391.3,370.35,376.2,496208,
68,2023-03-14 00:00:00+05:30,376.0,379.1,367.25,369.75,309264,
69,2023-03-15 00:00:00+05:30,370.1,377.75,367.25,370.05,399888,
70,2023-03-16 00:00:00+05:30,366.6,368.8,348.3,350.2,940109,
71,2023-03-17 00:00:00+05:30,355.0,393.9,351.0,384.7,3893461,
72,2023-03-20 00:00:00+05:30,391.8,395.0,381.65,383.9,868088,
