,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,369.9,371.95,362.0,362.75,359963,
1,2022-12-07 00:00:00+05:30,362.85,366.95,355.85,358.85,419593,
2,2022-12-08 00:00:00+05:30,359.4,362.5,358.05,360.65,249628,
3,2022-12-09 00:00:00+05:30,362.9,369.85,352.8,354.95,488892,
4,2022-12-12 00:00:00+05:30,354.95,355.85,350.9,353.6,202700,
5,2022-12-13 00:00:00+05:30,355.0,360.0,350.0,352.85,330663,
6,2022-12-14 00:00:00+05:30,355.0,356.7,350.65,352.35,381430,
7,2022-12-15 00:00:00+05:30,353.0,354.45,349.0,350.7,253236,
8,2022-12-16 00:00:00+05:30,349.1,349.8,344.0,347.1,230067,
9,2022-12-19 00:00:00+05:30,347.9,351.0,341.75,342.75,237084,
10,2022-12-20 00:00:00+05:30,344.9,352.0,340.2,348.45,376104,
11,2022-12-21 00:00:00+05:30,349.0,350.8,338.2,340.45,299848,
12,2022-12-22 00:00:00+05:30,342.0,344.0,330.0,332.0,271270,
13,2022-12-23 00:00:00+05:30,330.05,356.0,320.0,345.35,674625,
14,2022-12-26 00:00:00+05:30,350.0,365.0,349.0,362.1,1061211,
15,2022-12-27 00:00:00+05:30,365.0,372.8,360.0,365.85,612175,
16,2022-12-28 00:00:00+05:30,362.05,375.25,362.05,371.6,490370,
17,2022-12-29 00:00:00+05:30,371.0,372.25,368.0,370.65,261616,
18,2022-12-30 00:00:00+05:30,373.9,377.25,370.0,371.2,303351,
19,2023-01-02 00:00:00+05:30,374.0,374.3,369.0,369.8,150509,
20,2023-01-03 00:00:00+05:30,369.0,373.2,368.05,370.45,168473,
21,2023-01-04 00:00:00+05:30,370.8,372.45,365.2,366.25,130601,
22,2023-01-05 00:00:00+05:30,366.75,377.45,364.6,374.55,322099,
23,2023-01-06 00:00:00+05:30,376.1,381.9,371.2,372.3,487135,
24,2023-01-09 00:00:00+05:30,375.85,377.45,371.0,372.4,184752,
25,2023-01-10 00:00:00+05:30,373.95,375.95,369.5,370.2,125801,
26,2023-01-11 00:00:00+05:30,371.0,373.9,367.5,368.2,128523,
27,2023-01-12 00:00:00+05:30,369.9,375.15,367.5,368.75,143839,
28,2023-01-13 00:00:00+05:30,370.7,372.7,366.5,366.8,120696,
29,2023-01-16 00:00:00+05:30,368.65,374.0,367.8,370.6,132524,
30,2023-01-17 00:00:00+05:30,371.95,375.95,369.1,370.0,161062,
31,2023-01-18 00:00:00+05:30,371.8,372.1,366.1,367.55,105120,
32,2023-01-19 00:00:00+05:30,367.0,372.05,366.05,366.95,112756,
33,2023-01-20 00:00:00+05:30,367.5,379.9,367.05,373.95,326741,
34,2023-01-23 00:00:00+05:30,379.95,391.4,375.5,383.2,870124,
35,2023-01-24 00:00:00+05:30,387.0,390.95,372.15,376.55,900954,
36,2023-01-25 00:00:00+05:30,381.0,383.45,370.0,371.05,420425,
37,2023-01-27 00:00:00+05:30,372.95,378.0,360.5,369.95,461981,
38,2023-01-30 00:00:00+05:30,369.9,375.3,362.2,372.25,317435,
39,2023-01-31 00:00:00+05:30,368.9,372.6,367.2,369.05,179916,
40,2023-02-01 00:00:00+05:30,373.0,374.25,360.2,363.15,396556,
41,2023-02-02 00:00:00+05:30,364.45,369.0,359.0,359.4,159350,
42,2023-02-03 00:00:00+05:30,362.8,363.2,355.15,358.15,200131,
43,2023-02-06 00:00:00+05:30,358.15,367.25,358.15,364.7,224580,
44,2023-02-07 00:00:00+05:30,367.7,367.75,358.65,360.55,182472,
45,2023-02-08 00:00:00+05:30,361.9,363.5,359.8,361.05,138288,
46,2023-02-09 00:00:00+05:30,361.35,372.35,360.05,369.8,538115,
47,2023-02-10 00:00:00+05:30,366.5,370.25,362.5,364.2,126383,
48,2023-02-13 00:00:00+05:30,365.2,369.0,361.0,363.7,145035,
49,2023-02-14 00:00:00+05:30,365.4,366.85,360.1,362.7,145210,
50,2023-02-15 00:00:00+05:30,360.1,362.65,356.75,360.5,114443,
51,2023-02-16 00:00:00+05:30,362.1,363.4,358.8,359.75,157801,
52,2023-02-17 00:00:00+05:30,359.9,361.5,356.0,356.95,109061,
53,2023-02-20 00:00:00+05:30,356.5,364.95,355.35,357.05,218812,
54,2023-02-21 00:00:00+05:30,358.7,359.95,356.1,358.1,139460,
55,2023-02-22 00:00:00+05:30,356.1,357.5,352.5,353.35,186434,
56,2023-02-23 00:00:00+05:30,353.9,356.95,351.0,351.65,115774,
57,2023-02-24 00:00:00+05:30,353.4,354.95,349.5,350.15,120487,
58,2023-02-27 00:00:00+05:30,349.0,354.1,347.0,347.6,140754,
59,2023-02-28 00:00:00+05:30,345.75,349.0,345.5,346.15,104556,
60,2023-03-01 00:00:00+05:30,346.0,350.5,345.6,346.25,119463,
61,2023-03-02 00:00:00+05:30,346.0,348.3,344.0,344.35,102957,
62,2023-03-03 00:00:00+05:30,346.1,362.25,345.55,357.0,507204,
63,2023-03-06 00:00:00+05:30,358.5,368.15,356.35,362.45,316907,
64,2023-03-08 00:00:00+05:30,361.0,362.0,356.85,358.35,110786,
65,2023-03-09 00:00:00+05:30,359.9,359.9,353.05,354.65,92025,
