,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,385.4,393.7,383.5,386.3,82951,
1,2022-12-07 00:00:00+05:30,387.4,390.0,377.0,381.8,86358,
2,2022-12-08 00:00:00+05:30,381.0,382.4,370.55,373.8,235871,
3,2022-12-09 00:00:00+05:30,374.0,377.7,371.0,372.6,46756,
4,2022-12-12 00:00:00+05:30,375.3,375.55,363.85,369.6,106948,
5,2022-12-13 00:00:00+05:30,372.7,377.0,370.3,375.35,41566,
6,2022-12-14 00:00:00+05:30,377.85,380.8,370.0,371.65,110747,
7,2022-12-15 00:00:00+05:30,372.0,378.35,369.35,375.05,764185,
8,2022-12-16 00:00:00+05:30,374.0,378.0,358.05,362.4,130758,
9,2022-12-19 00:00:00+05:30,362.4,365.95,360.2,363.65,48381,
10,2022-12-20 00:00:00+05:30,363.5,375.0,360.05,371.7,68673,
11,2022-12-21 00:00:00+05:30,371.7,373.55,356.35,369.8,121146,
12,2022-12-22 00:00:00+05:30,370.0,370.0,356.5,368.05,131282,
13,2022-12-23 00:00:00+05:30,364.8,368.2,354.65,359.9,140215,
14,2022-12-26 00:00:00+05:30,356.7,374.0,355.05,366.6,62019,
15,2022-12-27 00:00:00+05:30,366.95,369.6,362.95,365.6,33558,
16,2022-12-28 00:00:00+05:30,367.0,369.0,363.0,365.15,31060,
17,2022-12-29 00:00:00+05:30,365.15,369.5,361.3,368.05,54611,
18,2022-12-30 00:00:00+05:30,366.0,372.1,361.25,363.85,34733,
19,2023-01-02 00:00:00+05:30,363.85,366.75,361.3,364.45,38678,
20,2023-01-03 00:00:00+05:30,366.45,368.95,361.95,365.7,50142,
21,2023-01-04 00:00:00+05:30,365.0,368.95,361.4,366.1,50214,
22,2023-01-05 00:00:00+05:30,368.95,369.95,361.25,363.35,44777,
23,2023-01-06 00:00:00+05:30,365.0,365.0,359.0,362.95,137960,
24,2023-01-09 00:00:00+05:30,366.95,366.95,358.3,360.4,30911,
25,2023-01-10 00:00:00+05:30,363.9,370.0,358.0,360.0,74716,
26,2023-01-11 00:00:00+05:30,361.8,366.5,358.5,361.15,44652,
27,2023-01-12 00:00:00+05:30,363.0,365.6,360.4,362.3,55416,
