,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,121.0,123.8,120.5,122.6,8702968,
1,2022-12-07 00:00:00+05:30,123.0,123.5,117.4,119.3,12587437,
2,2022-12-08 00:00:00+05:30,120.0,120.2,118.4,119.1,4258153,
3,2022-12-09 00:00:00+05:30,119.65,120.0,115.0,115.85,7141779,
4,2022-12-12 00:00:00+05:30,115.85,117.75,114.1,116.95,6566680,
5,2022-12-13 00:00:00+05:30,117.95,118.15,116.4,117.45,4887566,
6,2022-12-14 00:00:00+05:30,118.8,119.0,117.1,117.75,8541500,
7,2022-12-15 00:00:00+05:30,118.0,120.75,117.5,118.25,6966956,
8,2022-12-16 00:00:00+05:30,117.1,118.45,114.6,114.85,7626259,
9,2022-12-19 00:00:00+05:30,115.8,117.65,114.4,117.15,3384892,
10,2022-12-20 00:00:00+05:30,116.3,117.8,114.75,116.3,3446884,
11,2022-12-21 00:00:00+05:30,117.5,122.7,116.65,117.7,21729665,
12,2022-12-22 00:00:00+05:30,117.75,118.7,113.65,114.1,6990839,
13,2022-12-23 00:00:00+05:30,113.45,114.15,107.5,108.15,6170860,
14,2022-12-26 00:00:00+05:30,108.25,111.25,106.8,110.5,4708721,
15,2022-12-27 00:00:00+05:30,111.45,112.1,110.0,111.4,3925270,
16,2022-12-28 00:00:00+05:30,111.4,112.75,110.25,111.6,3209326,
17,2022-12-29 00:00:00+05:30,111.5,111.95,108.8,111.45,5537724,
18,2022-12-30 00:00:00+05:30,112.15,117.5,112.15,116.15,10587623,
19,2023-01-02 00:00:00+05:30,116.65,120.1,116.15,119.35,8074126,
20,2023-01-03 00:00:00+05:30,119.25,122.65,118.4,122.1,12930113,
21,2023-01-04 00:00:00+05:30,122.1,124.4,119.5,121.6,8735202,
22,2023-01-05 00:00:00+05:30,122.5,122.75,119.7,120.95,5400310,
23,2023-01-06 00:00:00+05:30,121.2,121.7,117.6,118.5,3905024,
24,2023-01-09 00:00:00+05:30,120.0,121.9,118.7,121.6,4671109,
25,2023-01-10 00:00:00+05:30,121.85,122.0,118.9,120.8,4567881,
26,2023-01-11 00:00:00+05:30,120.8,123.25,120.0,121.9,5845260,
27,2023-01-12 00:00:00+05:30,122.55,122.65,119.8,120.15,4354400,
28,2023-01-13 00:00:00+05:30,120.8,121.9,119.5,121.65,3094130,
29,2023-01-16 00:00:00+05:30,122.6,125.8,121.85,122.45,12830543,
30,2023-01-17 00:00:00+05:30,122.25,122.35,117.0,117.85,11902101,
31,2023-01-18 00:00:00+05:30,118.0,118.65,114.75,116.95,9956902,
32,2023-01-19 00:00:00+05:30,117.0,117.0,113.0,113.6,8467802,
33,2023-01-20 00:00:00+05:30,114.0,115.95,113.0,115.45,8564549,
34,2023-01-23 00:00:00+05:30,116.35,118.95,115.65,118.75,7621914,
35,2023-01-24 00:00:00+05:30,119.15,120.35,117.85,118.3,5282492,
36,2023-01-25 00:00:00+05:30,117.95,117.95,114.75,115.25,4642213,
37,2023-01-27 00:00:00+05:30,115.65,116.2,111.45,112.45,5925984,
38,2023-01-30 00:00:00+05:30,112.4,114.45,110.35,111.95,5120017,
39,2023-01-31 00:00:00+05:30,113.1,115.5,111.2,115.0,7715715,
40,2023-02-01 00:00:00+05:30,115.95,118.15,111.25,113.15,7609647,
41,2023-02-02 00:00:00+05:30,113.15,116.1,111.5,115.2,7324260,
42,2023-02-03 00:00:00+05:30,116.45,117.0,113.1,116.15,6768039,
43,2023-02-06 00:00:00+05:30,115.0,116.2,111.15,115.6,10509291,
44,2023-02-07 00:00:00+05:30,115.55,118.7,115.0,116.9,7618549,
45,2023-02-08 00:00:00+05:30,117.1,117.25,113.4,114.3,5299268,
46,2023-02-09 00:00:00+05:30,114.55,115.4,112.6,114.4,4003310,
47,2023-02-10 00:00:00+05:30,113.5,114.85,113.2,113.85,2607814,
48,2023-02-13 00:00:00+05:30,114.5,114.5,110.85,111.9,4051536,
49,2023-02-14 00:00:00+05:30,111.2,113.05,110.85,112.55,3111993,
50,2023-02-15 00:00:00+05:30,112.0,112.9,111.3,112.45,2402648,
51,2023-02-16 00:00:00+05:30,112.75,113.4,111.05,111.4,3853793,
52,2023-02-17 00:00:00+05:30,111.0,111.0,108.25,108.8,6157116,
53,2023-02-20 00:00:00+05:30,109.3,109.65,107.4,107.8,3222123,
54,2023-02-21 00:00:00+05:30,108.15,108.75,104.9,105.35,3510206,
55,2023-02-22 00:00:00+05:30,105.35,105.95,103.55,104.4,3091136,
56,2023-02-23 00:00:00+05:30,104.4,106.15,102.6,104.05,4925347,
57,2023-02-24 00:00:00+05:30,104.1,105.7,103.05,103.4,3351429,
58,2023-02-27 00:00:00+05:30,103.4,103.9,101.15,102.2,3777151,
59,2023-02-28 00:00:00+05:30,102.5,103.4,101.7,102.7,3055577,
60,2023-03-01 00:00:00+05:30,103.0,105.65,102.8,105.45,3024900,
61,2023-03-02 00:00:00+05:30,105.75,106.1,103.9,104.15,2098888,
62,2023-03-03 00:00:00+05:30,104.9,107.1,104.7,106.1,7839334,
63,2023-03-06 00:00:00+05:30,107.15,110.75,106.55,110.4,6907585,
64,2023-03-08 00:00:00+05:30,109.05,113.9,109.0,113.6,7713669,
65,2023-03-09 00:00:00+05:30,113.95,118.45,113.6,116.45,13823433,
66,2023-03-10 00:00:00+05:30,115.5,115.6,113.45,114.4,4276937,
67,2023-03-13 00:00:00+05:30,114.85,115.2,110.3,110.85,4031263,
68,2023-03-14 00:00:00+05:30,110.25,111.15,108.6,109.75,5163751,
69,2023-03-15 00:00:00+05:30,110.7,113.0,108.7,110.05,6149614,
70,2023-03-16 00:00:00+05:30,110.6,114.0,108.35,112.65,6356193,
71,2023-03-17 00:00:00+05:30,112.75,113.8,111.7,112.6,5287214,
72,2023-03-20 00:00:00+05:30,119.5,119.5,112.0,113.45,10653690,
73,2023-03-21 00:00:00+05:30,113.8,117.25,113.2,116.55,7455719,
74,2023-03-22 00:00:00+05:30,117.35,120.3,116.7,119.55,7558873,
75,2023-03-23 00:00:00+05:30,119.5,122.0,118.2,121.6,8510852,
76,2023-03-24 00:00:00+05:30,121.0,121.95,116.85,117.5,5918092,
77,2023-03-27 00:00:00+05:30,118.0,118.2,113.15,114.5,5866247,
78,2023-03-28 00:00:00+05:30,114.5,119.45,113.75,118.8,7571745,
79,2023-03-29 00:00:00+05:30,118.0,123.55,117.95,122.35,9206710,
80,2023-03-31 00:00:00+05:30,122.35,124.25,121.05,123.7,7856004,
81,2023-04-03 00:00:00+05:30,124.8,127.55,123.6,125.3,8564803,
82,2023-04-05 00:00:00+05:30,126.0,126.3,123.9,125.0,5173178,
83,2023-04-06 00:00:00+05:30,124.1,127.4,123.4,126.6,4877395,
84,2023-04-10 00:00:00+05:30,127.0,128.75,126.6,128.15,6412506,
85,2023-04-11 00:00:00+05:30,128.15,133.4,128.15,128.7,13308801,
86,2023-04-12 00:00:00+05:30,128.8,129.3,125.55,126.9,4073040,
87,2023-04-13 00:00:00+05:30,126.05,127.4,125.2,127.15,3222889,
88,2023-04-17 00:00:00+05:30,126.75,128.7,125.6,127.75,3791230,
89,2023-04-18 00:00:00+05:30,128.45,130.95,126.85,130.5,4341123,
90,2023-04-19 00:00:00+05:30,131.45,133.95,129.3,129.6,8597931,
91,2023-04-20 00:00:00+05:30,129.75,130.9,128.4,128.85,3944830,
92,2023-04-21 00:00:00+05:30,128.25,129.2,125.65,126.3,2869095,
93,2023-04-24 00:00:00+05:30,126.0,128.35,125.1,128.0,2747063,
94,2023-04-25 00:00:00+05:30,128.05,129.35,127.05,127.55,3161444,
95,2023-04-26 00:00:00+05:30,127.5,129.2,126.8,128.0,3434124,
96,2023-04-27 00:00:00+05:30,127.75,128.55,126.5,127.9,2226515,
97,2023-04-28 00:00:00+05:30,128.1,130.0,127.6,129.7,3292431,
98,2023-05-02 00:00:00+05:30,130.0,130.65,128.0,129.7,3836736,
99,2023-05-03 00:00:00+05:30,129.65,129.7,111.6,113.95,61015580,
100,2023-05-04 00:00:00+05:30,113.1,121.0,111.1,119.25,53205623,
101,2023-05-05 00:00:00+05:30,111.0,112.8,102.0,105.55,93196105,
102,2023-05-08 00:00:00+05:30,107.7,112.65,105.15,110.95,40931083,
103,2023-05-09 00:00:00+05:30,112.0,117.9,112.0,115.8,39968753,
104,2023-05-10 00:00:00+05:30,117.0,117.95,113.6,114.45,12343052,
105,2023-05-11 00:00:00+05:30,115.5,116.55,113.5,115.5,8689668,
106,2023-05-12 00:00:00+05:30,115.4,115.4,108.0,109.95,19734822,
107,2023-05-15 00:00:00+05:30,112.45,114.85,109.35,110.15,20534368,
108,2023-05-16 00:00:00+05:30,111.65,117.6,111.6,112.4,45532027,
109,2023-05-17 00:00:00+05:30,113.0,113.7,110.4,111.65,10461402,
110,2023-05-18 00:00:00+05:30,112.25,113.45,110.4,111.2,7953719,
111,2023-05-19 00:00:00+05:30,111.9,112.45,108.8,110.3,7011591,
112,2023-05-22 00:00:00+05:30,110.3,110.75,108.55,109.25,8259833,
