,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,706.0,734.0,702.95,712.75,293747,
1,2022-12-07 00:00:00+05:30,713.3,719.05,691.25,694.7,103362,
2,2022-12-08 00:00:00+05:30,693.4,722.1,690.0,704.6,144512,
3,2022-12-09 00:00:00+05:30,712.7,719.0,706.05,715.45,87921,
4,2022-12-12 00:00:00+05:30,723.0,758.0,716.05,735.55,591409,
5,2022-12-13 00:00:00+05:30,741.0,749.75,725.0,729.5,131875,
6,2022-12-14 00:00:00+05:30,727.0,737.95,721.75,728.3,109897,
7,2022-12-15 00:00:00+05:30,731.8,735.15,690.0,693.35,71011,
8,2022-12-16 00:00:00+05:30,693.95,700.95,640.0,649.6,667879,
9,2022-12-19 00:00:00+05:30,659.0,662.0,626.65,630.55,105607,
10,2022-12-20 00:00:00+05:30,633.75,643.0,626.15,633.25,122540,
11,2022-12-21 00:00:00+05:30,639.65,664.95,634.75,652.95,196022,
12,2022-12-22 00:00:00+05:30,650.4,675.0,625.0,665.3,108675,
13,2022-12-23 00:00:00+05:30,665.0,671.4,632.0,634.75,52398,
14,2022-12-26 00:00:00+05:30,643.8,651.45,629.0,642.35,36751,
15,2022-12-27 00:00:00+05:30,655.0,655.0,631.65,636.2,38082,
16,2022-12-28 00:00:00+05:30,640.0,645.0,632.7,636.35,23006,
17,2022-12-29 00:00:00+05:30,637.0,637.95,619.0,623.3,513156,
18,2022-12-30 00:00:00+05:30,623.3,628.15,610.0,613.6,84419,
19,2023-01-02 00:00:00+05:30,613.6,619.85,609.0,618.3,19003,
20,2023-01-03 00:00:00+05:30,618.3,622.9,614.0,619.05,39299,
21,2023-01-04 00:00:00+05:30,623.0,623.0,611.0,614.25,13359,
22,2023-01-05 00:00:00+05:30,615.5,619.9,602.0,609.75,20424,
23,2023-01-06 00:00:00+05:30,612.0,625.0,598.15,603.95,351018,
24,2023-01-09 00:00:00+05:30,613.0,628.0,608.15,622.1,99697,
25,2023-01-10 00:00:00+05:30,627.95,627.95,613.35,620.3,19010,
26,2023-01-11 00:00:00+05:30,625.0,626.8,597.75,610.4,50577,
27,2023-01-12 00:00:00+05:30,613.0,628.8,608.6,626.2,39462,
28,2023-01-13 00:00:00+05:30,629.8,631.75,621.1,627.3,16859,
29,2023-01-16 00:00:00+05:30,629.8,631.9,621.05,624.85,56071,
30,2023-01-17 00:00:00+05:30,629.95,631.95,623.45,626.05,71314,
31,2023-01-18 00:00:00+05:30,626.15,626.95,621.1,624.6,6591,
32,2023-01-19 00:00:00+05:30,623.5,629.95,623.5,627.7,13550,
33,2023-01-20 00:00:00+05:30,628.0,628.0,622.85,625.25,8462,
34,2023-01-23 00:00:00+05:30,634.65,634.65,624.0,631.35,15091,
35,2023-01-24 00:00:00+05:30,628.75,631.0,613.35,619.55,317935,
36,2023-01-25 00:00:00+05:30,617.5,627.0,597.7,616.35,41834,
37,2023-01-27 00:00:00+05:30,619.0,649.0,611.8,632.25,70783,
38,2023-01-30 00:00:00+05:30,616.0,645.15,615.05,639.45,82175,
39,2023-01-31 00:00:00+05:30,649.05,649.05,629.2,636.25,103387,
40,2023-02-01 00:00:00+05:30,640.95,647.2,629.9,637.6,85269,
41,2023-02-02 00:00:00+05:30,628.05,644.5,628.05,641.6,108528,
42,2023-02-03 00:00:00+05:30,648.15,648.15,625.0,640.85,54976,
43,2023-02-06 00:00:00+05:30,626.1,660.9,626.1,656.05,42242,
44,2023-02-07 00:00:00+05:30,664.75,696.75,655.0,676.35,159788,
45,2023-02-08 00:00:00+05:30,670.15,695.25,666.6,679.8,27100,
46,2023-02-09 00:00:00+05:30,694.75,694.75,646.2,656.25,45165,
47,2023-02-10 00:00:00+05:30,660.0,700.15,657.0,664.9,324691,
48,2023-02-13 00:00:00+05:30,664.9,664.9,640.45,660.45,32064,
49,2023-02-14 00:00:00+05:30,660.45,666.55,649.6,659.75,15297,
50,2023-02-15 00:00:00+05:30,653.15,666.45,648.1,654.0,16233,
51,2023-02-16 00:00:00+05:30,650.65,660.6,636.0,639.3,25051,
52,2023-02-17 00:00:00+05:30,645.0,658.0,630.0,638.6,102002,
53,2023-02-20 00:00:00+05:30,644.0,644.0,619.85,629.1,48078,
54,2023-02-21 00:00:00+05:30,627.0,633.35,605.0,608.95,41059,
55,2023-02-22 00:00:00+05:30,606.5,619.95,606.5,611.1,29726,
56,2023-02-23 00:00:00+05:30,620.25,647.5,609.6,639.25,170908,
57,2023-02-24 00:00:00+05:30,640.0,650.5,625.0,646.3,47443,
58,2023-02-27 00:00:00+05:30,646.3,664.0,636.85,659.25,334251,
59,2023-02-28 00:00:00+05:30,657.9,677.3,652.65,665.6,175770,
60,2023-03-01 00:00:00+05:30,660.1,680.45,651.1,674.8,63847,
61,2023-03-02 00:00:00+05:30,666.5,709.0,662.8,693.1,145217,
62,2023-03-03 00:00:00+05:30,700.0,705.0,691.0,698.75,58247,
63,2023-03-06 00:00:00+05:30,691.0,714.0,683.15,706.05,101086,
64,2023-03-08 00:00:00+05:30,706.0,706.0,679.9,688.3,363796,
65,2023-03-09 00:00:00+05:30,694.55,701.55,679.25,683.5,45100,
66,2023-03-10 00:00:00+05:30,679.45,703.0,677.0,692.45,81945,
67,2023-03-13 00:00:00+05:30,686.35,699.75,667.1,675.9,57131,
68,2023-03-14 00:00:00+05:30,675.0,705.75,666.2,672.6,132154,
69,2023-03-15 00:00:00+05:30,679.55,689.9,635.5,648.65,65180,
70,2023-03-16 00:00:00+05:30,642.15,732.0,632.45,718.8,517816,
71,2023-03-17 00:00:00+05:30,700.8,793.0,700.8,772.45,813761,
72,2023-03-20 00:00:00+05:30,770.05,780.0,732.0,754.65,398807,
73,2023-03-21 00:00:00+05:30,758.0,767.0,748.05,760.6,178694,
74,2023-03-22 00:00:00+05:30,751.25,759.5,718.1,724.55,106507,
75,2023-03-23 00:00:00+05:30,717.9,723.45,702.0,712.85,187456,
76,2023-03-24 00:00:00+05:30,707.75,708.35,665.0,669.5,187238,
