,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,41.55,42.7,41.05,41.3,2922252,
1,2022-12-07 00:00:00+05:30,41.4,41.6,40.05,40.45,2091723,
2,2022-12-08 00:00:00+05:30,40.05,40.95,39.65,40.0,2271926,
3,2022-12-09 00:00:00+05:30,40.3,40.95,39.0,39.4,2307562,
4,2022-12-12 00:00:00+05:30,39.55,40.15,38.85,39.85,1727264,
5,2022-12-13 00:00:00+05:30,40.0,41.7,40.0,40.6,2841606,
6,2022-12-14 00:00:00+05:30,40.95,42.0,40.55,41.2,3360314,
7,2022-12-15 00:00:00+05:30,41.35,42.85,40.9,41.5,5311389,
8,2022-12-16 00:00:00+05:30,41.45,42.3,40.4,40.7,2737555,
9,2022-12-19 00:00:00+05:30,40.95,41.7,40.2,41.35,2440041,
10,2022-12-20 00:00:00+05:30,41.35,41.9,40.3,40.8,1713761,
11,2022-12-21 00:00:00+05:30,41.15,41.35,37.9,38.8,2757633,
12,2022-12-22 00:00:00+05:30,39.0,39.2,36.15,36.75,2152467,
13,2022-12-23 00:00:00+05:30,36.5,36.6,33.1,33.5,2864505,
14,2022-12-26 00:00:00+05:30,33.5,35.95,33.1,35.65,2502746,
15,2022-12-27 00:00:00+05:30,36.0,36.95,35.3,36.6,2179317,
16,2022-12-28 00:00:00+05:30,36.8,38.85,36.4,37.9,3053540,
17,2022-12-29 00:00:00+05:30,37.8,37.8,36.85,37.15,1297507,
18,2022-12-30 00:00:00+05:30,37.45,38.45,37.45,37.8,1476485,
19,2023-01-02 00:00:00+05:30,38.05,38.8,37.65,38.5,1790172,
20,2023-01-03 00:00:00+05:30,38.7,39.15,38.3,38.5,1601653,
21,2023-01-04 00:00:00+05:30,38.7,38.7,37.35,37.6,926539,
22,2023-01-05 00:00:00+05:30,37.85,38.0,34.6,37.15,5722345,
23,2023-01-06 00:00:00+05:30,35.15,36.5,35.15,35.95,3512380,
24,2023-01-09 00:00:00+05:30,35.95,36.75,35.95,36.3,1217285,
25,2023-01-10 00:00:00+05:30,36.3,36.3,35.6,35.8,801860,
26,2023-01-11 00:00:00+05:30,36.05,36.2,35.65,35.9,1389861,
27,2023-01-12 00:00:00+05:30,35.75,36.1,35.6,35.85,665193,
28,2023-01-13 00:00:00+05:30,35.95,36.2,35.5,35.65,1088467,
29,2023-01-16 00:00:00+05:30,35.7,35.95,35.45,35.5,805421,
30,2023-01-17 00:00:00+05:30,35.8,35.85,35.4,35.55,449341,
31,2023-01-18 00:00:00+05:30,35.85,36.0,35.6,35.75,640533,
32,2023-01-19 00:00:00+05:30,35.3,36.1,35.3,35.6,725502,
33,2023-01-20 00:00:00+05:30,35.6,35.95,35.0,35.1,745608,
34,2023-01-23 00:00:00+05:30,35.25,35.4,34.45,34.55,702859,
35,2023-01-24 00:00:00+05:30,34.8,35.0,34.0,34.05,785822,
36,2023-01-25 00:00:00+05:30,34.2,34.35,33.7,33.95,605923,
37,2023-01-27 00:00:00+05:30,34.1,34.2,32.75,33.65,1104000,
38,2023-01-30 00:00:00+05:30,33.65,34.0,32.9,33.2,800534,
39,2023-01-31 00:00:00+05:30,33.4,34.4,33.15,34.2,655066,
40,2023-02-01 00:00:00+05:30,34.7,34.75,33.0,33.4,945866,
41,2023-02-02 00:00:00+05:30,33.2,33.8,32.85,33.2,772159,
42,2023-02-03 00:00:00+05:30,33.7,33.7,32.55,32.8,622379,
43,2023-02-06 00:00:00+05:30,32.85,33.1,32.4,32.8,470582,
44,2023-02-07 00:00:00+05:30,32.8,33.1,32.55,32.65,456656,
45,2023-02-08 00:00:00+05:30,32.8,33.0,32.45,32.8,616967,
46,2023-02-09 00:00:00+05:30,33.15,33.7,32.8,33.25,795129,
47,2023-02-10 00:00:00+05:30,33.35,33.5,33.05,33.3,460153,
48,2023-02-13 00:00:00+05:30,33.3,33.4,32.25,32.5,573370,
49,2023-02-14 00:00:00+05:30,32.6,33.1,32.0,32.35,560319,
50,2023-02-15 00:00:00+05:30,32.4,32.6,32.2,32.35,341714,
51,2023-02-16 00:00:00+05:30,32.55,32.95,32.4,32.85,489578,
52,2023-02-17 00:00:00+05:30,32.9,34.1,32.65,33.6,1853961,
53,2023-02-20 00:00:00+05:30,33.65,33.8,32.7,32.95,682591,
54,2023-02-21 00:00:00+05:30,33.25,33.25,32.55,32.85,536077,
55,2023-02-22 00:00:00+05:30,32.95,32.95,32.15,32.2,341372,
56,2023-02-23 00:00:00+05:30,32.3,32.35,31.8,31.9,404961,
57,2023-02-24 00:00:00+05:30,32.05,32.25,31.5,31.6,413159,
58,2023-02-27 00:00:00+05:30,31.5,32.15,30.45,30.55,769159,
59,2023-02-28 00:00:00+05:30,30.5,31.1,30.1,30.85,639001,
60,2023-03-01 00:00:00+05:30,30.9,31.9,30.9,31.75,668149,
61,2023-03-02 00:00:00+05:30,31.95,32.1,31.3,31.4,393924,
62,2023-03-03 00:00:00+05:30,31.4,32.25,31.4,31.85,668128,
63,2023-03-06 00:00:00+05:30,31.95,32.35,30.15,31.35,818361,
64,2023-03-08 00:00:00+05:30,31.55,32.2,31.35,32.0,760433,
65,2023-03-09 00:00:00+05:30,32.0,32.55,31.7,31.95,736787,
66,2023-03-10 00:00:00+05:30,31.75,31.9,31.4,31.6,424538,
67,2023-03-13 00:00:00+05:30,31.6,31.8,30.4,30.5,739221,
68,2023-03-14 00:00:00+05:30,30.6,30.7,30.0,30.1,546351,
69,2023-03-15 00:00:00+05:30,30.2,30.75,29.55,29.75,922872,
70,2023-03-16 00:00:00+05:30,29.6,29.75,28.4,29.4,1092882,
71,2023-03-17 00:00:00+05:30,29.7,30.3,29.25,29.55,676640,
72,2023-03-20 00:00:00+05:30,29.55,32.0,29.0,31.0,6723370,
73,2023-03-21 00:00:00+05:30,31.0,31.5,30.1,30.55,1563436,
74,2023-03-22 00:00:00+05:30,30.75,31.15,30.05,30.55,944494,
75,2023-03-23 00:00:00+05:30,30.55,30.6,29.75,29.95,808288,
76,2023-03-24 00:00:00+05:30,30.0,30.4,28.75,28.95,896702,
77,2023-03-27 00:00:00+05:30,28.95,29.1,27.5,27.85,1035551,
78,2023-03-28 00:00:00+05:30,27.9,28.05,26.4,26.55,992546,
79,2023-03-29 00:00:00+05:30,26.85,28.25,26.5,28.0,2172935,
80,2023-03-31 00:00:00+05:30,28.25,28.7,27.8,27.9,858121,
81,2023-04-03 00:00:00+05:30,28.4,29.35,28.1,28.95,907580,
82,2023-04-05 00:00:00+05:30,29.0,29.9,28.9,29.45,633077,
83,2023-04-06 00:00:00+05:30,29.35,30.2,29.1,29.85,721458,
84,2023-04-10 00:00:00+05:30,29.85,30.15,29.6,29.9,486069,
85,2023-04-11 00:00:00+05:30,30.0,30.2,29.65,30.0,501699,
86,2023-04-12 00:00:00+05:30,30.0,30.25,29.65,29.95,456463,
87,2023-04-13 00:00:00+05:30,30.0,30.25,29.65,30.0,468898,
88,2023-04-17 00:00:00+05:30,30.2,30.3,29.75,29.95,416391,
89,2023-04-18 00:00:00+05:30,30.05,30.95,30.05,30.2,493383,
90,2023-04-19 00:00:00+05:30,30.25,30.6,29.8,30.05,415744,
91,2023-04-20 00:00:00+05:30,30.0,30.25,29.0,29.15,1143353,
92,2023-04-21 00:00:00+05:30,29.2,29.3,28.8,28.95,554557,
93,2023-04-24 00:00:00+05:30,29.0,29.65,28.8,29.2,683011,
94,2023-04-25 00:00:00+05:30,29.2,30.15,29.2,30.0,1101513,
95,2023-04-26 00:00:00+05:30,30.05,33.9,29.5,32.7,24401441,
96,2023-04-27 00:00:00+05:30,32.7,32.7,31.7,31.85,2600679,
97,2023-04-28 00:00:00+05:30,32.05,32.75,26.3,28.25,15030369,
98,2023-05-02 00:00:00+05:30,28.45,28.9,27.55,28.25,4986556,
99,2023-05-03 00:00:00+05:30,28.35,29.55,28.25,28.65,4172008,
100,2023-05-04 00:00:00+05:30,28.9,31.95,28.7,30.9,21460926,
101,2023-05-05 00:00:00+05:30,31.0,31.45,30.5,30.7,3037843,
102,2023-05-08 00:00:00+05:30,31.15,31.35,30.45,30.7,1852950,
103,2023-05-09 00:00:00+05:30,30.85,31.05,30.0,30.35,1171834,
104,2023-05-10 00:00:00+05:30,30.2,30.5,29.8,30.25,690573,
105,2023-05-11 00:00:00+05:30,30.35,31.35,30.35,30.75,1554045,
106,2023-05-12 00:00:00+05:30,30.6,30.9,30.2,30.35,658398,
107,2023-05-15 00:00:00+05:30,30.35,30.5,30.1,30.2,651954,
108,2023-05-16 00:00:00+05:30,30.4,30.8,30.15,30.2,998647,
109,2023-05-17 00:00:00+05:30,30.3,30.55,30.0,30.05,650706,
110,2023-05-18 00:00:00+05:30,30.3,30.5,29.75,30.0,714285,
111,2023-05-19 00:00:00+05:30,30.0,30.1,29.55,29.75,572449,
112,2023-05-22 00:00:00+05:30,29.85,30.15,29.5,29.65,667863,
113,2023-05-23 00:00:00+05:30,29.7,30.1,29.6,29.65,705218,
114,2023-05-24 00:00:00+05:30,29.8,30.1,29.5,29.7,599051,
115,2023-05-25 00:00:00+05:30,29.85,29.95,29.55,29.7,528725,
116,2023-05-26 00:00:00+05:30,29.7,30.95,29.7,30.4,3077171,
117,2023-05-29 00:00:00+05:30,30.45,30.65,29.85,29.95,1054044,
118,2023-05-30 00:00:00+05:30,30.0,30.55,29.95,30.2,764701,
119,2023-05-31 00:00:00+05:30,30.0,30.15,29.8,29.95,589601,
120,2023-06-01 00:00:00+05:30,30.05,30.35,29.9,30.0,609482,
121,2023-06-02 00:00:00+05:30,30.1,30.65,30.1,30.35,1069021,
122,2023-06-05 00:00:00+05:30,30.6,31.05,30.25,30.65,1351380,
123,2023-06-06 00:00:00+05:30,30.85,30.85,30.4,30.45,819413,
124,2023-06-07 00:00:00+05:30,30.45,32.2,30.45,31.55,6514627,
125,2023-06-08 00:00:00+05:30,31.7,32.9,31.3,32.15,6145512,
126,2023-06-09 00:00:00+05:30,32.25,32.9,31.5,32.05,2772491,
127,2023-06-12 00:00:00+05:30,32.15,32.25,31.75,31.9,918629,
128,2023-06-13 00:00:00+05:30,31.9,31.95,31.6,31.75,843827,
129,2023-06-14 00:00:00+05:30,31.75,32.05,31.4,31.5,1372156,
130,2023-06-15 00:00:00+05:30,31.5,31.6,31.0,31.1,973926,
131,2023-06-16 00:00:00+05:30,31.15,32.9,31.15,32.2,4193236,
132,2023-06-19 00:00:00+05:30,32.45,32.8,32.1,32.3,1646418,
133,2023-06-20 00:00:00+05:30,32.3,34.1,32.0,33.7,6635665,
134,2023-06-21 00:00:00+05:30,33.85,34.65,33.1,33.25,4849406,
135,2023-06-22 00:00:00+05:30,33.35,33.65,32.6,32.85,1297877,
136,2023-06-23 00:00:00+05:30,33.0,33.0,31.75,31.9,1550855,
137,2023-06-26 00:00:00+05:30,32.05,32.15,31.75,31.9,771690,
138,2023-06-27 00:00:00+05:30,31.95,32.45,31.65,31.75,929205,
139,2023-06-28 00:00:00+05:30,31.9,32.2,31.55,31.7,672916,
140,2023-06-30 00:00:00+05:30,31.8,32.2,31.5,31.55,941645,
141,2023-07-03 00:00:00+05:30,31.7,31.9,31.3,31.7,1702659,
142,2023-07-04 00:00:00+05:30,31.8,32.3,31.75,31.9,1157149,
143,2023-07-05 00:00:00+05:30,31.95,34.5,31.9,33.4,15013440,
144,2023-07-06 00:00:00+05:30,33.6,33.75,32.85,33.0,2934996,
145,2023-07-07 00:00:00+05:30,33.15,33.15,32.25,32.45,1759420,
146,2023-07-10 00:00:00+05:30,32.45,32.8,32.0,32.15,1158446,
147,2023-07-11 00:00:00+05:30,32.3,32.9,32.15,32.45,1610317,
148,2023-07-12 00:00:00+05:30,32.7,32.75,32.0,32.1,946337,
149,2023-07-13 00:00:00+05:30,32.15,33.85,32.1,33.0,5273013,
150,2023-07-14 00:00:00+05:30,33.0,34.5,32.65,34.25,5120147,
151,2023-07-17 00:00:00+05:30,34.6,35.55,34.1,34.7,5613563,
152,2023-07-18 00:00:00+05:30,35.05,35.05,33.75,33.9,2595833,
153,2023-07-19 00:00:00+05:30,34.1,34.5,33.3,33.45,1624050,
154,2023-07-20 00:00:00+05:30,33.6,33.75,33.1,33.15,1150401,
155,2023-07-21 00:00:00+05:30,33.05,34.4,32.8,34.15,2577352,
156,2023-07-24 00:00:00+05:30,34.15,34.6,33.6,33.7,1717033,
157,2023-07-25 00:00:00+05:30,33.75,34.1,33.05,33.35,1640792,
158,2023-07-26 00:00:00+05:30,33.35,34.15,33.35,33.6,1576904,
159,2023-07-27 00:00:00+05:30,33.85,36.5,33.65,35.85,25293814,
160,2023-07-28 00:00:00+05:30,35.95,36.2,35.05,35.15,4780040,
161,2023-07-31 00:00:00+05:30,35.05,38.3,33.9,38.05,25524116,
162,2023-08-01 00:00:00+05:30,38.15,39.3,37.6,38.35,12823773,
163,2023-08-02 00:00:00+05:30,38.2,38.3,35.85,36.45,6147256,
164,2023-08-03 00:00:00+05:30,36.45,38.25,36.2,37.75,7140517,
165,2023-08-04 00:00:00+05:30,37.75,38.65,37.55,37.85,3494990,
166,2023-08-07 00:00:00+05:30,37.85,38.1,37.25,37.5,2427255,
167,2023-08-08 00:00:00+05:30,37.4,37.4,35.6,36.2,3927822,
168,2023-08-09 00:00:00+05:30,36.05,38.5,35.95,38.15,7740611,
169,2023-08-10 00:00:00+05:30,38.2,39.0,37.55,37.7,3985010,
170,2023-08-11 00:00:00+05:30,37.9,40.25,37.65,38.5,10946768,
171,2023-08-14 00:00:00+05:30,38.5,39.4,37.1,38.55,4444318,
172,2023-08-16 00:00:00+05:30,38.55,40.4,38.3,39.6,7794932,
173,2023-08-17 00:00:00+05:30,39.7,40.2,38.6,38.85,4389829,
174,2023-08-18 00:00:00+05:30,38.8,39.5,37.55,37.85,2487119,
175,2023-08-21 00:00:00+05:30,38.05,39.3,38.0,38.55,2225202,
176,2023-08-22 00:00:00+05:30,38.55,40.35,38.55,39.5,10353599,
177,2023-08-23 00:00:00+05:30,39.85,44.25,39.7,43.5,68157292,
178,2023-08-24 00:00:00+05:30,44.0,44.2,42.3,42.45,12927514,
179,2023-08-25 00:00:00+05:30,42.4,42.5,40.9,41.5,7284957,
180,2023-08-28 00:00:00+05:30,41.8,43.65,41.5,42.85,10977671,
181,2023-08-29 00:00:00+05:30,42.9,43.1,42.2,42.4,3361503,
182,2023-08-30 00:00:00+05:30,42.5,43.35,42.35,42.6,2995743,
183,2023-08-31 00:00:00+05:30,42.85,43.15,41.85,42.1,2608584,
184,2023-09-01 00:00:00+05:30,42.0,44.3,41.9,43.75,8170017,
185,2023-09-04 00:00:00+05:30,44.15,52.5,44.15,52.5,56761416,
186,2023-09-05 00:00:00+05:30,54.0,63.0,53.55,63.0,120363182,
187,2023-09-06 00:00:00+05:30,66.45,69.3,63.85,67.5,72034683,
188,2023-09-07 00:00:00+05:30,67.0,70.35,64.65,68.75,30920286,
189,2023-09-08 00:00:00+05:30,69.0,69.35,64.5,65.4,18493488,
190,2023-09-11 00:00:00+05:30,65.95,67.75,64.55,64.9,14191604,
191,2023-09-12 00:00:00+05:30,66.1,66.1,58.45,58.45,19012785,
192,2023-09-13 00:00:00+05:30,56.9,60.3,54.8,59.35,10043139,
193,2023-09-14 00:00:00+05:30,60.75,65.25,59.55,61.35,16806606,
194,2023-09-15 00:00:00+05:30,61.55,63.1,60.25,61.6,8229782,
195,2023-09-18 00:00:00+05:30,61.85,61.85,59.4,59.85,3470509,
196,2023-09-20 00:00:00+05:30,59.5,60.5,58.55,59.05,2711700,
