,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,59.0,59.15,58.15,58.35,1259224,
1,2022-12-07 00:00:00+05:30,58.6,61.4,58.0,60.85,7994012,
2,2022-12-08 00:00:00+05:30,61.2,61.4,60.0,60.15,3430640,
3,2022-12-09 00:00:00+05:30,60.4,60.8,57.15,57.75,3187121,
4,2022-12-12 00:00:00+05:30,57.55,59.45,57.05,59.15,2536519,
5,2022-12-13 00:00:00+05:30,59.45,60.15,58.5,58.7,2005877,
6,2022-12-14 00:00:00+05:30,59.0,62.8,58.4,61.5,12080966,
7,2022-12-15 00:00:00+05:30,61.4,63.6,60.85,61.9,9185848,
8,2022-12-16 00:00:00+05:30,62.65,63.8,61.45,61.75,6480092,
9,2022-12-19 00:00:00+05:30,61.95,62.2,60.35,61.65,2847660,
10,2022-12-20 00:00:00+05:30,61.3,61.9,60.1,60.5,1900012,
11,2022-12-21 00:00:00+05:30,60.7,61.3,56.9,57.55,3179536,
12,2022-12-22 00:00:00+05:30,58.0,58.5,55.45,56.15,2276602,
13,2022-12-23 00:00:00+05:30,55.5,55.8,52.0,52.6,2506155,
14,2022-12-26 00:00:00+05:30,53.0,54.4,52.4,53.75,2487466,
15,2022-12-27 00:00:00+05:30,54.3,55.9,54.2,54.9,2379488,
16,2022-12-28 00:00:00+05:30,54.9,55.45,54.6,55.05,2146367,
17,2022-12-29 00:00:00+05:30,55.0,55.5,54.35,55.4,1285323,
18,2022-12-30 00:00:00+05:30,55.55,57.2,55.5,56.1,2061388,
19,2023-01-02 00:00:00+05:30,56.4,58.05,56.15,57.7,2339303,
20,2023-01-03 00:00:00+05:30,57.3,58.3,57.0,57.1,1922512,
21,2023-01-04 00:00:00+05:30,57.05,57.3,56.0,56.6,1312243,
22,2023-01-05 00:00:00+05:30,57.0,57.4,56.0,56.2,1464523,
23,2023-01-06 00:00:00+05:30,56.4,56.65,55.15,55.35,1421856,
24,2023-01-09 00:00:00+05:30,55.65,56.35,55.6,55.9,877222,
25,2023-01-10 00:00:00+05:30,55.8,57.1,55.3,56.55,2334708,
26,2023-01-11 00:00:00+05:30,56.75,59.85,56.3,58.85,11468695,
27,2023-01-12 00:00:00+05:30,58.85,59.65,57.85,58.35,2771532,
28,2023-01-13 00:00:00+05:30,58.5,58.65,57.5,57.85,2155081,
29,2023-01-16 00:00:00+05:30,58.05,58.3,57.5,57.8,2316325,
30,2023-01-17 00:00:00+05:30,59.45,60.5,58.3,59.0,7795674,
31,2023-01-18 00:00:00+05:30,59.3,59.95,57.85,59.3,3281828,
32,2023-01-19 00:00:00+05:30,59.0,59.3,58.25,58.45,1266237,
33,2023-01-20 00:00:00+05:30,58.6,58.75,57.8,58.0,1095763,
34,2023-01-23 00:00:00+05:30,58.25,59.1,57.9,58.5,1644221,
35,2023-01-24 00:00:00+05:30,58.65,58.85,57.9,58.25,1465374,
36,2023-01-25 00:00:00+05:30,58.5,58.6,56.6,56.95,1251952,
37,2023-01-27 00:00:00+05:30,57.25,59.15,56.2,57.85,4866880,
38,2023-01-30 00:00:00+05:30,58.15,58.6,56.75,57.55,2053373,
39,2023-01-31 00:00:00+05:30,58.05,59.4,57.35,57.6,3197585,
40,2023-02-01 00:00:00+05:30,57.95,57.95,55.1,55.8,1720626,
41,2023-02-02 00:00:00+05:30,55.8,56.15,54.5,54.8,1312494,
42,2023-02-03 00:00:00+05:30,55.0,55.2,52.85,53.95,1505223,
43,2023-02-06 00:00:00+05:30,53.8,54.6,53.55,54.1,1270232,
44,2023-02-07 00:00:00+05:30,54.4,55.4,54.0,55.0,1931145,
45,2023-02-08 00:00:00+05:30,55.4,56.3,54.85,55.0,1227600,
46,2023-02-09 00:00:00+05:30,55.3,55.3,54.3,54.5,764689,
47,2023-02-10 00:00:00+05:30,54.35,54.7,53.85,54.0,801179,
48,2023-02-13 00:00:00+05:30,54.1,54.35,53.4,53.6,677987,
49,2023-02-14 00:00:00+05:30,53.95,54.05,52.5,53.05,1070416,
50,2023-02-15 00:00:00+05:30,52.8,54.05,52.55,53.75,1418218,
51,2023-02-16 00:00:00+05:30,54.75,55.45,54.4,54.6,2263601,
52,2023-02-17 00:00:00+05:30,54.2,54.75,53.8,54.0,682743,
53,2023-02-20 00:00:00+05:30,54.25,54.25,52.9,53.1,786793,
54,2023-02-21 00:00:00+05:30,53.25,53.4,52.9,53.0,629992,
55,2023-02-22 00:00:00+05:30,52.8,53.1,52.1,52.3,817385,
56,2023-02-23 00:00:00+05:30,52.15,52.45,51.25,51.65,874570,
57,2023-02-24 00:00:00+05:30,51.9,52.0,50.9,51.0,980468,
58,2023-02-27 00:00:00+05:30,50.95,50.95,49.25,49.85,1632526,
59,2023-02-28 00:00:00+05:30,49.95,51.2,49.25,49.85,1695013,
60,2023-03-01 00:00:00+05:30,50.05,51.65,49.75,51.35,1215575,
61,2023-03-02 00:00:00+05:30,51.2,51.55,50.7,50.95,835769,
62,2023-03-03 00:00:00+05:30,51.15,51.55,50.75,51.05,1085568,
63,2023-03-06 00:00:00+05:30,51.6,53.65,51.5,53.35,3050917,
64,2023-03-08 00:00:00+05:30,53.1,55.25,53.0,54.4,3584728,
65,2023-03-09 00:00:00+05:30,54.5,56.0,54.5,54.8,2685504,
66,2023-03-10 00:00:00+05:30,54.3,60.0,53.75,58.85,22903826,
67,2023-03-13 00:00:00+05:30,59.15,61.1,54.3,56.75,9232539,
68,2023-03-14 00:00:00+05:30,56.7,58.2,55.6,57.0,5400865,
69,2023-03-15 00:00:00+05:30,57.85,60.5,57.4,59.1,9741639,
70,2023-03-16 00:00:00+05:30,59.3,60.75,56.55,57.45,6020418,
71,2023-03-17 00:00:00+05:30,58.2,59.5,56.65,59.1,5455748,
72,2023-03-20 00:00:00+05:30,59.05,60.0,55.7,56.25,3631397,
73,2023-03-21 00:00:00+05:30,57.0,58.25,55.2,55.55,4102855,
74,2023-03-22 00:00:00+05:30,56.0,56.05,54.4,54.65,2047291,
75,2023-03-23 00:00:00+05:30,54.5,54.75,53.9,54.15,1414070,
76,2023-03-24 00:00:00+05:30,54.1,54.7,52.0,52.6,2171609,
77,2023-03-27 00:00:00+05:30,52.6,52.6,50.5,50.85,2045819,
78,2023-03-28 00:00:00+05:30,51.0,51.2,49.8,50.75,2606248,
79,2023-03-29 00:00:00+05:30,50.75,51.4,49.75,51.1,2956063,
80,2023-03-31 00:00:00+05:30,51.6,52.95,51.6,52.55,2521962,
81,2023-04-03 00:00:00+05:30,53.1,54.35,53.05,53.7,2368806,
82,2023-04-05 00:00:00+05:30,55.7,56.3,54.6,54.95,3470644,
83,2023-04-06 00:00:00+05:30,54.5,54.75,54.0,54.25,1295336,
84,2023-04-10 00:00:00+05:30,54.3,54.4,53.75,54.25,1227727,
85,2023-04-11 00:00:00+05:30,54.3,54.85,54.1,54.25,790352,
86,2023-04-12 00:00:00+05:30,54.3,54.6,53.3,53.5,1461097,
87,2023-04-13 00:00:00+05:30,53.45,54.3,53.15,53.3,1470594,
88,2023-04-17 00:00:00+05:30,53.3,53.7,52.85,53.55,1020748,
89,2023-04-18 00:00:00+05:30,53.5,54.45,53.35,53.75,1393194,
90,2023-04-19 00:00:00+05:30,54.45,54.9,53.9,54.25,1995674,
91,2023-04-20 00:00:00+05:30,54.3,54.85,53.65,54.15,3811004,
92,2023-04-21 00:00:00+05:30,54.0,54.4,53.15,53.25,1781783,
93,2023-04-24 00:00:00+05:30,53.5,53.8,53.0,53.55,1095381,
94,2023-04-25 00:00:00+05:30,53.5,54.8,53.5,54.2,1639324,
95,2023-04-26 00:00:00+05:30,54.1,55.35,54.0,54.7,3263064,
96,2023-04-27 00:00:00+05:30,54.2,61.85,54.2,60.95,28171286,
97,2023-04-28 00:00:00+05:30,61.45,66.3,61.2,64.25,52371104,
98,2023-05-02 00:00:00+05:30,63.0,63.0,60.4,60.6,12691240,
99,2023-05-03 00:00:00+05:30,60.7,63.15,60.3,61.45,8939866,
100,2023-05-04 00:00:00+05:30,61.55,62.7,61.55,61.9,4393837,
101,2023-05-05 00:00:00+05:30,61.9,62.2,60.85,61.05,3353806,
102,2023-05-08 00:00:00+05:30,61.4,61.4,60.75,61.05,2327716,
103,2023-05-09 00:00:00+05:30,61.05,64.4,61.0,62.95,13650015,
104,2023-05-10 00:00:00+05:30,63.3,63.3,61.2,61.95,3230214,
105,2023-05-11 00:00:00+05:30,62.25,63.95,62.1,62.95,4443001,
106,2023-05-12 00:00:00+05:30,62.8,63.75,62.2,62.6,3302597,
107,2023-05-15 00:00:00+05:30,62.9,63.05,62.2,62.35,1924984,
108,2023-05-16 00:00:00+05:30,62.9,64.65,62.8,63.25,6098024,
109,2023-05-17 00:00:00+05:30,63.4,66.0,63.1,64.55,15290038,
110,2023-05-18 00:00:00+05:30,64.95,68.45,64.55,66.35,24293149,
111,2023-05-19 00:00:00+05:30,66.75,68.2,64.05,64.95,11845129,
112,2023-05-22 00:00:00+05:30,65.2,65.25,63.7,64.45,3096182,
113,2023-05-23 00:00:00+05:30,64.45,65.75,64.2,64.95,3831288,
114,2023-05-24 00:00:00+05:30,64.9,67.2,64.6,66.65,12052816,
115,2023-05-25 00:00:00+05:30,66.5,68.7,65.5,67.45,13059698,
116,2023-05-26 00:00:00+05:30,67.8,68.35,66.0,66.45,5513339,
117,2023-05-29 00:00:00+05:30,66.9,66.9,65.35,66.35,3829151,
118,2023-05-30 00:00:00+05:30,66.35,67.75,66.05,66.8,4184536,
119,2023-05-31 00:00:00+05:30,66.1,66.75,65.25,65.45,2705886,
120,2023-06-01 00:00:00+05:30,65.55,66.0,64.8,65.05,2330230,
121,2023-06-02 00:00:00+05:30,65.35,65.5,64.5,64.65,2401519,
122,2023-06-05 00:00:00+05:30,65.0,67.05,64.8,66.0,6400374,
123,2023-06-06 00:00:00+05:30,66.0,66.0,64.85,65.1,2627944,
124,2023-06-07 00:00:00+05:30,65.3,66.3,64.1,65.3,5517053,
125,2023-06-08 00:00:00+05:30,65.4,66.45,64.5,64.8,4781965,
126,2023-06-09 00:00:00+05:30,65.05,65.35,64.4,64.6,1510154,
127,2023-06-12 00:00:00+05:30,64.7,65.6,64.1,64.85,2697435,
128,2023-06-13 00:00:00+05:30,65.0,65.9,65.0,65.6,2860921,
129,2023-06-14 00:00:00+05:30,65.85,66.2,65.0,65.2,2914660,
130,2023-06-15 00:00:00+05:30,65.55,67.35,65.1,66.85,8414663,
131,2023-06-16 00:00:00+05:30,67.5,74.45,67.2,71.8,41178604,
132,2023-06-19 00:00:00+05:30,72.55,79.4,72.45,78.7,42578753,
133,2023-06-20 00:00:00+05:30,78.9,79.55,74.0,75.6,11065143,
134,2023-06-21 00:00:00+05:30,76.2,79.0,75.65,76.9,11878605,
135,2023-06-22 00:00:00+05:30,77.2,78.9,75.6,76.65,8217725,
136,2023-06-23 00:00:00+05:30,77.0,77.9,75.25,76.7,5317558,
