,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,79.4,80.7,79.0,79.35,2405099,
1,2022-12-07 00:00:00+05:30,79.3,80.15,78.8,79.6,1821569,
2,2022-12-08 00:00:00+05:30,79.8,83.2,79.8,82.95,7267040,
3,2022-12-09 00:00:00+05:30,83.5,85.65,79.6,81.5,13036607,
4,2022-12-12 00:00:00+05:30,81.45,87.2,80.3,85.8,11241762,
5,2022-12-13 00:00:00+05:30,86.95,91.1,86.6,90.2,24732226,
6,2022-12-14 00:00:00+05:30,91.0,96.9,91.0,92.15,26372702,
7,2022-12-15 00:00:00+05:30,92.0,92.8,88.65,89.15,9114502,
8,2022-12-16 00:00:00+05:30,88.8,89.45,85.65,85.95,5823160,
9,2022-12-19 00:00:00+05:30,86.25,88.05,84.65,87.0,6024744,
10,2022-12-20 00:00:00+05:30,86.1,88.65,85.1,87.45,5285900,
11,2022-12-21 00:00:00+05:30,88.1,88.85,82.3,84.0,5637652,
12,2022-12-22 00:00:00+05:30,84.4,85.4,80.3,81.15,5942981,
13,2022-12-23 00:00:00+05:30,80.0,80.2,76.35,77.85,6698215,
14,2022-12-26 00:00:00+05:30,77.5,81.25,77.2,80.95,4143171,
15,2022-12-27 00:00:00+05:30,81.6,82.8,80.3,82.1,3470710,
16,2022-12-28 00:00:00+05:30,81.95,84.25,81.4,83.5,3744695,
17,2022-12-29 00:00:00+05:30,83.5,83.9,82.0,82.45,2327531,
18,2022-12-30 00:00:00+05:30,83.2,85.8,82.85,83.9,4792940,
19,2023-01-02 00:00:00+05:30,84.05,93.5,84.05,91.7,41827634,
20,2023-01-03 00:00:00+05:30,92.2,92.7,89.65,90.65,8301442,
21,2023-01-04 00:00:00+05:30,91.0,93.45,90.6,91.15,11986335,
22,2023-01-05 00:00:00+05:30,91.45,93.95,89.3,93.25,12283099,
23,2023-01-06 00:00:00+05:30,93.2,95.85,91.85,94.15,17426368,
24,2023-01-09 00:00:00+05:30,94.65,95.5,92.5,93.55,5154284,
25,2023-01-10 00:00:00+05:30,93.1,94.85,91.0,91.85,4809962,
26,2023-01-11 00:00:00+05:30,92.15,96.4,92.1,94.35,15413185,
27,2023-01-12 00:00:00+05:30,94.25,94.4,92.55,93.4,4056220,
28,2023-01-13 00:00:00+05:30,93.3,94.4,92.6,93.75,4625950,
29,2023-01-16 00:00:00+05:30,94.25,96.7,93.5,94.4,8173629,
30,2023-01-17 00:00:00+05:30,94.2,94.45,91.8,92.65,4158834,
31,2023-01-18 00:00:00+05:30,92.0,93.4,91.4,92.3,3319265,
32,2023-01-19 00:00:00+05:30,91.85,94.5,91.8,93.3,3749221,
33,2023-01-20 00:00:00+05:30,93.5,94.0,91.9,93.55,3060585,
34,2023-01-23 00:00:00+05:30,93.8,95.3,92.65,93.3,4199608,
35,2023-01-24 00:00:00+05:30,93.6,94.15,91.5,91.95,2552989,
36,2023-01-25 00:00:00+05:30,91.8,91.8,88.05,90.15,4592687,
37,2023-01-27 00:00:00+05:30,90.2,92.0,83.6,85.05,5804554,
38,2023-01-30 00:00:00+05:30,85.25,86.8,84.4,86.35,3623251,
39,2023-01-31 00:00:00+05:30,86.8,91.25,86.5,90.2,3949853,
40,2023-02-01 00:00:00+05:30,91.25,94.4,87.6,89.55,13670434,
41,2023-02-02 00:00:00+05:30,89.55,93.45,89.25,92.45,6672049,
42,2023-02-03 00:00:00+05:30,92.45,93.4,89.0,92.45,5970766,
43,2023-02-06 00:00:00+05:30,92.95,92.95,91.0,91.65,2444089,
44,2023-02-07 00:00:00+05:30,92.05,95.95,91.7,93.6,13913873,
45,2023-02-08 00:00:00+05:30,94.0,95.4,93.6,94.5,4580657,
46,2023-02-09 00:00:00+05:30,96.95,98.0,92.2,92.9,11750748,
47,2023-02-10 00:00:00+05:30,93.3,95.0,92.8,93.8,4021496,
48,2023-02-13 00:00:00+05:30,93.8,94.4,91.0,92.45,3790775,
49,2023-02-14 00:00:00+05:30,92.7,93.25,90.9,91.95,2642524,
50,2023-02-15 00:00:00+05:30,91.3,93.35,91.3,92.15,2325721,
51,2023-02-16 00:00:00+05:30,92.4,93.75,92.1,92.4,2745268,
52,2023-02-17 00:00:00+05:30,92.25,92.7,91.1,91.8,2573549,
53,2023-02-20 00:00:00+05:30,92.15,92.2,90.0,90.75,1887908,
54,2023-02-21 00:00:00+05:30,90.75,91.2,89.35,89.75,1882074,
55,2023-02-22 00:00:00+05:30,89.45,89.45,87.9,88.7,1653756,
56,2023-02-23 00:00:00+05:30,88.55,90.4,87.4,89.25,2854950,
57,2023-02-24 00:00:00+05:30,89.7,91.0,88.6,89.3,4846310,
58,2023-02-27 00:00:00+05:30,89.3,90.3,87.85,88.75,3600934,
59,2023-02-28 00:00:00+05:30,89.05,89.5,88.25,89.0,1957730,
60,2023-03-01 00:00:00+05:30,89.45,91.7,89.2,91.2,3530583,
61,2023-03-02 00:00:00+05:30,91.2,92.3,90.75,91.35,1872825,
62,2023-03-03 00:00:00+05:30,92.3,92.75,89.25,90.25,2898146,
63,2023-03-06 00:00:00+05:30,90.8,94.0,90.4,93.6,6412158,
64,2023-03-08 00:00:00+05:30,93.4,100.85,92.7,97.7,27795894,
65,2023-03-09 00:00:00+05:30,98.85,102.0,98.65,99.4,16968831,
66,2023-03-10 00:00:00+05:30,98.65,100.0,96.65,99.35,5850737,
67,2023-03-13 00:00:00+05:30,100.0,102.5,96.8,97.5,15993036,
68,2023-03-14 00:00:00+05:30,98.3,100.1,97.2,98.85,7470791,
69,2023-03-15 00:00:00+05:30,99.9,101.3,99.2,100.3,6531113,
70,2023-03-16 00:00:00+05:30,100.2,102.7,97.6,101.75,9494257,
71,2023-03-17 00:00:00+05:30,102.9,106.35,102.5,103.5,18433640,
72,2023-03-20 00:00:00+05:30,103.1,105.1,99.5,102.5,8947346,
73,2023-03-21 00:00:00+05:30,103.45,105.4,103.15,104.8,5206335,
74,2023-03-22 00:00:00+05:30,105.4,105.55,104.45,104.9,4001083,
75,2023-03-23 00:00:00+05:30,104.35,106.95,103.8,105.95,6908268,
76,2023-03-24 00:00:00+05:30,105.9,106.7,101.15,101.9,5304988,
77,2023-03-27 00:00:00+05:30,102.25,102.45,98.2,101.45,5859018,
78,2023-03-28 00:00:00+05:30,100.7,103.7,98.65,102.8,6055148,
79,2023-03-29 00:00:00+05:30,102.95,107.95,102.25,106.85,6917455,
80,2023-03-31 00:00:00+05:30,107.0,108.5,104.25,106.1,6102915,
81,2023-04-03 00:00:00+05:30,106.95,108.5,105.75,106.95,6487321,
82,2023-04-05 00:00:00+05:30,107.45,107.7,104.8,105.9,2944816,
83,2023-04-06 00:00:00+05:30,105.95,109.25,105.05,108.8,7045071,
84,2023-04-10 00:00:00+05:30,108.85,109.3,106.05,107.55,2861621,
85,2023-04-11 00:00:00+05:30,107.65,108.55,106.7,107.6,2566279,
86,2023-04-12 00:00:00+05:30,107.0,108.7,106.0,106.85,2763062,
87,2023-04-13 00:00:00+05:30,106.3,108.1,106.0,107.5,2727990,
88,2023-04-17 00:00:00+05:30,107.0,110.8,106.7,109.6,6014972,
89,2023-04-18 00:00:00+05:30,109.5,110.5,108.25,109.15,2322761,
90,2023-04-19 00:00:00+05:30,109.8,112.0,109.0,109.4,5188546,
91,2023-04-20 00:00:00+05:30,109.6,114.0,108.55,113.35,7507873,
92,2023-04-21 00:00:00+05:30,114.0,114.5,112.0,113.5,3862967,
93,2023-04-24 00:00:00+05:30,113.7,116.0,113.35,115.6,4912225,
94,2023-04-25 00:00:00+05:30,115.8,120.35,114.55,118.1,9742365,
95,2023-04-26 00:00:00+05:30,118.15,119.5,115.8,118.8,4580850,
96,2023-04-27 00:00:00+05:30,118.4,120.6,115.1,116.2,4396675,
