,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,139.7,139.7,137.0,138.1,892809,
1,2022-12-07 00:00:00+05:30,138.1,141.0,135.0,137.8,2917446,
2,2022-12-08 00:00:00+05:30,137.7,138.05,135.3,135.8,738010,
3,2022-12-09 00:00:00+05:30,135.8,136.55,132.2,133.3,859570,
4,2022-12-12 00:00:00+05:30,133.3,133.3,129.35,130.35,1066914,
5,2022-12-13 00:00:00+05:30,131.0,133.0,130.35,132.05,1725642,
6,2022-12-14 00:00:00+05:30,132.4,139.8,129.5,137.1,8122245,
7,2022-12-15 00:00:00+05:30,137.5,141.65,136.05,139.5,3581702,
8,2022-12-16 00:00:00+05:30,138.95,142.9,135.5,136.35,2301024,
9,2022-12-19 00:00:00+05:30,137.0,138.4,135.1,137.7,918471,
10,2022-12-20 00:00:00+05:30,137.45,139.5,136.55,138.8,992161,
11,2022-12-21 00:00:00+05:30,139.45,141.0,130.2,131.65,2041595,
12,2022-12-22 00:00:00+05:30,132.2,134.65,126.5,127.8,1676599,
13,2022-12-23 00:00:00+05:30,126.75,126.75,120.55,122.75,1886518,
14,2022-12-26 00:00:00+05:30,121.1,127.25,119.7,126.75,910566,
15,2022-12-27 00:00:00+05:30,127.65,130.7,127.35,129.65,967587,
16,2022-12-28 00:00:00+05:30,128.5,129.7,127.4,128.8,644625,
17,2022-12-29 00:00:00+05:30,128.9,131.35,127.65,130.55,523000,
18,2022-12-30 00:00:00+05:30,131.0,132.4,129.0,129.65,546554,
19,2023-01-02 00:00:00+05:30,130.15,133.75,129.5,132.1,678698,
20,2023-01-03 00:00:00+05:30,132.1,133.3,131.4,131.75,437909,
21,2023-01-04 00:00:00+05:30,131.7,132.45,127.9,129.05,767190,
22,2023-01-05 00:00:00+05:30,129.55,130.4,128.0,128.95,581253,
23,2023-01-06 00:00:00+05:30,129.45,129.7,125.75,126.0,872154,
24,2023-01-09 00:00:00+05:30,126.9,127.85,126.3,126.9,656952,
25,2023-01-10 00:00:00+05:30,127.1,127.25,125.6,126.35,505737,
26,2023-01-11 00:00:00+05:30,126.7,126.75,123.85,124.6,929087,
27,2023-01-12 00:00:00+05:30,125.3,125.5,123.8,124.5,574017,
28,2023-01-13 00:00:00+05:30,124.0,124.6,123.1,123.55,660751,
29,2023-01-16 00:00:00+05:30,123.95,124.4,122.1,122.7,649805,
30,2023-01-17 00:00:00+05:30,123.2,123.65,121.0,122.0,822671,
31,2023-01-18 00:00:00+05:30,122.05,122.45,120.15,120.9,1186554,
32,2023-01-19 00:00:00+05:30,121.5,123.65,121.5,122.2,1324359,
33,2023-01-20 00:00:00+05:30,122.45,122.6,120.65,121.0,628309,
34,2023-01-23 00:00:00+05:30,121.65,121.75,119.8,120.55,579575,
35,2023-01-24 00:00:00+05:30,120.8,121.1,120.3,120.55,385352,
36,2023-01-25 00:00:00+05:30,120.1,120.75,115.9,117.85,1070047,
37,2023-01-27 00:00:00+05:30,118.25,118.45,114.5,115.7,883154,
38,2023-01-30 00:00:00+05:30,115.7,119.0,114.4,116.5,970721,
39,2023-01-31 00:00:00+05:30,117.5,120.5,115.45,119.9,1675277,
40,2023-02-01 00:00:00+05:30,121.7,121.85,117.0,119.1,1068435,
41,2023-02-02 00:00:00+05:30,119.0,121.4,118.4,120.15,621769,
42,2023-02-03 00:00:00+05:30,121.5,121.5,119.5,120.7,661606,
43,2023-02-06 00:00:00+05:30,121.35,122.25,120.75,121.7,661325,
44,2023-02-07 00:00:00+05:30,122.4,122.8,121.7,122.3,596476,
45,2023-02-08 00:00:00+05:30,122.3,123.2,121.0,122.55,541867,
46,2023-02-09 00:00:00+05:30,122.65,122.65,121.0,121.8,867682,
47,2023-02-10 00:00:00+05:30,116.2,118.25,115.85,117.8,883635,
48,2023-02-13 00:00:00+05:30,116.35,117.45,114.0,116.0,968944,
49,2023-02-14 00:00:00+05:30,116.1,116.7,113.3,114.25,564958,
50,2023-02-15 00:00:00+05:30,113.1,117.5,113.1,116.95,1252937,
51,2023-02-16 00:00:00+05:30,116.15,122.25,116.15,120.7,2477109,
52,2023-02-17 00:00:00+05:30,120.25,121.5,118.85,120.4,572151,
53,2023-02-20 00:00:00+05:30,120.65,122.35,118.25,120.1,1502352,
54,2023-02-21 00:00:00+05:30,119.75,122.15,118.95,120.75,2277901,
55,2023-02-22 00:00:00+05:30,120.15,120.15,115.5,118.55,2561003,
56,2023-02-23 00:00:00+05:30,118.5,118.7,114.7,117.2,1409597,
57,2023-02-24 00:00:00+05:30,117.25,117.95,113.8,115.3,1403621,
58,2023-02-27 00:00:00+05:30,114.5,116.4,112.25,116.0,1104498,
59,2023-02-28 00:00:00+05:30,116.0,119.5,115.3,118.85,999086,
60,2023-03-01 00:00:00+05:30,116.8,119.15,116.1,118.45,800605,
61,2023-03-02 00:00:00+05:30,118.0,118.45,116.55,117.0,272211,
62,2023-03-03 00:00:00+05:30,117.05,118.0,115.85,116.1,567164,
63,2023-03-06 00:00:00+05:30,116.4,118.05,116.4,117.3,380115,
64,2023-03-08 00:00:00+05:30,116.75,119.9,116.3,119.6,915903,
65,2023-03-09 00:00:00+05:30,119.85,120.7,118.5,119.85,683695,
66,2023-03-10 00:00:00+05:30,118.85,119.3,117.1,117.9,400832,
67,2023-03-13 00:00:00+05:30,117.9,117.9,114.5,116.2,651437,
68,2023-03-14 00:00:00+05:30,116.0,116.4,114.3,114.95,542293,
69,2023-03-15 00:00:00+05:30,115.3,116.4,113.7,114.05,433056,
70,2023-03-16 00:00:00+05:30,114.1,114.4,112.5,113.2,509383,
71,2023-03-17 00:00:00+05:30,113.6,115.4,113.05,113.3,523255,
72,2023-03-20 00:00:00+05:30,116.8,116.8,111.5,111.9,473052,
73,2023-03-21 00:00:00+05:30,113.25,113.8,111.8,112.45,526907,
74,2023-03-22 00:00:00+05:30,112.5,114.5,112.1,114.0,1011731,
75,2023-03-23 00:00:00+05:30,114.0,115.65,113.3,114.55,732222,
76,2023-03-24 00:00:00+05:30,114.9,115.85,112.55,113.3,914056,
77,2023-03-27 00:00:00+05:30,113.15,113.85,110.05,110.85,863811,
78,2023-03-28 00:00:00+05:30,111.0,112.25,108.7,110.15,586416,
79,2023-03-29 00:00:00+05:30,109.7,116.0,109.7,114.8,1334694,
80,2023-03-31 00:00:00+05:30,116.45,117.3,114.15,116.1,664450,
81,2023-04-03 00:00:00+05:30,116.85,117.8,114.2,116.15,399443,
82,2023-04-05 00:00:00+05:30,116.75,117.5,115.15,115.7,605422,
83,2023-04-06 00:00:00+05:30,115.95,116.25,114.45,114.65,631411,
84,2023-04-10 00:00:00+05:30,114.7,115.3,112.95,113.4,603242,
85,2023-04-11 00:00:00+05:30,113.65,115.4,113.5,113.9,412820,
86,2023-04-12 00:00:00+05:30,115.0,118.35,114.55,116.35,1568748,
87,2023-04-13 00:00:00+05:30,116.7,119.7,115.35,115.85,1884099,
88,2023-04-17 00:00:00+05:30,117.5,120.0,116.1,119.5,1814333,
89,2023-04-18 00:00:00+05:30,119.75,121.25,119.05,119.85,963250,
90,2023-04-19 00:00:00+05:30,120.35,120.7,118.45,119.3,453296,
91,2023-04-20 00:00:00+05:30,119.7,120.0,117.85,118.15,382745,
92,2023-04-21 00:00:00+05:30,118.5,120.3,117.4,119.8,543954,
93,2023-04-24 00:00:00+05:30,120.35,120.8,118.25,118.65,515876,
94,2023-04-25 00:00:00+05:30,119.45,120.35,118.65,119.35,432738,
95,2023-04-26 00:00:00+05:30,119.65,124.85,118.8,123.55,2755286,
96,2023-04-27 00:00:00+05:30,125.0,125.5,124.05,124.85,1331503,
97,2023-04-28 00:00:00+05:30,125.25,128.95,124.15,128.3,2647738,
98,2023-05-02 00:00:00+05:30,130.05,130.25,126.05,126.8,987757,
99,2023-05-03 00:00:00+05:30,126.0,128.15,125.2,126.15,583056,
100,2023-05-04 00:00:00+05:30,126.65,129.05,126.1,126.65,885882,
101,2023-05-05 00:00:00+05:30,127.15,127.5,125.0,125.7,520844,
102,2023-05-08 00:00:00+05:30,126.8,133.2,126.1,131.75,4843288,
103,2023-05-09 00:00:00+05:30,132.25,135.0,129.0,129.5,1664637,
104,2023-05-10 00:00:00+05:30,129.8,130.9,128.45,129.9,671280,
105,2023-05-11 00:00:00+05:30,130.35,132.7,128.95,129.85,984870,
106,2023-05-12 00:00:00+05:30,130.3,131.45,126.8,127.35,1093200,
107,2023-05-15 00:00:00+05:30,127.7,131.4,127.7,130.45,870170,
108,2023-05-16 00:00:00+05:30,132.9,134.35,128.0,129.2,3792485,
109,2023-05-17 00:00:00+05:30,129.5,133.3,128.7,132.0,2301834,
110,2023-05-18 00:00:00+05:30,132.75,133.3,130.05,130.7,1077468,
111,2023-05-19 00:00:00+05:30,131.0,133.4,128.5,132.95,1338093,
112,2023-05-22 00:00:00+05:30,133.5,136.0,131.05,135.15,2861425,
113,2023-05-23 00:00:00+05:30,135.6,137.8,132.4,134.65,1788685,
114,2023-05-24 00:00:00+05:30,134.35,136.3,133.1,134.65,827340,
115,2023-05-25 00:00:00+05:30,134.7,135.9,134.2,135.05,648677,
116,2023-05-26 00:00:00+05:30,135.05,135.4,133.05,134.45,568584,
117,2023-05-29 00:00:00+05:30,135.0,135.4,132.85,134.35,868268,
118,2023-05-30 00:00:00+05:30,134.35,134.45,133.4,134.05,407733,
119,2023-05-31 00:00:00+05:30,133.65,137.3,133.1,136.5,1204229,
120,2023-06-01 00:00:00+05:30,136.4,138.55,135.5,137.8,1344307,
121,2023-06-02 00:00:00+05:30,138.5,140.3,137.0,138.25,1974235,
122,2023-06-05 00:00:00+05:30,139.95,140.8,136.65,137.2,1173187,
123,2023-06-06 00:00:00+05:30,138.0,139.65,136.6,139.0,1135385,
124,2023-06-07 00:00:00+05:30,141.0,141.8,139.45,141.35,1527667,
125,2023-06-08 00:00:00+05:30,141.3,142.4,140.0,141.1,1253215,
126,2023-06-09 00:00:00+05:30,141.2,143.3,138.6,140.2,1327074,
127,2023-06-12 00:00:00+05:30,141.6,144.9,141.15,144.2,2037712,
128,2023-06-13 00:00:00+05:30,144.5,147.5,144.2,146.1,1646552,
