,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,187.95,189.45,183.15,184.9,1624521,
1,2022-12-07 00:00:00+05:30,185.65,185.65,180.65,183.8,1385442,
2,2022-12-08 00:00:00+05:30,184.0,184.8,181.0,183.7,902377,
3,2022-12-09 00:00:00+05:30,184.5,184.95,177.0,179.3,1397514,
4,2022-12-12 00:00:00+05:30,179.0,181.25,176.5,179.35,788132,
5,2022-12-13 00:00:00+05:30,180.0,180.5,178.0,179.3,652575,
6,2022-12-14 00:00:00+05:30,180.0,184.45,179.55,182.25,1221138,
7,2022-12-15 00:00:00+05:30,182.8,184.3,178.5,180.0,935624,
8,2022-12-16 00:00:00+05:30,179.9,181.55,176.0,177.5,1291703,
9,2022-12-19 00:00:00+05:30,178.0,178.95,175.6,178.05,958091,
10,2022-12-20 00:00:00+05:30,178.6,180.75,173.75,177.6,1424186,
11,2022-12-21 00:00:00+05:30,178.4,180.8,173.15,174.1,1628678,
12,2022-12-22 00:00:00+05:30,174.0,176.9,167.2,168.55,1928740,
13,2022-12-23 00:00:00+05:30,167.25,168.0,157.55,158.45,2634096,
14,2022-12-26 00:00:00+05:30,159.25,163.9,155.7,162.7,2051479,
15,2022-12-27 00:00:00+05:30,164.6,167.95,162.7,167.1,1775522,
16,2022-12-28 00:00:00+05:30,167.0,169.15,165.6,168.25,933550,
17,2022-12-29 00:00:00+05:30,167.5,169.95,165.2,169.6,699507,
18,2022-12-30 00:00:00+05:30,170.0,174.25,169.7,170.7,1146613,
19,2023-01-02 00:00:00+05:30,171.1,179.7,171.05,178.85,2562268,
20,2023-01-03 00:00:00+05:30,179.75,181.7,177.4,179.8,1968938,
21,2023-01-04 00:00:00+05:30,178.6,180.1,173.5,176.5,1965177,
22,2023-01-05 00:00:00+05:30,174.0,179.3,174.0,177.4,2189343,
23,2023-01-06 00:00:00+05:30,177.5,178.55,172.05,173.25,1316530,
24,2023-01-09 00:00:00+05:30,175.0,176.5,173.25,175.1,869686,
25,2023-01-10 00:00:00+05:30,176.2,179.7,174.15,176.95,1931718,
26,2023-01-11 00:00:00+05:30,177.7,178.25,176.15,177.5,783911,
27,2023-01-12 00:00:00+05:30,177.5,178.1,174.6,176.45,850077,
28,2023-01-13 00:00:00+05:30,176.0,185.0,175.2,183.55,3710183,
29,2023-01-16 00:00:00+05:30,184.5,185.0,178.9,179.65,2131857,
30,2023-01-17 00:00:00+05:30,179.0,179.5,175.05,177.55,1241061,
31,2023-01-18 00:00:00+05:30,178.5,180.2,176.8,179.6,1187169,
32,2023-01-19 00:00:00+05:30,178.55,179.7,177.2,177.8,920962,
33,2023-01-20 00:00:00+05:30,178.6,178.9,173.2,173.95,1177171,
34,2023-01-23 00:00:00+05:30,175.3,175.3,171.85,174.4,921583,
35,2023-01-24 00:00:00+05:30,173.85,180.65,173.6,175.75,2723059,
36,2023-01-25 00:00:00+05:30,174.6,175.55,168.75,169.55,1398345,
37,2023-01-27 00:00:00+05:30,170.55,171.15,160.1,162.8,1935533,
38,2023-01-30 00:00:00+05:30,165.0,165.65,160.15,162.4,1048805,
39,2023-01-31 00:00:00+05:30,163.75,169.45,162.5,168.75,1117481,
40,2023-02-01 00:00:00+05:30,169.9,175.65,165.5,167.9,2802544,
41,2023-02-02 00:00:00+05:30,166.0,170.95,164.8,168.0,970242,
42,2023-02-03 00:00:00+05:30,168.1,169.85,164.75,168.3,741657,
43,2023-02-06 00:00:00+05:30,167.75,170.4,167.65,169.5,621846,
44,2023-02-07 00:00:00+05:30,169.05,169.7,166.0,167.55,603441,
45,2023-02-08 00:00:00+05:30,167.6,171.5,167.45,171.1,866264,
46,2023-02-09 00:00:00+05:30,171.0,171.7,168.3,169.45,1467875,
47,2023-02-10 00:00:00+05:30,168.0,172.7,168.0,171.45,876549,
48,2023-02-13 00:00:00+05:30,171.45,172.3,167.05,168.65,798353,
49,2023-02-14 00:00:00+05:30,168.5,169.55,165.0,166.15,663904,
50,2023-02-15 00:00:00+05:30,165.2,170.65,165.2,167.8,483877,
51,2023-02-16 00:00:00+05:30,168.0,171.5,167.7,169.6,1831460,
52,2023-02-17 00:00:00+05:30,168.0,171.0,167.1,167.55,672931,
53,2023-02-20 00:00:00+05:30,167.55,168.1,162.7,164.25,1656123,
54,2023-02-21 00:00:00+05:30,164.3,165.25,162.4,162.85,896007,
55,2023-02-22 00:00:00+05:30,162.5,163.05,158.65,159.4,1207740,
56,2023-02-23 00:00:00+05:30,159.5,161.2,157.1,157.55,1019919,
57,2023-02-24 00:00:00+05:30,158.2,159.35,154.3,154.85,1121111,
58,2023-02-27 00:00:00+05:30,154.75,154.75,149.15,151.5,4539339,
59,2023-02-28 00:00:00+05:30,153.1,156.9,150.35,153.55,5307242,
60,2023-03-01 00:00:00+05:30,152.5,167.95,152.5,166.3,11520161,
61,2023-03-02 00:00:00+05:30,164.95,169.6,163.65,164.25,3007384,
62,2023-03-03 00:00:00+05:30,164.5,165.8,161.65,163.5,1577494,
63,2023-03-06 00:00:00+05:30,162.2,165.5,162.2,164.25,1587959,
64,2023-03-08 00:00:00+05:30,162.55,165.9,160.25,165.5,1051604,
65,2023-03-09 00:00:00+05:30,164.55,167.3,163.75,164.5,738442,
66,2023-03-10 00:00:00+05:30,162.0,164.8,161.25,162.75,754093,
67,2023-03-13 00:00:00+05:30,162.75,163.35,156.8,157.5,1244348,
68,2023-03-14 00:00:00+05:30,158.0,161.0,154.8,158.25,2458544,
69,2023-03-15 00:00:00+05:30,160.0,162.4,158.1,158.75,1541607,
70,2023-03-16 00:00:00+05:30,158.7,159.55,154.75,157.6,1152254,
71,2023-03-17 00:00:00+05:30,159.8,160.0,157.2,158.9,1173080,
72,2023-03-20 00:00:00+05:30,157.9,159.75,152.5,154.8,1225135,
73,2023-03-21 00:00:00+05:30,156.5,156.5,153.7,155.0,642030,
74,2023-03-22 00:00:00+05:30,155.2,157.0,154.7,155.05,442046,
75,2023-03-23 00:00:00+05:30,155.4,156.4,152.6,153.05,642759,
76,2023-03-24 00:00:00+05:30,153.85,154.6,147.6,148.25,1323034,
77,2023-03-27 00:00:00+05:30,149.65,149.65,144.1,145.95,2076687,
78,2023-03-28 00:00:00+05:30,146.05,147.4,143.25,144.3,1341644,
79,2023-03-29 00:00:00+05:30,144.0,147.9,143.5,147.3,1097264,
80,2023-03-31 00:00:00+05:30,149.0,151.5,148.2,149.05,1423214,
81,2023-04-03 00:00:00+05:30,150.5,153.35,149.8,152.85,945755,
82,2023-04-05 00:00:00+05:30,152.85,153.65,150.25,152.7,973885,
83,2023-04-06 00:00:00+05:30,152.6,154.25,151.8,153.15,552430,
84,2023-04-10 00:00:00+05:30,154.25,155.35,153.15,154.7,656633,
85,2023-04-11 00:00:00+05:30,154.65,156.05,154.4,155.65,593075,
86,2023-04-12 00:00:00+05:30,156.1,157.85,155.35,156.5,680948,
87,2023-04-13 00:00:00+05:30,157.5,158.35,155.5,157.7,1175820,
88,2023-04-17 00:00:00+05:30,157.6,158.5,156.1,157.95,598194,
89,2023-04-18 00:00:00+05:30,158.1,160.0,157.4,159.05,985043,
90,2023-04-19 00:00:00+05:30,159.0,162.35,157.95,158.3,1421792,
91,2023-04-20 00:00:00+05:30,158.9,158.95,156.25,156.6,583179,
92,2023-04-21 00:00:00+05:30,156.6,157.25,153.0,154.0,743720,
93,2023-04-24 00:00:00+05:30,154.4,157.0,153.55,156.6,811830,
94,2023-04-25 00:00:00+05:30,156.85,159.05,155.9,158.4,835710,
95,2023-04-26 00:00:00+05:30,158.95,159.4,157.0,157.95,618114,
96,2023-04-27 00:00:00+05:30,157.85,158.8,157.15,158.05,766884,
97,2023-04-28 00:00:00+05:30,158.55,162.8,158.55,162.4,2048449,
98,2023-05-02 00:00:00+05:30,163.0,165.0,162.5,164.05,1027896,
99,2023-05-03 00:00:00+05:30,163.15,164.25,161.0,162.3,676963,
100,2023-05-04 00:00:00+05:30,162.0,164.7,161.65,162.85,1113304,
101,2023-05-05 00:00:00+05:30,163.2,163.25,156.45,157.0,2193859,
102,2023-05-08 00:00:00+05:30,158.05,158.4,153.35,155.3,2256162,
103,2023-05-09 00:00:00+05:30,156.4,159.65,155.85,156.8,2121368,
104,2023-05-10 00:00:00+05:30,153.3,154.8,148.0,149.75,9540424,
105,2023-05-11 00:00:00+05:30,151.0,156.95,149.25,153.65,4643745,
106,2023-05-12 00:00:00+05:30,154.0,154.3,149.35,149.85,1732283,
107,2023-05-15 00:00:00+05:30,150.4,151.45,147.05,150.9,1553245,
108,2023-05-16 00:00:00+05:30,151.8,153.45,150.05,150.3,1101037,
109,2023-05-17 00:00:00+05:30,150.3,151.8,147.8,150.1,1192256,
110,2023-05-18 00:00:00+05:30,150.7,152.0,147.9,148.25,1074261,
111,2023-05-19 00:00:00+05:30,148.35,148.95,145.0,146.8,1795810,
112,2023-05-22 00:00:00+05:30,146.5,149.6,144.65,149.35,1381198,
113,2023-05-23 00:00:00+05:30,149.35,150.75,148.05,148.5,1061913,
114,2023-05-24 00:00:00+05:30,148.45,149.1,146.8,147.35,805285,
115,2023-05-25 00:00:00+05:30,147.55,148.0,145.95,147.4,1017759,
116,2023-05-26 00:00:00+05:30,147.5,151.6,147.1,150.5,1269469,
117,2023-05-29 00:00:00+05:30,150.6,153.4,149.95,153.1,1603155,
118,2023-05-30 00:00:00+05:30,153.3,154.0,152.0,152.6,901127,
119,2023-05-31 00:00:00+05:30,152.1,153.25,150.2,152.6,1916195,
120,2023-06-01 00:00:00+05:30,153.0,153.95,151.7,152.1,805685,
121,2023-06-02 00:00:00+05:30,152.5,156.65,152.3,155.15,2794923,
122,2023-06-05 00:00:00+05:30,156.75,161.75,156.6,160.65,4699334,
123,2023-06-06 00:00:00+05:30,161.7,162.6,158.7,161.6,2217559,
124,2023-06-07 00:00:00+05:30,162.9,163.5,160.75,161.1,1305596,
125,2023-06-08 00:00:00+05:30,161.95,163.2,158.8,159.2,1465668,
126,2023-06-09 00:00:00+05:30,159.75,161.8,157.1,158.1,1265039,
127,2023-06-12 00:00:00+05:30,158.25,159.65,156.6,158.2,805323,
128,2023-06-13 00:00:00+05:30,158.95,159.95,157.8,158.5,1031317,
129,2023-06-14 00:00:00+05:30,158.5,168.0,157.0,166.55,7245851,
130,2023-06-15 00:00:00+05:30,170.0,171.95,167.0,167.5,9467547,
131,2023-06-16 00:00:00+05:30,168.45,174.75,167.2,172.15,9456484,
132,2023-06-19 00:00:00+05:30,173.15,176.0,172.0,172.9,3905145,
133,2023-06-20 00:00:00+05:30,172.0,173.8,170.65,171.75,2402845,
134,2023-06-21 00:00:00+05:30,172.3,173.0,169.5,170.85,1650980,
135,2023-06-22 00:00:00+05:30,171.15,171.95,163.45,165.1,2454198,
136,2023-06-23 00:00:00+05:30,165.9,166.95,162.2,163.45,1757181,
137,2023-06-26 00:00:00+05:30,164.3,170.8,161.65,170.15,3855822,
138,2023-06-27 00:00:00+05:30,170.85,172.0,166.25,167.9,3676263,
139,2023-06-28 00:00:00+05:30,168.6,168.7,161.1,162.1,7743490,
140,2023-06-30 00:00:00+05:30,163.0,165.9,162.6,163.2,2044606,
141,2023-07-03 00:00:00+05:30,163.9,165.3,163.5,163.95,1156853,
142,2023-07-04 00:00:00+05:30,163.95,164.4,161.8,162.6,818006,
143,2023-07-05 00:00:00+05:30,163.45,166.3,162.3,164.95,1708240,
144,2023-07-06 00:00:00+05:30,165.6,167.4,164.5,166.1,1317512,
145,2023-07-07 00:00:00+05:30,166.7,167.3,163.5,164.65,954958,
146,2023-07-10 00:00:00+05:30,164.55,165.4,162.4,163.45,824865,
147,2023-07-11 00:00:00+05:30,163.5,166.95,163.1,166.45,1215557,
148,2023-07-12 00:00:00+05:30,167.3,168.95,165.3,166.15,1743737,
149,2023-07-13 00:00:00+05:30,166.4,167.0,163.05,164.15,871759,
150,2023-07-14 00:00:00+05:30,165.0,166.0,163.8,164.8,1043080,
151,2023-07-17 00:00:00+05:30,165.45,167.35,163.45,164.35,1547432,
152,2023-07-18 00:00:00+05:30,164.9,165.15,162.0,163.2,956105,
153,2023-07-19 00:00:00+05:30,163.85,168.1,163.7,167.65,2615299,
154,2023-07-20 00:00:00+05:30,168.25,169.7,166.4,167.25,1279210,
155,2023-07-21 00:00:00+05:30,167.2,167.2,164.7,165.0,924814,
156,2023-07-24 00:00:00+05:30,165.5,165.9,163.5,163.85,707204,
157,2023-07-25 00:00:00+05:30,164.75,167.75,164.05,166.75,1647677,
158,2023-07-26 00:00:00+05:30,167.4,167.95,165.85,166.3,922973,
159,2023-07-27 00:00:00+05:30,167.1,167.7,164.65,165.55,756680,
160,2023-07-28 00:00:00+05:30,166.35,169.4,164.1,168.1,1421174,
161,2023-07-31 00:00:00+05:30,168.95,171.55,168.1,170.4,2785832,
162,2023-08-01 00:00:00+05:30,171.15,173.55,169.4,170.0,1816615,
163,2023-08-02 00:00:00+05:30,170.0,170.0,162.6,163.25,2311048,
164,2023-08-03 00:00:00+05:30,164.1,164.9,161.5,164.3,1390941,
165,2023-08-04 00:00:00+05:30,164.95,166.95,164.05,166.3,1232888,
166,2023-08-07 00:00:00+05:30,163.0,164.4,161.0,161.55,2185106,
