,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,243.85,249.95,243.85,247.15,1348610,
1,2022-12-07 00:00:00+05:30,247.1,251.0,244.75,246.0,479026,
2,2022-12-08 00:00:00+05:30,246.0,257.0,245.0,254.8,1994020,
3,2022-12-09 00:00:00+05:30,257.35,261.2,252.25,254.4,1177515,
4,2022-12-12 00:00:00+05:30,253.0,267.5,252.6,264.05,2785131,
5,2022-12-13 00:00:00+05:30,265.0,267.5,261.8,264.05,1014800,
6,2022-12-14 00:00:00+05:30,266.0,270.75,262.5,270.1,1455879,
7,2022-12-15 00:00:00+05:30,270.1,270.9,256.95,259.5,596932,
8,2022-12-16 00:00:00+05:30,258.95,260.1,250.0,251.65,415562,
9,2022-12-19 00:00:00+05:30,253.0,257.25,251.1,253.45,272405,
10,2022-12-20 00:00:00+05:30,252.1,254.75,247.05,248.55,190932,
11,2022-12-21 00:00:00+05:30,248.8,254.45,238.75,240.25,300321,
12,2022-12-22 00:00:00+05:30,241.5,241.95,232.2,235.4,244244,
13,2022-12-23 00:00:00+05:30,232.5,234.0,217.05,219.25,422062,
14,2022-12-26 00:00:00+05:30,219.0,231.0,219.0,229.9,254776,
15,2022-12-27 00:00:00+05:30,234.0,235.75,230.6,234.05,203665,
16,2022-12-28 00:00:00+05:30,234.1,238.6,232.35,235.95,329358,
17,2022-12-29 00:00:00+05:30,234.0,235.0,231.25,233.2,166446,
18,2022-12-30 00:00:00+05:30,234.0,248.0,233.25,242.35,1164669,
19,2023-01-02 00:00:00+05:30,246.0,247.2,242.85,246.75,297453,
20,2023-01-03 00:00:00+05:30,249.0,249.0,242.5,243.65,162756,
21,2023-01-04 00:00:00+05:30,242.5,251.7,239.0,248.2,550065,
22,2023-01-05 00:00:00+05:30,248.45,249.4,242.05,244.9,237902,
23,2023-01-06 00:00:00+05:30,241.2,244.9,236.55,238.15,177357,
24,2023-01-09 00:00:00+05:30,239.6,245.5,237.0,240.7,329979,
25,2023-01-10 00:00:00+05:30,240.7,244.4,237.6,239.15,176766,
26,2023-01-11 00:00:00+05:30,239.45,247.2,238.8,242.5,471261,
27,2023-01-12 00:00:00+05:30,242.5,246.8,240.65,241.5,193529,
28,2023-01-13 00:00:00+05:30,242.75,260.7,241.55,257.65,1558045,
29,2023-01-16 00:00:00+05:30,257.65,261.1,251.05,255.3,812745,
30,2023-01-17 00:00:00+05:30,255.3,256.5,250.4,252.05,298943,
31,2023-01-18 00:00:00+05:30,252.4,255.0,243.5,245.5,333849,
32,2023-01-19 00:00:00+05:30,230.55,236.35,222.1,223.9,2839413,
33,2023-01-20 00:00:00+05:30,226.0,227.95,222.3,225.4,698352,
34,2023-01-23 00:00:00+05:30,226.0,228.35,220.0,221.0,575848,
35,2023-01-24 00:00:00+05:30,221.0,222.45,216.0,216.85,337816,
36,2023-01-25 00:00:00+05:30,215.75,217.35,212.0,212.6,309728,
37,2023-01-27 00:00:00+05:30,211.65,213.7,205.35,206.75,406599,
38,2023-01-30 00:00:00+05:30,209.95,214.5,207.9,209.85,320095,
39,2023-01-31 00:00:00+05:30,210.35,211.95,207.75,209.05,531040,
40,2023-02-01 00:00:00+05:30,212.0,214.7,201.35,204.3,464601,
41,2023-02-02 00:00:00+05:30,202.45,209.75,202.45,206.9,311555,
42,2023-02-03 00:00:00+05:30,206.9,207.75,203.05,204.9,250361,
43,2023-02-06 00:00:00+05:30,204.85,208.0,204.85,205.6,155719,
44,2023-02-07 00:00:00+05:30,205.3,206.35,202.45,203.0,167396,
45,2023-02-08 00:00:00+05:30,204.0,206.65,203.0,204.4,183031,
46,2023-02-09 00:00:00+05:30,204.4,208.5,204.0,207.45,163847,
47,2023-02-10 00:00:00+05:30,206.55,208.45,206.1,206.8,157777,
48,2023-02-13 00:00:00+05:30,206.8,207.65,203.15,204.75,173417,
49,2023-02-14 00:00:00+05:30,204.7,205.7,202.8,203.9,143450,
50,2023-02-15 00:00:00+05:30,203.85,207.45,202.8,205.65,149355,
51,2023-02-16 00:00:00+05:30,205.8,211.5,205.8,209.6,282020,
52,2023-02-17 00:00:00+05:30,210.9,211.95,208.0,208.7,180343,
53,2023-02-20 00:00:00+05:30,208.55,209.85,205.0,205.75,133020,
54,2023-02-21 00:00:00+05:30,205.75,207.95,205.2,206.6,104068,
55,2023-02-22 00:00:00+05:30,205.05,205.45,200.0,201.45,297821,
56,2023-02-23 00:00:00+05:30,201.75,206.0,201.35,204.2,199385,
57,2023-02-24 00:00:00+05:30,203.85,204.9,201.0,201.8,124536,
58,2023-02-27 00:00:00+05:30,201.0,202.3,197.5,199.0,139569,
59,2023-02-28 00:00:00+05:30,198.5,199.85,195.5,196.45,175957,
60,2023-03-01 00:00:00+05:30,197.55,199.35,196.1,198.05,135979,
61,2023-03-02 00:00:00+05:30,199.0,202.3,198.2,200.35,173600,
62,2023-03-03 00:00:00+05:30,200.55,206.65,200.55,204.2,181797,
63,2023-03-06 00:00:00+05:30,204.1,207.0,203.45,204.4,113965,
64,2023-03-08 00:00:00+05:30,204.0,204.9,202.55,203.75,122068,
65,2023-03-09 00:00:00+05:30,203.75,206.15,202.5,203.35,120873,
66,2023-03-10 00:00:00+05:30,201.5,202.7,199.8,200.5,180263,
67,2023-03-13 00:00:00+05:30,200.5,200.9,196.25,197.15,168055,
68,2023-03-14 00:00:00+05:30,196.95,197.6,192.0,194.2,251082,
69,2023-03-15 00:00:00+05:30,195.75,198.0,192.3,193.0,162960,
70,2023-03-16 00:00:00+05:30,193.0,194.7,189.0,193.25,121012,
71,2023-03-17 00:00:00+05:30,194.0,195.7,192.4,193.45,122580,
72,2023-03-20 00:00:00+05:30,192.05,204.85,191.85,202.1,820089,
73,2023-03-21 00:00:00+05:30,202.15,204.45,198.1,199.3,170993,
74,2023-03-22 00:00:00+05:30,199.3,204.8,198.2,200.2,349862,
75,2023-03-23 00:00:00+05:30,199.8,202.1,197.5,198.3,157379,
76,2023-03-24 00:00:00+05:30,197.65,199.0,195.0,195.9,134021,
77,2023-03-27 00:00:00+05:30,195.7,196.45,191.0,191.75,183702,
78,2023-03-28 00:00:00+05:30,192.0,193.0,187.05,189.1,314702,
79,2023-03-29 00:00:00+05:30,188.05,193.95,188.05,192.6,298074,
80,2023-03-31 00:00:00+05:30,190.6,196.65,190.6,192.9,242003,
81,2023-04-03 00:00:00+05:30,193.1,198.6,193.1,196.6,128355,
82,2023-04-05 00:00:00+05:30,196.95,201.0,196.8,200.0,316945,
83,2023-04-06 00:00:00+05:30,200.0,201.9,199.0,201.15,207485,
84,2023-04-10 00:00:00+05:30,201.0,205.75,200.6,204.05,301144,
85,2023-04-11 00:00:00+05:30,204.4,206.85,203.85,206.2,190461,
86,2023-04-12 00:00:00+05:30,206.2,208.5,204.55,205.35,285345,
87,2023-04-13 00:00:00+05:30,205.1,206.8,204.1,205.6,106411,
88,2023-04-17 00:00:00+05:30,205.0,206.9,203.9,206.35,95626,
89,2023-04-18 00:00:00+05:30,206.75,207.85,205.2,206.15,168285,
90,2023-04-19 00:00:00+05:30,206.15,206.5,203.4,204.45,274675,
91,2023-04-20 00:00:00+05:30,205.0,205.5,201.75,202.1,196933,
92,2023-04-21 00:00:00+05:30,202.0,203.35,199.2,199.95,279562,
93,2023-04-24 00:00:00+05:30,200.05,200.9,198.15,199.0,300069,
94,2023-04-25 00:00:00+05:30,199.85,201.5,198.8,199.2,277802,
95,2023-04-26 00:00:00+05:30,192.5,195.95,190.0,191.1,1446745,
96,2023-04-27 00:00:00+05:30,192.4,192.65,187.9,189.25,938973,
97,2023-04-28 00:00:00+05:30,189.25,190.95,187.2,189.45,719623,
98,2023-05-02 00:00:00+05:30,192.35,193.25,187.7,188.4,691939,
99,2023-05-03 00:00:00+05:30,188.45,190.2,188.4,188.95,333163,
100,2023-05-04 00:00:00+05:30,189.0,191.0,189.0,190.25,359813,
101,2023-05-05 00:00:00+05:30,190.45,190.95,189.15,189.6,297842,
102,2023-05-08 00:00:00+05:30,190.45,190.8,189.1,189.5,224520,
103,2023-05-09 00:00:00+05:30,189.5,190.5,188.4,188.5,253984,
104,2023-05-10 00:00:00+05:30,188.6,189.6,188.25,188.9,218906,
105,2023-05-11 00:00:00+05:30,189.0,190.95,188.75,189.4,234881,
106,2023-05-12 00:00:00+05:30,189.4,190.0,187.7,187.95,230040,
107,2023-05-15 00:00:00+05:30,187.5,189.5,187.5,189.3,165479,
108,2023-05-16 00:00:00+05:30,190.0,190.25,188.15,188.85,251733,
109,2023-05-17 00:00:00+05:30,189.2,189.3,188.1,188.95,153619,
110,2023-05-18 00:00:00+05:30,189.9,189.9,188.25,188.8,140962,
111,2023-05-19 00:00:00+05:30,189.0,189.7,187.0,188.2,161369,
112,2023-05-22 00:00:00+05:30,188.2,188.85,186.55,187.65,147640,
113,2023-05-23 00:00:00+05:30,188.0,189.55,187.6,188.55,225540,
114,2023-05-24 00:00:00+05:30,188.55,196.5,188.2,191.95,1096310,
115,2023-05-25 00:00:00+05:30,192.95,193.35,189.6,190.45,401381,
