,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,154.7,156.15,153.15,153.65,6689561,
1,2022-12-07 00:00:00+05:30,153.65,154.5,149.0,153.4,10216467,
2,2022-12-08 00:00:00+05:30,152.25,154.4,151.35,153.0,10864395,
3,2022-12-09 00:00:00+05:30,153.85,156.35,149.55,151.75,12979884,
4,2022-12-12 00:00:00+05:30,152.15,156.0,150.0,155.05,7806924,
5,2022-12-13 00:00:00+05:30,155.85,158.5,154.1,157.75,13641440,
6,2022-12-14 00:00:00+05:30,158.55,169.2,158.1,167.55,31447525,
7,2022-12-15 00:00:00+05:30,167.15,173.0,166.7,169.9,29191499,
8,2022-12-16 00:00:00+05:30,167.05,169.65,163.85,164.8,14576194,
9,2022-12-19 00:00:00+05:30,165.6,168.5,161.95,167.95,11300602,
10,2022-12-20 00:00:00+05:30,167.2,170.65,164.0,169.5,9957517,
11,2022-12-21 00:00:00+05:30,169.5,172.5,161.4,162.75,16345600,
12,2022-12-22 00:00:00+05:30,163.6,166.2,158.55,162.1,17921563,
13,2022-12-23 00:00:00+05:30,160.05,160.65,150.55,151.3,14030721,
14,2022-12-26 00:00:00+05:30,149.6,162.0,148.5,160.5,15297719,
15,2022-12-27 00:00:00+05:30,160.5,167.8,159.3,166.4,15352649,
16,2022-12-28 00:00:00+05:30,166.3,174.25,165.4,173.05,18173917,
17,2022-12-29 00:00:00+05:30,171.95,177.2,168.8,176.5,17715824,
18,2022-12-30 00:00:00+05:30,178.2,185.4,177.75,179.4,25283686,
19,2023-01-02 00:00:00+05:30,180.55,182.5,178.5,181.35,11975072,
20,2023-01-03 00:00:00+05:30,181.25,187.9,181.25,186.65,17655516,
21,2023-01-04 00:00:00+05:30,187.1,187.6,178.35,179.95,20543348,
22,2023-01-05 00:00:00+05:30,180.25,187.0,180.25,186.25,21909870,
23,2023-01-06 00:00:00+05:30,185.9,189.3,182.15,184.1,18063638,
24,2023-01-09 00:00:00+05:30,184.45,187.4,184.35,185.8,8932267,
25,2023-01-10 00:00:00+05:30,185.8,186.15,178.5,180.5,12799929,
26,2023-01-11 00:00:00+05:30,181.5,182.3,178.15,181.0,8666444,
27,2023-01-12 00:00:00+05:30,181.95,181.95,176.5,177.8,8300033,
28,2023-01-13 00:00:00+05:30,178.5,180.0,176.0,176.85,9656665,
29,2023-01-16 00:00:00+05:30,177.2,179.35,173.55,175.55,11020632,
30,2023-01-17 00:00:00+05:30,176.05,176.05,169.8,171.9,9094417,
31,2023-01-18 00:00:00+05:30,171.8,173.3,170.8,172.45,5880956,
32,2023-01-19 00:00:00+05:30,171.8,172.3,165.75,167.3,8301728,
33,2023-01-20 00:00:00+05:30,168.5,171.7,167.5,169.8,8264969,
34,2023-01-23 00:00:00+05:30,172.95,174.05,165.5,167.4,21132302,
35,2023-01-24 00:00:00+05:30,166.95,168.0,159.8,160.75,12502874,
36,2023-01-25 00:00:00+05:30,160.0,160.9,157.15,157.95,10543183,
37,2023-01-27 00:00:00+05:30,158.05,158.75,148.0,150.65,12444690,
38,2023-01-30 00:00:00+05:30,150.65,153.6,145.6,149.8,11395703,
39,2023-01-31 00:00:00+05:30,151.0,156.6,149.3,155.75,10509693,
40,2023-02-01 00:00:00+05:30,157.8,158.95,143.0,148.4,12528492,
41,2023-02-02 00:00:00+05:30,147.0,156.25,145.15,155.45,14196687,
42,2023-02-03 00:00:00+05:30,155.5,158.25,152.2,157.4,7390871,
43,2023-02-06 00:00:00+05:30,157.0,164.4,156.65,163.5,11602180,
44,2023-02-07 00:00:00+05:30,164.0,165.5,161.7,163.5,7878202,
45,2023-02-08 00:00:00+05:30,164.3,167.65,163.4,166.8,5672627,
46,2023-02-09 00:00:00+05:30,166.0,168.75,163.9,168.05,5297909,
47,2023-02-10 00:00:00+05:30,167.0,170.5,166.2,169.25,4162147,
48,2023-02-13 00:00:00+05:30,168.1,169.5,163.45,166.3,6091626,
49,2023-02-14 00:00:00+05:30,167.0,167.2,161.15,165.6,6406377,
50,2023-02-15 00:00:00+05:30,165.1,167.0,163.05,163.7,5106975,
51,2023-02-16 00:00:00+05:30,164.6,165.0,161.15,161.9,4510899,
52,2023-02-17 00:00:00+05:30,161.9,162.0,157.35,158.65,6478055,
53,2023-02-20 00:00:00+05:30,158.65,161.35,157.55,158.75,8544609,
54,2023-02-21 00:00:00+05:30,159.55,160.95,157.4,158.85,4322006,
55,2023-02-22 00:00:00+05:30,157.0,158.75,152.75,153.45,5249640,
56,2023-02-23 00:00:00+05:30,154.25,155.0,150.8,153.8,5265862,
57,2023-02-24 00:00:00+05:30,154.6,155.8,152.65,153.15,4357411,
58,2023-02-27 00:00:00+05:30,153.0,154.4,150.7,152.35,7421659,
59,2023-02-28 00:00:00+05:30,152.6,156.95,151.8,155.85,5402918,
60,2023-03-01 00:00:00+05:30,155.7,162.9,155.15,161.05,7628837,
61,2023-03-02 00:00:00+05:30,160.25,162.0,159.05,160.95,4720741,
62,2023-03-03 00:00:00+05:30,161.3,167.85,161.3,166.7,7175542,
63,2023-03-06 00:00:00+05:30,166.4,169.1,165.3,165.9,5357246,
64,2023-03-08 00:00:00+05:30,164.2,166.6,161.5,165.35,7349193,
65,2023-03-09 00:00:00+05:30,165.7,166.45,158.95,159.65,5703198,
66,2023-03-10 00:00:00+05:30,157.9,157.9,152.8,154.9,8622919,
67,2023-03-13 00:00:00+05:30,154.9,156.3,146.3,146.85,12979714,
68,2023-03-14 00:00:00+05:30,146.85,148.45,141.8,146.0,15287798,
69,2023-03-15 00:00:00+05:30,148.2,149.7,137.8,141.85,11300790,
70,2023-03-16 00:00:00+05:30,142.0,143.85,138.25,141.45,18057304,
71,2023-03-17 00:00:00+05:30,143.0,145.75,139.15,141.1,10469127,
72,2023-03-20 00:00:00+05:30,141.25,141.9,131.6,137.1,20120231,
