,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,49.95,50.8,49.6,49.65,983946,
1,2022-12-07 00:00:00+05:30,49.9,49.9,48.75,48.9,704344,
2,2022-12-08 00:00:00+05:30,49.15,49.4,48.7,48.95,539281,
3,2022-12-09 00:00:00+05:30,49.15,49.4,47.1,47.5,1097881,
4,2022-12-12 00:00:00+05:30,47.65,48.1,46.75,46.9,1124240,
5,2022-12-13 00:00:00+05:30,47.2,48.1,47.1,47.45,840006,
6,2022-12-14 00:00:00+05:30,47.8,49.45,47.5,48.7,1426120,
7,2022-12-15 00:00:00+05:30,48.6,49.0,47.5,47.65,930532,
8,2022-12-16 00:00:00+05:30,47.5,47.9,46.6,47.25,812658,
9,2022-12-19 00:00:00+05:30,47.4,48.3,46.9,47.3,876688,
10,2022-12-20 00:00:00+05:30,47.3,47.4,45.8,46.05,1371150,
11,2022-12-21 00:00:00+05:30,46.4,47.1,43.35,43.9,1565466,
12,2022-12-22 00:00:00+05:30,44.15,44.7,40.65,41.4,2794774,
13,2022-12-23 00:00:00+05:30,41.0,41.15,39.0,39.45,2620077,
14,2022-12-26 00:00:00+05:30,40.0,43.0,39.8,41.75,2270968,
15,2022-12-27 00:00:00+05:30,42.15,43.2,40.5,41.1,2621932,
16,2022-12-28 00:00:00+05:30,41.1,43.2,40.5,41.85,2320042,
17,2022-12-29 00:00:00+05:30,41.6,42.4,41.25,41.95,1084916,
18,2022-12-30 00:00:00+05:30,42.25,43.0,42.05,42.3,824618,
19,2023-01-02 00:00:00+05:30,42.5,43.25,42.3,42.65,980263,
20,2023-01-03 00:00:00+05:30,42.85,43.95,42.75,43.15,954438,
21,2023-01-04 00:00:00+05:30,43.2,43.4,42.25,42.45,678487,
22,2023-01-05 00:00:00+05:30,42.75,43.05,42.1,42.55,613120,
23,2023-01-06 00:00:00+05:30,42.8,43.35,42.2,42.85,919953,
24,2023-01-09 00:00:00+05:30,43.0,43.35,42.1,42.7,687645,
25,2023-01-10 00:00:00+05:30,42.6,42.6,41.4,41.95,784722,
26,2023-01-11 00:00:00+05:30,42.2,42.3,41.1,41.7,1004696,
27,2023-01-12 00:00:00+05:30,41.85,42.0,41.2,41.7,881896,
28,2023-01-13 00:00:00+05:30,41.95,42.85,41.5,42.55,1425978,
29,2023-01-16 00:00:00+05:30,44.5,50.45,44.5,48.9,16425466,
30,2023-01-17 00:00:00+05:30,49.0,49.6,46.6,47.5,4834689,
31,2023-01-18 00:00:00+05:30,47.3,47.75,46.0,46.3,1661845,
32,2023-01-19 00:00:00+05:30,45.95,48.75,45.6,47.9,3493359,
33,2023-01-20 00:00:00+05:30,47.8,48.1,46.5,46.85,1307753,
34,2023-01-23 00:00:00+05:30,47.1,47.2,45.15,45.85,1025652,
35,2023-01-24 00:00:00+05:30,45.9,46.8,44.45,44.75,1148299,
36,2023-01-25 00:00:00+05:30,44.7,44.7,43.35,43.6,1087257,
37,2023-01-27 00:00:00+05:30,43.7,44.25,41.7,42.3,1506587,
38,2023-01-30 00:00:00+05:30,42.3,43.8,42.05,43.0,1271267,
39,2023-01-31 00:00:00+05:30,43.9,44.5,43.0,43.9,1130896,
40,2023-02-01 00:00:00+05:30,44.25,45.75,42.2,42.95,1529890,
41,2023-02-02 00:00:00+05:30,42.9,44.9,42.5,43.05,934819,
42,2023-02-03 00:00:00+05:30,43.4,43.65,41.95,42.7,973810,
43,2023-02-06 00:00:00+05:30,42.65,43.35,42.5,42.6,602087,
44,2023-02-07 00:00:00+05:30,42.2,43.15,41.8,42.35,907484,
45,2023-02-08 00:00:00+05:30,42.6,43.25,42.1,42.5,749379,
46,2023-02-09 00:00:00+05:30,42.5,43.6,42.25,42.75,950417,
47,2023-02-10 00:00:00+05:30,42.85,44.0,42.5,42.95,1168871,
48,2023-02-13 00:00:00+05:30,42.0,42.35,40.25,40.6,1752504,
49,2023-02-14 00:00:00+05:30,40.9,41.65,36.6,38.0,4390806,
50,2023-02-15 00:00:00+05:30,40.0,41.95,39.0,39.7,4472639,
51,2023-02-16 00:00:00+05:30,39.95,40.55,39.6,40.1,1421254,
52,2023-02-17 00:00:00+05:30,40.0,40.9,39.35,39.85,1155324,
53,2023-02-20 00:00:00+05:30,40.95,40.95,39.85,40.1,783187,
54,2023-02-21 00:00:00+05:30,40.35,40.8,39.8,40.05,917413,
55,2023-02-22 00:00:00+05:30,39.9,40.1,39.15,39.35,737154,
56,2023-02-23 00:00:00+05:30,39.55,39.9,38.55,39.6,942660,
57,2023-02-24 00:00:00+05:30,39.8,40.8,39.45,39.85,706175,
58,2023-02-27 00:00:00+05:30,39.85,39.85,38.5,38.65,690527,
59,2023-02-28 00:00:00+05:30,39.85,39.85,38.0,38.35,985409,
60,2023-03-01 00:00:00+05:30,38.5,39.45,38.45,38.7,675879,
61,2023-03-02 00:00:00+05:30,38.8,39.1,38.3,38.65,611747,
