,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,10.05,10.5,9.95,10.2,241805841,
1,2022-12-07 00:00:00+05:30,10.25,10.4,9.8,9.85,193786549,
2,2022-12-08 00:00:00+05:30,9.9,10.0,9.7,9.8,96070967,
3,2022-12-09 00:00:00+05:30,9.85,9.9,9.25,9.3,137661963,
4,2022-12-12 00:00:00+05:30,9.3,10.35,9.25,10.25,278382339,
5,2022-12-13 00:00:00+05:30,10.35,10.45,10.05,10.1,143072413,
6,2022-12-14 00:00:00+05:30,10.2,11.0,10.1,10.9,336400273,
7,2022-12-15 00:00:00+05:30,10.8,11.25,10.65,10.95,476242220,
8,2022-12-16 00:00:00+05:30,11.0,11.2,10.4,10.75,254892146,
9,2022-12-19 00:00:00+05:30,10.85,11.9,10.85,11.65,638219867,
10,2022-12-20 00:00:00+05:30,11.75,12.15,11.2,11.5,425797132,
11,2022-12-21 00:00:00+05:30,11.65,11.8,9.9,10.2,395402337,
12,2022-12-22 00:00:00+05:30,10.4,10.65,9.55,9.95,377648968,
13,2022-12-23 00:00:00+05:30,9.75,9.8,8.9,9.0,263244568,
14,2022-12-26 00:00:00+05:30,9.0,10.0,9.0,9.8,270444702,
15,2022-12-27 00:00:00+05:30,10.15,10.4,9.9,10.2,137402727,
16,2022-12-28 00:00:00+05:30,10.2,10.35,9.9,10.05,119193235,
17,2022-12-29 00:00:00+05:30,10.0,10.25,9.8,10.15,90408089,
18,2022-12-30 00:00:00+05:30,10.25,11.0,10.15,10.6,251001496,
19,2023-01-02 00:00:00+05:30,10.7,10.8,10.4,10.7,115707231,
20,2023-01-03 00:00:00+05:30,10.75,11.0,10.6,10.75,126373567,
21,2023-01-04 00:00:00+05:30,10.75,10.8,10.3,10.4,113590256,
22,2023-01-05 00:00:00+05:30,10.55,10.6,10.05,10.25,142768735,
23,2023-01-06 00:00:00+05:30,10.35,10.4,10.05,10.2,114171473,
24,2023-01-09 00:00:00+05:30,10.35,10.55,10.2,10.2,88848012,
25,2023-01-10 00:00:00+05:30,10.25,10.25,9.95,10.05,70863324,
26,2023-01-11 00:00:00+05:30,10.15,10.3,10.05,10.1,58400770,
27,2023-01-12 00:00:00+05:30,10.15,10.2,9.9,10.0,75308002,
28,2023-01-13 00:00:00+05:30,10.0,10.1,9.85,10.05,64749356,
