,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,41.2,41.35,40.2,40.35,8380156,
1,2022-12-07 00:00:00+05:30,40.65,40.7,39.5,39.7,6086432,
2,2022-12-08 00:00:00+05:30,39.65,41.75,39.65,40.7,12255091,
3,2022-12-09 00:00:00+05:30,40.9,41.1,38.9,39.55,6596070,
4,2022-12-12 00:00:00+05:30,39.5,39.95,39.0,39.5,4268988,
5,2022-12-13 00:00:00+05:30,39.75,40.3,39.3,39.6,5303193,
6,2022-12-14 00:00:00+05:30,40.0,43.0,40.0,41.9,42327733,
7,2022-12-15 00:00:00+05:30,42.1,42.4,41.05,41.2,8758025,
8,2022-12-16 00:00:00+05:30,41.0,41.85,39.6,40.25,12713254,
9,2022-12-19 00:00:00+05:30,40.45,40.45,39.2,39.35,9142151,
10,2022-12-20 00:00:00+05:30,39.45,39.75,38.2,38.4,11122944,
11,2022-12-21 00:00:00+05:30,38.6,39.25,37.0,37.3,9660417,
12,2022-12-22 00:00:00+05:30,37.5,37.9,36.15,36.8,7146798,
13,2022-12-23 00:00:00+05:30,36.45,36.6,34.3,34.6,9738149,
14,2022-12-26 00:00:00+05:30,34.8,36.3,34.3,36.2,7091115,
15,2022-12-27 00:00:00+05:30,36.5,37.25,36.3,36.9,7739072,
16,2022-12-28 00:00:00+05:30,36.85,38.2,36.35,37.9,7633233,
17,2022-12-29 00:00:00+05:30,37.75,37.75,37.15,37.2,3621066,
18,2022-12-30 00:00:00+05:30,37.5,37.85,36.9,37.05,4488540,
19,2023-01-02 00:00:00+05:30,37.1,37.85,37.05,37.7,4355355,
20,2023-01-03 00:00:00+05:30,37.8,38.1,37.4,37.7,3341413,
21,2023-01-04 00:00:00+05:30,37.7,37.8,36.95,37.0,3650938,
22,2023-01-05 00:00:00+05:30,37.2,37.35,36.7,37.1,2891568,
23,2023-01-06 00:00:00+05:30,37.2,37.3,36.5,36.85,2934268,
24,2023-01-09 00:00:00+05:30,37.0,37.4,36.8,36.9,1988804,
25,2023-01-10 00:00:00+05:30,36.9,37.0,36.35,36.55,2198560,
26,2023-01-11 00:00:00+05:30,36.7,37.1,36.5,36.8,3023181,
27,2023-01-12 00:00:00+05:30,36.85,37.0,36.4,36.55,2419607,
28,2023-01-13 00:00:00+05:30,36.7,36.75,36.3,36.5,3831448,
29,2023-01-16 00:00:00+05:30,36.65,37.6,36.65,37.05,5979679,
30,2023-01-17 00:00:00+05:30,37.05,37.3,35.85,36.45,7456368,
31,2023-01-18 00:00:00+05:30,36.45,36.45,35.8,35.85,4909511,
32,2023-01-19 00:00:00+05:30,35.75,36.0,34.85,35.1,5469396,
33,2023-01-20 00:00:00+05:30,35.25,35.6,35.0,35.2,2611764,
34,2023-01-23 00:00:00+05:30,35.45,35.45,34.65,34.8,3200779,
35,2023-01-24 00:00:00+05:30,35.0,35.05,34.55,34.7,2542688,
36,2023-01-25 00:00:00+05:30,34.7,34.8,33.75,33.8,4547473,
37,2023-01-27 00:00:00+05:30,33.95,34.0,32.15,32.45,7372665,
38,2023-01-30 00:00:00+05:30,32.3,33.4,32.0,32.8,4406285,
39,2023-01-31 00:00:00+05:30,33.0,34.2,32.8,33.9,4614790,
40,2023-02-01 00:00:00+05:30,34.05,34.45,31.75,32.15,6154030,
41,2023-02-02 00:00:00+05:30,32.0,33.1,31.95,32.15,4555402,
42,2023-02-03 00:00:00+05:30,32.5,32.5,31.65,32.35,5420766,
43,2023-02-06 00:00:00+05:30,32.4,32.55,32.1,32.2,3814895,
44,2023-02-07 00:00:00+05:30,32.35,32.35,31.75,31.9,3260029,
45,2023-02-08 00:00:00+05:30,32.0,32.35,31.95,32.2,3060837,
46,2023-02-09 00:00:00+05:30,32.25,34.3,31.95,34.0,11769287,
47,2023-02-10 00:00:00+05:30,33.9,34.85,33.85,34.1,4177444,
48,2023-02-13 00:00:00+05:30,33.95,34.05,32.85,33.15,2849202,
49,2023-02-14 00:00:00+05:30,33.2,33.25,31.7,32.55,4425046,
50,2023-02-15 00:00:00+05:30,32.45,33.45,32.45,33.05,4520195,
51,2023-02-16 00:00:00+05:30,33.1,33.45,33.0,33.15,2572425,
52,2023-02-17 00:00:00+05:30,32.95,34.15,32.7,33.45,4705516,
53,2023-02-20 00:00:00+05:30,33.5,33.8,32.3,32.5,3771213,
54,2023-02-21 00:00:00+05:30,32.5,32.6,32.15,32.35,3600932,
55,2023-02-22 00:00:00+05:30,32.25,32.35,31.75,31.9,3164145,
56,2023-02-23 00:00:00+05:30,32.0,32.1,30.9,31.3,4562565,
57,2023-02-24 00:00:00+05:30,31.3,31.85,31.05,31.2,3642704,
58,2023-02-27 00:00:00+05:30,31.2,31.3,30.5,30.55,3845970,
59,2023-02-28 00:00:00+05:30,30.7,33.1,30.45,31.9,5743740,
60,2023-03-01 00:00:00+05:30,31.9,32.45,31.6,32.0,3999508,
61,2023-03-02 00:00:00+05:30,32.2,32.25,31.65,32.05,3125299,
62,2023-03-03 00:00:00+05:30,32.05,32.65,31.9,32.0,3972562,
63,2023-03-06 00:00:00+05:30,32.2,33.2,32.05,32.45,5929708,
64,2023-03-08 00:00:00+05:30,32.25,32.75,32.0,32.6,2665712,
65,2023-03-09 00:00:00+05:30,32.7,33.25,32.45,32.55,3781553,
66,2023-03-10 00:00:00+05:30,32.25,32.25,31.4,31.55,5652340,
67,2023-03-13 00:00:00+05:30,31.6,31.75,30.5,30.6,5499181,
68,2023-03-14 00:00:00+05:30,30.75,30.85,30.0,30.2,3958446,
69,2023-03-15 00:00:00+05:30,30.55,30.8,28.3,28.65,8368423,
70,2023-03-16 00:00:00+05:30,28.7,31.0,28.4,30.45,18981127,
71,2023-03-17 00:00:00+05:30,30.7,30.85,29.6,29.85,5805185,
72,2023-03-20 00:00:00+05:30,29.8,31.75,29.1,30.8,9582709,
73,2023-03-21 00:00:00+05:30,30.8,31.2,30.25,30.45,6969796,
74,2023-03-22 00:00:00+05:30,30.5,30.8,30.1,30.2,3305622,
75,2023-03-23 00:00:00+05:30,30.15,30.45,30.0,30.15,3338880,
76,2023-03-24 00:00:00+05:30,30.25,30.4,29.05,29.25,3864293,
77,2023-03-27 00:00:00+05:30,29.25,29.55,28.1,28.3,9320425,
78,2023-03-28 00:00:00+05:30,28.4,28.95,27.35,27.6,9026722,
79,2023-03-29 00:00:00+05:30,27.9,28.6,27.45,28.2,9910100,
80,2023-03-31 00:00:00+05:30,28.55,30.25,28.45,28.75,13215756,
81,2023-04-03 00:00:00+05:30,29.3,30.2,29.0,29.85,5793645,
