,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,20.4,21.85,20.3,21.15,55502135,
1,2022-12-07 00:00:00+05:30,21.35,22.65,21.05,22.25,81910345,
2,2022-12-08 00:00:00+05:30,22.7,23.95,22.4,23.5,65407111,
3,2022-12-09 00:00:00+05:30,24.25,25.0,22.15,23.6,91904850,
4,2022-12-12 00:00:00+05:30,23.6,24.5,22.25,24.25,55210146,
5,2022-12-13 00:00:00+05:30,24.5,29.1,24.3,29.05,203920141,
6,2022-12-14 00:00:00+05:30,30.6,34.5,29.3,33.25,396389777,
7,2022-12-15 00:00:00+05:30,32.9,36.55,31.7,35.6,346176229,
8,2022-12-16 00:00:00+05:30,36.1,38.15,34.8,36.4,277935587,
9,2022-12-19 00:00:00+05:30,37.0,37.7,33.1,33.6,122103203,
10,2022-12-20 00:00:00+05:30,33.0,33.3,30.35,31.2,91770706,
11,2022-12-21 00:00:00+05:30,31.8,34.3,30.6,31.85,194358814,
12,2022-12-22 00:00:00+05:30,34.0,34.05,31.1,32.75,114288612,
13,2022-12-23 00:00:00+05:30,31.3,32.4,29.5,29.5,60483359,
14,2022-12-26 00:00:00+05:30,28.35,32.35,26.85,31.95,138351627,
15,2022-12-27 00:00:00+05:30,32.5,33.45,31.0,32.45,107289429,
16,2022-12-28 00:00:00+05:30,31.7,32.8,30.85,31.4,66549004,
17,2022-12-29 00:00:00+05:30,31.0,31.5,30.55,30.8,36148593,
18,2022-12-30 00:00:00+05:30,31.4,32.5,31.3,31.5,35706421,
19,2023-01-02 00:00:00+05:30,31.8,32.05,31.15,31.35,29856497,
20,2023-01-03 00:00:00+05:30,31.55,33.75,31.4,32.8,70790476,
21,2023-01-04 00:00:00+05:30,33.0,33.4,32.05,32.3,42337014,
22,2023-01-05 00:00:00+05:30,32.6,32.85,31.65,32.2,22394272,
23,2023-01-06 00:00:00+05:30,32.45,32.5,30.65,31.05,26781631,
24,2023-01-09 00:00:00+05:30,31.7,31.85,30.65,30.95,16595594,
