,date,open,high,low,close,volume,200_ma
0,2022-12-06 00:00:00+05:30,30.15,30.8,30.1,30.2,9728252,
1,2022-12-07 00:00:00+05:30,30.2,30.7,29.75,30.05,8681431,
2,2022-12-08 00:00:00+05:30,30.65,31.95,30.35,31.75,30167288,
3,2022-12-09 00:00:00+05:30,32.15,32.2,29.9,30.65,15146071,
4,2022-12-12 00:00:00+05:30,30.65,31.25,29.95,30.25,8656050,
5,2022-12-13 00:00:00+05:30,30.55,33.25,30.5,32.7,23810026,
6,2022-12-14 00:00:00+05:30,32.95,33.5,32.35,32.55,19769961,
7,2022-12-15 00:00:00+05:30,32.2,33.4,32.05,32.2,11315268,
8,2022-12-16 00:00:00+05:30,32.0,32.15,30.4,31.8,16416430,
9,2022-12-19 00:00:00+05:30,31.8,32.1,30.8,30.95,6648107,
10,2022-12-20 00:00:00+05:30,31.0,31.3,30.25,30.7,8122500,
11,2022-12-21 00:00:00+05:30,31.0,31.3,29.0,29.35,10827819,
12,2022-12-22 00:00:00+05:30,29.5,29.7,26.8,27.25,22229005,
13,2022-12-23 00:00:00+05:30,26.5,27.05,25.2,26.15,16270793,
14,2022-12-26 00:00:00+05:30,26.0,28.4,25.85,28.15,12350424,
15,2022-12-27 00:00:00+05:30,28.9,29.3,27.35,27.95,10896304,
16,2022-12-28 00:00:00+05:30,28.0,28.65,27.6,28.4,5851831,
17,2022-12-29 00:00:00+05:30,28.3,28.85,28.05,28.5,5719248,
18,2022-12-30 00:00:00+05:30,28.8,29.65,28.8,29.0,7972292,
19,2023-01-02 00:00:00+05:30,29.2,30.2,28.9,29.9,8309317,
20,2023-01-03 00:00:00+05:30,30.0,31.1,29.9,30.85,11674638,
21,2023-01-04 00:00:00+05:30,31.0,31.25,29.85,30.2,7863181,
22,2023-01-05 00:00:00+05:30,30.45,30.8,29.8,30.05,8936113,
23,2023-01-06 00:00:00+05:30,30.1,30.3,28.85,29.3,7196060,
24,2023-01-09 00:00:00+05:30,29.5,29.95,29.25,29.65,3933318,
25,2023-01-10 00:00:00+05:30,29.75,29.8,29.1,29.3,2838838,
26,2023-01-11 00:00:00+05:30,29.4,29.45,28.85,29.05,3512885,
27,2023-01-12 00:00:00+05:30,29.2,29.35,28.25,28.85,4744545,
28,2023-01-13 00:00:00+05:30,28.6,28.95,28.3,28.65,12226217,
29,2023-01-16 00:00:00+05:30,28.8,29.65,28.6,28.9,14225358,
30,2023-01-17 00:00:00+05:30,28.9,29.5,28.05,29.25,18691171,
31,2023-01-18 00:00:00+05:30,29.05,29.25,28.5,28.8,12935541,
32,2023-01-19 00:00:00+05:30,28.55,31.1,28.5,29.55,35877921,
33,2023-01-20 00:00:00+05:30,29.55,29.95,28.95,29.3,12114626,
34,2023-01-23 00:00:00+05:30,29.55,29.85,28.2,28.35,17104374,
35,2023-01-24 00:00:00+05:30,28.5,28.65,27.75,28.1,17424575,
36,2023-01-25 00:00:00+05:30,28.0,28.4,27.35,27.9,14181830,
37,2023-01-27 00:00:00+05:30,28.15,28.4,26.7,27.5,13004143,
38,2023-01-30 00:00:00+05:30,27.65,28.15,27.15,27.65,13293695,
39,2023-01-31 00:00:00+05:30,27.9,28.9,27.8,28.75,10011143,
40,2023-02-01 00:00:00+05:30,29.2,29.65,28.2,28.65,8674183,
41,2023-02-02 00:00:00+05:30,28.05,30.9,28.05,29.6,14875085,
42,2023-02-03 00:00:00+05:30,29.9,30.3,28.8,29.5,9989881,
43,2023-02-06 00:00:00+05:30,29.65,30.45,28.1,29.45,13016278,
44,2023-02-07 00:00:00+05:30,29.45,30.35,29.3,29.6,9617990,
45,2023-02-08 00:00:00+05:30,29.75,30.1,24.75,28.4,13195762,
46,2023-02-09 00:00:00+05:30,28.4,29.2,28.3,28.85,5069507,
47,2023-02-10 00:00:00+05:30,28.9,29.25,28.2,28.3,5195475,
48,2023-02-13 00:00:00+05:30,28.45,28.6,27.05,27.5,5763519,
49,2023-02-14 00:00:00+05:30,27.6,27.95,26.95,27.65,3851010,
50,2023-02-15 00:00:00+05:30,27.6,27.8,26.95,27.2,3034645,
51,2023-02-16 00:00:00+05:30,27.4,27.6,27.25,27.45,2296833,
52,2023-02-17 00:00:00+05:30,27.45,27.6,26.9,27.4,3946488,
53,2023-02-20 00:00:00+05:30,27.5,27.85,27.15,27.3,3941385,
54,2023-02-21 00:00:00+05:30,27.55,28.25,27.5,27.9,5023615,
55,2023-02-22 00:00:00+05:30,27.95,28.0,26.55,26.75,6308127,
56,2023-02-23 00:00:00+05:30,26.9,27.1,26.2,26.45,5408447,
57,2023-02-24 00:00:00+05:30,26.55,27.05,26.1,26.65,5525739,
